Date,L-3 Communications Holdings,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,55.53
2004-02-13,0,55.06
2004-02-20,0,54.82
2004-02-27,0,53.52
2004-03-05,0,54.36
2004-03-12,0,53.25
2004-03-19,0,55.05
2004-03-26,0,57.92
2004-04-02,0,60.06
2004-04-09,0,
2004-04-16,0,61.59
2004-04-23,0,61.13
2004-04-30,0,61.74
2004-05-07,0,61.00
2004-05-14,0,60.01
2004-05-21,0,61.26
2004-05-28,0,63.74
2004-06-04,0,65.37
2004-06-11,0,
2004-06-18,0,63.76
2004-06-25,0,65.70
2004-07-02,0,64.64
2004-07-09,0,60.99
2004-07-16,0,60.21
2004-07-23,0,58.87
2004-07-30,0,61.15
2004-08-06,0,58.87
2004-08-13,0,58.38
2004-08-20,0,59.45
2004-08-27,0,62.46
2004-09-03,0,63.63
2004-09-10,0,64.30
2004-09-17,0,65.55
2004-09-24,0,65.41
2004-10-01,0,68.41
2004-10-08,0,65.11
2004-10-15,0,63.44
2004-10-22,0,62.80
2004-10-29,0,65.93
2004-11-05,0,68.86
2004-11-12,0,72.11
2004-11-19,0,69.54
2004-11-26,0,71.91
2004-12-03,0,74.62
2004-12-10,0,73.91
2004-12-17,0,75.83
2004-12-24,0,
2004-12-31,0,73.24
2005-01-07,0,69.01
2005-01-14,0,70.11
2005-01-21,0,69.60
2005-01-28,0,70.87
2005-02-04,0,71.49
2005-02-11,0,74.52
2005-02-18,0,72.46
2005-02-25,0,72.24
2005-03-04,0,73.12
2005-03-11,0,74.72
2005-03-18,0,75.04
2005-03-25,0,
2005-04-01,0,70.91
2005-04-08,0,72.96
2005-04-15,0,70.25
2005-04-22,0,70.92
2005-04-29,0,70.97
2005-05-06,0,70.08
2005-05-13,0,65.23
2005-05-20,0,69.97
2005-05-27,0,68.88
2005-06-03,0,74.15
2005-06-10,0,75.31
2005-06-17,0,76.34
2005-06-24,0,75.12
2005-07-01,0,76.07
2005-07-08,0,75.74
2005-07-15,0,75.90
2005-07-22,0,77.54
2005-07-29,0,78.23
2005-08-05,0,77.88
2005-08-12,0,78.06
2005-08-19,0,79.40
2005-08-26,0,80.58
2005-09-02,0,81.68
2005-09-09,0,83.62
2005-09-16,0,81.84
2005-09-23,0,80.58
2005-09-30,0,79.07
2005-10-07,0,78.36
2005-10-14,0,79.26
2005-10-21,0,80.26
2005-10-28,0,77.39
2005-11-04,0,77.10
2005-11-11,0,76.50
2005-11-18,0,74.10
2005-11-25,0,74.90
2005-12-02,0,75.51
2005-12-09,0,73.90
2005-12-16,0,72.17
2005-12-23,0,75.70
2005-12-30,0,74.35
2006-01-06,0,76.22
2006-01-13,0,75.45
2006-01-20,0,74.41
2006-01-27,0,78.44
2006-02-03,0,81.28
2006-02-10,0,81.98
2006-02-17,0,82.75
2006-02-24,0,82.95
2006-03-03,0,84.14
2006-03-10,0,84.15
2006-03-17,0,86.95
2006-03-24,0,85.85
2006-03-31,0,85.79
2006-04-07,0,83.69
2006-04-14,0,
2006-04-21,0,85.05
2006-04-28,0,81.70
2006-05-05,0,85.19
2006-05-12,0,83.15
2006-05-19,0,81.06
2006-05-26,0,78.33
2006-06-02,0,75.21
2006-06-09,0,76.77
2006-06-16,0,75.01
2006-06-23,0,75.06
2006-06-30,0,75.42
2006-07-07,0,73.13
2006-07-14,0,74.25
2006-07-21,0,75.26
2006-07-28,0,74.55
2006-08-04,0,71.50
2006-08-11,0,68.85
2006-08-18,0,73.20
2006-08-25,0,74.37
2006-09-01,0,75.81
2006-09-08,0,75.26
2006-09-15,0,76.25
2006-09-22,0,77.06
2006-09-29,0,78.33
2006-10-06,0,78.83
2006-10-13,0,78.68
2006-10-20,0,77.66
2006-10-27,0,78.68
2006-11-03,0,79.84
2006-11-10,0,79.06
2006-11-17,0,81.50
2006-11-24,0,81.24
2006-12-01,0,80.92
2006-12-08,0,82.82
2006-12-15,0,83.72
2006-12-22,0,80.86
2006-12-29,0,81.78
2007-01-05,0,81.04
2007-01-12,0,82.58
2007-01-19,0,82.20
2007-01-26,0,80.02
2007-02-02,0,86.39
2007-02-09,0,86.03
2007-02-16,0,87.80
2007-02-23,0,87.11
2007-03-02,0,85.17
2007-03-09,0,85.20
2007-03-16,0,83.84
2007-03-23,0,86.29
2007-03-30,0,87.47
2007-04-06,0,
2007-04-13,0,89.92
2007-04-20,0,92.52
2007-04-27,0,90.52
2007-05-04,0,92.48
2007-05-11,0,94.74
2007-05-18,0,94.30
2007-05-25,0,93.22
2007-06-01,0,95.79
2007-06-08,0,95.14
2007-06-15,0,98.54
2007-06-22,0,97.15
2007-06-29,0,97.39
2007-07-06,0,98.91
2007-07-13,0,99.98
2007-07-20,0,99.91
2007-07-27,0,97.73
2007-08-03,0,98.68
2007-08-10,0,99.58
2007-08-17,0,93.17
2007-08-24,0,99.92
2007-08-31,0,98.51
2007-09-07,0,96.95
2007-09-14,0,98.44
2007-09-21,0,99.16
2007-09-28,0,102.14
2007-10-05,0,104.74
2007-10-12,0,105.04
2007-10-19,0,103.91
2007-10-26,0,106.98
2007-11-02,0,110.06
2007-11-09,0,111.70
2007-11-16,0,111.50
2007-11-23,0,109.33
2007-11-30,0,110.65
2007-12-07,0,109.37
2007-12-14,0,108.62
2007-12-21,0,107.38
2007-12-28,0,106.48
2008-01-04,0,104.79
2008-01-11,0,105.58
2008-01-18,0,103.43
2008-01-25,0,106.96
2008-02-01,0,109.76
2008-02-08,0,105.25
2008-02-15,0,105.39
2008-02-22,0,106.79
2008-02-29,0,106.29
2008-03-07,0,105.41
2008-03-14,0,107.53
2008-03-21,0,
2008-03-28,0,109.14
2008-04-04,0,111.97
2008-04-11,0,109.54
2008-04-18,0,114.46
2008-04-25,0,111.93
2008-05-02,0,111.85
2008-05-09,0,107.61
2008-05-16,0,110.30
2008-05-23,0,106.35
2008-05-30,0,107.39
2008-06-06,0,98.01
2008-06-13,0,97.93
2008-06-20,0,94.82
2008-06-27,0,90.99
2008-07-04,0,
2008-07-11,0,90.89
2008-07-18,0,92.06
2008-07-25,0,94.64
2008-08-01,0,98.21
2008-08-08,0,102.12
2008-08-15,0,105.83
2008-08-22,0,104.87
2008-08-29,0,103.94
2008-09-05,0,102.64
2008-09-12,0,103.16
2008-09-19,0,101.45
2008-09-26,0,99.91
2008-10-03,0,94.05
2008-10-10,0,80.00
2008-10-17,0,82.78
2008-10-24,0,76.25
2008-10-31,0,81.17
2008-11-07,0,75.69
2008-11-14,0,69.33
2008-11-21,0,63.93
2008-11-28,0,67.17
2008-12-05,0,68.81
2008-12-12,0,68.59
2008-12-19,0,72.54
2008-12-26,0,72.06
2009-01-02,0,75.76
2009-01-09,0,76.71
2009-01-16,0,78.72
2009-01-23,0,78.29
2009-01-30,0,79.02
2009-02-06,0,78.80
2009-02-13,0,78.17
2009-02-20,0,75.47
2009-02-27,0,67.65
2009-03-06,0,58.70
2009-03-13,0,60.29
2009-03-20,0,63.53
2009-03-27,0,69.55
2009-04-03,0,68.73
2009-04-10,0,
2009-04-17,0,72.91
2009-04-24,0,75.93
2009-05-01,0,77.68
2009-05-08,0,79.71
2009-05-15,0,74.69
2009-05-22,0,71.89
2009-05-29,0,73.51
2009-06-05,0,74.50
2009-06-12,0,74.40
2009-06-19,0,71.70
2009-06-26,0,69.05
2009-07-03,0,
2009-07-10,0,65.13
2009-07-17,0,70.67
2009-07-24,0,72.73
2009-07-31,0,75.50
2009-08-07,0,76.06
2009-08-14,0,74.59
2009-08-21,0,74.76
2009-08-28,0,74.28
2009-09-04,0,76.52
2009-09-11,0,77.95
2009-09-18,0,82.19
2009-09-25,0,78.92
2009-10-02,0,76.41
2009-10-09,0,76.72
2009-10-16,0,76.51
2009-10-23,0,74.42
2009-10-30,0,72.29
2009-11-06,0,76.40
2009-11-13,0,77.65
2009-11-20,0,77.53
2009-11-27,0,78.45
2009-12-04,0,80.75
2009-12-11,0,83.64
2009-12-18,0,84.26
2009-12-25,0,
2010-01-01,100,
2010-01-08,0,87.75
2010-01-15,0,89.45
2010-01-22,0,84.94
2010-01-29,0,83.34
2010-02-05,0,84.24
2010-02-12,0,87.01
2010-02-19,0,90.34
2010-02-26,0,91.42
2010-03-05,0,93.16
2010-03-12,0,92.32
2010-03-19,0,94.17
2010-03-26,0,93.26
2010-04-02,0,
2010-04-09,0,93.91
2010-04-16,0,94.80
2010-04-23,0,96.82
2010-04-30,0,93.57
2010-05-07,0,86.52
2010-05-14,0,88.33
2010-05-21,0,83.67
2010-05-28,0,82.63
2010-06-04,0,81.12
2010-06-11,0,79.61
2010-06-18,0,81.61
2010-06-25,0,74.85
2010-07-02,0,70.43
2010-07-09,0,73.22
2010-07-16,0,71.63
2010-07-23,0,75.15
2010-07-30,0,73.04
2010-08-06,0,74.43
2010-08-13,0,70.26
2010-08-20,0,69.27
2010-08-27,0,68.71
2010-09-03,0,70.68
2010-09-10,0,68.50
2010-09-17,0,70.73
2010-09-24,0,71.61
2010-10-01,0,71.72
2010-10-08,0,70.78
2010-10-15,0,71.05
2010-10-22,0,69.80
2010-10-29,0,72.18
2010-11-05,0,73.90
2010-11-12,0,70.62
2010-11-19,0,71.30
2010-11-26,0,71.38
2010-12-03,0,73.25
2010-12-10,0,71.39
2010-12-17,0,70.44
2010-12-24,0,
2010-12-31,0,70.49
2011-01-07,0,78.23
2011-01-14,0,75.87
2011-01-21,0,77.57
2011-01-28,0,76.39
2011-02-04,0,78.58
2011-02-11,0,80.04
2011-02-18,0,80.85
2011-02-25,0,79.95
2011-03-04,0,79.20
2011-03-11,0,79.68
2011-03-18,0,78.54
2011-03-25,0,79.62
2011-04-01,0,79.10
2011-04-08,0,79.52
2011-04-15,0,76.14
2011-04-22,0,
2011-04-29,0,80.19
2011-05-06,0,83.04
2011-05-13,0,83.50
2011-05-20,0,83.53
2011-05-27,0,81.60
2011-06-03,0,79.47
2011-06-10,0,78.88
2011-06-17,0,81.87
2011-06-24,0,84.54
2011-07-01,0,88.31
2011-07-08,0,85.28
2011-07-15,0,82.03
2011-07-22,0,82.90
2011-07-29,0,79.12
2011-08-05,0,69.93
2011-08-12,0,68.98
2011-08-19,0,63.01
2011-08-26,0,64.61
2011-09-02,0,64.69
2011-09-09,0,63.84
2011-09-16,0,67.17
2011-09-23,0,60.15
2011-09-30,0,61.97
2011-10-07,0,64.70
2011-10-14,0,69.08
2011-10-21,0,70.37
2011-10-28,0,69.74
2011-11-04,0,68.58
2011-11-11,0,69.62
2011-11-18,0,66.71
2011-11-25,0,63.29
2011-12-02,0,66.24
2011-12-09,0,66.16
2011-12-16,0,64.45
2011-12-23,0,67.39
2011-12-30,0,66.68
2012-01-06,0,67.07
2012-01-13,0,69.31
2012-01-20,0,70.50
2012-01-27,0,69.91
2012-02-03,0,70.62
2012-02-10,0,70.14
2012-02-17,0,70.95
2012-02-24,0,70.28
2012-03-02,0,68.83
2012-03-09,0,68.19
2012-03-16,0,71.00
2012-03-23,0,69.56
2012-03-30,0,70.77
2012-04-06,0,
2012-04-13,0,69.02
2012-04-20,0,69.91
2012-04-27,0,73.49
2012-05-04,0,72.00
2012-05-11,0,70.53
2012-05-18,0,67.58
2012-05-25,0,67.19
2012-06-01,0,67.11
2012-06-08,0,69.62
2012-06-15,0,71.74
2012-06-22,0,73.21
2012-06-29,0,74.01
2012-07-06,0,72.73
2012-07-13,0,72.31
2012-07-20,0,70.64
2012-07-27,0,69.86
2012-08-03,0,69.79
2012-08-10,0,70.39
2012-08-17,0,69.17
2012-08-24,0,69.98
2012-08-31,0,70.24
2012-09-07,0,71.40
2012-09-14,0,73.10
2012-09-21,0,72.46
2012-09-28,0,71.71
2012-10-05,0,73.46
2012-10-12,0,72.32
2012-10-19,0,73.61
2012-10-26,0,73.42
2012-11-02,0,75.85
2012-11-09,0,74.47
2012-11-16,0,73.97
2012-11-23,0,76.33
2012-11-30,0,76.85
2012-12-07,0,76.65
2012-12-14,0,75.28
2012-12-21,0,77.77
2012-12-28,0,75.71
2013-01-04,0,77.71
2013-01-11,0,77.88
2013-01-18,0,78.81
2013-01-25,0,78.71
2013-02-01,0,75.22
2013-02-08,0,77.67
2013-02-15,0,77.67
2013-02-22,0,76.88
2013-03-01,0,76.40
2013-03-08,0,77.18
2013-03-15,0,81.13
2013-03-22,0,80.43
2013-03-29,0,
2013-04-05,0,82.40
2013-04-12,0,82.45
2013-04-19,0,81.38
2013-04-26,0,81.39
2013-05-03,0,83.42
2013-05-10,0,83.78
2013-05-17,0,85.55
2013-05-24,0,85.19
2013-05-31,0,85.09
2013-06-07,0,86.81
2013-06-14,0,86.04
2013-06-21,0,84.17
2013-06-28,0,85.74
2013-07-05,0,87.09
2013-07-12,0,90.22
2013-07-19,0,92.37
2013-07-26,0,92.15
2013-08-02,0,94.32
2013-08-09,0,92.89
2013-08-16,0,91.20
2013-08-23,0,92.65
2013-08-30,0,90.33
2013-09-06,0,91.19
2013-09-13,0,94.25
2013-09-20,0,95.22
2013-09-27,0,95.43
2013-10-04,0,92.88
2013-10-11,0,93.94
2013-10-18,0,94.77
2013-10-25,0,97.53
2013-11-01,0,100.76
2013-11-08,0,101.50
2013-11-15,0,101.95
2013-11-22,0,102.34
2013-11-29,0,103.46
2013-12-06,0,101.80
2013-12-13,0,102.23
2013-12-20,0,105.49
2013-12-27,0,107.12
2014-01-03,0,105.38
2014-01-10,0,106.32
2014-01-17,0,107.57
2014-01-24,0,104.17
2014-01-31,0,111.07
2014-02-07,0,113.02
2014-02-14,0,113.50
2014-02-21,0,115.58
2014-02-28,0,115.40
2014-03-07,0,117.25
2014-03-14,0,115.30
2014-03-21,0,116.01
2014-03-28,0,117.41
2014-04-04,0,116.34
2014-04-11,0,113.66
2014-04-18,0,
2014-04-25,0,115.27
2014-05-02,0,
