Date,Anadarko Petroleum Corp,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.10
2004-02-13,0,51.51
2004-02-20,0,51.18
2004-02-27,0,51.25
2004-03-05,0,52.60
2004-03-12,0,50.98
2004-03-19,0,52.61
2004-03-26,0,50.85
2004-04-02,0,51.35
2004-04-09,0,
2004-04-16,0,56.29
2004-04-23,0,54.22
2004-04-30,0,53.58
2004-05-07,0,54.95
2004-05-14,0,55.19
2004-05-21,0,53.28
2004-05-28,0,54.52
2004-06-04,0,55.84
2004-06-11,0,
2004-06-18,0,58.06
2004-06-25,0,57.83
2004-07-02,0,59.07
2004-07-09,0,60.26
2004-07-16,0,60.79
2004-07-23,0,58.70
2004-07-30,0,59.79
2004-08-06,0,56.41
2004-08-13,0,57.03
2004-08-20,0,58.39
2004-08-27,0,58.58
2004-09-03,0,60.50
2004-09-10,0,61.69
2004-09-17,0,62.66
2004-09-24,0,65.06
2004-10-01,0,67.31
2004-10-08,0,69.06
2004-10-15,0,68.46
2004-10-22,0,70.11
2004-10-29,0,67.45
2004-11-05,0,68.10
2004-11-12,0,67.42
2004-11-19,0,68.45
2004-11-26,0,70.11
2004-12-03,0,67.26
2004-12-10,0,65.74
2004-12-17,0,66.22
2004-12-24,0,
2004-12-31,0,64.81
2005-01-07,0,61.40
2005-01-14,0,64.43
2005-01-21,0,63.90
2005-01-28,0,65.59
2005-02-04,0,66.20
2005-02-11,0,68.69
2005-02-18,0,70.25
2005-02-25,0,77.73
2005-03-04,0,81.37
2005-03-11,0,77.51
2005-03-18,0,77.33
2005-03-25,0,
2005-04-01,0,78.20
2005-04-08,0,76.26
2005-04-15,0,71.66
2005-04-22,0,73.81
2005-04-29,0,73.04
2005-05-06,0,73.89
2005-05-13,0,69.15
2005-05-20,0,72.29
2005-05-27,0,76.09
2005-06-03,0,76.17
2005-06-10,0,77.35
2005-06-17,0,82.51
2005-06-24,0,82.53
2005-07-01,0,84.66
2005-07-08,0,88.42
2005-07-15,0,86.20
2005-07-22,0,88.31
2005-07-29,0,88.35
2005-08-05,0,85.84
2005-08-12,0,89.39
2005-08-19,0,88.12
2005-08-26,0,86.95
2005-09-02,0,91.75
2005-09-09,0,94.54
2005-09-16,0,93.53
2005-09-23,0,93.93
2005-09-30,0,95.75
2005-10-07,0,89.88
2005-10-14,0,89.73
2005-10-21,0,86.24
2005-10-28,0,90.69
2005-11-04,0,89.30
2005-11-11,0,86.14
2005-11-18,0,87.97
2005-11-25,0,91.35
2005-12-02,0,93.49
2005-12-09,0,97.00
2005-12-16,0,95.82
2005-12-23,0,94.65
2005-12-30,0,94.75
2006-01-06,0,98.89
2006-01-13,0,102.45
2006-01-20,0,106.85
2006-01-27,0,107.14
2006-02-03,0,103.70
2006-02-10,0,98.62
2006-02-17,0,101.07
2006-02-24,0,102.09
2006-03-03,0,102.07
2006-03-10,0,95.01
2006-03-17,0,99.91
2006-03-24,0,100.55
2006-03-31,0,101.01
2006-04-07,0,102.15
2006-04-14,0,
2006-04-21,0,113.24
2006-04-28,0,104.82
2006-05-05,0,106.54
2006-05-12,0,102.67
2006-05-19,0,99.44
2006-05-26,0,99.22
2006-06-02,0,50.43
2006-06-09,0,47.58
2006-06-16,0,48.22
2006-06-23,0,44.90
2006-06-30,0,47.69
2006-07-07,0,45.79
2006-07-14,0,45.05
2006-07-21,0,41.66
2006-07-28,0,44.45
2006-08-04,0,46.68
2006-08-11,0,46.41
2006-08-18,0,45.34
2006-08-25,0,46.91
2006-09-01,0,47.52
2006-09-08,0,46.40
2006-09-15,0,43.71
2006-09-22,0,41.78
2006-09-29,0,43.83
2006-10-06,0,42.10
2006-10-13,0,43.82
2006-10-20,0,45.65
2006-10-27,0,46.52
2006-11-03,0,47.43
2006-11-10,0,47.25
2006-11-17,0,46.83
2006-11-24,0,47.41
2006-12-01,0,48.90
2006-12-08,0,48.97
2006-12-15,0,45.50
2006-12-22,0,42.14
2006-12-29,0,43.52
2007-01-05,0,41.31
2007-01-12,0,41.83
2007-01-19,0,42.95
2007-01-26,0,41.92
2007-02-02,0,43.83
2007-02-09,0,41.55
2007-02-16,0,41.33
2007-02-23,0,40.84
2007-03-02,0,39.42
2007-03-09,0,40.75
2007-03-16,0,39.45
2007-03-23,0,41.73
2007-03-30,0,42.98
2007-04-06,0,
2007-04-13,0,46.11
2007-04-20,0,46.22
2007-04-27,0,47.33
2007-05-04,0,45.97
2007-05-11,0,45.57
2007-05-18,0,48.94
2007-05-25,0,48.38
2007-06-01,0,49.65
2007-06-08,0,50.18
2007-06-15,0,53.85
2007-06-22,0,54.03
2007-06-29,0,51.99
2007-07-06,0,52.23
2007-07-13,0,52.42
2007-07-20,0,53.95
2007-07-27,0,49.59
2007-08-03,0,49.89
2007-08-10,0,48.57
2007-08-17,0,48.55
2007-08-24,0,49.39
2007-08-31,0,48.98
2007-09-07,0,49.77
2007-09-14,0,50.58
2007-09-21,0,53.55
2007-09-28,0,53.75
2007-10-05,0,54.72
2007-10-12,0,56.43
2007-10-19,0,56.94
2007-10-26,0,59.23
2007-11-02,0,57.61
2007-11-09,0,57.61
2007-11-16,0,57.03
2007-11-23,0,57.42
2007-11-30,0,56.60
2007-12-07,0,61.44
2007-12-14,0,62.29
2007-12-21,0,66.20
2007-12-28,0,66.97
2008-01-04,0,63.96
2008-01-11,0,62.20
2008-01-18,0,55.73
2008-01-25,0,55.35
2008-02-01,0,60.04
2008-02-08,0,56.46
2008-02-15,0,58.94
2008-02-22,0,62.22
2008-02-29,0,63.74
2008-03-07,0,63.81
2008-03-14,0,64.50
2008-03-21,0,
2008-03-28,0,62.90
2008-04-04,0,63.78
2008-04-11,0,63.80
2008-04-18,0,68.90
2008-04-25,0,68.38
2008-05-02,0,67.10
2008-05-09,0,76.33
2008-05-16,0,78.15
2008-05-23,0,76.02
2008-05-30,0,74.97
2008-06-06,0,76.72
2008-06-13,0,77.33
2008-06-20,0,76.15
2008-06-27,0,74.36
2008-07-04,0,
2008-07-11,0,69.12
2008-07-18,0,63.24
2008-07-25,0,58.98
2008-08-01,0,58.71
2008-08-08,0,53.78
2008-08-15,0,57.61
2008-08-22,0,58.65
2008-08-29,0,61.73
2008-09-05,0,58.28
2008-09-12,0,56.89
2008-09-19,0,57.78
2008-09-26,0,52.73
2008-10-03,0,41.54
2008-10-10,0,27.50
2008-10-17,0,33.50
2008-10-24,0,29.35
2008-10-31,0,35.30
2008-11-07,0,36.33
2008-11-14,0,37.82
2008-11-21,0,33.07
2008-11-28,0,41.05
2008-12-05,0,33.95
2008-12-12,0,37.03
2008-12-19,0,37.16
2008-12-26,0,36.31
2009-01-02,0,40.62
2009-01-09,0,40.54
2009-01-16,0,37.48
2009-01-23,0,37.88
2009-01-30,0,36.74
2009-02-06,0,41.78
2009-02-13,0,39.91
2009-02-20,0,35.57
2009-02-27,0,34.95
2009-03-06,0,33.07
2009-03-13,0,36.38
2009-03-20,0,40.69
2009-03-27,0,41.01
2009-04-03,0,43.47
2009-04-10,0,
2009-04-17,0,43.59
2009-04-24,0,44.06
2009-05-01,0,45.63
2009-05-08,0,51.96
2009-05-15,0,42.67
2009-05-22,0,43.15
2009-05-29,0,47.78
2009-06-05,0,48.46
2009-06-12,0,50.57
2009-06-19,0,45.54
2009-06-26,0,46.07
2009-07-03,0,
2009-07-10,0,42.49
2009-07-17,0,46.05
2009-07-24,0,49.19
2009-07-31,0,48.20
2009-08-07,0,49.39
2009-08-14,0,51.50
2009-08-21,0,53.89
2009-08-28,0,54.66
2009-09-04,0,54.78
2009-09-11,0,58.58
2009-09-18,0,63.14
2009-09-25,0,61.95
2009-10-02,0,59.73
2009-10-09,0,67.39
2009-10-16,0,67.11
2009-10-23,0,65.34
2009-10-30,0,60.93
2009-11-06,0,64.83
2009-11-13,0,62.57
2009-11-20,0,61.29
2009-11-27,0,60.67
2009-12-04,0,60.25
2009-12-11,0,57.99
2009-12-18,0,61.15
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,67.06
2010-01-15,0,65.89
2010-01-22,0,63.13
2010-01-29,0,63.78
2010-02-05,0,62.95
2010-02-12,0,65.32
2010-02-19,0,70.18
2010-02-26,0,70.13
2010-03-05,0,72.11
2010-03-12,0,72.05
2010-03-19,0,69.99
2010-03-26,0,69.40
2010-04-02,0,
2010-04-09,0,73.30
2010-04-16,0,73.50
2010-04-23,0,74.11
2010-04-30,0,62.16
2010-05-07,0,58.88
2010-05-14,0,57.32
2010-05-21,0,54.83
2010-05-28,0,52.33
2010-06-04,0,45.12
2010-06-11,0,41.79
2010-06-18,0,42.57
2010-06-25,100,37.68
2010-07-02,0,38.07
2010-07-09,0,45.41
2010-07-16,0,47.46
2010-07-23,0,48.77
2010-07-30,0,49.16
2010-08-06,0,55.68
2010-08-13,0,52.37
2010-08-20,0,48.70
2010-08-27,0,47.41
2010-09-03,0,52.06
2010-09-10,0,52.91
2010-09-17,0,54.14
2010-09-24,0,57.02
2010-10-01,0,57.06
2010-10-08,0,58.19
2010-10-15,0,57.64
2010-10-22,0,62.51
2010-10-29,0,61.57
2010-11-05,0,67.61
2010-11-12,0,63.98
2010-11-19,0,63.63
2010-11-26,0,63.56
2010-12-03,0,69.08
2010-12-10,0,69.02
2010-12-17,0,66.00
2010-12-24,0,
2010-12-31,0,76.16
2011-01-07,0,74.67
2011-01-14,0,79.48
2011-01-21,0,77.20
2011-01-28,0,74.18
2011-02-04,0,78.32
2011-02-11,0,78.49
2011-02-18,0,80.96
2011-02-25,0,81.22
2011-03-04,0,81.02
2011-03-11,0,77.25
2011-03-18,0,77.27
2011-03-25,0,82.88
2011-04-01,0,82.88
2011-04-08,0,84.71
2011-04-15,0,80.42
2011-04-22,0,
2011-04-29,0,78.94
2011-05-06,0,75.14
2011-05-13,0,74.06
2011-05-20,0,74.58
2011-05-27,0,78.66
2011-06-03,0,76.98
2011-06-10,0,72.79
2011-06-17,0,70.45
2011-06-24,0,72.46
2011-07-01,0,77.91
2011-07-08,0,79.34
2011-07-15,0,80.19
2011-07-22,0,83.30
2011-07-29,0,82.56
2011-08-05,0,71.51
2011-08-12,0,71.71
2011-08-19,0,66.09
2011-08-26,0,69.27
2011-09-02,0,69.71
2011-09-09,0,69.88
2011-09-16,0,74.77
2011-09-23,0,66.58
2011-09-30,0,63.05
2011-10-07,0,65.12
2011-10-14,0,70.57
2011-10-21,0,79.04
2011-10-28,0,83.74
2011-11-04,0,82.46
2011-11-11,0,80.72
2011-11-18,0,76.70
2011-11-25,0,71.84
2011-12-02,0,80.48
2011-12-09,0,80.25
2011-12-16,0,72.94
2011-12-23,0,76.67
2011-12-30,0,76.33
2012-01-06,0,80.27
2012-01-13,0,78.01
2012-01-20,0,79.02
2012-01-27,0,79.32
2012-02-03,0,84.34
2012-02-10,0,87.04
2012-02-17,0,88.05
2012-02-24,0,87.30
2012-03-02,0,82.55
2012-03-09,0,85.25
2012-03-16,0,84.68
2012-03-23,0,79.41
2012-03-30,0,78.34
2012-04-06,0,
2012-04-13,0,74.96
2012-04-20,0,71.73
2012-04-27,0,73.79
2012-05-04,0,69.01
2012-05-11,0,68.31
2012-05-18,0,62.88
2012-05-25,0,63.08
2012-06-01,0,58.13
2012-06-08,0,63.84
2012-06-15,0,65.37
2012-06-22,0,61.93
2012-06-29,0,66.20
2012-07-06,0,65.51
2012-07-13,0,68.81
2012-07-20,0,72.06
2012-07-27,0,71.41
2012-08-03,0,68.41
2012-08-10,0,69.68
2012-08-17,0,70.34
2012-08-24,0,69.57
2012-08-31,0,69.27
2012-09-07,0,72.29
2012-09-14,0,75.59
2012-09-21,0,71.93
2012-09-28,0,69.92
2012-10-05,0,69.05
2012-10-12,0,69.18
2012-10-19,0,70.34
2012-10-26,0,66.49
2012-11-02,0,70.26
2012-11-09,0,70.65
2012-11-16,0,70.09
2012-11-23,0,74.55
2012-11-30,0,73.19
2012-12-07,0,76.32
2012-12-14,0,74.59
2012-12-21,0,75.80
2012-12-28,0,72.31
2013-01-04,0,78.27
2013-01-11,0,77.84
2013-01-18,0,77.55
2013-01-25,0,81.00
2013-02-01,0,81.18
2013-02-08,0,84.45
2013-02-15,0,82.08
2013-02-22,0,81.75
2013-03-01,0,79.82
2013-03-08,0,83.09
2013-03-15,0,85.35
2013-03-22,0,86.58
2013-03-29,0,
2013-04-05,0,85.03
2013-04-12,0,85.29
2013-04-19,0,79.99
2013-04-26,0,83.84
2013-05-03,0,86.60
2013-05-10,0,86.45
2013-05-17,0,90.03
2013-05-24,0,89.34
2013-05-31,0,87.47
2013-06-07,0,87.98
2013-06-14,0,86.11
2013-06-21,0,83.44
2013-06-28,0,85.93
2013-07-05,0,88.38
2013-07-12,0,90.70
2013-07-19,0,92.85
2013-07-26,0,88.51
2013-08-02,0,90.46
2013-08-09,0,89.80
2013-08-16,0,91.52
2013-08-23,0,89.80
2013-08-30,0,91.42
2013-09-06,0,93.01
2013-09-13,0,94.70
2013-09-20,0,93.69
2013-09-27,0,94.53
2013-10-04,0,93.90
2013-10-11,0,95.46
2013-10-18,0,97.42
2013-10-25,0,96.15
2013-11-01,0,94.39
2013-11-08,0,90.97
2013-11-15,0,90.93
2013-11-22,0,92.04
2013-11-29,0,88.82
2013-12-06,0,86.65
2013-12-13,0,78.30
2013-12-20,0,78.77
2013-12-27,0,79.40
2014-01-03,0,78.31
2014-01-10,0,79.83
2014-01-17,0,80.06
2014-01-24,0,81.09
2014-01-31,0,80.69
2014-02-07,0,80.17
2014-02-14,0,81.54
2014-02-21,0,82.31
2014-02-28,0,84.16
2014-03-07,0,85.26
2014-03-14,0,82.00
2014-03-21,0,83.59
2014-03-28,0,84.94
2014-04-04,0,101.05
2014-04-11,0,96.48
2014-04-18,0,
2014-04-25,0,99.50
2014-05-02,0,
