Date,HCP,Price
2004-01-09,43,
2004-01-16,64,
2004-01-23,57,
2004-01-30,63,
2004-02-06,55,56.90
2004-02-13,89,56.18
2004-02-20,48,55.30
2004-02-27,61,55.68
2004-03-05,84,28.80
2004-03-12,33,27.96
2004-03-19,33,28.09
2004-03-26,57,28.03
2004-04-02,43,28.15
2004-04-09,52,
2004-04-16,56,24.83
2004-04-23,59,23.75
2004-04-30,39,23.90
2004-05-07,49,22.14
2004-05-14,89,22.00
2004-05-21,82,22.27
2004-05-28,61,24.03
2004-06-04,40,23.53
2004-06-11,31,
2004-06-18,53,24.07
2004-06-25,52,24.30
2004-07-02,57,24.97
2004-07-09,70,25.05
2004-07-16,56,25.74
2004-07-23,39,24.75
2004-07-30,42,24.96
2004-08-06,29,23.98
2004-08-13,44,24.30
2004-08-20,69,25.18
2004-08-27,59,25.19
2004-09-03,51,25.65
2004-09-10,77,25.66
2004-09-17,45,25.67
2004-09-24,46,25.52
2004-10-01,48,26.30
2004-10-08,53,26.64
2004-10-15,56,27.50
2004-10-22,68,27.79
2004-10-29,37,27.83
2004-11-05,51,26.96
2004-11-12,44,27.59
2004-11-19,24,26.18
2004-11-26,51,26.90
2004-12-03,61,27.72
2004-12-10,38,27.61
2004-12-17,47,27.61
2004-12-24,37,
2004-12-31,40,27.69
2005-01-07,71,26.18
2005-01-14,53,25.89
2005-01-21,32,26.37
2005-01-28,58,25.52
2005-02-04,49,26.20
2005-02-11,43,26.25
2005-02-18,45,25.33
2005-02-25,57,25.10
2005-03-04,47,25.51
2005-03-11,54,24.19
2005-03-18,55,24.16
2005-03-25,56,
2005-04-01,44,23.82
2005-04-08,39,23.80
2005-04-15,56,24.09
2005-04-22,59,24.64
2005-04-29,63,25.64
2005-05-06,52,25.10
2005-05-13,28,25.90
2005-05-20,43,27.16
2005-05-27,64,26.76
2005-06-03,42,27.10
2005-06-10,49,27.00
2005-06-17,48,27.80
2005-06-24,36,26.62
2005-07-01,56,27.23
2005-07-08,31,27.84
2005-07-15,50,27.68
2005-07-22,52,27.78
2005-07-29,49,27.86
2005-08-05,56,26.73
2005-08-12,28,25.94
2005-08-19,46,25.71
2005-08-26,37,26.22
2005-09-02,41,27.30
2005-09-09,64,27.30
2005-09-16,77,27.37
2005-09-23,65,26.61
2005-09-30,53,26.99
2005-10-07,51,26.27
2005-10-14,54,25.28
2005-10-21,51,25.56
2005-10-28,51,25.40
2005-11-04,43,25.22
2005-11-11,46,26.73
2005-11-18,34,26.34
2005-11-25,56,26.96
2005-12-02,52,26.50
2005-12-09,46,26.27
2005-12-16,35,26.50
2005-12-23,42,26.12
2005-12-30,47,25.56
2006-01-06,53,27.00
2006-01-13,42,26.91
2006-01-20,56,26.91
2006-01-27,44,27.89
2006-02-03,52,27.11
2006-02-10,54,26.62
2006-02-17,53,27.77
2006-02-24,68,27.52
2006-03-03,47,27.17
2006-03-10,45,28.19
2006-03-17,51,28.81
2006-03-24,49,28.00
2006-03-31,43,28.40
2006-04-07,61,27.48
2006-04-14,55,
2006-04-21,57,27.69
