Date,RSG,Price
2004-01-09,43,
2004-01-16,42,
2004-01-23,41,
2004-01-30,36,
2004-02-06,37,26.10
2004-02-13,36,26.04
2004-02-20,51,26.72
2004-02-27,52,26.24
2004-03-05,64,26.77
2004-03-12,40,26.59
2004-03-19,46,26.49
2004-03-26,34,26.20
2004-04-02,51,27.94
2004-04-09,53,
2004-04-16,45,27.95
2004-04-23,22,28.39
2004-04-30,34,28.82
2004-05-07,58,28.62
2004-05-14,53,28.00
2004-05-21,57,28.30
2004-05-28,46,28.85
2004-06-04,51,28.41
2004-06-11,48,
2004-06-18,57,28.48
2004-06-25,61,27.87
2004-07-02,41,28.95
2004-07-09,57,28.79
2004-07-16,48,28.73
2004-07-23,44,28.70
2004-07-30,43,28.60
2004-08-06,38,26.84
2004-08-13,22,27.50
2004-08-20,62,28.28
2004-08-27,46,28.15
2004-09-03,59,29.12
2004-09-10,40,28.90
2004-09-17,31,28.57
2004-09-24,46,28.87
2004-10-01,54,29.70
2004-10-08,47,30.38
2004-10-15,40,29.08
2004-10-22,37,29.59
2004-10-29,46,30.80
2004-11-05,37,31.36
2004-11-12,43,31.11
2004-11-19,40,31.43
2004-11-26,44,31.77
2004-12-03,57,31.86
2004-12-10,36,33.57
2004-12-17,47,32.36
2004-12-24,35,
2004-12-31,41,33.54
2005-01-07,52,32.66
2005-01-14,49,32.45
2005-01-21,44,32.63
2005-01-28,61,33.05
2005-02-04,46,33.24
2005-02-11,40,30.35
2005-02-18,48,31.17
2005-02-25,57,31.46
2005-03-04,56,32.01
2005-03-11,51,32.15
2005-03-18,32,32.32
2005-03-25,58,
2005-04-01,43,33.58
2005-04-08,29,34.23
2005-04-15,47,33.14
2005-04-22,48,32.70
2005-04-29,47,34.60
2005-05-06,54,35.90
2005-05-13,57,35.17
2005-05-20,53,35.81
2005-05-27,44,35.70
2005-06-03,74,36.09
2005-06-10,56,35.97
2005-06-17,100,35.98
2005-06-24,60,35.09
2005-07-01,52,36.20
2005-07-08,44,36.37
2005-07-15,40,36.85
2005-07-22,55,37.56
2005-07-29,37,36.25
2005-08-05,49,36.03
2005-08-12,53,36.09
2005-08-19,54,35.71
2005-08-26,58,35.47
2005-09-02,52,35.98
2005-09-09,45,36.13
2005-09-16,52,35.87
2005-09-23,50,34.08
2005-09-30,44,35.29
2005-10-07,46,34.40
2005-10-14,43,33.97
2005-10-21,43,33.87
2005-10-28,53,34.76
2005-11-04,51,35.56
2005-11-11,43,35.62
