Date,sell GAS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,28.92
2004-02-13,0,28.68
2004-02-20,0,27.91
2004-02-27,0,28.68
2004-03-05,0,28.58
2004-03-12,0,28.59
2004-03-19,0,28.51
2004-03-26,0,28.06
2004-04-02,0,29.22
2004-04-09,0,
2004-04-16,0,28.27
2004-04-23,0,28.20
2004-04-30,0,28.60
2004-05-07,0,27.81
2004-05-14,0,27.22
2004-05-21,0,27.15
2004-05-28,0,28.20
2004-06-04,0,28.02
2004-06-11,0,
2004-06-18,0,28.93
2004-06-25,0,28.70
2004-07-02,0,29.13
2004-07-09,0,29.17
2004-07-16,0,29.13
2004-07-23,0,28.66
2004-07-30,0,29.55
2004-08-06,0,29.29
2004-08-13,0,29.01
2004-08-20,0,29.74
2004-08-27,0,30.20
2004-09-03,0,30.70
2004-09-10,0,30.99
2004-09-17,0,31.24
2004-09-24,0,30.41
2004-10-01,0,30.96
2004-10-08,0,30.85
2004-10-15,0,30.68
2004-10-22,0,30.42
2004-10-29,0,31.20
2004-11-05,0,31.75
2004-11-12,0,32.25
2004-11-19,0,32.32
2004-11-26,0,33.11
2004-12-03,0,33.06
2004-12-10,0,32.85
2004-12-17,0,33.48
2004-12-24,0,
2004-12-31,0,33.24
2005-01-07,0,32.28
2005-01-14,0,32.84
2005-01-21,0,33.40
2005-01-28,0,34.35
2005-02-04,0,35.86
2005-02-11,0,35.82
2005-02-18,0,34.89
2005-02-25,0,34.65
2005-03-04,0,35.63
2005-03-11,0,34.53
2005-03-18,0,34.82
2005-03-25,0,
2005-04-01,0,34.80
2005-04-08,0,35.17
2005-04-15,0,34.35
2005-04-22,0,35.36
2005-04-29,0,34.60
2005-05-06,0,34.65
2005-05-13,0,33.75
2005-05-20,0,34.75
2005-05-27,0,34.99
2005-06-03,0,35.85
2005-06-10,0,36.15
2005-06-17,69,37.47
2005-06-24,0,37.20
2005-07-01,0,39.10
2005-07-08,0,38.62
2005-07-15,0,38.30
2005-07-22,0,37.90
2005-07-29,0,38.45
2005-08-05,0,37.53
2005-08-12,75,36.83
2005-08-19,89,36.02
2005-08-26,90,35.69
2005-09-02,90,37.26
2005-09-09,0,37.91
2005-09-16,0,37.50
2005-09-23,0,36.35
2005-09-30,0,37.11
2005-10-07,0,35.27
2005-10-14,0,34.31
2005-10-21,0,33.10
2005-10-28,0,34.15
2005-11-04,0,35.77
2005-11-11,0,36.07
2005-11-18,0,35.87
2005-11-25,0,36.05
2005-12-02,0,35.93
2005-12-09,0,33.99
2005-12-16,0,35.30
2005-12-23,0,34.95
2005-12-30,0,34.81
2006-01-06,0,35.69
2006-01-13,0,35.69
2006-01-20,0,35.63
2006-01-27,0,36.25
2006-02-03,0,35.59
2006-02-10,0,35.48
2006-02-17,0,34.98
2006-02-24,0,35.68
2006-03-03,0,35.64
2006-03-10,0,35.29
2006-03-17,0,35.71
2006-03-24,0,35.59
2006-03-31,0,36.05
2006-04-07,0,35.28
2006-04-14,0,
2006-04-21,75,35.31
2006-04-28,54,35.38
2006-05-05,47,36.24
2006-05-12,76,35.45
2006-05-19,53,35.12
2006-05-26,44,35.79
2006-06-02,44,37.12
2006-06-09,45,36.94
2006-06-16,45,36.74
2006-06-23,45,36.93
2006-06-30,45,38.12
2006-07-07,0,37.81
2006-07-14,0,37.41
2006-07-21,0,38.01
2006-07-28,0,39.20
2006-08-04,0,37.17
2006-08-11,53,36.14
2006-08-18,42,35.83
2006-08-25,42,35.63
2006-09-01,43,36.19
2006-09-08,45,35.57
2006-09-15,40,35.25
2006-09-22,43,35.73
2006-09-29,46,36.50
2006-10-06,50,36.56
2006-10-13,39,37.13
2006-10-20,39,37.55
2006-10-27,39,37.45
2006-11-03,39,37.61
2006-11-10,39,37.75
2006-11-17,0,37.93
2006-11-24,0,37.74
2006-12-01,0,38.56
2006-12-08,0,39.30
2006-12-15,0,39.44
2006-12-22,0,38.92
2006-12-29,0,38.91
2007-01-05,0,38.80
2007-01-12,0,39.00
2007-01-19,32,38.68
2007-01-26,48,38.79
2007-02-02,38,41.15
2007-02-09,38,41.10
2007-02-16,38,42.04
2007-02-23,38,42.23
2007-03-02,30,40.60
2007-03-09,30,40.00
2007-03-16,30,40.34
2007-03-23,30,42.20
2007-03-30,31,42.72
2007-04-06,32,
2007-04-13,40,44.05
2007-04-20,29,43.34
2007-04-27,29,44.12
2007-05-04,30,43.62
2007-05-11,49,43.46
2007-05-18,41,43.45
2007-05-25,41,41.80
2007-06-01,41,42.54
2007-06-08,27,40.53
2007-06-15,31,40.58
2007-06-22,36,39.84
2007-06-29,41,40.48
2007-07-06,47,40.83
2007-07-13,51,41.30
2007-07-20,54,40.38
2007-07-27,57,37.90
2007-08-03,49,37.79
2007-08-10,38,38.35
2007-08-17,35,37.79
2007-08-24,29,39.58
2007-08-31,31,39.71
2007-09-07,53,39.01
2007-09-14,36,39.95
2007-09-21,36,40.04
2007-09-28,43,39.62
2007-10-05,29,40.68
2007-10-12,38,40.06
2007-10-19,37,38.25
2007-10-26,45,38.72
2007-11-02,42,38.26
2007-11-09,40,38.01
2007-11-16,34,36.93
2007-11-23,40,36.14
2007-11-30,51,37.08
2007-12-07,34,38.32
2007-12-14,22,36.25
2007-12-21,26,37.17
2007-12-28,37,37.42
2008-01-04,38,36.80
2008-01-11,32,38.39
2008-01-18,39,36.69
2008-01-25,37,36.88
2008-02-01,29,38.46
2008-02-08,40,36.92
2008-02-15,47,36.38
2008-02-22,26,35.65
2008-02-29,38,34.68
2008-03-07,37,34.55
2008-03-14,43,34.43
2008-03-21,53,
2008-03-28,34,33.85
2008-04-04,45,34.05
2008-04-11,36,33.85
2008-04-18,37,35.39
2008-04-25,57,35.10
2008-05-02,57,34.97
2008-05-09,37,35.82
2008-05-16,60,35.72
2008-05-23,70,35.20
2008-05-30,48,35.70
2008-06-06,57,35.89
2008-06-13,70,34.23
2008-06-20,59,34.29
2008-06-27,69,33.94
2008-07-04,61,
2008-07-11,58,33.80
2008-07-18,64,33.34
2008-07-25,44,33.53
2008-08-01,49,33.50
2008-08-08,63,33.14
2008-08-15,45,32.43
2008-08-22,35,32.82
2008-08-29,53,33.06
2008-09-05,42,31.94
2008-09-12,46,33.09
2008-09-19,41,33.78
2008-09-26,54,32.30
2008-10-03,35,31.30
2008-10-10,39,26.27
2008-10-17,44,27.25
2008-10-24,50,27.44
2008-10-31,44,30.40
2008-11-07,29,29.08
2008-11-14,21,28.65
2008-11-21,45,28.32
2008-11-28,46,30.11
2008-12-05,44,28.40
2008-12-12,35,29.76
2008-12-19,25,29.56
2008-12-26,46,29.61
2009-01-02,43,31.62
2009-01-09,38,31.33
2009-01-16,33,31.32
2009-01-23,35,30.73
2009-01-30,38,30.83
2009-02-06,37,33.50
2009-02-13,28,31.45
2009-02-20,38,28.48
2009-02-27,38,27.74
2009-03-06,34,24.70
2009-03-13,44,25.62
2009-03-20,37,27.12
2009-03-27,30,26.89
2009-04-03,36,27.35
2009-04-10,55,
2009-04-17,44,27.12
2009-04-24,42,28.56
2009-05-01,27,31.41
2009-05-08,25,30.62
2009-05-15,37,29.02
2009-05-22,46,28.46
2009-05-29,31,28.92
2009-06-05,30,30.57
2009-06-12,37,31.31
2009-06-19,29,31.59
2009-06-26,45,31.55
2009-07-03,43,
2009-07-10,41,30.87
2009-07-17,44,32.07
2009-07-24,46,34.13
2009-07-31,49,33.62
2009-08-07,28,34.07
2009-08-14,39,34.35
2009-08-21,36,34.94
2009-08-28,38,34.22
2009-09-04,27,33.46
2009-09-11,38,34.29
2009-09-18,43,35.11
2009-09-25,37,34.76
2009-10-02,31,34.84
2009-10-09,33,36.10
2009-10-16,41,36.86
2009-10-23,30,36.48
2009-10-30,38,34.96
2009-11-06,37,35.26
2009-11-13,35,34.40
2009-11-20,52,33.79
2009-11-27,39,34.60
2009-12-04,34,35.79
2009-12-11,47,36.70
2009-12-18,43,36.69
2009-12-25,34,
2010-01-01,32,
2010-01-08,32,35.97
2010-01-15,39,36.41
2010-01-22,42,35.58
2010-01-29,49,35.29
2010-02-05,41,35.00
2010-02-12,34,35.30
2010-02-19,44,36.52
2010-02-26,47,36.33
2010-03-05,45,37.25
2010-03-12,42,37.58
2010-03-19,36,38.07
2010-03-26,45,38.00
2010-04-02,52,
2010-04-09,47,38.25
2010-04-16,43,38.16
2010-04-23,45,39.27
2010-04-30,38,39.51
2010-05-07,37,37.53
2010-05-14,43,38.26
2010-05-21,43,35.71
2010-05-28,51,36.50
2010-06-04,68,35.72
2010-06-11,72,36.52
2010-06-18,54,37.92
2010-06-25,56,36.47
2010-07-02,53,35.80
2010-07-09,42,37.58
2010-07-16,56,37.49
2010-07-23,56,38.87
2010-07-30,51,38.00
2010-08-06,49,38.98
2010-08-13,57,37.22
2010-08-20,38,36.50
2010-08-27,43,37.08
2010-09-03,51,38.12
2010-09-10,58,38.04
2010-09-17,42,37.70
2010-09-24,57,38.25
2010-10-01,41,38.82
2010-10-08,46,38.88
2010-10-15,48,38.90
2010-10-22,37,38.85
2010-10-29,49,39.26
2010-11-05,38,39.18
2010-11-12,62,38.51
2010-11-19,40,37.52
2010-11-26,43,37.28
2010-12-03,50,37.45
2010-12-10,47,35.93
2010-12-17,46,35.61
2010-12-24,47,
2010-12-31,61,35.85
2011-01-07,57,35.95
2011-01-14,54,36.71
2011-01-21,62,36.50
2011-01-28,54,36.09
2011-02-04,48,37.40
2011-02-11,42,37.81
2011-02-18,60,38.80
2011-02-25,66,38.29
2011-03-04,65,38.71
2011-03-11,72,39.00
2011-03-18,53,38.89
2011-03-25,59,38.86
2011-04-01,50,40.13
2011-04-08,51,39.47
2011-04-15,82,39.60
2011-04-22,54,
2011-04-29,62,41.51
2011-05-06,65,41.42
2011-05-13,59,41.04
2011-05-20,68,40.67
2011-05-27,65,40.59
2011-06-03,62,40.07
2011-06-10,59,39.00
2011-06-17,73,39.44
2011-06-24,63,39.66
2011-07-01,60,41.50
2011-07-08,67,42.23
2011-07-15,55,41.37
2011-07-22,60,42.14
2011-07-29,68,40.80
2011-08-05,68,38.21
2011-08-12,56,38.23
2011-08-19,53,37.32
2011-08-26,60,40.51
2011-09-02,58,40.39
2011-09-09,54,39.87
2011-09-16,60,40.82
2011-09-23,51,39.70
2011-09-30,56,40.74
2011-10-07,54,40.44
2011-10-14,46,41.18
2011-10-21,49,41.66
2011-10-28,45,43.00
2011-11-04,60,41.36
2011-11-11,52,41.81
2011-11-18,55,41.01
2011-11-25,53,38.84
2011-12-02,46,40.42
2011-12-09,50,39.48
2011-12-16,68,41.01
2011-12-23,59,41.94
2011-12-30,75,42.26
2012-01-06,61,41.18
2012-01-13,59,41.23
2012-01-20,50,42.05
2012-01-27,60,41.91
2012-02-03,52,41.55
2012-02-10,63,41.56
2012-02-17,59,41.40
2012-02-24,68,40.37
2012-03-02,55,39.47
2012-03-09,66,39.38
2012-03-16,61,39.06
2012-03-23,67,38.76
2012-03-30,69,39.22
2012-04-06,60,
2012-04-13,66,37.84
2012-04-20,85,38.31
2012-04-27,57,39.25
2012-05-04,70,38.50
2012-05-11,61,38.57
2012-05-18,71,36.85
2012-05-25,71,37.27
2012-06-01,76,36.94
2012-06-08,77,38.15
2012-06-15,67,38.71
2012-06-22,70,38.23
2012-06-29,69,38.75
2012-07-06,74,38.94
2012-07-13,64,39.42
2012-07-20,65,39.90
2012-07-27,71,40.58
2012-08-03,75,40.76
2012-08-10,83,40.52
2012-08-17,68,39.84
2012-08-24,71,39.43
2012-08-31,71,39.65
2012-09-07,76,40.87
2012-09-14,62,41.21
2012-09-21,77,41.28
2012-09-28,63,40.91
2012-10-05,86,41.30
2012-10-12,69,40.13
2012-10-19,65,40.74
2012-10-26,75,40.28
2012-11-02,96,39.57
2012-11-09,82,38.36
2012-11-16,66,37.79
2012-11-23,64,37.55
2012-11-30,78,38.98
2012-12-07,66,39.58
2012-12-14,64,39.65
2012-12-21,65,40.36
2012-12-28,89,39.68
2013-01-04,79,41.13
2013-01-11,73,40.34
2013-01-18,60,41.16
2013-01-25,63,41.29
2013-02-01,60,42.28
2013-02-08,57,40.35
2013-02-15,71,39.74
2013-02-22,67,39.79
2013-03-01,64,40.18
2013-03-08,57,40.77
2013-03-15,67,41.15
2013-03-22,54,41.47
2013-03-29,79,
2013-04-05,67,41.71
2013-04-12,62,43.50
2013-04-19,73,43.45
2013-04-26,75,43.24
2013-05-03,64,43.89
2013-05-10,70,43.59
2013-05-17,72,44.18
2013-05-24,71,42.78
2013-05-31,77,42.33
2013-06-07,70,42.53
2013-06-14,73,42.98
2013-06-21,74,42.19
2013-06-28,76,42.86
2013-07-05,70,42.65
2013-07-12,82,44.72
2013-07-19,88,45.76
2013-07-26,91,46.14
2013-08-02,89,45.99
2013-08-09,84,45.91
2013-08-16,74,44.50
2013-08-23,84,45.33
2013-08-30,77,43.95
2013-09-06,86,43.85
2013-09-13,70,44.03
2013-09-20,67,45.79
2013-09-27,69,45.82
2013-10-04,63,45.12
2013-10-11,65,45.32
2013-10-18,73,46.44
2013-10-25,79,48.00
2013-11-01,65,47.92
2013-11-08,76,47.58
2013-11-15,73,47.48
2013-11-22,72,47.29
2013-11-29,83,46.54
2013-12-06,67,45.84
2013-12-13,76,45.59
2013-12-20,86,47.08
2013-12-27,93,47.23
2014-01-03,100,45.69
2014-01-10,88,47.05
2014-01-17,66,46.87
2014-01-24,76,47.14
2014-01-31,83,47.78
2014-02-07,79,46.01
2014-02-14,85,46.35
2014-02-21,71,46.79
2014-02-28,78,47.04
2014-03-07,88,47.04
2014-03-14,70,48.95
2014-03-21,71,47.74
2014-03-28,86,48.33
2014-04-04,78,49.13
2014-04-11,85,49.93
2014-04-18,82,
2014-04-25,87,52.47
2014-05-02,85,
