Date,LMT,Price
2004-01-09,20,
2004-01-16,26,
2004-01-23,30,
2004-01-30,29,
2004-02-06,24,49.39
2004-02-13,24,49.40
2004-02-20,31,48.50
2004-02-27,31,46.28
2004-03-05,39,45.05
2004-03-12,39,44.48
2004-03-19,39,44.10
2004-03-26,29,45.81
2004-04-02,34,46.69
2004-04-09,26,
2004-04-16,27,47.00
2004-04-23,29,46.21
2004-04-30,29,47.70
2004-05-07,26,48.57
2004-05-14,28,47.43
2004-05-21,23,46.86
2004-05-28,28,49.54
2004-06-04,38,49.30
2004-06-11,36,
2004-06-18,33,50.68
2004-06-25,29,51.97
2004-07-02,28,51.57
2004-07-09,30,53.99
2004-07-16,26,54.70
2004-07-23,38,53.22
2004-07-30,37,52.99
2004-08-06,40,52.76
2004-08-13,39,52.98
2004-08-20,34,54.26
2004-08-27,30,53.40
2004-09-03,35,54.71
2004-09-10,30,54.23
2004-09-17,36,54.67
2004-09-24,43,54.36
2004-10-01,42,56.32
2004-10-08,30,55.42
2004-10-15,50,53.85
2004-10-22,37,53.53
2004-10-29,35,55.09
2004-11-05,27,56.85
2004-11-12,38,58.56
2004-11-19,21,58.35
2004-11-26,34,59.54
2004-12-03,34,61.62
2004-12-10,45,59.45
2004-12-17,34,58.93
2004-12-24,42,
2004-12-31,36,55.55
2005-01-07,47,54.77
2005-01-14,43,56.00
2005-01-21,24,54.75
2005-01-28,42,56.38
2005-02-04,29,57.65
2005-02-11,25,59.69
2005-02-18,27,59.19
2005-02-25,35,59.81
2005-03-04,30,59.94
2005-03-11,35,59.49
2005-03-18,39,60.55
2005-03-25,26,
2005-04-01,30,61.16
2005-04-08,36,61.32
2005-04-15,30,59.31
2005-04-22,38,58.80
2005-04-29,44,60.95
2005-05-06,52,63.03
2005-05-13,45,64.02
2005-05-20,33,64.54
2005-05-27,35,65.40
2005-06-03,43,65.06
2005-06-10,38,65.15
2005-06-17,27,64.66
2005-06-24,34,63.51
2005-07-01,52,64.55
2005-07-08,39,62.50
2005-07-15,37,61.75
2005-07-22,39,62.00
2005-07-29,47,62.40
2005-08-05,30,62.83
2005-08-12,52,62.45
2005-08-19,54,62.46
2005-08-26,46,61.76
2005-09-02,40,61.58
2005-09-09,50,62.75
2005-09-16,49,62.38
2005-09-23,40,61.29
2005-09-30,33,61.04
2005-10-07,45,60.33
2005-10-14,36,60.72
2005-10-21,47,60.80
2005-10-28,46,61.32
2005-11-04,39,59.16
2005-11-11,33,59.39
2005-11-18,36,59.96
2005-11-25,35,60.65
2005-12-02,46,61.63
2005-12-09,40,62.92
2005-12-16,51,63.81
2005-12-23,49,63.56
2005-12-30,46,63.63
2006-01-06,34,65.47
2006-01-13,54,65.79
2006-01-20,52,64.88
2006-01-27,44,66.18
2006-02-03,43,68.92
2006-02-10,54,71.37
2006-02-17,52,72.84
2006-02-24,33,74.58
2006-03-03,48,73.50
2006-03-10,53,74.33
2006-03-17,45,75.95
2006-03-24,45,75.99
