Date,buy EA,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.63
2004-02-13,0,44.43
2004-02-20,0,45.68
2004-02-27,0,47.16
2004-03-05,0,47.53
2004-03-12,0,46.92
2004-03-19,0,48.80
2004-03-26,0,51.78
2004-04-02,0,54.18
2004-04-09,0,
2004-04-16,0,52.38
2004-04-23,0,52.86
2004-04-30,0,50.62
2004-05-07,0,51.88
2004-05-14,0,51.04
2004-05-21,0,48.72
2004-05-28,0,50.83
2004-06-04,0,51.51
2004-06-11,0,
2004-06-18,0,51.69
2004-06-25,0,53.25
2004-07-02,0,53.21
2004-07-09,0,53.77
2004-07-16,0,52.05
2004-07-23,0,49.83
2004-07-30,0,50.13
2004-08-06,0,47.08
2004-08-13,0,48.32
2004-08-20,0,50.01
2004-08-27,0,51.29
2004-09-03,0,48.25
2004-09-10,0,48.88
2004-09-17,0,48.25
2004-09-24,0,46.21
2004-10-01,0,46.44
2004-10-08,0,44.58
2004-10-15,0,45.43
2004-10-22,0,44.28
2004-10-29,0,44.92
2004-11-05,0,47.88
2004-11-12,0,47.59
2004-11-19,0,49.15
2004-11-26,0,47.76
2004-12-03,0,52.80
2004-12-10,0,54.19
2004-12-17,100,59.64
2004-12-24,91,
2004-12-31,0,61.68
2005-01-07,0,58.94
2005-01-14,0,59.84
2005-01-21,0,58.26
2005-01-28,0,61.91
2005-02-04,0,68.12
2005-02-11,0,63.22
2005-02-18,0,64.04
2005-02-25,0,64.98
2005-03-04,0,67.75
2005-03-11,0,67.68
2005-03-18,0,66.73
2005-03-25,0,
2005-04-01,0,51.92
2005-04-08,0,51.06
2005-04-15,0,50.25
2005-04-22,0,50.61
2005-04-29,0,53.39
2005-05-06,0,50.97
2005-05-13,0,52.34
2005-05-20,0,54.34
2005-05-27,0,52.05
2005-06-03,0,52.97
2005-06-10,0,53.50
2005-06-17,0,57.58
2005-06-24,0,57.93
2005-07-01,0,56.21
2005-07-08,0,57.92
2005-07-15,0,57.46
2005-07-22,0,60.86
2005-07-29,0,57.60
2005-08-05,0,59.00
2005-08-12,0,59.88
2005-08-19,0,59.56
2005-08-26,0,58.07
2005-09-02,0,57.42
2005-09-09,0,56.12
2005-09-16,0,60.59
2005-09-23,0,58.20
2005-09-30,0,56.89
2005-10-07,0,52.77
2005-10-14,0,54.06
2005-10-21,0,54.77
2005-10-28,0,56.72
2005-11-04,0,59.93
2005-11-11,0,59.41
2005-11-18,0,58.38
2005-11-25,0,59.13
2005-12-02,0,56.83
2005-12-09,54,55.14
2005-12-16,60,53.42
2005-12-23,67,53.37
2005-12-30,73,52.31
2006-01-06,0,56.56
2006-01-13,0,57.19
2006-01-20,0,54.92
2006-01-27,0,56.81
2006-02-03,0,53.14
2006-02-10,0,53.88
2006-02-17,0,52.01
2006-02-24,61,51.79
2006-03-03,45,52.21
2006-03-10,45,50.64
2006-03-17,54,52.58
2006-03-24,45,52.58
2006-03-31,0,54.72
2006-04-07,0,55.65
2006-04-14,0,
2006-04-21,0,55.75
2006-04-28,0,56.80
2006-05-05,0,47.85
2006-05-12,0,44.96
2006-05-19,0,42.52
2006-05-26,0,44.25
2006-06-02,0,42.41
2006-06-09,0,42.75
2006-06-16,0,42.30
2006-06-23,57,41.20
2006-06-30,46,43.04
2006-07-07,46,42.04
2006-07-14,46,45.31
2006-07-21,46,44.94
2006-07-28,41,46.82
2006-08-04,0,48.57
2006-08-11,0,49.88
2006-08-18,0,51.29
2006-08-25,0,49.30
2006-09-01,0,51.24
2006-09-08,0,52.51
2006-09-15,0,54.22
2006-09-22,0,56.92
2006-09-29,35,55.84
2006-10-06,36,54.56
2006-10-13,36,57.00
2006-10-20,37,56.03
2006-10-27,50,54.51
2006-11-03,39,59.24
2006-11-10,39,58.48
2006-11-17,39,58.65
2006-11-24,39,58.42
2006-12-01,37,55.23
2006-12-08,37,53.00
2006-12-15,44,53.85
2006-12-22,37,51.06
2006-12-29,44,50.36
2007-01-05,52,53.07
2007-01-12,35,51.76
2007-01-19,29,50.34
2007-01-26,31,48.22
2007-02-02,32,51.13
2007-02-09,34,49.48
2007-02-16,36,50.01
2007-02-23,37,53.19
2007-03-02,40,49.10
2007-03-09,44,50.83
2007-03-16,41,48.92
2007-03-23,33,50.13
2007-03-30,33,50.36
2007-04-06,33,
2007-04-13,34,53.44
2007-04-20,35,51.81
2007-04-27,27,51.99
2007-05-04,27,51.65
2007-05-11,25,50.07
2007-05-18,25,48.58
2007-05-25,25,47.87
2007-06-01,39,48.44
2007-06-08,24,49.13
2007-06-15,24,50.49
2007-06-22,30,48.57
2007-06-29,27,47.32
2007-07-06,45,50.90
2007-07-13,30,48.25
2007-07-20,58,51.87
2007-07-27,42,49.83
2007-08-03,30,50.04
2007-08-10,54,53.28
2007-08-17,32,52.47
2007-08-24,23,52.55
2007-08-31,54,52.94
2007-09-07,34,51.36
2007-09-14,46,54.76
2007-09-21,53,55.94
2007-09-28,48,55.99
2007-10-05,48,58.96
2007-10-12,41,61.40
2007-10-19,34,57.62
2007-10-26,26,58.08
2007-11-02,51,60.46
2007-11-09,38,55.73
2007-11-16,53,56.57
2007-11-23,37,54.29
2007-11-30,50,56.19
2007-12-07,42,54.05
2007-12-14,45,58.08
2007-12-21,53,58.93
2007-12-28,61,58.56
2008-01-04,62,54.51
2008-01-11,27,52.86
2008-01-18,21,49.42
2008-01-25,33,47.22
2008-02-01,20,48.62
2008-02-08,30,44.57
2008-02-15,24,48.72
2008-02-22,18,49.74
2008-02-29,54,47.29
2008-03-07,38,46.31
2008-03-14,41,46.91
2008-03-21,40,
2008-03-28,38,49.34
2008-04-04,41,51.94
2008-04-11,40,50.21
2008-04-18,30,52.01
2008-04-25,25,51.53
2008-05-02,36,53.17
2008-05-09,21,52.61
2008-05-16,26,49.60
2008-05-23,28,48.34
2008-05-30,31,50.20
2008-06-06,45,47.55
2008-06-13,37,46.99
2008-06-20,44,46.94
2008-06-27,43,43.94
2008-07-04,44,
2008-07-11,32,44.10
2008-07-18,25,48.46
2008-07-25,25,47.73
2008-08-01,23,42.90
2008-08-08,32,46.65
2008-08-15,35,48.24
2008-08-22,37,47.75
2008-08-29,37,48.81
2008-09-05,39,46.48
2008-09-12,75,44.99
2008-09-19,61,43.42
2008-09-26,41,39.63
2008-10-03,32,32.68
2008-10-10,26,27.99
2008-10-17,29,29.79
2008-10-24,36,24.77
2008-10-31,19,22.78
2008-11-07,31,23.56
2008-11-14,37,20.44
2008-11-21,40,18.87
2008-11-28,34,19.06
2008-12-05,38,19.98
2008-12-12,53,17.01
2008-12-19,40,17.39
2008-12-26,44,15.32
2009-01-02,59,17.44
2009-01-09,37,17.79
2009-01-16,27,17.53
2009-01-23,32,16.95
2009-01-30,27,15.44
2009-02-06,38,19.34
2009-02-13,32,16.93
2009-02-20,26,16.38
2009-02-27,22,16.31
2009-03-06,28,15.31
2009-03-13,24,17.76
2009-03-20,23,18.22
2009-03-27,43,18.69
2009-04-03,29,20.70
2009-04-10,31,
2009-04-17,34,18.62
2009-04-24,37,19.97
2009-05-01,20,20.00
2009-05-08,47,20.18
2009-05-15,43,21.03
2009-05-22,62,21.90
2009-05-29,56,22.99
2009-06-05,69,23.00
2009-06-12,44,21.93
2009-06-19,48,20.72
2009-06-26,50,20.90
2009-07-03,34,
2009-07-10,39,20.97
2009-07-17,47,20.93
2009-07-24,34,21.16
2009-07-31,42,21.47
2009-08-07,34,20.71
2009-08-14,42,21.29
2009-08-21,40,19.44
2009-08-28,38,18.76
2009-09-04,32,18.51
2009-09-11,26,18.18
2009-09-18,24,18.71
2009-09-25,55,19.46
2009-10-02,44,18.32
2009-10-09,34,20.41
2009-10-16,38,20.56
2009-10-23,35,19.71
2009-10-30,38,18.24
2009-11-06,23,19.00
2009-11-13,35,18.16
2009-11-20,34,17.30
2009-11-27,40,17.01
2009-12-04,39,16.20
2009-12-11,48,16.11
2009-12-18,39,16.72
2009-12-25,50,
2010-01-01,58,
2010-01-08,58,18.40
2010-01-15,46,17.03
2010-01-22,38,16.77
2010-01-29,39,16.28
2010-02-05,26,17.26
2010-02-12,33,16.06
2010-02-19,33,16.75
2010-02-26,34,16.58
2010-03-05,45,17.12
2010-03-12,36,17.77
2010-03-19,42,18.42
2010-03-26,26,18.85
2010-04-02,37,
2010-04-09,30,19.36
2010-04-16,24,19.57
2010-04-23,29,19.97
2010-04-30,30,19.37
2010-05-07,34,17.63
2010-05-14,32,17.42
2010-05-21,25,16.70
2010-05-28,28,16.51
2010-06-04,32,15.81
2010-06-11,26,16.32
2010-06-18,39,16.03
2010-06-25,31,15.14
2010-07-02,33,14.60
2010-07-09,44,14.84
2010-07-16,52,14.79
2010-07-23,38,15.88
2010-07-30,36,15.93
2010-08-06,35,17.07
2010-08-13,25,15.67
2010-08-20,35,15.79
2010-08-27,33,15.55
2010-09-03,31,16.46
2010-09-10,45,16.24
2010-09-17,31,16.26
2010-09-24,33,16.46
2010-10-01,40,16.44
2010-10-08,49,17.65
2010-10-15,33,15.96
2010-10-22,37,15.61
2010-10-29,46,15.83
2010-11-05,44,16.34
2010-11-12,41,15.83
2010-11-19,57,15.35
2010-11-26,63,14.82
2010-12-03,63,15.18
2010-12-10,64,15.82
2010-12-17,59,15.91
2010-12-24,74,
2010-12-31,97,16.38
2011-01-07,61,16.05
2011-01-14,48,15.95
2011-01-21,40,15.13
2011-01-28,45,15.00
2011-02-04,41,18.23
2011-02-11,41,18.21
2011-02-18,45,19.28
2011-02-25,28,19.18
2011-03-04,35,18.79
2011-03-11,36,18.54
2011-03-18,33,18.59
2011-03-25,38,19.70
2011-04-01,46,19.73
2011-04-08,34,19.86
2011-04-15,32,20.13
2011-04-22,41,
2011-04-29,24,20.18
2011-05-06,25,21.75
2011-05-13,36,23.70
2011-05-20,38,23.64
2011-05-27,27,23.90
2011-06-03,36,24.03
2011-06-10,32,22.81
2011-06-17,39,22.24
2011-06-24,34,21.77
2011-07-01,33,24.19
2011-07-08,33,25.05
2011-07-15,34,23.60
2011-07-22,39,23.93
2011-07-29,38,22.25
2011-08-05,35,20.00
2011-08-12,33,19.93
2011-08-19,49,19.31
2011-08-26,41,21.50
2011-09-02,43,21.99
2011-09-09,36,21.36
2011-09-16,41,23.01
2011-09-23,35,21.25
2011-09-30,49,20.45
2011-10-07,51,22.38
2011-10-14,37,24.54
2011-10-21,35,23.58
2011-10-28,91,24.10
2011-11-04,58,25.20
2011-11-11,43,23.90
2011-11-18,36,21.99
2011-11-25,43,20.83
2011-12-02,43,23.00
2011-12-09,33,21.99
2011-12-16,57,20.23
2011-12-23,66,20.71
2011-12-30,75,20.60
2012-01-06,36,19.67
2012-01-13,38,18.04
2012-01-20,33,17.93
2012-01-27,31,18.14
2012-02-03,31,19.24
2012-02-10,32,17.42
2012-02-17,36,17.47
2012-02-24,37,16.93
2012-03-02,34,16.78
2012-03-09,38,17.26
2012-03-16,35,17.46
2012-03-23,36,16.86
2012-03-30,41,16.49
2012-04-06,26,
2012-04-13,31,16.18
2012-04-20,27,14.93
2012-04-27,42,15.32
2012-05-04,39,15.12
2012-05-11,29,14.57
2012-05-18,29,14.10
2012-05-25,23,14.22
2012-06-01,32,13.12
2012-06-08,44,13.47
2012-06-15,32,12.44
2012-06-22,29,12.26
2012-06-29,36,12.35
2012-07-06,32,12.02
2012-07-13,30,11.71
2012-07-20,27,11.98
2012-07-27,28,11.41
2012-08-03,31,11.97
2012-08-10,36,13.08
2012-08-17,27,13.77
2012-08-24,30,13.33
2012-08-31,35,13.33
2012-09-07,34,14.04
2012-09-14,67,14.50
2012-09-21,62,13.24
2012-09-28,60,12.69
2012-10-05,38,12.95
2012-10-12,37,13.41
2012-10-19,34,13.08
2012-10-26,30,11.91
2012-11-02,33,12.99
2012-11-09,31,12.89
2012-11-16,28,13.05
2012-11-23,33,14.37
2012-11-30,35,14.81
2012-12-07,27,14.84
2012-12-14,26,15.30
2012-12-21,31,13.89
2012-12-28,47,13.92
2013-01-04,33,14.88
2013-01-11,35,14.24
2013-01-18,27,14.46
2013-01-25,35,14.77
2013-02-01,29,16.19
2013-02-08,25,17.37
2013-02-15,30,16.97
2013-02-22,29,17.81
2013-03-01,27,18.04
2013-03-08,44,18.58
2013-03-15,47,18.88
2013-03-22,40,17.97
2013-03-29,27,
2013-04-05,34,17.35
2013-04-12,33,17.58
2013-04-19,24,17.09
2013-04-26,18,17.88
2013-05-03,26,17.96
2013-05-10,19,22.48
2013-05-17,32,22.21
2013-05-24,31,22.77
2013-05-31,32,22.99
2013-06-07,29,23.61
2013-06-14,25,21.81
2013-06-21,29,21.98
2013-06-28,28,22.99
2013-07-05,27,23.83
2013-07-12,30,24.32
2013-07-19,25,24.27
2013-07-26,26,25.82
2013-08-02,25,26.57
2013-08-09,23,26.65
2013-08-16,25,26.89
2013-08-23,34,27.97
2013-08-30,34,26.64
2013-09-06,28,26.76
2013-09-13,25,26.67
2013-09-20,46,26.54
2013-09-27,42,25.95
2013-10-04,28,25.76
2013-10-11,32,24.72
2013-10-18,26,25.03
2013-10-25,21,24.75
2013-11-01,28,25.63
2013-11-08,28,25.70
2013-11-15,28,24.06
2013-11-22,25,23.14
2013-11-29,36,22.17
2013-12-06,34,22.24
2013-12-13,30,22.22
2013-12-20,27,23.54
2013-12-27,43,23.17
2014-01-03,41,22.68
2014-01-10,31,23.01
2014-01-17,29,24.10
2014-01-24,23,23.84
2014-01-31,25,26.40
2014-02-07,23,27.20
2014-02-14,28,27.58
2014-02-21,29,28.00
2014-02-28,24,28.59
2014-03-07,26,29.38
2014-03-14,19,29.60
2014-03-21,27,29.75
2014-03-28,32,28.53
2014-04-04,22,28.60
2014-04-11,24,26.67
2014-04-18,34,
2014-04-25,30,28.21
2014-05-02,38,
