Date,FE,Price
2004-01-09,54,
2004-01-16,56,
2004-01-23,59,
2004-01-30,55,
2004-02-06,60,36.40
2004-02-13,56,37.51
2004-02-20,61,37.92
2004-02-27,58,38.63
2004-03-05,58,38.87
2004-03-12,58,37.90
2004-03-19,53,38.65
2004-03-26,56,39.00
2004-04-02,60,39.11
2004-04-09,55,
2004-04-16,59,38.60
2004-04-23,57,39.25
2004-04-30,62,39.10
2004-05-07,56,37.60
2004-05-14,57,37.27
2004-05-21,59,37.02
2004-05-28,58,39.00
2004-06-04,59,39.30
2004-06-11,57,
2004-06-18,59,37.90
2004-06-25,62,37.40
2004-07-02,63,37.31
2004-07-09,56,37.94
2004-07-16,57,38.54
2004-07-23,61,38.01
2004-07-30,61,39.10
2004-08-06,67,39.90
2004-08-13,61,39.06
2004-08-20,58,39.53
2004-08-27,60,40.12
2004-09-03,62,41.45
2004-09-10,59,40.79
2004-09-17,57,41.67
2004-09-24,60,40.80
2004-10-01,59,41.04
2004-10-08,64,40.78
2004-10-15,61,41.67
2004-10-22,58,40.85
2004-10-29,59,41.33
2004-11-05,56,41.60
2004-11-12,55,43.15
2004-11-19,56,42.07
2004-11-26,54,42.98
2004-12-03,54,39.20
2004-12-10,54,38.89
2004-12-17,54,39.32
2004-12-24,51,
2004-12-31,57,39.51
2005-01-07,55,38.50
2005-01-14,58,39.12
2005-01-21,56,38.74
2005-01-28,56,39.40
2005-02-04,59,40.15
2005-02-11,58,41.07
2005-02-18,59,40.67
2005-02-25,58,41.12
2005-03-04,56,41.47
2005-03-11,60,40.59
2005-03-18,62,41.35
2005-03-25,58,
2005-04-01,62,41.97
2005-04-08,59,41.60
2005-04-15,63,41.23
2005-04-22,58,42.38
2005-04-29,62,43.52
2005-05-06,62,42.75
2005-05-13,61,43.72
2005-05-20,59,44.12
2005-05-27,61,44.30
2005-06-03,59,45.00
2005-06-10,60,44.98
2005-06-17,60,47.13
2005-06-24,63,47.57
2005-07-01,63,48.71
2005-07-08,59,49.02
2005-07-15,65,48.97
2005-07-22,60,49.64
2005-07-29,64,49.78
2005-08-05,67,49.51
2005-08-12,63,49.72
2005-08-19,60,49.06
2005-08-26,60,50.41
2005-09-02,60,51.90
2005-09-09,56,52.73
2005-09-16,60,52.67
2005-09-23,59,50.53
2005-09-30,59,52.12
2005-10-07,61,50.76
2005-10-14,58,48.30
2005-10-21,63,46.18
2005-10-28,60,46.94
2005-11-04,57,46.33
2005-11-11,56,46.45
2005-11-18,56,46.84
2005-11-25,54,47.10
2005-12-02,57,46.83
2005-12-09,57,47.92
2005-12-16,59,49.65
2005-12-23,55,49.58
2005-12-30,57,48.99
2006-01-06,59,51.06
2006-01-13,62,50.75
2006-01-20,60,50.82
2006-01-27,62,50.58
2006-02-03,59,48.39
2006-02-10,60,49.13
2006-02-17,61,49.90
2006-02-24,62,50.50
2006-03-03,63,51.04
2006-03-10,66,49.43
2006-03-17,64,51.74
2006-03-24,61,50.29
2006-03-31,64,48.90
2006-04-07,65,48.60
2006-04-14,62,
2006-04-21,67,50.32
2006-04-28,66,50.71
2006-05-05,63,51.88
2006-05-12,67,51.53
2006-05-19,65,52.31
2006-05-26,62,52.66
2006-06-02,63,52.85
2006-06-09,63,53.73
2006-06-16,64,52.88
2006-06-23,60,52.92
2006-06-30,61,54.21
2006-07-07,63,53.74
2006-07-14,62,53.88
2006-07-21,65,55.24
2006-07-28,66,56.05
2006-08-04,67,57.03
2006-08-11,67,56.20
2006-08-18,67,56.16
2006-08-25,65,56.49
2006-09-01,64,57.14
2006-09-08,63,55.78
2006-09-15,63,56.00
2006-09-22,61,55.05
2006-09-29,62,55.86
2006-10-06,64,57.12
2006-10-13,65,57.98
2006-10-20,63,58.81
2006-10-27,64,59.53
2006-11-03,64,57.88
2006-11-10,63,59.00
2006-11-17,60,58.64
2006-11-24,59,58.97
2006-12-01,62,60.53
2006-12-08,59,60.18
2006-12-15,61,60.85
2006-12-22,63,60.68
2006-12-29,65,60.30
2007-01-05,63,59.11
2007-01-12,61,57.99
2007-01-19,59,58.57
2007-01-26,61,58.90
2007-02-02,63,60.84
2007-02-09,62,63.15
2007-02-16,65,63.07
2007-02-23,65,63.51
2007-03-02,63,61.65
2007-03-09,66,62.27
2007-03-16,66,63.11
2007-03-23,62,66.05
2007-03-30,67,66.24
2007-04-06,68,
2007-04-13,71,66.99
2007-04-20,68,68.85
2007-04-27,67,69.88
2007-05-04,67,69.83
2007-05-11,64,70.83
2007-05-18,67,71.18
2007-05-25,66,68.54
2007-06-01,66,69.34
2007-06-08,68,65.53
2007-06-15,65,66.90
2007-06-22,65,63.57
2007-06-29,72,64.73
2007-07-06,72,65.58
2007-07-13,65,67.45
2007-07-20,67,66.64
2007-07-27,69,60.44
2007-08-03,67,59.89
2007-08-10,68,60.28
2007-08-17,67,62.75
2007-08-24,65,63.33
2007-08-31,68,61.44
2007-09-07,68,61.60
2007-09-14,64,62.70
2007-09-21,63,64.71
2007-09-28,65,63.34
2007-10-05,63,66.89
2007-10-12,66,68.39
2007-10-19,62,65.51
2007-10-26,73,68.35
2007-11-02,64,69.15
2007-11-09,62,67.53
2007-11-16,63,67.66
2007-11-23,68,67.87
2007-11-30,71,68.56
2007-12-07,71,73.93
2007-12-14,63,72.43
2007-12-21,62,74.76
2007-12-28,63,73.47
2008-01-04,60,74.32
2008-01-11,66,76.87
2008-01-18,64,71.73
2008-01-25,65,68.55
2008-02-01,66,72.39
2008-02-08,67,69.97
2008-02-15,66,71.38
2008-02-22,66,70.40
2008-02-29,68,67.59
2008-03-07,66,68.42
2008-03-14,65,67.73
2008-03-21,64,
2008-03-28,65,67.88
2008-04-04,65,72.21
2008-04-11,69,74.96
2008-04-18,65,75.77
2008-04-25,69,76.90
2008-05-02,66,79.02
2008-05-09,67,75.99
2008-05-16,66,76.82
2008-05-23,67,77.76
2008-05-30,66,78.71
2008-06-06,66,76.83
