Date,GWW,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,48.65
2004-02-13,0,48.37
2004-02-20,0,47.96
2004-02-27,0,47.25
2004-03-05,0,47.50
2004-03-12,0,46.67
2004-03-19,0,46.55
2004-03-26,0,46.46
2004-04-02,0,48.57
2004-04-09,0,
2004-04-16,0,54.22
2004-04-23,0,54.77
2004-04-30,0,52.40
2004-05-07,0,51.70
2004-05-14,0,52.66
2004-05-21,0,52.36
2004-05-28,0,54.45
2004-06-04,0,53.59
2004-06-11,0,
2004-06-18,0,55.40
2004-06-25,0,56.20
2004-07-02,0,55.88
2004-07-09,0,55.67
2004-07-16,0,57.22
2004-07-23,0,53.33
2004-07-30,0,52.95
2004-08-06,0,50.65
2004-08-13,0,50.88
2004-08-20,0,53.09
2004-08-27,0,53.80
2004-09-03,0,53.21
2004-09-10,0,53.67
2004-09-17,0,56.17
2004-09-24,0,55.20
2004-10-01,0,57.97
2004-10-08,62,58.33
2004-10-15,0,57.77
2004-10-22,0,57.54
2004-10-29,0,58.59
2004-11-05,0,59.60
2004-11-12,0,60.06
2004-11-19,0,60.42
2004-11-26,0,61.88
2004-12-03,0,61.75
2004-12-10,73,60.81
2004-12-17,43,63.99
2004-12-24,43,
2004-12-31,43,66.62
2005-01-07,43,62.02
2005-01-14,40,62.70
2005-01-21,41,60.81
2005-01-28,42,60.18
2005-02-04,43,63.73
2005-02-11,44,63.41
2005-02-18,45,61.38
2005-02-25,46,63.20
2005-03-04,47,64.71
2005-03-11,48,66.02
2005-03-18,0,64.35
2005-03-25,0,
2005-04-01,0,62.62
2005-04-08,0,61.92
2005-04-15,0,55.25
2005-04-22,41,54.20
2005-04-29,36,55.29
2005-05-06,0,56.34
2005-05-13,0,53.84
2005-05-20,0,54.07
2005-05-27,0,54.77
2005-06-03,0,54.57
2005-06-10,0,54.50
2005-06-17,0,56.06
2005-06-24,0,54.57
2005-07-01,0,55.39
2005-07-08,0,55.70
2005-07-15,0,61.56
2005-07-22,0,62.43
2005-07-29,39,62.32
2005-08-05,47,62.00
2005-08-12,40,63.66
2005-08-19,40,62.32
2005-08-26,40,62.43
2005-09-02,40,64.22
2005-09-09,39,64.63
2005-09-16,41,64.63
2005-09-23,32,62.34
2005-09-30,44,62.92
2005-10-07,55,61.94
2005-10-14,67,63.86
2005-10-21,32,64.76
2005-10-28,32,66.11
2005-11-04,33,67.15
2005-11-11,34,68.88
2005-11-18,32,70.95
2005-11-25,32,70.20
2005-12-02,36,71.92
2005-12-09,30,70.35
2005-12-16,31,70.49
2005-12-23,32,71.97
2005-12-30,33,71.10
2006-01-06,34,74.57
2006-01-13,34,75.02
2006-01-20,33,72.62
2006-01-27,36,71.55
2006-02-03,43,71.12
2006-02-10,30,72.33
2006-02-17,27,72.28
2006-02-24,30,73.96
2006-03-03,34,73.69
2006-03-10,33,72.30
2006-03-17,32,75.07
2006-03-24,32,75.25
2006-03-31,32,75.35
2006-04-07,30,75.40
2006-04-14,40,
2006-04-21,34,78.35
2006-04-28,23,76.92
2006-05-05,41,79.73
2006-05-12,31,76.09
2006-05-19,31,73.65
2006-05-26,31,72.15
2006-06-02,31,73.60
2006-06-09,32,70.80
2006-06-16,35,71.21
2006-06-23,25,71.25
2006-06-30,33,75.23
2006-07-07,39,75.07
2006-07-14,28,73.00
2006-07-21,33,62.60
2006-07-28,28,62.08
2006-08-04,46,63.30
2006-08-11,29,61.09
2006-08-18,35,63.47
2006-08-25,42,64.08
2006-09-01,36,66.88
2006-09-08,27,64.91
2006-09-15,33,68.49
2006-09-22,28,68.32
2006-09-29,28,67.02
2006-10-06,42,68.62
2006-10-13,43,70.52
2006-10-20,42,71.63
2006-10-27,36,72.84
2006-11-03,38,71.27
2006-11-10,31,70.50
2006-11-17,22,73.70
2006-11-24,26,73.30
2006-12-01,30,71.90
2006-12-08,28,74.12
2006-12-15,25,71.00
2006-12-22,27,70.00
2006-12-29,22,69.94
2007-01-05,22,69.34
2007-01-12,22,71.76
2007-01-19,36,71.32
2007-01-26,42,72.73
2007-02-02,28,77.50
2007-02-09,38,78.17
2007-02-16,27,78.73
2007-02-23,31,79.98
2007-03-02,29,75.76
2007-03-09,24,76.58
2007-03-16,25,75.26
2007-03-23,29,78.71
2007-03-30,28,77.24
2007-04-06,44,
2007-04-13,41,79.53
2007-04-20,53,82.98
2007-04-27,37,83.85
2007-05-04,34,84.08
2007-05-11,33,84.58
2007-05-18,24,84.78
2007-05-25,28,85.64
2007-06-01,31,88.70
2007-06-08,33,85.95
2007-06-15,46,89.73
2007-06-22,37,91.94
2007-06-29,52,93.05
2007-07-06,35,94.21
2007-07-13,52,98.45
2007-07-20,40,93.20
2007-07-27,34,86.86
2007-08-03,37,85.60
2007-08-10,34,86.38
2007-08-17,41,84.65
2007-08-24,39,90.66
2007-08-31,53,91.61
2007-09-07,39,88.10
2007-09-14,48,87.33
2007-09-21,47,91.10
2007-09-28,30,91.19
2007-10-05,33,94.35
2007-10-12,41,94.22
2007-10-19,44,89.16
2007-10-26,40,89.05
2007-11-02,45,88.18
2007-11-09,50,85.29
2007-11-16,43,88.39
2007-11-23,47,86.84
2007-11-30,59,88.30
2007-12-07,40,91.29
2007-12-14,38,90.48
2007-12-21,53,89.26
2007-12-28,38,88.54
2008-01-04,81,82.54
2008-01-11,56,76.87
2008-01-18,57,71.87
2008-01-25,72,77.58
2008-02-01,69,80.35
2008-02-08,63,76.65
2008-02-15,75,75.12
2008-02-22,85,74.77
2008-02-29,52,73.66
2008-03-07,58,72.52
2008-03-14,75,72.86
2008-03-21,85,
2008-03-28,62,76.46
2008-04-04,71,80.95
2008-04-11,68,80.00
2008-04-18,74,87.50
2008-04-25,71,85.97
2008-05-02,77,87.30
2008-05-09,67,85.87
2008-05-16,67,91.76
2008-05-23,76,88.74
2008-05-30,71,91.26
2008-06-06,84,89.22
2008-06-13,71,89.73
2008-06-20,81,86.80
2008-06-27,98,81.44
2008-07-04,80,
2008-07-11,70,83.14
2008-07-18,69,88.87
2008-07-25,72,88.00
2008-08-01,76,88.45
2008-08-08,91,89.73
2008-08-15,84,93.10
2008-08-22,89,91.19
2008-08-29,85,90.03
2008-09-05,62,87.31
2008-09-12,74,90.05
2008-09-19,80,92.33
2008-09-26,69,89.06
2008-10-03,63,77.31
2008-10-10,72,73.87
2008-10-17,85,78.36
2008-10-24,67,68.16
2008-10-31,74,78.57
2008-11-07,68,72.18
2008-11-14,87,65.06
2008-11-21,80,64.53
2008-11-28,78,70.57
2008-12-05,83,69.31
2008-12-12,82,68.74
2008-12-19,84,73.45
2008-12-26,78,75.56
2009-01-02,85,80.59
2009-01-09,84,76.53
2009-01-16,82,76.52
2009-01-23,87,71.82
2009-01-30,92,72.95
2009-02-06,100,75.23
2009-02-13,88,74.17
2009-02-20,88,68.74
2009-02-27,83,66.16
2009-03-06,71,61.45
2009-03-13,80,65.85
2009-03-20,76,66.71
2009-03-27,65,71.69
2009-04-03,74,75.24
2009-04-10,65,
2009-04-17,75,79.44
2009-04-24,70,82.09
2009-05-01,79,82.79
2009-05-08,82,80.79
2009-05-15,82,77.71
2009-05-22,76,75.72
2009-05-29,69,78.83
2009-06-05,65,82.99
2009-06-12,81,83.81
2009-06-19,63,80.90
2009-06-26,82,82.79
2009-07-03,95,
2009-07-10,95,78.52
2009-07-17,89,84.56
2009-07-24,88,89.08
2009-07-31,75,89.91
2009-08-07,84,90.98
2009-08-14,84,86.71
2009-08-21,79,89.82
2009-08-28,77,88.25
2009-09-04,81,88.82
2009-09-11,72,88.64
2009-09-18,74,90.91
2009-09-25,73,87.37
2009-10-02,67,85.69
2009-10-09,57,90.74
2009-10-16,65,94.94
2009-10-23,67,96.96
2009-10-30,60,93.73
2009-11-06,66,96.76
2009-11-13,57,99.49
2009-11-20,68,97.16
2009-11-27,59,97.46
2009-12-04,50,98.99
2009-12-11,58,97.82
2009-12-18,56,96.74
2009-12-25,68,
2010-01-01,67,
2010-01-08,66,99.73
2010-01-15,58,100.04
2010-01-22,48,98.89
2010-01-29,54,99.28
2010-02-05,53,99.33
2010-02-12,58,100.85
2010-02-19,47,104.14
2010-02-26,49,101.65
2010-03-05,62,106.89
2010-03-12,46,107.83
2010-03-19,45,107.56
2010-03-26,47,109.05
2010-04-02,47,
2010-04-09,56,114.77
2010-04-16,53,104.93
2010-04-23,49,110.92
2010-04-30,52,110.54
2010-05-07,58,104.94
2010-05-14,50,107.67
2010-05-21,50,102.77
2010-05-28,45,101.75
2010-06-04,59,99.19
2010-06-11,52,104.26
2010-06-18,55,108.26
2010-06-25,66,103.38
2010-07-02,52,98.17
2010-07-09,60,102.99
2010-07-16,62,104.98
2010-07-23,57,109.61
2010-07-30,54,112.01
2010-08-06,59,114.03
2010-08-13,57,109.66
2010-08-20,57,107.68
2010-08-27,57,107.72
2010-09-03,63,111.43
2010-09-10,49,114.73
2010-09-17,60,118.74
2010-09-24,52,120.74
2010-10-01,49,119.13
2010-10-08,58,123.00
2010-10-15,65,121.32
2010-10-22,67,122.61
2010-10-29,60,124.03
2010-11-05,59,128.19
2010-11-12,50,125.50
2010-11-19,58,125.78
2010-11-26,49,125.75
2010-12-03,57,131.59
2010-12-10,58,133.67
2010-12-17,57,136.19
2010-12-24,60,
2010-12-31,48,138.11
2011-01-07,52,132.60
2011-01-14,48,135.90
2011-01-21,53,135.31
2011-01-28,50,130.21
2011-02-04,57,133.45
2011-02-11,52,135.73
2011-02-18,60,135.66
2011-02-25,60,131.72
2011-03-04,64,136.43
2011-03-11,64,136.48
2011-03-18,64,135.53
2011-03-25,64,135.91
2011-04-01,66,140.88
2011-04-08,53,143.17
2011-04-15,51,142.86
2011-04-22,55,
2011-04-29,56,151.60
2011-05-06,52,147.91
2011-05-13,49,151.00
2011-05-20,52,150.83
2011-05-27,52,149.41
2011-06-03,58,143.57
2011-06-10,50,141.90
2011-06-17,57,144.54
2011-06-24,50,147.37
2011-07-01,70,158.21
2011-07-08,56,160.75
2011-07-15,57,157.62
2011-07-22,60,155.45
2011-07-29,50,148.37
2011-08-05,53,138.50
2011-08-12,57,135.84
2011-08-19,60,130.34
2011-08-26,60,143.05
2011-09-02,50,148.40
2011-09-09,54,149.22
2011-09-16,52,159.89
2011-09-23,53,154.27
2011-09-30,42,149.54
2011-10-07,45,149.99
2011-10-14,52,157.91
2011-10-21,52,167.64
2011-10-28,52,174.01
2011-11-04,55,178.33
2011-11-11,58,179.40
2011-11-18,41,176.34
2011-11-25,45,170.31
2011-12-02,49,186.20
2011-12-09,48,186.52
2011-12-16,46,178.99
2011-12-23,47,189.34
2011-12-30,37,187.19
2012-01-06,33,190.34
2012-01-13,48,196.70
2012-01-20,52,200.65
2012-01-27,49,193.18
2012-02-03,53,203.06
2012-02-10,52,200.16
2012-02-17,52,208.88
2012-02-24,50,207.29
2012-03-02,42,208.10
2012-03-09,40,211.77
2012-03-16,48,214.09
2012-03-23,50,214.72
2012-03-30,38,214.81
2012-04-06,50,
2012-04-13,44,213.18
2012-04-20,47,219.90
2012-04-27,50,212.83
2012-05-04,47,201.75
2012-05-11,48,194.57
2012-05-18,46,186.23
2012-05-25,44,193.90
2012-06-01,42,188.25
2012-06-08,38,189.98
2012-06-15,36,180.52
2012-06-22,50,186.81
2012-06-29,43,191.24
2012-07-06,39,187.77
2012-07-13,39,189.76
2012-07-20,39,204.80
2012-07-27,38,207.76
2012-08-03,39,205.29
2012-08-10,34,200.74
2012-08-17,38,207.28
2012-08-24,47,204.99
2012-08-31,38,205.96
2012-09-07,39,203.74
2012-09-14,31,206.01
2012-09-21,33,203.03
2012-09-28,32,208.37
2012-10-05,31,215.49
2012-10-12,28,214.63
2012-10-19,34,205.80
2012-10-26,34,197.48
2012-11-02,30,201.06
2012-11-09,31,194.61
2012-11-16,36,187.83
2012-11-23,32,191.51
2012-11-30,30,194.02
2012-12-07,21,191.09
2012-12-14,28,190.26
2012-12-21,26,200.00
2012-12-28,25,198.20
2013-01-04,26,208.42
2013-01-11,30,204.63
2013-01-18,39,210.23
2013-01-25,31,217.09
2013-02-01,35,219.62
2013-02-08,33,216.71
2013-02-15,28,229.48
2013-02-22,34,224.86
2013-03-01,31,227.43
2013-03-08,31,231.00
2013-03-15,29,225.06
2013-03-22,26,224.68
2013-03-29,28,
2013-04-05,25,222.01
2013-04-12,30,228.00
2013-04-19,35,243.05
2013-04-26,25,245.24
2013-05-03,26,248.68
2013-05-10,26,256.55
2013-05-17,32,263.35
2013-05-24,27,257.78
2013-05-31,28,257.44
2013-06-07,33,260.61
2013-06-14,31,254.38
2013-06-21,30,251.23
2013-06-28,24,252.18
2013-07-05,22,256.10
2013-07-12,23,265.25
2013-07-19,24,262.52
2013-07-26,25,256.65
2013-08-02,24,267.95
2013-08-09,26,259.83
2013-08-16,27,253.41
2013-08-23,26,254.03
2013-08-30,29,247.35
2013-09-06,26,258.28
2013-09-13,26,267.29
2013-09-20,25,270.15
2013-09-27,24,263.92
2013-10-04,26,264.88
2013-10-11,26,257.90
2013-10-18,32,264.30
2013-10-25,32,267.40
2013-11-01,29,270.06
2013-11-08,33,268.11
2013-11-15,23,260.75
2013-11-22,26,256.39
2013-11-29,23,257.92
2013-12-06,25,257.78
2013-12-13,26,251.55
2013-12-20,28,248.34
2013-12-27,15,255.45
2014-01-03,21,252.84
2014-01-10,27,263.71
2014-01-17,30,264.10
2014-01-24,23,241.85
2014-01-31,29,234.48
2014-02-07,32,234.00
2014-02-14,28,245.67
2014-02-21,28,249.24
2014-02-28,25,255.02
2014-03-07,28,256.95
2014-03-14,29,247.03
2014-03-21,26,251.97
2014-03-28,26,249.45
2014-04-04,24,254.59
2014-04-11,23,250.23
2014-04-18,26,
2014-04-25,25,249.33
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
