Date,AA,Price
2004-01-09,47,
2004-01-16,51,
2004-01-23,48,
2004-01-30,55,
2004-02-06,48,35.07
2004-02-13,48,37.01
2004-02-20,53,36.83
2004-02-27,53,37.47
2004-03-05,50,37.17
2004-03-12,54,35.12
2004-03-19,53,34.86
2004-03-26,49,34.64
2004-04-02,53,35.90
2004-04-09,55,
2004-04-16,57,33.99
2004-04-23,57,32.71
2004-04-30,56,30.75
2004-05-07,52,29.14
2004-05-14,57,29.78
2004-05-21,57,29.48
2004-05-28,63,31.30
2004-06-04,61,30.62
2004-06-11,62,
2004-06-18,60,32.53
2004-06-25,66,33.49
2004-07-02,68,32.18
2004-07-09,71,32.42
2004-07-16,69,32.95
2004-07-23,71,30.64
2004-07-30,70,32.03
2004-08-06,70,29.95
2004-08-13,70,29.63
2004-08-20,72,32.26
2004-08-27,67,32.85
2004-09-03,63,32.85
2004-09-10,66,30.75
2004-09-17,61,30.65
2004-09-24,63,31.23
2004-10-01,62,34.01
2004-10-08,63,33.40
2004-10-15,64,32.57
2004-10-22,63,31.66
2004-10-29,59,32.50
2004-11-05,60,33.34
2004-11-12,60,34.27
2004-11-19,62,33.61
2004-11-26,65,34.64
2004-12-03,58,32.86
2004-12-10,54,32.10
2004-12-17,54,30.75
2004-12-24,56,
2004-12-31,50,31.41
2005-01-07,57,30.69
2005-01-14,64,29.90
2005-01-21,60,28.93
2005-01-28,60,28.97
2005-02-04,61,29.37
2005-02-11,63,29.85
2005-02-18,62,31.10
2005-02-25,67,31.63
2005-03-04,68,31.80
2005-03-11,65,31.00
2005-03-18,64,31.68
2005-03-25,69,
2005-04-01,61,30.27
2005-04-08,65,31.61
2005-04-15,65,29.30
2005-04-22,67,29.20
2005-04-29,69,29.02
2005-05-06,68,29.32
2005-05-13,69,26.70
2005-05-20,71,27.45
2005-05-27,76,27.47
2005-06-03,71,27.32
2005-06-10,74,27.10
2005-06-17,75,28.25
2005-06-24,79,26.46
2005-07-01,87,26.14
2005-07-08,91,27.20
2005-07-15,84,27.50
2005-07-22,87,28.61
2005-07-29,87,28.05
2005-08-05,86,27.74
2005-08-12,83,29.72
2005-08-19,85,28.10
2005-08-26,83,27.29
2005-09-02,77,26.92
2005-09-09,82,26.84
2005-09-16,74,26.68
2005-09-23,78,24.42
2005-09-30,74,24.42
2005-10-07,77,23.04
2005-10-14,75,22.97
2005-10-21,74,23.35
2005-10-28,74,24.02
2005-11-04,71,25.17
2005-11-11,68,26.68
2005-11-18,69,26.40
2005-11-25,73,27.33
2005-12-02,70,28.10
2005-12-09,69,28.15
2005-12-16,67,28.23
2005-12-23,62,29.45
2005-12-30,65,29.57
2006-01-06,63,30.21
2006-01-13,72,28.95
2006-01-20,72,28.80
2006-01-27,74,31.30
2006-02-03,76,30.58
2006-02-10,74,30.86
2006-02-17,74,30.38
2006-02-24,76,30.16
2006-03-03,77,30.40
2006-03-10,75,29.23
2006-03-17,78,30.11
2006-03-24,74,29.83
2006-03-31,76,30.56
2006-04-07,81,32.50
2006-04-14,82,
2006-04-21,77,35.39
2006-04-28,81,33.78
2006-05-05,79,35.10
2006-05-12,79,34.81
2006-05-19,82,31.98
2006-05-26,84,32.30
2006-06-02,81,32.57
2006-06-09,81,30.18
2006-06-16,88,30.09
2006-06-23,88,30.18
2006-06-30,88,32.36
2006-07-07,94,33.55
2006-07-14,94,30.79
2006-07-21,97,29.56
2006-07-28,99,29.73
2006-08-04,97,29.57
2006-08-11,98,28.27
2006-08-18,96,28.43
2006-08-25,94,28.93
2006-09-01,87,29.01
2006-09-08,88,28.68
2006-09-15,90,28.13
2006-09-22,87,27.49
2006-09-29,85,28.04
2006-10-06,84,27.74
2006-10-13,82,26.64
2006-10-20,86,27.46
2006-10-27,83,28.30
2006-11-03,80,28.49
2006-11-10,79,28.51
2006-11-17,78,28.27
2006-11-24,78,30.71
2006-12-01,79,30.87
2006-12-08,77,31.11
2006-12-15,73,31.04
2006-12-22,74,29.24
2006-12-29,63,30.01
2007-01-05,73,28.76
2007-01-12,74,30.79
2007-01-19,86,31.40
2007-01-26,78,32.07
2007-02-02,79,32.44
2007-02-09,78,32.52
2007-02-16,79,34.78
2007-02-23,85,35.08
2007-03-02,80,32.70
2007-03-09,80,33.20
2007-03-16,79,33.48
2007-03-23,78,34.19
2007-03-30,82,33.90
2007-04-06,82,
2007-04-13,79,35.12
2007-04-20,80,34.37
2007-04-27,83,35.99
2007-05-04,85,35.66
2007-05-11,77,38.03
