Date,Fidelity National Information Services,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.19
2004-02-13,0,34.00
2004-02-20,0,32.88
2004-02-27,0,34.17
2004-03-05,0,34.50
2004-03-12,0,33.85
2004-03-19,0,33.44
2004-03-26,0,33.27
2004-04-02,0,35.90
2004-04-09,0,
2004-04-16,0,35.09
2004-04-23,0,34.77
2004-04-30,0,35.78
2004-05-07,0,35.30
2004-05-14,0,36.36
2004-05-21,0,36.93
2004-05-28,0,37.73
2004-06-04,0,38.00
2004-06-11,0,
2004-06-18,0,37.78
2004-06-25,0,39.48
2004-07-02,0,39.36
2004-07-09,0,38.42
2004-07-16,0,37.91
2004-07-23,0,37.08
2004-07-30,0,37.91
2004-08-06,0,36.35
2004-08-13,0,36.75
2004-08-20,0,38.28
2004-08-27,0,38.36
2004-09-03,0,38.99
2004-09-10,0,38.98
2004-09-17,0,38.86
2004-09-24,0,38.44
2004-10-01,0,38.03
2004-10-08,0,36.60
2004-10-15,0,36.18
2004-10-22,0,35.01
2004-10-29,0,35.35
2004-11-05,0,35.57
2004-11-12,0,34.67
2004-11-19,0,35.26
2004-11-26,0,34.88
2004-12-03,0,33.75
2004-12-10,0,33.00
2004-12-17,0,34.80
2004-12-24,0,
2004-12-31,0,35.53
2005-01-07,0,35.11
2005-01-14,0,35.06
2005-01-21,0,34.91
2005-01-28,0,34.25
2005-02-04,0,35.24
2005-02-11,0,35.14
2005-02-18,0,34.58
2005-02-25,0,35.32
2005-03-04,0,35.70
2005-03-11,0,36.15
2005-03-18,0,35.24
2005-03-25,0,
2005-04-01,0,34.19
2005-04-08,0,33.40
2005-04-15,0,32.78
2005-04-22,0,34.15
2005-04-29,0,36.43
2005-05-06,0,35.79
2005-05-13,0,35.94
2005-05-20,0,37.10
2005-05-27,0,37.60
2005-06-03,0,36.83
2005-06-10,0,38.08
2005-06-17,0,38.78
2005-06-24,0,37.46
2005-07-01,0,38.59
2005-07-08,0,38.57
2005-07-15,0,38.00
2005-07-22,0,36.51
2005-07-29,0,34.62
2005-08-05,0,33.80
2005-08-12,0,33.77
2005-08-19,0,33.28
2005-08-26,0,34.97
2005-09-02,0,33.92
2005-09-09,0,33.80
2005-09-16,0,39.93
2005-09-23,0,40.12
2005-09-30,0,40.02
2005-10-07,0,39.10
2005-10-14,0,37.97
2005-10-21,0,37.39
2005-10-28,0,36.90
2005-11-04,0,38.37
2005-11-11,0,39.00
2005-11-18,0,41.29
2005-11-25,0,40.47
2005-12-02,0,40.77
2005-12-09,0,40.02
2005-12-16,0,39.94
2005-12-23,0,40.68
2005-12-30,0,40.56
2006-01-06,0,42.47
2006-01-13,0,43.27
2006-01-20,0,43.15
2006-01-27,0,43.77
2006-02-03,0,38.95
2006-02-10,0,37.22
2006-02-17,0,39.23
2006-02-24,0,38.60
2006-03-03,0,40.16
2006-03-10,0,39.80
2006-03-17,0,40.11
2006-03-24,0,40.06
2006-03-31,0,40.55
2006-04-07,0,39.10
2006-04-14,0,
2006-04-21,0,39.07
2006-04-28,0,38.00
2006-05-05,0,38.80
2006-05-12,0,37.17
2006-05-19,0,37.14
2006-05-26,0,37.46
2006-06-02,0,37.70
2006-06-09,0,36.50
2006-06-16,0,37.35
2006-06-23,0,35.95
2006-06-30,0,35.40
2006-07-07,0,35.25
2006-07-14,0,33.74
2006-07-21,0,34.55
2006-07-28,0,36.18
2006-08-04,0,35.84
2006-08-11,0,35.33
2006-08-18,0,36.74
2006-08-25,0,35.35
2006-09-01,0,37.14
2006-09-08,0,37.50
2006-09-15,0,36.60
2006-09-22,0,36.70
2006-09-29,0,37.00
2006-10-06,0,37.86
2006-10-13,0,39.21
2006-10-20,0,39.40
2006-10-27,0,40.83
2006-11-03,0,41.59
2006-11-10,0,41.32
2006-11-17,0,41.88
2006-11-24,0,41.22
2006-12-01,0,39.74
2006-12-08,0,40.35
2006-12-15,0,40.85
2006-12-22,0,40.25
2006-12-29,0,40.09
2007-01-05,0,40.34
2007-01-12,0,41.29
2007-01-19,0,41.60
2007-01-26,0,42.00
2007-02-02,0,43.03
2007-02-09,0,45.40
2007-02-16,34,47.55
2007-02-23,0,47.04
2007-03-02,0,45.36
2007-03-09,0,45.30
2007-03-16,0,43.58
2007-03-23,0,43.89
2007-03-30,0,45.46
2007-04-06,0,
2007-04-13,0,47.81
2007-04-20,0,48.85
2007-04-27,0,51.13
2007-05-04,0,50.89
2007-05-11,0,50.60
2007-05-18,0,50.88
2007-05-25,0,50.13
2007-06-01,0,53.91
2007-06-08,0,52.24
2007-06-15,0,54.01
2007-06-22,0,53.80
2007-06-29,49,54.28
2007-07-06,95,56.30
2007-07-13,50,56.94
2007-07-20,36,56.24
2007-07-27,29,50.51
2007-08-03,29,49.38
2007-08-10,29,49.55
2007-08-17,29,48.06
2007-08-24,30,48.21
2007-08-31,30,47.40
2007-09-07,31,44.92
2007-09-14,31,46.29
2007-09-21,31,45.12
2007-09-28,25,44.37
2007-10-05,31,46.19
2007-10-12,27,47.86
2007-10-19,27,46.75
2007-10-26,0,45.55
2007-11-02,0,43.68
2007-11-09,0,41.78
2007-11-16,0,42.97
2007-11-23,0,42.89
2007-11-30,26,43.22
2007-12-07,25,44.90
2007-12-14,25,43.51
2007-12-21,25,42.27
2007-12-28,25,42.01
2008-01-04,25,39.87
2008-01-11,25,37.21
2008-01-18,26,38.45
2008-01-25,26,40.17
2008-02-01,31,43.48
2008-02-08,24,41.59
2008-02-15,24,42.04
2008-02-22,28,41.52
2008-02-29,30,41.49
2008-03-07,21,39.00
2008-03-14,31,37.67
2008-03-21,25,
2008-03-28,30,37.85
2008-04-04,40,38.15
2008-04-11,41,35.23
2008-04-18,32,38.07
2008-04-25,32,36.38
2008-05-02,24,37.49
2008-05-09,23,37.00
2008-05-16,20,39.22
2008-05-23,20,38.12
2008-05-30,25,40.28
2008-06-06,29,40.11
2008-06-13,33,39.99
2008-06-20,37,38.50
2008-06-27,23,36.97
2008-07-04,35,
2008-07-11,35,20.80
2008-07-18,36,20.84
2008-07-25,34,19.56
2008-08-01,29,19.13
2008-08-08,25,23.21
2008-08-15,23,23.09
2008-08-22,23,22.33
2008-08-29,26,21.85
2008-09-05,21,20.86
2008-09-12,28,21.83
2008-09-19,26,20.36
2008-09-26,30,19.74
2008-10-03,43,17.04
2008-10-10,26,15.14
2008-10-17,29,15.56
2008-10-24,16,13.37
2008-10-31,16,15.09
2008-11-07,24,16.16
2008-11-14,29,15.85
2008-11-21,21,13.80
2008-11-28,25,17.18
2008-12-05,29,17.05
2008-12-12,30,16.48
2008-12-19,28,16.95
2008-12-26,23,16.09
2009-01-02,23,17.05
2009-01-09,29,16.82
2009-01-16,20,16.44
2009-01-23,20,15.79
2009-01-30,28,15.91
2009-02-06,27,17.55
2009-02-13,27,18.29
2009-02-20,22,17.63
2009-02-27,27,17.50
2009-03-06,34,16.39
2009-03-13,36,17.11
2009-03-20,30,17.55
2009-03-27,20,17.80
2009-04-03,100,17.84
2009-04-10,43,
2009-04-17,31,19.72
2009-04-24,26,19.05
2009-05-01,27,17.76
2009-05-08,25,18.86
2009-05-15,24,18.33
2009-05-22,27,18.61
2009-05-29,36,19.26
2009-06-05,26,20.20
2009-06-12,18,20.10
2009-06-19,27,19.76
2009-06-26,25,19.96
2009-07-03,30,
2009-07-10,25,19.48
2009-07-17,31,20.62
2009-07-24,31,21.41
2009-07-31,31,23.42
2009-08-07,20,24.45
2009-08-14,35,24.24
2009-08-21,31,24.85
2009-08-28,28,24.72
2009-09-04,20,24.18
2009-09-11,26,24.82
2009-09-18,31,24.93
2009-09-25,28,25.40
2009-10-02,27,23.99
2009-10-09,33,24.35
2009-10-16,25,24.43
2009-10-23,35,22.82
2009-10-30,20,21.76
2009-11-06,22,22.46
2009-11-13,17,22.59
2009-11-20,18,22.73
2009-11-27,15,22.53
2009-12-04,39,23.46
2009-12-11,30,23.73
2009-12-18,24,23.53
2009-12-25,21,
2010-01-01,15,
2010-01-08,24,24.05
2010-01-15,27,23.99
2010-01-22,21,23.96
2010-01-29,17,23.56
2010-02-05,21,23.04
2010-02-12,21,22.36
2010-02-19,28,22.68
2010-02-26,28,22.54
2010-03-05,24,23.48
2010-03-12,26,23.19
2010-03-19,14,23.63
2010-03-26,22,23.66
2010-04-02,16,
2010-04-09,16,24.52
2010-04-16,19,25.19
2010-04-23,19,25.76
2010-04-30,23,26.29
2010-05-07,52,28.76
2010-05-14,44,29.69
2010-05-21,30,26.17
2010-05-28,26,27.52
2010-06-04,19,27.14
2010-06-11,22,27.21
2010-06-18,21,27.48
2010-06-25,22,27.54
2010-07-02,23,26.41
2010-07-09,29,27.70
2010-07-16,32,27.52
2010-07-23,22,28.10
2010-07-30,18,28.67
2010-08-06,13,27.70
2010-08-13,13,26.50
2010-08-20,16,26.49
2010-08-27,14,26.59
2010-09-03,15,27.50
2010-09-10,11,27.37
2010-09-17,15,27.40
2010-09-24,13,27.54
2010-10-01,15,26.99
2010-10-08,15,26.80
2010-10-15,10,28.07
2010-10-22,17,28.60
2010-10-29,21,27.10
2010-11-05,15,27.95
2010-11-12,15,27.20
2010-11-19,16,27.38
2010-11-26,16,27.29
2010-12-03,16,28.48
2010-12-10,14,28.25
2010-12-17,11,27.44
2010-12-24,18,
2010-12-31,18,27.39
2011-01-07,11,28.49
2011-01-14,11,30.12
2011-01-21,11,30.01
2011-01-28,11,30.28
2011-02-04,11,30.96
2011-02-11,11,31.89
2011-02-18,12,32.14
2011-02-25,12,32.03
2011-03-04,12,31.53
2011-03-11,14,31.23
2011-03-18,9,30.90
2011-03-25,12,32.04
2011-04-01,10,33.23
2011-04-08,10,32.82
2011-04-15,11,33.26
2011-04-22,12,
2011-04-29,13,33.11
2011-05-06,14,32.49
2011-05-13,15,32.23
2011-05-20,9,31.96
2011-05-27,9,31.86
2011-06-03,11,31.21
2011-06-10,13,31.57
2011-06-17,15,30.99
2011-06-24,14,30.07
2011-07-01,14,31.02
2011-07-08,14,30.96
2011-07-15,14,29.63
2011-07-22,13,30.48
2011-07-29,14,30.02
2011-08-05,12,28.94
2011-08-12,13,28.08
2011-08-19,13,26.66
2011-08-26,12,27.37
2011-09-02,8,26.82
2011-09-09,9,25.37
2011-09-16,10,26.51
2011-09-23,10,24.10
2011-09-30,10,24.32
2011-10-07,8,24.79
2011-10-14,8,26.10
2011-10-21,8,25.78
2011-10-28,8,27.08
2011-11-04,8,25.23
2011-11-11,12,25.78
2011-11-18,11,23.68
2011-11-25,11,22.58
2011-12-02,11,24.91
2011-12-09,8,25.72
2011-12-16,8,25.42
2011-12-23,10,26.60
2011-12-30,8,26.59
2012-01-06,8,26.43
2012-01-13,8,26.94
2012-01-20,10,27.84
2012-01-27,10,28.55
2012-02-03,10,29.40
2012-02-10,8,28.65
2012-02-17,11,30.70
2012-02-24,9,31.07
2012-03-02,9,31.19
2012-03-09,13,31.68
2012-03-16,10,33.00
2012-03-23,9,32.96
2012-03-30,11,33.12
2012-04-06,14,
2012-04-13,12,32.48
2012-04-20,9,33.07
2012-04-27,12,33.89
2012-05-04,12,32.93
2012-05-11,10,32.74
2012-05-18,7,31.37
2012-05-25,7,32.82
2012-06-01,8,31.37
2012-06-08,10,32.39
2012-06-15,12,33.02
2012-06-22,13,33.28
2012-06-29,7,34.08
2012-07-06,9,34.29
2012-07-13,8,34.32
2012-07-20,10,32.13
2012-07-27,8,32.32
2012-08-03,8,31.47
2012-08-10,9,31.06
2012-08-17,8,31.17
2012-08-24,7,31.96
2012-08-31,7,31.50
2012-09-07,8,32.68
2012-09-14,9,31.70
2012-09-21,7,32.64
2012-09-28,7,31.22
2012-10-05,7,31.50
2012-10-12,8,31.88
2012-10-19,8,32.41
2012-10-26,8,32.62
2012-11-02,8,33.52
2012-11-09,6,34.52
2012-11-16,7,35.00
2012-11-23,7,35.78
2012-11-30,7,36.10
2012-12-07,8,36.16
2012-12-14,7,35.48
2012-12-21,6,34.89
2012-12-28,7,34.26
2013-01-04,8,35.98
2013-01-11,9,37.00
2013-01-18,9,37.06
2013-01-25,7,37.20
2013-02-01,7,37.66
2013-02-08,7,37.62
2013-02-15,6,36.49
2013-02-22,7,37.00
2013-03-01,6,37.66
2013-03-08,6,37.91
2013-03-15,6,38.30
2013-03-22,6,38.57
2013-03-29,6,
2013-04-05,8,39.05
2013-04-12,9,40.75
2013-04-19,7,40.81
2013-04-26,8,40.79
2013-05-03,6,42.72
2013-05-10,7,43.79
2013-05-17,9,45.08
2013-05-24,9,45.16
2013-05-31,6,44.90
2013-06-07,9,44.53
2013-06-14,8,43.64
2013-06-21,6,42.64
2013-06-28,7,42.84
2013-07-05,6,43.63
2013-07-12,7,45.06
2013-07-19,9,44.37
2013-07-26,10,44.35
2013-08-02,6,45.33
2013-08-09,8,46.95
2013-08-16,6,46.11
2013-08-23,8,45.71
2013-08-30,6,44.46
2013-09-06,7,45.11
2013-09-13,7,45.96
2013-09-20,8,46.85
2013-09-27,8,46.54
2013-10-04,9,46.55
2013-10-11,10,46.17
2013-10-18,6,47.36
2013-10-25,6,47.44
2013-11-01,6,48.55
2013-11-08,7,48.32
2013-11-15,7,50.94
2013-11-22,9,50.98
2013-11-29,6,50.68
2013-12-06,6,50.88
2013-12-13,7,50.78
2013-12-20,9,52.66
2013-12-27,5,52.75
2014-01-03,5,53.15
2014-01-10,5,53.00
2014-01-17,5,52.74
2014-01-24,5,50.84
2014-01-31,6,50.70
2014-02-07,8,53.71
2014-02-14,9,53.86
2014-02-21,7,54.34
2014-02-28,7,55.61
2014-03-07,7,55.47
2014-03-14,7,52.75
2014-03-21,7,54.17
2014-03-28,8,52.89
2014-04-04,8,53.17
2014-04-11,8,51.28
2014-04-18,6,
2014-04-25,0,51.80
2014-05-02,0,
