Date,Apple Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.71
2004-02-13,0,23.00
2004-02-20,0,22.40
2004-02-27,0,23.92
2004-03-05,0,26.74
2004-03-12,0,27.56
2004-03-19,0,25.86
2004-03-26,0,27.04
2004-04-02,62,27.50
2004-04-09,0,
2004-04-16,0,29.18
2004-04-23,0,27.70
2004-04-30,0,25.78
2004-05-07,0,26.67
2004-05-14,0,27.06
2004-05-21,0,27.11
2004-05-28,0,28.06
2004-06-04,0,28.78
2004-06-11,0,
2004-06-18,0,32.91
2004-06-25,0,33.70
2004-07-02,0,31.08
2004-07-09,0,30.03
2004-07-16,0,32.20
2004-07-23,0,30.70
2004-07-30,0,32.34
2004-08-06,0,29.78
2004-08-13,0,30.84
2004-08-20,0,30.80
2004-08-27,0,34.35
2004-09-03,56,35.23
2004-09-10,51,35.87
2004-09-17,51,37.14
2004-09-24,51,37.29
2004-10-01,51,38.67
2004-10-08,52,39.06
2004-10-15,53,45.50
2004-10-22,55,47.41
2004-10-29,0,52.40
2004-11-05,0,54.72
2004-11-12,0,55.50
2004-11-19,0,55.17
2004-11-26,0,64.55
2004-12-03,0,62.68
2004-12-10,0,65.15
2004-12-17,0,64.99
2004-12-24,0,
2004-12-31,0,64.40
2005-01-07,0,69.25
2005-01-14,0,70.20
2005-01-21,0,70.49
2005-01-28,0,73.98
2005-02-04,0,78.84
2005-02-11,44,81.21
2005-02-18,55,86.81
2005-02-25,0,88.99
2005-03-04,0,42.81
2005-03-11,0,40.27
2005-03-18,0,42.96
2005-03-25,0,
2005-04-01,0,40.89
2005-04-08,0,43.74
2005-04-15,0,35.35
2005-04-22,0,35.50
2005-04-29,0,36.06
2005-05-06,0,37.24
2005-05-13,49,34.77
2005-05-20,0,37.55
2005-05-27,0,40.56
2005-06-03,0,38.24
2005-06-10,0,35.81
2005-06-17,0,38.31
2005-06-24,52,37.76
2005-07-01,0,36.50
2005-07-08,0,38.25
2005-07-15,0,41.55
2005-07-22,0,44.00
2005-07-29,0,42.65
2005-08-05,43,42.99
2005-08-12,0,46.10
2005-08-19,0,45.83
2005-08-26,0,45.74
2005-09-02,0,46.22
2005-09-09,0,51.31
2005-09-16,44,51.21
2005-09-23,48,53.20
2005-09-30,52,53.61
2005-10-07,40,51.30
2005-10-14,49,54.00
2005-10-21,45,55.66
2005-10-28,37,54.47
2005-11-04,37,61.15
2005-11-11,37,61.54
2005-11-18,37,64.56
2005-11-25,54,69.34
2005-12-02,56,72.63
2005-12-09,39,74.33
2005-12-16,32,71.11
2005-12-23,32,73.35
2005-12-30,32,71.89
2006-01-06,32,76.30
2006-01-13,29,85.59
2006-01-20,61,76.09
2006-01-27,30,72.03
2006-02-03,38,71.85
2006-02-10,34,67.31
2006-02-17,34,70.29
2006-02-24,27,71.46
2006-03-03,26,67.72
2006-03-10,41,63.19
2006-03-17,35,64.66
2006-03-24,35,59.96
2006-03-31,35,62.72
2006-04-07,27,69.79
2006-04-14,27,
2006-04-21,32,67.04
2006-04-28,38,70.39
2006-05-05,25,71.89
2006-05-12,25,67.70
2006-05-19,27,64.51
2006-05-26,37,63.55
2006-06-02,28,61.66
2006-06-09,28,59.24
2006-06-16,28,57.56
2006-06-23,28,58.83
2006-06-30,28,57.27
2006-07-07,29,55.40
2006-07-14,30,50.67
2006-07-21,32,60.72
2006-07-28,33,65.59
2006-08-04,25,68.30
2006-08-11,25,63.65
2006-08-18,25,67.91
2006-08-25,25,68.75
2006-09-01,25,68.38
2006-09-08,25,72.52
2006-09-15,49,74.10
2006-09-22,30,73.00
2006-09-29,30,76.98
2006-10-06,28,74.22
2006-10-13,32,75.02
2006-10-20,35,79.95
2006-10-27,31,80.41
2006-11-03,31,78.29
2006-11-10,32,83.12
2006-11-17,37,85.85
2006-11-24,22,91.63
2006-12-01,34,91.32
2006-12-08,35,88.26
2006-12-15,29,87.72
2006-12-22,38,82.20
2006-12-29,58,84.84
2007-01-05,79,85.05
2007-01-12,100,94.62
2007-01-19,77,88.50
2007-01-26,54,85.38
2007-02-02,47,84.75
2007-02-09,69,83.27
2007-02-16,51,84.83
2007-02-23,21,89.07
2007-03-02,60,85.41
2007-03-09,46,87.97
2007-03-16,34,89.59
2007-03-23,37,93.52
2007-03-30,40,92.91
2007-04-06,50,
2007-04-13,62,90.24
2007-04-20,65,90.97
2007-04-27,54,99.92
2007-05-04,55,100.81
2007-05-11,53,108.74
2007-05-18,28,110.02
2007-05-25,50,113.62
2007-06-01,37,118.40
2007-06-08,26,124.49
2007-06-15,41,120.50
2007-06-22,38,123.00
2007-06-29,35,122.04
2007-07-06,39,132.30
2007-07-13,46,137.73
2007-07-20,37,143.75
2007-07-27,42,143.85
2007-08-03,38,131.85
2007-08-10,68,125.00
2007-08-17,34,122.06
2007-08-24,35,135.30
2007-08-31,20,138.48
2007-09-07,40,131.77
2007-09-14,48,138.81
2007-09-21,49,144.15
2007-09-28,52,153.47
2007-10-05,52,161.45
2007-10-12,71,167.25
2007-10-19,57,170.42
2007-10-26,34,184.70
2007-11-02,60,187.87
2007-11-09,60,165.37
2007-11-16,66,166.39
2007-11-23,51,171.54
2007-11-30,68,182.22
2007-12-07,68,194.30
2007-12-14,51,190.39
2007-12-21,34,193.91
2007-12-28,24,199.83
2008-01-04,23,180.05
2008-01-11,50,172.69
2008-01-18,41,161.36
2008-01-25,45,130.01
2008-02-01,38,133.75
2008-02-08,65,125.48
2008-02-15,37,124.63
2008-02-22,50,119.46
2008-02-29,44,125.02
2008-03-07,39,122.25
2008-03-14,40,126.61
2008-03-21,43,
2008-03-28,49,143.01
2008-04-04,45,153.08
2008-04-11,66,147.14
2008-04-18,52,161.04
2008-04-25,54,169.73
2008-05-02,57,180.94
2008-05-09,42,183.45
2008-05-16,53,187.62
2008-05-23,36,181.17
2008-05-30,40,188.75
2008-06-06,40,185.64
2008-06-13,40,172.37
2008-06-20,31,175.27
2008-06-27,40,170.09
2008-07-04,30,
2008-07-11,40,172.58
2008-07-18,35,165.15
2008-07-25,42,162.12
2008-08-01,37,156.66
2008-08-08,32,169.55
2008-08-15,35,175.74
2008-08-22,37,176.79
2008-08-29,32,169.53
2008-09-05,33,160.18
2008-09-12,45,148.94
2008-09-19,31,140.91
2008-09-26,40,128.24
2008-10-03,32,97.07
2008-10-10,37,96.80
2008-10-17,43,97.40
2008-10-24,58,96.38
2008-10-31,45,107.59
2008-11-07,51,98.24
2008-11-14,48,90.24
2008-11-21,47,82.58
2008-11-28,31,92.67
2008-12-05,54,94.00
2008-12-12,47,98.27
2008-12-19,33,90.00
2008-12-26,15,85.81
2009-01-02,22,90.75
2009-01-09,28,90.58
2009-01-16,37,82.33
2009-01-23,43,88.36
2009-01-30,43,90.13
2009-02-06,36,99.72
2009-02-13,34,99.16
2009-02-20,36,91.20
2009-02-27,35,89.31
2009-03-06,39,85.30
2009-03-13,35,95.93
2009-03-20,37,101.59
2009-03-27,31,106.85
2009-04-03,42,115.99
2009-04-10,36,
2009-04-17,38,123.42
2009-04-24,39,123.90
2009-05-01,46,127.24
2009-05-08,46,129.19
2009-05-15,48,122.42
2009-05-22,25,122.50
2009-05-29,26,135.81
2009-06-05,39,144.67
2009-06-12,40,136.97
2009-06-19,34,139.48
2009-06-26,34,142.44
2009-07-03,31,
2009-07-10,49,138.52
2009-07-17,35,151.75
2009-07-24,40,159.99
2009-07-31,31,163.39
2009-08-07,23,165.51
2009-08-14,32,166.78
2009-08-21,28,169.22
2009-08-28,33,170.05
2009-09-04,25,170.31
2009-09-11,31,172.16
2009-09-18,35,185.02
2009-09-25,43,182.37
2009-10-02,38,184.90
2009-10-09,41,190.47
2009-10-16,42,188.05
2009-10-23,37,203.94
2009-10-30,42,188.50
2009-11-06,44,194.34
2009-11-13,37,204.45
2009-11-20,42,199.92
2009-11-27,33,200.59
2009-12-04,38,193.32
2009-12-11,44,194.67
2009-12-18,30,195.43
2009-12-25,23,
2010-01-01,22,
2010-01-08,32,211.98
2010-01-15,28,205.93
2010-01-22,24,197.75
2010-01-29,44,192.06
2010-02-05,31,195.46
2010-02-12,35,200.38
2010-02-19,31,201.67
2010-02-26,28,204.62
2010-03-05,31,218.95
2010-03-12,41,226.60
2010-03-19,32,222.25
2010-03-26,30,230.90
2010-04-02,39,
2010-04-09,40,241.79
2010-04-16,37,247.40
2010-04-23,36,270.83
2010-04-30,30,261.09
2010-05-07,37,235.86
2010-05-14,30,253.82
2010-05-21,32,242.32
2010-05-28,26,256.88
2010-06-04,29,255.96
2010-06-11,36,253.51
2010-06-18,28,274.07
2010-06-25,24,266.70
2010-07-02,24,246.94
2010-07-09,20,259.62
2010-07-16,18,249.90
2010-07-23,29,259.94
2010-07-30,24,257.25
2010-08-06,28,260.09
2010-08-13,24,249.10
2010-08-20,18,249.64
2010-08-27,24,241.62
2010-09-03,20,258.77
2010-09-10,22,263.41
2010-09-17,37,275.37
2010-09-24,33,292.32
2010-10-01,37,282.52
2010-10-08,36,294.07
2010-10-15,28,314.74
2010-10-22,35,307.47
2010-10-29,37,300.98
2010-11-05,39,317.13
2010-11-12,37,308.03
2010-11-19,37,306.73
2010-11-26,28,315.00
2010-12-03,35,317.44
2010-12-10,28,320.56
2010-12-17,26,320.61
2010-12-24,19,
2010-12-31,20,322.56
2011-01-07,18,336.12
2011-01-14,27,348.48
2011-01-21,37,326.72
2011-01-28,31,336.10
2011-02-04,25,346.50
2011-02-11,22,356.85
2011-02-18,28,350.56
2011-02-25,30,348.16
2011-03-04,28,360.00
2011-03-11,26,351.99
2011-03-18,30,330.67
2011-03-25,25,351.54
2011-04-01,26,344.56
2011-04-08,28,335.06
2011-04-15,34,327.46
2011-04-22,30,
2011-04-29,24,350.13
2011-05-06,34,346.66
2011-05-13,25,340.50
2011-05-20,25,335.22
2011-05-27,24,337.41
2011-06-03,19,343.44
2011-06-10,26,325.90
2011-06-17,29,320.26
2011-06-24,24,326.35
2011-07-01,14,343.26
2011-07-08,19,359.71
2011-07-15,21,364.92
2011-07-22,25,393.30
2011-07-29,22,390.48
2011-08-05,22,373.62
2011-08-12,23,376.99
2011-08-19,25,356.03
2011-08-26,31,383.58
2011-09-02,24,374.05
2011-09-09,24,377.48
2011-09-16,29,400.50
2011-09-23,30,404.30
2011-09-30,27,381.32
2011-10-07,74,369.80
2011-10-14,55,422.00
2011-10-21,40,392.87
2011-10-28,26,404.95
2011-11-04,34,400.24
2011-11-11,35,384.62
2011-11-18,38,374.94
2011-11-25,25,363.57
2011-12-02,40,389.70
2011-12-09,32,393.62
2011-12-16,29,381.02
2011-12-23,23,403.33
2011-12-30,11,405.00
2012-01-06,21,422.40
2012-01-13,20,419.81
2012-01-20,25,420.30
2012-01-27,25,447.28
2012-02-03,37,459.68
2012-02-10,26,493.42
2012-02-17,28,502.12
2012-02-24,34,522.41
2012-03-02,28,545.18
2012-03-09,32,545.17
2012-03-16,34,585.57
2012-03-23,29,596.05
2012-03-30,27,599.55
2012-04-06,25,
2012-04-13,29,605.23
2012-04-20,29,572.98
2012-04-27,33,603.00
2012-05-04,25,565.25
2012-05-11,23,566.71
2012-05-18,23,530.38
2012-05-25,21,562.29
2012-06-01,18,560.99
2012-06-08,27,580.32
2012-06-15,22,574.13
2012-06-22,26,582.10
2012-06-29,20,584.00
2012-07-06,17,605.88
2012-07-13,20,604.97
2012-07-20,22,604.30
2012-07-27,19,585.16
2012-08-03,20,615.70
2012-08-10,20,621.70
2012-08-17,20,648.11
2012-08-24,23,663.22
2012-08-31,26,665.24
2012-09-07,22,680.44
2012-09-14,32,691.28
2012-09-21,29,700.09
2012-09-28,34,667.10
2012-10-05,28,652.59
2012-10-12,25,629.71
2012-10-19,25,609.84
2012-10-26,23,604.00
2012-11-02,22,576.80
2012-11-09,26,547.06
2012-11-16,30,527.68
2012-11-23,22,571.50
2012-11-30,31,585.28
2012-12-07,24,533.25
2012-12-14,22,509.79
2012-12-21,17,519.33
2012-12-28,13,509.59
2013-01-04,20,527.00
2013-01-11,19,520.30
2013-01-18,23,500.00
2013-01-25,20,439.88
2013-02-01,25,453.62
2013-02-08,25,474.98
2013-02-15,24,460.16
2013-02-22,19,450.81
2013-03-01,22,430.47
2013-03-08,15,431.72
2013-03-15,21,443.66
2013-03-22,18,461.91
2013-03-29,17,
2013-04-05,19,423.20
2013-04-12,20,429.80
2013-04-19,24,390.53
2013-04-26,18,417.20
2013-05-03,21,449.98
2013-05-10,15,452.97
2013-05-17,19,433.26
2013-05-24,16,445.15
2013-05-31,16,449.73
2013-06-07,16,441.81
2013-06-14,18,430.05
2013-06-21,15,413.50
2013-06-28,16,396.53
2013-07-05,12,417.42
2013-07-12,15,426.51
2013-07-19,16,424.95
2013-07-26,18,440.99
2013-08-02,18,462.54
2013-08-09,15,454.45
2013-08-16,16,502.33
2013-08-23,16,501.02
2013-08-30,17,487.22
2013-09-06,20,498.22
2013-09-13,25,464.90
2013-09-20,20,467.41
2013-09-27,28,482.75
2013-10-04,22,483.03
2013-10-11,21,492.81
2013-10-18,24,508.89
2013-10-25,26,525.96
2013-11-01,22,520.03
2013-11-08,23,520.56
2013-11-15,20,524.99
2013-11-22,23,519.80
2013-11-29,20,556.07
2013-12-06,20,560.02
2013-12-13,20,554.43
2013-12-20,14,549.02
2013-12-27,12,560.09
2014-01-03,12,540.98
2014-01-10,14,532.94
2014-01-17,19,540.67
2014-01-24,18,546.07
2014-01-31,17,500.60
2014-02-07,20,519.68
2014-02-14,17,543.99
2014-02-21,17,525.25
2014-02-28,21,526.24
2014-03-07,17,530.44
2014-03-14,18,524.69
2014-03-21,18,532.87
2014-03-28,14,536.86
2014-04-04,14,531.82
2014-04-11,15,519.61
2014-04-18,19,
2014-04-25,20,571.94
2014-05-02,17,
