Date,Western Digital,Price
2004-01-09,95,
2004-01-16,97,
2004-01-23,89,
2004-01-30,96,
2004-02-06,88,10.92
2004-02-13,85,11.19
2004-02-20,88,10.99
2004-02-27,78,11.39
2004-03-05,77,11.22
2004-03-12,83,10.54
2004-03-19,78,10.52
2004-03-26,79,10.54
2004-04-02,78,11.63
2004-04-09,75,
2004-04-16,72,10.53
2004-04-23,85,8.88
2004-04-30,71,8.08
2004-05-07,64,8.43
2004-05-14,67,8.02
2004-05-21,67,8.25
2004-05-28,62,9.14
2004-06-04,66,9.11
2004-06-11,69,
2004-06-18,65,9.20
2004-06-25,72,8.66
2004-07-02,71,8.40
2004-07-09,72,8.14
2004-07-16,71,7.94
2004-07-23,81,7.88
2004-07-30,78,7.01
2004-08-06,73,6.80
2004-08-13,78,6.52
2004-08-20,81,7.48
2004-08-27,74,7.49
2004-09-03,80,8.01
2004-09-10,69,8.55
2004-09-17,74,8.88
2004-09-24,76,8.51
2004-10-01,69,9.12
2004-10-08,70,9.44
2004-10-15,69,9.00
2004-10-22,72,8.17
2004-10-29,71,8.33
2004-11-05,69,8.75
2004-11-12,70,8.99
2004-11-19,70,9.02
2004-11-26,74,9.57
2004-12-03,70,10.67
2004-12-10,72,10.27
2004-12-17,73,10.50
2004-12-24,74,
2004-12-31,97,10.84
2005-01-07,80,10.10
2005-01-14,79,10.45
2005-01-21,76,10.31
2005-01-28,75,10.48
2005-02-04,62,11.58
2005-02-11,73,11.20
2005-02-18,67,11.27
2005-02-25,68,11.40
2005-03-04,66,11.99
2005-03-11,64,11.82
2005-03-18,62,11.59
2005-03-25,66,
2005-04-01,55,12.90
2005-04-08,59,13.78
2005-04-15,60,11.99
2005-04-22,57,12.20
2005-04-29,56,12.69
2005-05-06,59,13.22
2005-05-13,53,13.66
2005-05-20,56,14.24
2005-05-27,60,14.94
2005-06-03,56,14.78
2005-06-10,60,15.65
2005-06-17,57,13.36
2005-06-24,57,13.25
2005-07-01,61,13.76
2005-07-08,57,14.27
2005-07-15,60,14.28
2005-07-22,57,14.14
2005-07-29,63,14.99
2005-08-05,63,14.90
2005-08-12,63,14.60
2005-08-19,62,14.14
2005-08-26,66,13.75
2005-09-02,59,13.59
2005-09-09,58,13.69
2005-09-16,64,13.04
2005-09-23,54,12.63
2005-09-30,56,12.93
2005-10-07,58,12.19
2005-10-14,60,11.96
2005-10-21,59,11.35
2005-10-28,54,11.82
2005-11-04,61,12.93
2005-11-11,59,12.44
2005-11-18,61,13.87
2005-11-25,63,14.75
2005-12-02,59,14.99
2005-12-09,58,15.27
2005-12-16,58,15.31
2005-12-23,67,18.85
2005-12-30,72,18.61
2006-01-06,74,19.90
2006-01-13,64,21.55
2006-01-20,62,20.64
2006-01-27,60,21.74
2006-02-03,60,22.71
2006-02-10,61,23.07
2006-02-17,55,24.18
2006-02-24,58,22.35
2006-03-03,55,22.51
2006-03-10,53,18.80
2006-03-17,50,19.42
2006-03-24,53,19.19
2006-03-31,56,19.43
2006-04-07,53,20.48
2006-04-14,53,
2006-04-21,47,19.23
2006-04-28,47,21.04
2006-05-05,49,21.40
2006-05-12,48,19.88
2006-05-19,51,21.70
2006-05-26,49,20.55
2006-06-02,49,20.74
2006-06-09,48,19.84
2006-06-16,50,17.72
2006-06-23,53,18.36
2006-06-30,55,19.81
2006-07-07,51,19.70
2006-07-14,53,18.35
2006-07-21,56,17.52
2006-07-28,57,17.85
2006-08-04,58,16.96
2006-08-11,58,16.08
2006-08-18,61,18.06
2006-08-25,59,17.20
2006-09-01,61,18.94
2006-09-08,60,16.37
2006-09-15,56,16.05
2006-09-22,59,17.15
2006-09-29,57,18.10
2006-10-06,56,17.12
2006-10-13,58,17.71
2006-10-20,58,17.61
2006-10-27,58,18.09
2006-11-03,59,18.94
2006-11-10,57,19.58
2006-11-17,56,20.45
2006-11-24,65,21.34
2006-12-01,59,21.06
2006-12-08,59,21.10
2006-12-15,60,20.42
2006-12-22,65,20.52
2006-12-29,78,20.46
2007-01-05,77,19.90
2007-01-12,68,21.04
2007-01-19,64,20.15
2007-01-26,66,19.11
2007-02-02,67,19.32
2007-02-09,67,18.84
2007-02-16,65,18.85
2007-02-23,73,20.15
2007-03-02,64,18.54
2007-03-09,67,18.18
2007-03-16,61,17.64
2007-03-23,58,17.63
2007-03-30,62,16.81
2007-04-06,58,
2007-04-13,56,17.19
2007-04-20,58,17.37
2007-04-27,58,17.56
2007-05-04,57,18.15
2007-05-11,55,18.40
2007-05-18,57,17.81
2007-05-25,58,17.47
2007-06-01,62,19.06
2007-06-08,62,19.52
2007-06-15,58,19.78
2007-06-22,57,19.31
2007-06-29,61,19.35
2007-07-06,64,21.11
2007-07-13,66,21.28
2007-07-20,61,22.83
2007-07-27,62,21.00
2007-08-03,65,21.07
2007-08-10,65,20.33
2007-08-17,65,20.45
2007-08-24,67,21.91
2007-08-31,65,23.36
2007-09-07,66,22.37
2007-09-14,64,22.37
