Date,HOG,Price
2004-01-09,25,
2004-01-16,28,
2004-01-23,27,
2004-01-30,37,
2004-02-06,84,52.34
2004-02-13,25,53.21
2004-02-20,23,53.95
2004-02-27,22,53.12
2004-03-05,25,53.65
2004-03-12,30,51.96
2004-03-19,25,52.22
2004-03-26,24,51.25
2004-04-02,25,52.84
2004-04-09,25,
2004-04-16,25,58.00
2004-04-23,24,58.07
2004-04-30,27,56.32
2004-05-07,28,54.83
2004-05-14,27,54.95
2004-05-21,28,56.43
2004-05-28,32,57.49
2004-06-04,28,57.16
2004-06-11,27,
2004-06-18,28,61.87
2004-06-25,25,61.33
2004-07-02,28,61.06
2004-07-09,29,60.93
2004-07-16,30,62.70
2004-07-23,30,59.75
2004-07-30,37,59.87
2004-08-06,30,56.80
2004-08-13,27,58.42
2004-08-20,31,60.82
2004-08-27,26,60.78
2004-09-03,24,62.32
2004-09-10,27,62.32
2004-09-17,23,60.40
2004-09-24,25,59.39
2004-10-01,24,59.71
2004-10-08,24,59.41
2004-10-15,27,57.86
2004-10-22,24,55.55
2004-10-29,22,57.57
2004-11-05,19,59.64
2004-11-12,22,58.85
2004-11-19,26,56.03
2004-11-26,23,57.70
2004-12-03,26,59.19
2004-12-10,23,60.68
2004-12-17,22,58.85
2004-12-24,23,
2004-12-31,25,60.75
2005-01-07,25,59.54
2005-01-14,26,59.00
2005-01-21,26,58.41
2005-01-28,28,59.48
2005-02-04,100,61.27
2005-02-11,29,61.37
2005-02-18,23,61.26
2005-02-25,24,62.10
2005-03-04,24,61.70
2005-03-11,24,60.40
2005-03-18,22,60.56
2005-03-25,27,
2005-04-01,25,56.78
2005-04-08,23,57.27
2005-04-15,26,45.80
2005-04-22,24,46.71
2005-04-29,24,47.02
2005-05-06,26,48.85
2005-05-13,28,46.90
2005-05-20,25,50.00
2005-05-27,25,49.89
2005-06-03,25,48.40
2005-06-10,27,49.25
2005-06-17,25,49.63
2005-06-24,29,50.86
2005-07-01,26,49.78
2005-07-08,26,49.74
2005-07-15,25,53.62
2005-07-22,26,53.45
2005-07-29,26,53.19
2005-08-05,30,51.41
2005-08-12,24,52.11
2005-08-19,29,51.13
2005-08-26,25,49.17
2005-09-02,25,48.80
2005-09-09,24,49.92
2005-09-16,27,51.70
2005-09-23,25,48.73
2005-09-30,23,48.44
2005-10-07,23,45.04
2005-10-14,24,49.20
2005-10-21,22,49.48
2005-10-28,22,48.72
2005-11-04,24,50.97
2005-11-11,23,53.39
2005-11-18,23,53.54
2005-11-25,23,55.10
2005-12-02,25,53.90
2005-12-09,26,51.32
2005-12-16,25,52.53
2005-12-23,27,51.83
2005-12-30,25,51.49
2006-01-06,26,52.15
2006-01-13,29,52.86
2006-01-20,25,53.10
2006-01-27,26,54.64
2006-02-03,93,52.45
2006-02-10,29,51.75
2006-02-17,24,52.03
2006-02-24,23,52.52
2006-03-03,27,51.27
2006-03-10,26,50.77
2006-03-17,25,48.90
2006-03-24,24,51.07
2006-03-31,23,51.88
2006-04-07,26,52.45
2006-04-14,24,
2006-04-21,28,51.35
2006-04-28,23,50.84
2006-05-05,27,50.82
2006-05-12,26,49.58
2006-05-19,26,49.68
2006-05-26,26,50.81
2006-06-02,26,50.61
2006-06-09,28,49.07
2006-06-16,27,53.05
2006-06-23,24,52.64
