Date,Abbott Laboratories,Price
2004-01-09,65,
2004-01-16,100,
2004-01-23,88,
2004-01-30,95,
2004-02-06,76,44.37
2004-02-13,92,44.31
2004-02-20,84,43.38
2004-02-27,78,42.80
2004-03-05,63,43.58
2004-03-12,64,41.44
2004-03-19,65,40.21
2004-03-26,51,40.14
2004-04-02,62,42.37
2004-04-09,64,
2004-04-16,63,44.13
2004-04-23,81,43.90
2004-04-30,56,44.02
2004-05-07,56,41.50
2004-05-14,70,41.15
2004-05-21,64,39.95
2004-05-28,64,41.21
2004-06-04,54,41.74
2004-06-11,81,
2004-06-18,66,43.00
2004-06-25,62,40.56
2004-07-02,71,40.59
2004-07-09,88,39.90
2004-07-16,70,39.10
2004-07-23,70,38.63
2004-07-30,72,39.35
2004-08-06,45,38.69
2004-08-13,58,39.59
2004-08-20,57,41.01
2004-08-27,83,41.51
2004-09-03,69,42.67
2004-09-10,50,42.31
2004-09-17,44,42.92
2004-09-24,87,42.34
2004-10-01,77,42.19
2004-10-08,68,40.83
2004-10-15,89,41.36
2004-10-22,73,40.86
2004-10-29,47,42.63
2004-11-05,83,44.45
2004-11-12,50,44.18
2004-11-19,86,42.75
2004-11-26,29,42.59
2004-12-03,45,43.43
2004-12-10,63,43.74
2004-12-17,48,46.99
2004-12-24,35,
2004-12-31,33,46.65
2005-01-07,43,47.50
2005-01-14,39,46.25
2005-01-21,62,45.98
2005-01-28,70,45.27
2005-02-04,60,45.52
2005-02-11,54,46.20
2005-02-18,60,46.40
2005-02-25,58,46.27
2005-03-04,54,46.41
2005-03-11,66,46.00
2005-03-18,48,44.47
2005-03-25,59,
2005-04-01,47,46.19
2005-04-08,32,47.86
2005-04-15,52,49.87
2005-04-22,37,47.57
2005-04-29,42,49.16
2005-05-06,63,49.02
2005-05-13,50,48.76
2005-05-20,55,48.88
2005-05-27,32,48.00
2005-06-03,44,48.27
2005-06-10,49,48.90
2005-06-17,54,49.43
2005-06-24,49,49.02
2005-07-01,30,49.03
2005-07-08,40,49.35
2005-07-15,57,46.87
2005-07-22,59,46.04
2005-07-29,48,46.63
2005-08-05,49,46.49
2005-08-12,53,46.54
2005-08-19,40,45.83
2005-08-26,54,44.73
2005-09-02,47,44.88
2005-09-09,47,45.57
2005-09-16,51,43.74
2005-09-23,41,44.22
2005-09-30,51,42.40
2005-10-07,40,42.70
2005-10-14,42,42.64
2005-10-21,35,42.75
2005-10-28,54,42.75
2005-11-04,48,42.57
2005-11-11,34,43.73
2005-11-18,35,40.90
2005-11-25,25,38.98
2005-12-02,53,38.56
2005-12-09,34,38.99
2005-12-16,42,40.17
2005-12-23,28,40.86
2005-12-30,26,39.43
2006-01-06,40,40.89
2006-01-13,46,41.19
2006-01-20,39,40.35
2006-01-27,49,43.00
2006-02-03,40,42.49
2006-02-10,43,42.47
2006-02-17,46,44.34
2006-02-24,33,43.95
2006-03-03,52,43.78
2006-03-10,37,43.92
2006-03-17,46,45.18
2006-03-24,43,43.87
2006-03-31,45,42.47
2006-04-07,40,42.09
2006-04-14,45,
2006-04-21,43,42.00
2006-04-28,40,42.74
2006-05-05,40,42.77
2006-05-12,32,41.42
2006-05-19,34,41.82
2006-05-26,37,42.67
2006-06-02,36,43.13
2006-06-09,34,43.00
2006-06-16,31,42.78
2006-06-23,29,41.95
2006-06-30,28,43.61
2006-07-07,35,43.80
2006-07-14,50,44.01
2006-07-21,39,46.84
2006-07-28,36,47.82
2006-08-04,47,47.24
2006-08-11,39,47.41
2006-08-18,29,49.00
2006-08-25,43,48.79
2006-09-01,34,48.37
2006-09-08,39,48.90
2006-09-15,41,49.48
2006-09-22,39,47.90
2006-09-29,38,48.56
2006-10-06,49,46.19
2006-10-13,45,46.93
2006-10-20,36,48.78
2006-10-27,35,47.67
2006-11-03,33,47.64
2006-11-10,42,45.97
2006-11-17,36,47.67
2006-11-24,31,46.95
2006-12-01,35,46.57
2006-12-08,38,47.96
2006-12-15,40,48.47
2006-12-22,29,47.73
2006-12-29,24,48.71
2007-01-05,39,49.90
2007-01-12,35,50.45
2007-01-19,52,53.52
2007-01-26,42,52.55
2007-02-02,40,52.67
2007-02-09,44,52.27
2007-02-16,37,52.49
2007-02-23,43,53.59
2007-03-02,39,53.01
2007-03-09,39,54.39
2007-03-16,42,52.88
2007-03-23,18,53.86
2007-03-30,31,55.80
2007-04-06,48,
2007-04-13,41,58.49
2007-04-20,43,57.85
2007-04-27,34,56.76
2007-05-04,28,58.30
2007-05-11,33,57.84
2007-05-18,35,59.43
2007-05-25,31,56.37
2007-06-01,33,56.30
2007-06-08,37,54.29
2007-06-15,35,54.72
2007-06-22,34,52.86
2007-06-29,42,53.55
2007-07-06,22,54.00
2007-07-13,43,53.24
2007-07-20,37,52.87
2007-07-27,37,50.03
2007-08-03,49,51.09
2007-08-10,35,55.22
2007-08-17,42,52.73
2007-08-24,37,52.53
2007-08-31,29,51.91
2007-09-07,37,51.86
2007-09-14,32,52.10
2007-09-21,34,54.44
2007-09-28,36,53.62
2007-10-05,40,55.00
2007-10-12,36,52.64
2007-10-19,44,51.40
2007-10-26,33,54.07
2007-11-02,34,54.05
2007-11-09,32,54.12
2007-11-16,28,55.21
2007-11-23,34,55.49
2007-11-30,37,57.51
2007-12-07,41,58.22
2007-12-14,33,57.51
2007-12-21,31,58.26
2007-12-28,20,57.23
2008-01-04,25,55.79
2008-01-11,36,60.50
2008-01-18,32,59.43
2008-01-25,32,55.48
2008-02-01,34,57.55
2008-02-08,31,56.80
2008-02-15,27,55.55
2008-02-22,35,54.54
2008-02-29,34,53.55
2008-03-07,34,51.04
2008-03-14,35,51.38
2008-03-21,28,
2008-03-28,28,53.07
2008-04-04,35,54.84
2008-04-11,35,52.80
2008-04-18,27,50.72
2008-04-25,31,51.28
2008-05-02,24,53.17
2008-05-09,32,51.78
2008-05-16,26,54.71
2008-05-23,26,54.26
2008-05-30,23,56.35
2008-06-06,24,54.76
2008-06-13,22,54.11
2008-06-20,30,53.35
2008-06-27,26,53.00
