Date,sell COST,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,63,
2004-01-30,0,
2004-02-06,0,38.14
2004-02-13,0,37.61
2004-02-20,0,38.18
2004-02-27,0,38.86
2004-03-05,0,38.15
2004-03-12,0,38.30
2004-03-19,0,37.23
2004-03-26,0,36.62
2004-04-02,76,37.70
2004-04-09,0,
2004-04-16,0,38.08
2004-04-23,0,38.54
2004-04-30,0,37.50
2004-05-07,0,35.66
2004-05-14,0,35.85
2004-05-21,0,36.54
2004-05-28,0,37.90
2004-06-04,0,39.05
2004-06-11,0,
2004-06-18,0,42.02
2004-06-25,0,41.82
2004-07-02,0,40.68
2004-07-09,51,40.20
2004-07-16,50,40.62
2004-07-23,50,40.67
2004-07-30,0,40.71
2004-08-06,0,39.74
2004-08-13,0,40.73
2004-08-20,0,42.40
2004-08-27,0,42.05
2004-09-03,0,40.60
2004-09-10,0,40.54
2004-09-17,47,41.26
2004-09-24,0,41.35
2004-10-01,0,42.29
2004-10-08,0,44.69
2004-10-15,0,45.60
2004-10-22,0,45.73
2004-10-29,0,47.94
2004-11-05,0,49.55
2004-11-12,0,49.12
2004-11-19,0,47.48
2004-11-26,0,49.64
2004-12-03,0,47.92
2004-12-10,0,47.52
2004-12-17,0,47.79
2004-12-24,0,
2004-12-31,0,48.41
2005-01-07,0,47.49
2005-01-14,40,48.27
2005-01-21,40,46.51
2005-01-28,35,47.29
2005-02-04,35,46.18
2005-02-11,50,46.44
2005-02-18,34,45.80
2005-02-25,43,46.57
2005-03-04,42,44.76
2005-03-11,43,44.94
2005-03-18,39,43.70
2005-03-25,36,
2005-04-01,47,43.79
2005-04-08,59,46.18
2005-04-15,39,44.86
2005-04-22,39,40.17
2005-04-29,45,40.63
2005-05-06,37,42.88
2005-05-13,37,42.04
2005-05-20,31,44.96
2005-05-27,36,45.30
2005-06-03,41,46.12
2005-06-10,46,45.81
2005-06-17,41,46.59
2005-06-24,32,44.92
2005-07-01,32,44.93
2005-07-08,36,45.55
2005-07-15,42,46.45
2005-07-22,35,45.95
2005-07-29,38,45.97
2005-08-05,38,43.67
2005-08-12,47,42.82
2005-08-19,39,44.26
2005-08-26,39,43.12
2005-09-02,39,43.16
2005-09-09,41,43.04
2005-09-16,42,43.19
2005-09-23,42,42.82
2005-09-30,43,43.09
2005-10-07,44,45.64
2005-10-14,35,46.46
2005-10-21,29,47.76
2005-10-28,29,47.34
2005-11-04,32,49.08
2005-11-11,36,50.14
2005-11-18,28,49.81
2005-11-25,31,50.58
2005-12-02,39,49.34
2005-12-09,31,48.55
2005-12-16,31,48.75
2005-12-23,31,49.98
2005-12-30,31,49.47
2006-01-06,34,49.85
2006-01-13,38,51.00
2006-01-20,27,49.69
2006-01-27,27,50.05
2006-02-03,52,49.45
2006-02-10,31,49.74
2006-02-17,29,50.98
2006-02-24,29,50.69
2006-03-03,52,53.52
2006-03-10,25,53.97
2006-03-17,55,55.88
2006-03-24,33,54.64
2006-03-31,31,54.16
2006-04-07,27,55.70
2006-04-14,33,
2006-04-21,56,53.97
2006-04-28,41,54.43
2006-05-05,37,56.70
2006-05-12,37,55.23
2006-05-19,38,54.20
2006-05-26,20,54.43
2006-06-02,23,53.45
2006-06-09,35,53.04
2006-06-16,36,53.75
2006-06-23,37,55.50
2006-06-30,25,57.13
2006-07-07,31,56.16
2006-07-14,37,53.52
2006-07-21,42,52.56
2006-07-28,48,51.87
2006-08-04,47,51.78
2006-08-11,49,50.75
2006-08-18,37,52.55
2006-08-25,21,48.59
2006-09-01,20,47.35
2006-09-08,32,48.07
2006-09-15,35,49.82
2006-09-22,23,49.89
2006-09-29,37,49.68
2006-10-06,34,49.48
2006-10-13,34,53.20
2006-10-20,20,51.69
2006-10-27,27,53.01
2006-11-03,34,51.82
2006-11-10,24,52.90
2006-11-17,29,53.40
2006-11-24,32,53.51
2006-12-01,39,52.20
2006-12-08,33,53.69
2006-12-15,23,53.73
2006-12-22,26,52.20
2006-12-29,23,52.87
2007-01-05,23,53.41
2007-01-12,31,55.95
2007-01-19,28,56.77
2007-01-26,24,55.36
2007-02-02,33,56.01
2007-02-09,24,55.98
2007-02-16,32,57.80
2007-02-23,28,57.47
2007-03-02,26,55.75
2007-03-09,34,54.34
2007-03-16,28,52.98
2007-03-23,26,54.56
2007-03-30,36,53.84
2007-04-06,48,
2007-04-13,26,54.16
2007-04-20,30,55.12
2007-04-27,32,54.46
2007-05-04,23,53.79
2007-05-11,36,54.97
2007-05-18,39,56.41
2007-05-25,33,56.40
2007-06-01,38,56.29
2007-06-08,29,56.01
2007-06-15,37,56.09
2007-06-22,48,57.17
2007-06-29,33,58.52
2007-07-06,51,61.44
2007-07-13,38,62.98
2007-07-20,36,61.25
2007-07-27,34,58.57
2007-08-03,35,60.49
2007-08-10,43,63.25
2007-08-17,35,58.37
2007-08-24,31,61.68
2007-08-31,37,61.75
2007-09-07,31,57.00
2007-09-14,25,59.96
2007-09-21,34,60.72
2007-09-28,31,61.37
2007-10-05,23,63.27
2007-10-12,24,68.00
2007-10-19,37,65.70
2007-10-26,42,65.53
2007-11-02,45,65.58
2007-11-09,34,65.29
2007-11-16,36,66.80
2007-11-23,30,66.97
2007-11-30,32,67.40
2007-12-07,41,71.83
2007-12-14,29,68.49
2007-12-21,31,70.08
2007-12-28,27,70.22
2008-01-04,33,65.65
2008-01-11,30,66.43
2008-01-18,31,64.53
2008-01-25,45,65.46
2008-02-01,38,67.79
2008-02-08,32,63.24
2008-02-15,41,63.92
2008-02-22,40,66.02
2008-02-29,41,61.92
2008-03-07,28,60.30
2008-03-14,46,60.86
2008-03-21,43,
2008-03-28,41,64.37
2008-04-04,50,66.45
2008-04-11,43,65.70
2008-04-18,36,69.43
2008-04-25,49,71.54
2008-05-02,33,72.14
2008-05-09,37,71.44
2008-05-16,46,73.27
2008-05-23,44,71.32
2008-05-30,29,71.32
2008-06-06,38,71.19
2008-06-13,37,70.32
2008-06-20,37,68.73
2008-06-27,35,70.26
2008-07-04,42,
2008-07-11,45,69.83
2008-07-18,39,72.23
2008-07-25,39,61.76
2008-08-01,46,62.20
2008-08-08,48,66.99
2008-08-15,35,68.00
2008-08-22,37,67.43
2008-08-29,39,67.06
2008-09-05,38,68.44
2008-09-12,37,69.55
2008-09-19,42,66.09
2008-09-26,36,66.29
2008-10-03,33,62.60
2008-10-10,43,53.90
2008-10-17,33,57.98
2008-10-24,31,50.93
2008-10-31,38,57.01
2008-11-07,43,54.07
2008-11-14,41,48.06
2008-11-21,41,46.71
2008-11-28,35,51.47
2008-12-05,45,55.58
2008-12-12,37,53.40
2008-12-19,33,53.79
2008-12-26,28,51.47
2009-01-02,47,53.35
2009-01-09,41,49.14
2009-01-16,38,48.80
2009-01-23,43,46.97
2009-01-30,44,45.03
2009-02-06,44,45.21
2009-02-13,40,42.76
2009-02-20,44,42.76
2009-02-27,44,42.34
2009-03-06,43,38.98
2009-03-13,49,42.20
2009-03-20,51,44.83
2009-03-27,40,47.40
2009-04-03,54,48.91
2009-04-10,41,
2009-04-17,61,45.77
2009-04-24,39,48.17
2009-05-01,37,47.69
2009-05-08,48,46.60
2009-05-15,51,44.75
2009-05-22,55,48.30
2009-05-29,45,48.52
2009-06-05,56,47.64
2009-06-12,41,47.03
2009-06-19,53,46.11
2009-06-26,51,46.41
2009-07-03,41,
2009-07-10,51,44.97
2009-07-17,69,47.48
2009-07-24,58,49.13
2009-07-31,54,49.50
2009-08-07,62,50.10
2009-08-14,57,48.63
2009-08-21,52,48.56
2009-08-28,53,51.77
2009-09-04,53,55.47
2009-09-11,42,56.81
2009-09-18,55,57.55
2009-09-25,48,56.28
2009-10-02,46,56.47
2009-10-09,57,58.64
2009-10-16,51,58.48
2009-10-23,54,57.81
2009-10-30,50,56.85
2009-11-06,49,59.41
2009-11-13,59,60.47
2009-11-20,57,60.06
2009-11-27,58,60.03
2009-12-04,58,59.19
2009-12-11,44,59.32
2009-12-18,51,58.43
2009-12-25,41,
2010-01-01,52,
2010-01-08,50,59.28
2010-01-15,52,58.79
2010-01-22,59,57.07
2010-01-29,68,57.43
2010-02-05,69,58.58
2010-02-12,57,59.28
2010-02-19,55,61.14
2010-02-26,59,60.97
2010-03-05,59,60.68
2010-03-12,67,60.17
2010-03-19,64,60.72
2010-03-26,55,60.13
2010-04-02,50,
2010-04-09,65,61.21
2010-04-16,58,59.19
2010-04-23,55,60.20
2010-04-30,69,59.08
2010-05-07,61,57.31
2010-05-14,55,57.74
2010-05-21,52,57.44
2010-05-28,67,58.25
2010-06-04,54,56.17
2010-06-11,69,57.52
2010-06-18,60,58.21
2010-06-25,62,56.44
2010-07-02,62,54.23
2010-07-09,63,56.19
2010-07-16,59,54.98
2010-07-23,72,55.95
2010-07-30,72,56.71
2010-08-06,66,56.54
2010-08-13,65,55.31
2010-08-20,65,55.04
2010-08-27,74,56.19
2010-09-03,61,58.57
2010-09-10,61,59.54
2010-09-17,54,61.29
2010-09-24,67,64.05
2010-10-01,63,65.05
2010-10-08,56,64.29
2010-10-15,59,63.70
2010-10-22,61,64.03
2010-10-29,58,62.77
2010-11-05,72,65.40
2010-11-12,68,65.20
2010-11-19,64,66.56
2010-11-26,52,67.22
2010-12-03,62,68.39
2010-12-10,69,71.25
2010-12-17,64,71.84
2010-12-24,59,
2010-12-31,72,72.21
2011-01-07,71,70.65
2011-01-14,74,72.51
2011-01-21,76,72.77
2011-01-28,64,71.93
2011-02-04,72,74.13
2011-02-11,67,75.04
2011-02-18,65,75.43
2011-02-25,71,73.57
2011-03-04,71,72.81
2011-03-11,69,72.55
2011-03-18,57,70.66
2011-03-25,75,71.46
2011-04-01,78,74.25
2011-04-08,79,76.41
2011-04-15,76,76.97
2011-04-22,74,
2011-04-29,75,80.89
2011-05-06,72,80.45
2011-05-13,75,82.72
2011-05-20,89,83.40
2011-05-27,75,81.53
2011-06-03,72,77.81
2011-06-10,72,78.30
2011-06-17,81,79.63
2011-06-24,81,79.13
2011-07-01,75,81.54
2011-07-08,70,81.41
2011-07-15,75,79.86
2011-07-22,89,81.67
2011-07-29,83,78.25
2011-08-05,87,76.74
2011-08-12,81,72.79
2011-08-19,81,74.36
2011-08-26,76,77.21
2011-09-02,62,78.56
2011-09-09,78,78.90
2011-09-16,72,84.24
2011-09-23,72,83.37
2011-09-30,68,82.13
2011-10-07,74,79.02
2011-10-14,69,81.77
2011-10-21,73,85.30
2011-10-28,75,84.93
2011-11-04,74,83.81
2011-11-11,76,83.04
2011-11-18,74,81.72
2011-11-25,69,80.82
2011-12-02,81,86.73
2011-12-09,71,84.37
2011-12-16,64,82.57
2011-12-23,58,84.66
2011-12-30,74,83.32
2012-01-06,75,81.13
2012-01-13,71,80.61
2012-01-20,65,81.41
2012-01-27,81,81.62
2012-02-03,76,85.36
2012-02-10,86,84.20
2012-02-17,64,84.47
2012-02-24,77,84.40
2012-03-02,79,86.23
2012-03-09,77,89.34
2012-03-16,66,90.44
2012-03-23,84,90.27
2012-03-30,80,90.80
2012-04-06,72,
2012-04-13,80,86.32
2012-04-20,89,87.58
2012-04-27,80,88.69
2012-05-04,85,83.39
2012-05-11,87,84.60
2012-05-18,65,82.94
2012-05-25,83,84.48
2012-06-01,84,85.49
2012-06-08,79,88.74
2012-06-15,71,91.44
2012-06-22,83,90.93
2012-06-29,90,95.00
2012-07-06,87,93.68
2012-07-13,87,94.81
2012-07-20,93,95.61
2012-07-27,86,97.11
2012-08-03,98,97.21
2012-08-10,91,95.30
2012-08-17,87,96.14
2012-08-24,86,96.25
2012-08-31,79,97.87
2012-09-07,87,99.72
2012-09-14,94,102.18
2012-09-21,94,102.36
2012-09-28,99,100.16
2012-10-05,85,101.79
2012-10-12,85,97.55
2012-10-19,84,94.78
2012-10-26,93,96.94
2012-11-02,69,96.12
2012-11-09,82,95.46
2012-11-16,76,95.69
2012-11-23,84,97.92
2012-11-30,90,103.92
2012-12-07,75,98.56
2012-12-14,80,96.92
2012-12-21,76,99.49
2012-12-28,69,96.97
2013-01-04,90,102.16
2013-01-11,82,100.28
2013-01-18,81,101.20
2013-01-25,88,102.36
2013-02-01,81,104.15
2013-02-08,81,102.79
2013-02-15,86,102.17
2013-02-22,75,101.16
2013-03-01,80,101.42
2013-03-08,91,103.04
2013-03-15,97,101.75
2013-03-22,87,105.11
2013-03-29,83,
2013-04-05,86,105.80
2013-04-12,86,106.13
2013-04-19,88,104.45
2013-04-26,86,109.27
2013-05-03,89,109.75
2013-05-10,90,109.99
2013-05-17,86,113.05
2013-05-24,82,114.39
2013-05-31,83,109.63
2013-06-07,85,110.58
2013-06-14,84,111.00
2013-06-21,80,108.65
2013-06-28,78,110.57
2013-07-05,86,111.76
2013-07-12,87,116.46
2013-07-19,86,118.07
2013-07-26,85,116.57
2013-08-02,85,119.37
2013-08-09,87,115.63
2013-08-16,76,111.90
2013-08-23,76,113.07
2013-08-30,78,111.87
2013-09-06,82,114.35
2013-09-13,81,117.03
2013-09-20,89,117.94
2013-09-27,79,115.72
2013-10-04,83,114.44
2013-10-11,87,115.90
2013-10-18,86,117.64
2013-10-25,82,116.44
2013-11-01,90,119.62
2013-11-08,82,122.78
2013-11-15,85,124.29
2013-11-22,86,125.21
2013-11-29,72,125.43
2013-12-06,81,122.06
2013-12-13,77,117.91
2013-12-20,75,118.53
2013-12-27,65,118.53
2014-01-03,80,117.29
2014-01-10,83,117.85
2014-01-17,87,116.29
2014-01-24,87,112.13
2014-01-31,85,112.36
2014-02-07,92,114.04
2014-02-14,84,116.10
2014-02-21,85,113.19
2014-02-28,89,116.80
2014-03-07,88,113.50
2014-03-14,81,113.45
2014-03-21,87,113.83
2014-03-28,86,111.66
2014-04-04,86,110.65
2014-04-11,90,112.08
2014-04-18,100,
2014-04-25,91,115.01
2014-05-02,94,
