Date,DNR,Price
2004-01-09,62,
2004-01-16,67,
2004-01-23,64,
2004-01-30,64,
2004-02-06,67,14.10
2004-02-13,66,14.95
2004-02-20,69,14.51
2004-02-27,71,15.11
2004-03-05,85,15.43
2004-03-12,63,15.32
2004-03-19,63,15.33
2004-03-26,59,15.55
2004-04-02,73,17.00
2004-04-09,71,
2004-04-16,83,19.29
2004-04-23,82,19.26
2004-04-30,86,18.26
2004-05-07,76,18.28
2004-05-14,71,17.99
2004-05-21,73,17.32
2004-05-28,78,18.40
2004-06-04,81,18.60
2004-06-11,69,
2004-06-18,77,20.62
2004-06-25,77,21.47
2004-07-02,75,21.40
2004-07-09,85,20.82
2004-07-16,97,22.09
2004-07-23,93,20.88
2004-07-30,91,21.85
2004-08-06,82,19.82
2004-08-13,86,19.72
2004-08-20,81,20.74
2004-08-27,91,21.70
2004-09-03,100,23.11
2004-09-10,98,23.22
2004-09-17,92,23.93
2004-09-24,93,25.10
2004-10-01,90,25.71
2004-10-08,85,26.56
2004-10-15,99,25.43
2004-10-22,87,26.17
2004-10-29,93,24.80
2004-11-05,82,25.63
2004-11-12,78,26.05
2004-11-19,87,26.28
2004-11-26,70,28.58
2004-12-03,84,27.52
2004-12-10,85,25.79
2004-12-17,60,27.92
2004-12-24,57,
2004-12-31,71,27.45
2005-01-07,73,24.86
2005-01-14,62,26.44
2005-01-21,65,27.05
2005-01-28,64,28.42
2005-02-04,67,31.38
2005-02-11,59,33.10
2005-02-18,60,34.10
2005-02-25,70,35.76
2005-03-04,65,35.19
2005-03-11,70,33.81
2005-03-18,72,36.00
2005-03-25,74,
2005-04-01,77,35.89
2005-04-08,79,34.55
2005-04-15,79,31.13
2005-04-22,83,33.50
2005-04-29,83,31.74
2005-05-06,80,30.93
2005-05-13,84,29.35
2005-05-20,77,29.80
2005-05-27,77,31.74
2005-06-03,76,33.20
2005-06-10,75,35.24
2005-06-17,78,38.66
2005-06-24,77,40.17
2005-07-01,86,41.34
2005-07-08,74,42.30
2005-07-15,78,42.83
2005-07-22,74,46.82
2005-07-29,92,46.80
2005-08-05,86,46.22
2005-08-12,82,46.43
2005-08-19,92,44.25
2005-08-26,83,44.05
2005-09-02,92,44.49
2005-09-09,76,46.62
2005-09-16,88,47.97
2005-09-23,90,47.84
2005-09-30,83,50.44
2005-10-07,91,44.55
2005-10-14,83,41.72
2005-10-21,82,39.46
2005-10-28,84,43.07
2005-11-04,88,46.04
2005-11-11,84,22.90
2005-11-18,87,22.55
2005-11-25,72,23.67
2005-12-02,81,23.51
2005-12-09,73,23.86
2005-12-16,59,23.67
2005-12-23,57,23.55
2005-12-30,68,22.78
2006-01-06,72,24.60
2006-01-13,71,25.51
2006-01-20,57,27.04
2006-01-27,68,28.70
2006-02-03,67,29.17
2006-02-10,54,26.90
2006-02-17,56,26.72
2006-02-24,61,29.11
2006-03-03,60,28.90
2006-03-10,63,26.76
2006-03-17,64,28.86
2006-03-24,71,30.47
2006-03-31,69,31.67
2006-04-07,70,32.54
2006-04-14,83,
2006-04-21,82,35.50
2006-04-28,71,32.60
2006-05-05,76,32.90
2006-05-12,73,32.08
2006-05-19,70,29.65
2006-05-26,73,31.50
2006-06-02,74,32.99
2006-06-09,71,29.15
2006-06-16,70,28.53
2006-06-23,64,28.92
2006-06-30,69,31.67
2006-07-07,75,31.51
2006-07-14,79,31.20
2006-07-21,84,29.73
2006-07-28,82,32.65
2006-08-04,79,34.03
2006-08-11,83,33.83
2006-08-18,83,32.13
2006-08-25,86,32.80
2006-09-01,87,31.85
2006-09-08,83,30.03
2006-09-15,84,27.59
2006-09-22,82,27.90
2006-09-29,82,28.90
2006-10-06,84,27.55
2006-10-13,81,29.27
2006-10-20,78,28.92
2006-10-27,78,28.78
2006-11-03,82,27.61
2006-11-10,77,28.03
2006-11-17,86,28.15
2006-11-24,73,27.50
2006-12-01,83,29.95
2006-12-08,75,30.38
2006-12-15,70,30.01
2006-12-22,50,28.27
2006-12-29,55,27.79
2007-01-05,61,26.55
2007-01-12,64,27.21
2007-01-19,58,27.24
2007-01-26,58,27.55
2007-02-02,61,28.04
2007-02-09,55,28.66
2007-02-16,55,29.18
2007-02-23,59,30.19
2007-03-02,54,27.66
2007-03-09,58,27.92
2007-03-16,59,27.38
2007-03-23,63,29.51
2007-03-30,69,29.79
2007-04-06,62,
2007-04-13,63,32.76
2007-04-20,66,31.85
2007-04-27,71,33.99
2007-05-04,74,33.80
2007-05-11,71,34.58
2007-05-18,69,36.04
2007-05-25,67,35.56
2007-06-01,66,36.20
2007-06-08,65,35.84
2007-06-15,63,38.45
2007-06-22,62,36.69
2007-06-29,65,37.50
2007-07-06,64,39.76
2007-07-13,69,42.77
2007-07-20,67,42.94
2007-07-27,72,38.84
2007-08-03,76,40.57
2007-08-10,76,41.86
2007-08-17,73,40.08
2007-08-24,72,40.26
2007-08-31,77,39.78
2007-09-07,76,41.57
2007-09-14,75,44.00
2007-09-21,70,45.92
2007-09-28,71,44.69
2007-10-05,74,48.07
2007-10-12,71,48.95
2007-10-19,74,49.28
2007-10-26,70,53.83
2007-11-02,72,56.00
2007-11-09,70,58.54
2007-11-16,76,54.47
2007-11-23,64,54.37
2007-11-30,73,53.32
2007-12-07,80,57.06
2007-12-14,66,54.58
2007-12-21,54,28.76
2007-12-28,54,30.11
2008-01-04,59,31.16
2008-01-11,55,29.23
2008-01-18,53,24.69
2008-01-25,50,24.95
2008-02-01,55,26.46
2008-02-08,51,27.24
2008-02-15,55,28.51
2008-02-22,48,30.99
2008-02-29,50,31.89
2008-03-07,49,31.24
2008-03-14,51,31.52
2008-03-21,51,
2008-03-28,58,29.21
2008-04-04,63,30.40
2008-04-11,59,30.02
2008-04-18,62,32.16
2008-04-25,65,31.91
2008-05-02,68,29.49
2008-05-09,63,32.87
2008-05-16,56,34.87
2008-05-23,63,36.04
2008-05-30,60,34.03
2008-06-06,55,35.01
