Date,MCK,Price
2004-01-09,64,
2004-01-16,64,
2004-01-23,49,
2004-01-30,55,
2004-02-06,46,29.43
2004-02-13,39,28.61
2004-02-20,50,28.20
2004-02-27,49,27.31
2004-03-05,76,28.43
2004-03-12,74,28.05
2004-03-19,74,27.76
2004-03-26,72,29.40
2004-04-02,72,30.38
2004-04-09,70,
2004-04-16,60,31.88
2004-04-23,60,31.92
2004-04-30,43,32.86
2004-05-07,57,33.20
2004-05-14,59,33.95
2004-05-21,94,33.61
2004-05-28,56,34.40
2004-06-04,63,33.99
2004-06-11,70,
2004-06-18,69,35.16
2004-06-25,78,33.92
2004-07-02,43,30.49
2004-07-09,47,29.65
2004-07-16,59,30.41
2004-07-23,75,32.10
2004-07-30,47,32.17
2004-08-06,76,30.18
2004-08-13,63,29.22
2004-08-20,70,30.73
2004-08-27,50,31.53
2004-09-03,46,31.45
2004-09-10,62,27.29
2004-09-17,67,27.60
2004-09-24,39,27.39
2004-10-01,66,26.00
2004-10-08,64,24.44
2004-10-15,62,24.34
2004-10-22,41,24.98
2004-10-29,47,26.66
2004-11-05,67,27.98
2004-11-12,39,29.60
2004-11-19,39,28.44
2004-11-26,64,29.17
2004-12-03,44,30.32
2004-12-10,41,32.00
2004-12-17,59,31.90
2004-12-24,40,
2004-12-31,46,31.46
2005-01-07,66,30.88
2005-01-14,54,31.01
2005-01-21,54,30.85
2005-01-28,62,33.54
2005-02-04,57,36.30
2005-02-11,43,36.34
2005-02-18,72,36.77
2005-02-25,65,37.79
2005-03-04,55,38.20
2005-03-11,59,37.60
2005-03-18,45,37.06
2005-03-25,44,
2005-04-01,61,37.86
2005-04-08,74,38.15
2005-04-15,55,37.30
2005-04-22,63,35.08
2005-04-29,52,37.00
2005-05-06,64,38.04
2005-05-13,45,37.68
2005-05-20,58,38.94
2005-05-27,44,40.25
2005-06-03,69,40.20
2005-06-10,47,40.25
2005-06-17,77,42.80
2005-06-24,56,43.29
2005-07-01,70,44.90
2005-07-08,47,44.55
2005-07-15,51,45.22
2005-07-22,73,44.57
2005-07-29,57,45.00
2005-08-05,51,46.60
2005-08-12,47,46.97
2005-08-19,79,46.05
2005-08-26,43,45.62
2005-09-02,49,46.27
2005-09-09,46,45.00
2005-09-16,69,46.47
2005-09-23,64,45.79
2005-09-30,34,47.45
2005-10-07,58,45.60
2005-10-14,52,44.14
2005-10-21,64,43.87
2005-10-28,54,45.19
2005-11-04,49,45.07
2005-11-11,58,45.85
2005-11-18,61,48.38
2005-11-25,71,50.13
2005-12-02,50,50.34
2005-12-09,41,51.93
2005-12-16,59,52.21
2005-12-23,63,52.13
2005-12-30,44,51.59
2006-01-06,65,53.30
2006-01-13,64,51.15
2006-01-20,79,51.01
2006-01-27,58,53.80
2006-02-03,48,53.82
2006-02-10,47,53.15
2006-02-17,71,54.60
2006-02-24,65,53.60
2006-03-03,100,53.74
2006-03-10,46,53.88
2006-03-17,59,53.52
2006-03-24,63,52.63
2006-03-31,73,52.13
2006-04-07,60,51.22
2006-04-14,52,
2006-04-21,60,49.61
2006-04-28,71,48.59
2006-05-05,63,48.88
2006-05-12,69,47.80
2006-05-19,76,48.61
2006-05-26,78,48.74
2006-06-02,84,49.80
2006-06-09,58,45.66
2006-06-16,51,45.85
2006-06-23,43,45.71
2006-06-30,49,47.28
2006-07-07,43,47.16
2006-07-14,42,45.67
2006-07-21,50,49.41
2006-07-28,66,51.15
2006-08-04,60,51.18
2006-08-11,58,51.10
2006-08-18,56,52.08
2006-08-25,69,51.38
2006-09-01,46,51.84
2006-09-08,42,53.49
2006-09-15,58,54.13
2006-09-22,51,52.45
2006-09-29,50,52.72
2006-10-06,51,50.54
2006-10-13,56,49.85
2006-10-20,71,51.37
2006-10-27,51,50.90
2006-11-03,63,48.52
2006-11-10,69,49.41
2006-11-17,60,49.55
2006-11-24,41,48.18
2006-12-01,61,49.23
2006-12-08,61,48.96
2006-12-15,47,51.18
2006-12-22,56,50.72
2006-12-29,50,50.70
2007-01-05,48,51.31
2007-01-12,54,54.42
2007-01-19,64,55.13
2007-01-26,59,55.94
2007-02-02,76,55.77
2007-02-09,77,55.71
2007-02-16,82,57.22
2007-02-23,66,57.39
2007-03-02,55,54.65
2007-03-09,65,56.07
2007-03-16,56,55.23
2007-03-23,52,57.82
2007-03-30,64,58.54
2007-04-06,86,
2007-04-13,62,59.57
2007-04-20,64,60.22
2007-04-27,57,58.24
2007-05-04,49,60.00
2007-05-11,60,59.68
2007-05-18,60,61.92
2007-05-25,63,62.36
2007-06-01,55,63.71
2007-06-08,67,61.88
2007-06-15,80,60.76
2007-06-22,63,58.10
2007-06-29,59,59.64
2007-07-06,58,59.62
2007-07-13,61,60.50
2007-07-20,75,58.36
2007-07-27,56,55.95
2007-08-03,53,58.56
2007-08-10,59,56.05
2007-08-17,72,58.39
2007-08-24,60,59.24
2007-08-31,68,57.21
2007-09-07,69,54.88
2007-09-14,65,54.19
2007-09-21,58,55.78
2007-09-28,59,58.79
2007-10-05,61,59.70
2007-10-12,48,59.10
2007-10-19,57,57.38
2007-10-26,61,58.46
2007-11-02,70,64.40
2007-11-09,67,63.83
2007-11-16,58,66.83
2007-11-23,67,67.00
2007-11-30,69,66.73
2007-12-07,54,66.37
2007-12-14,65,63.21
2007-12-21,56,65.94
2007-12-28,42,65.94
2008-01-04,58,63.25
2008-01-11,53,67.80
2008-01-18,66,64.80
2008-01-25,64,60.40
2008-02-01,57,61.41
2008-02-08,54,57.68
2008-02-15,67,58.56
2008-02-22,65,59.89
2008-02-29,67,58.76
2008-03-07,58,57.40
2008-03-14,57,52.89
2008-03-21,69,
2008-03-28,62,51.66
2008-04-04,74,54.30
2008-04-11,52,52.38
2008-04-18,63,54.53
2008-04-25,66,54.50
2008-05-02,65,54.30
2008-05-09,73,57.37
2008-05-16,64,58.57
2008-05-23,67,57.22
2008-05-30,57,57.65
2008-06-06,68,57.02
2008-06-13,62,56.01
2008-06-20,48,57.09
2008-06-27,62,56.71
2008-07-04,54,
2008-07-11,57,54.56
2008-07-18,53,53.61
2008-07-25,58,56.32
2008-08-01,48,55.99
2008-08-08,65,57.02
2008-08-15,57,57.31
2008-08-22,54,58.44
2008-08-29,54,57.78
2008-09-05,51,56.92
2008-09-12,55,57.49
2008-09-19,71,57.03
2008-09-26,63,55.31
2008-10-03,63,48.86
2008-10-10,66,39.04
2008-10-17,59,44.83
2008-10-24,64,39.23
2008-10-31,72,36.79
2008-11-07,58,38.25
2008-11-14,50,35.26
2008-11-21,57,30.41
2008-11-28,67,34.94
2008-12-05,51,33.59
2008-12-12,47,36.53
2008-12-19,49,37.89
2008-12-26,39,37.37
2009-01-02,50,39.02
2009-01-09,56,40.21
2009-01-16,54,41.21
2009-01-23,66,39.64
2009-01-30,62,44.20
2009-02-06,55,45.68
2009-02-13,67,45.38
2009-02-20,72,45.00
2009-02-27,63,41.02
2009-03-06,69,39.38
2009-03-13,70,35.90
2009-03-20,62,35.03
2009-03-27,66,36.48
2009-04-03,63,33.89
2009-04-10,51,
2009-04-17,54,36.29
2009-04-24,57,35.85
2009-05-01,55,37.93
2009-05-08,60,41.30
2009-05-15,56,38.46
2009-05-22,56,40.89
2009-05-29,59,41.15
2009-06-05,55,41.62
2009-06-12,55,42.98
2009-06-19,58,44.61
2009-06-26,52,44.67
2009-07-03,48,
2009-07-10,49,43.23
2009-07-17,57,45.65
2009-07-24,50,46.71
2009-07-31,62,51.15
2009-08-07,57,53.11
2009-08-14,67,55.00
2009-08-21,66,56.24
2009-08-28,60,56.22
2009-09-04,62,56.13
2009-09-11,56,57.56
2009-09-18,54,58.46
2009-09-25,56,57.79
2009-10-02,50,57.70
2009-10-09,53,60.49
2009-10-16,61,61.07
2009-10-23,50,60.31
2009-10-30,60,58.73
2009-11-06,55,62.58
2009-11-13,64,64.24
2009-11-20,61,63.12
2009-11-27,62,62.75
2009-12-04,53,60.94
2009-12-11,52,62.24
2009-12-18,54,63.31
2009-12-25,43,
2010-01-01,49,
2010-01-08,57,60.77
2010-01-15,58,61.92
2010-01-22,45,60.57
2010-01-29,53,58.82
2010-02-05,54,58.28
2010-02-12,51,58.99
2010-02-19,59,60.75
2010-02-26,60,59.15
2010-03-05,53,62.08
2010-03-12,55,61.08
2010-03-19,51,64.07
2010-03-26,55,63.62
2010-04-02,43,
2010-04-09,57,66.56
2010-04-16,58,64.19
2010-04-23,57,68.03
2010-04-30,53,64.81
2010-05-07,52,63.73
2010-05-14,65,67.72
2010-05-21,56,68.33
2010-05-28,49,70.00
2010-06-04,50,68.56
2010-06-11,55,69.67
2010-06-18,43,70.09
2010-06-25,44,68.16
2010-07-02,40,67.16
2010-07-09,43,67.43
2010-07-16,52,68.00
2010-07-23,44,65.63
2010-07-30,50,62.82
2010-08-06,52,62.81
2010-08-13,50,60.65
2010-08-20,51,61.67
2010-08-27,54,60.36
2010-09-03,51,59.95
2010-09-10,55,59.35
2010-09-17,58,62.35
2010-09-24,58,61.91
2010-10-01,60,60.70
2010-10-08,57,60.78
2010-10-15,53,62.38
2010-10-22,57,61.08
2010-10-29,57,65.98
2010-11-05,56,66.30
2010-11-12,63,65.09
2010-11-19,57,66.00
2010-11-26,50,64.51
2010-12-03,43,67.01
2010-12-10,51,68.09
2010-12-17,55,68.81
2010-12-24,49,
2010-12-31,47,70.38
2011-01-07,48,74.00
2011-01-14,69,74.17
2011-01-21,53,73.21
2011-01-28,57,74.15
2011-02-04,52,77.74
2011-02-11,52,78.77
2011-02-18,55,80.64
2011-02-25,52,79.21
2011-03-04,54,80.48
2011-03-11,58,77.81
2011-03-18,48,77.92
2011-03-25,51,79.59
2011-04-01,56,79.77
2011-04-08,51,78.50
2011-04-15,51,80.61
2011-04-22,46,
2011-04-29,47,83.01
2011-05-06,57,82.74
2011-05-13,57,84.24
2011-05-20,51,85.07
2011-05-27,49,85.04
2011-06-03,46,84.28
2011-06-10,51,83.25
2011-06-17,46,82.41
2011-06-24,50,81.55
2011-07-01,50,84.08
2011-07-08,51,84.54
2011-07-15,44,82.48
2011-07-22,46,82.31
2011-07-29,51,81.12
2011-08-05,53,75.31
2011-08-12,55,79.02
2011-08-19,48,73.85
2011-08-26,48,76.53
2011-09-02,49,77.50
2011-09-09,49,74.08
2011-09-16,47,76.63
2011-09-23,50,73.36
2011-09-30,52,72.70
2011-10-07,45,70.38
2011-10-14,46,73.45
2011-10-21,51,75.87
2011-10-28,51,84.41
2011-11-04,51,80.62
2011-11-11,53,82.77
2011-11-18,48,80.01
2011-11-25,42,76.34
2011-12-02,49,80.49
2011-12-09,54,79.74
2011-12-16,44,77.70
2011-12-23,47,78.73
2011-12-30,46,77.91
2012-01-06,50,78.67
2012-01-13,56,77.24
2012-01-20,52,76.51
2012-01-27,51,79.31
2012-02-03,58,80.80
2012-02-10,66,81.34
2012-02-17,54,82.57
2012-02-24,60,82.00
2012-03-02,63,82.17
2012-03-09,52,86.40
2012-03-16,56,87.56
2012-03-23,58,86.38
2012-03-30,54,87.77
2012-04-06,50,
2012-04-13,48,90.48
2012-04-20,52,91.00
2012-04-27,50,91.05
2012-05-04,48,89.58
2012-05-11,53,90.15
2012-05-18,45,87.45
2012-05-25,50,87.69
2012-06-01,53,86.70
2012-06-08,47,88.42
2012-06-15,43,91.00
2012-06-22,41,91.67
2012-06-29,43,93.75
2012-07-06,42,93.52
2012-07-13,44,94.88
2012-07-20,50,95.34
2012-07-27,43,91.74
2012-08-03,44,87.43
2012-08-10,55,89.06
2012-08-17,50,86.42
2012-08-24,49,87.19
2012-08-31,45,87.11
2012-09-07,45,88.50
2012-09-14,48,87.40
2012-09-21,50,86.72
2012-09-28,52,86.03
2012-10-05,48,89.47
2012-10-12,46,89.28
2012-10-19,49,90.20
2012-10-26,50,92.58
2012-11-02,48,93.30
2012-11-09,46,92.94
2012-11-16,55,92.06
2012-11-23,48,94.11
2012-11-30,51,94.47
2012-12-07,49,95.30
2012-12-14,43,98.25
2012-12-21,45,98.00
2012-12-28,41,95.89
2013-01-04,44,99.94
2013-01-11,54,101.08
2013-01-18,58,103.98
2013-01-25,52,106.62
2013-02-01,45,103.19
2013-02-08,52,103.80
2013-02-15,53,103.42
2013-02-22,50,103.66
2013-03-01,51,107.46
2013-03-08,52,109.32
2013-03-15,45,110.48
2013-03-22,50,107.89
2013-03-29,47,
2013-04-05,46,106.83
2013-04-12,52,108.36
2013-04-19,51,106.25
2013-04-26,45,104.18
2013-05-03,44,108.14
2013-05-10,47,115.29
2013-05-17,49,116.89
2013-05-24,47,117.31
2013-05-31,47,113.86
2013-06-07,50,113.96
2013-06-14,47,114.29
2013-06-21,44,110.97
2013-06-28,42,114.50
2013-07-05,37,115.73
2013-07-12,41,118.64
2013-07-19,39,118.65
2013-07-26,40,124.85
2013-08-02,41,123.42
2013-08-09,42,124.21
2013-08-16,42,121.82
2013-08-23,44,122.95
2013-08-30,49,121.41
2013-09-06,44,123.57
2013-09-13,45,128.70
2013-09-20,44,131.27
2013-09-27,47,129.29
2013-10-04,48,131.87
2013-10-11,47,138.31
2013-10-18,49,141.45
2013-10-25,46,154.99
2013-11-01,48,159.44
2013-11-08,48,158.56
2013-11-15,47,160.15
2013-11-22,45,163.61
2013-11-29,46,165.89
2013-12-06,51,162.81
2013-12-13,50,157.39
2013-12-20,42,161.50
2013-12-27,36,160.98
2014-01-03,44,160.71
2014-01-10,53,175.44
2014-01-17,57,168.12
2014-01-24,52,173.72
2014-01-31,51,174.41
2014-02-07,50,174.99
2014-02-14,50,175.60
2014-02-21,46,176.35
2014-02-28,44,177.05
2014-03-07,57,182.40
2014-03-14,56,180.81
2014-03-21,49,180.85
2014-03-28,54,175.42
2014-04-04,47,170.87
2014-04-11,44,164.68
2014-04-18,41,
2014-04-25,42,167.85
2014-05-02,47,
