Date,WHR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,73.52
2004-02-13,45,72.50
2004-02-20,0,71.33
2004-02-27,0,72.94
2004-03-05,0,72.98
2004-03-12,0,67.95
2004-03-19,0,68.11
2004-03-26,0,68.12
2004-04-02,0,69.69
2004-04-09,0,
2004-04-16,0,69.00
2004-04-23,0,69.21
2004-04-30,0,65.51
2004-05-07,0,62.09
2004-05-14,0,64.38
2004-05-21,0,64.42
2004-05-28,0,66.53
2004-06-04,0,66.13
2004-06-11,0,
2004-06-18,0,67.15
2004-06-25,0,69.83
2004-07-02,41,68.12
2004-07-09,51,65.03
2004-07-16,60,62.11
2004-07-23,70,63.02
2004-07-30,40,62.44
2004-08-06,40,58.71
2004-08-13,40,59.49
2004-08-20,40,62.00
2004-08-27,58,61.59
2004-09-03,38,61.61
2004-09-10,38,61.17
2004-09-17,40,61.82
2004-09-24,43,61.44
2004-10-01,45,60.82
2004-10-08,35,57.91
2004-10-15,0,57.88
2004-10-22,0,55.70
2004-10-29,0,58.75
2004-11-05,0,62.45
2004-11-12,0,64.10
2004-11-19,0,64.64
2004-11-26,0,64.95
2004-12-03,41,63.92
2004-12-10,39,63.92
2004-12-17,39,66.28
2004-12-24,42,
2004-12-31,41,69.21
2005-01-07,41,67.94
2005-01-14,38,69.27
2005-01-21,38,67.55
2005-01-28,37,66.74
2005-02-04,37,64.52
2005-02-11,36,63.18
2005-02-18,28,62.89
2005-02-25,30,64.02
2005-03-04,32,65.79
2005-03-11,41,65.94
2005-03-18,36,63.87
2005-03-25,36,
2005-04-01,26,66.87
2005-04-08,44,67.12
2005-04-15,35,63.86
2005-04-22,41,64.53
2005-04-29,48,62.06
2005-05-06,39,63.00
2005-05-13,39,61.41
2005-05-20,40,68.25
2005-05-27,40,69.06
2005-06-03,48,68.00
2005-06-10,33,66.90
2005-06-17,42,72.51
2005-06-24,35,69.60
2005-07-01,27,69.60
2005-07-08,46,70.00
2005-07-15,30,69.99
2005-07-22,27,77.18
2005-07-29,45,79.98
2005-08-05,45,79.71
2005-08-12,50,84.40
2005-08-19,26,81.83
2005-08-26,50,77.16
2005-09-02,27,76.30
2005-09-09,31,78.81
2005-09-16,34,77.52
2005-09-23,35,73.14
2005-09-30,51,75.77
2005-10-07,50,73.70
2005-10-14,47,71.33
2005-10-21,43,74.72
2005-10-28,39,77.76
2005-11-04,44,80.17
2005-11-11,30,78.74
2005-11-18,35,80.03
2005-11-25,49,82.75
2005-12-02,40,84.81
2005-12-09,52,83.85
2005-12-16,55,83.90
2005-12-23,52,83.83
2005-12-30,39,83.76
2006-01-06,51,83.68
2006-01-13,43,81.18
2006-01-20,47,81.16
2006-01-27,59,81.74
2006-02-03,45,86.61
2006-02-10,56,87.28
2006-02-17,52,89.20
2006-02-24,45,90.64
2006-03-03,59,89.42
2006-03-10,58,86.00
2006-03-17,52,86.25
2006-03-24,54,87.72
2006-03-31,67,91.47
2006-04-07,74,90.91
2006-04-14,65,
2006-04-21,44,90.05
2006-04-28,76,89.75
2006-05-05,55,92.58
2006-05-12,59,88.78
2006-05-19,55,85.96
2006-05-26,52,90.98
2006-06-02,58,89.50
2006-06-09,58,84.25
2006-06-16,56,80.98
2006-06-23,54,81.60
2006-06-30,43,82.65
2006-07-07,48,82.55
2006-07-14,83,75.82
2006-07-21,75,75.79
2006-07-28,88,78.26
2006-08-04,65,79.22
2006-08-11,58,76.06
2006-08-18,58,79.38
2006-08-25,78,78.50
2006-09-01,84,81.56
2006-09-08,47,82.30
2006-09-15,70,88.62
2006-09-22,41,87.75
2006-09-29,78,84.11
2006-10-06,56,86.12
2006-10-13,48,88.83
2006-10-20,45,87.67
2006-10-27,58,86.24
2006-11-03,56,84.87
2006-11-10,61,89.55
2006-11-17,48,86.50
2006-11-24,65,85.75
2006-12-01,76,84.65
2006-12-08,57,85.84
2006-12-15,67,82.29
2006-12-22,70,81.71
2006-12-29,61,83.02
2007-01-05,71,84.73
2007-01-12,63,85.80
2007-01-19,72,87.09
2007-01-26,56,88.56
2007-02-02,66,92.35
2007-02-09,75,89.99
2007-02-16,90,96.20
2007-02-23,75,93.35
2007-03-02,60,86.92
2007-03-09,57,87.85
2007-03-16,49,84.09
2007-03-23,50,87.63
2007-03-30,53,84.91
2007-04-06,45,
2007-04-13,66,88.77
2007-04-20,69,90.47
2007-04-27,71,106.41
2007-05-04,74,111.21
2007-05-11,83,112.40
2007-05-18,71,113.83
2007-05-25,71,111.22
2007-06-01,75,111.39
2007-06-08,73,110.83
2007-06-15,77,114.70
2007-06-22,77,112.98
2007-06-29,70,111.20
2007-07-06,52,113.92
2007-07-13,65,111.31
2007-07-20,77,110.43
2007-07-27,75,102.63
2007-08-03,67,97.77
2007-08-10,61,94.31
2007-08-17,100,93.63
2007-08-24,93,98.07
2007-08-31,80,96.41
2007-09-07,72,92.77
2007-09-14,67,91.20
2007-09-21,65,92.21
2007-09-28,63,89.10
2007-10-05,67,94.29
2007-10-12,75,89.27
2007-10-19,64,86.14
2007-10-26,66,83.57
2007-11-02,69,79.13
2007-11-09,64,75.44
2007-11-16,64,76.16
2007-11-23,67,77.88
2007-11-30,59,80.96
2007-12-07,62,85.78
2007-12-14,64,81.29
2007-12-21,65,82.57
2007-12-28,70,80.79
2008-01-04,70,75.64
2008-01-11,83,73.54
2008-01-18,68,71.53
2008-01-25,72,77.78
2008-02-01,65,85.72
2008-02-08,90,89.03
2008-02-15,77,88.49
2008-02-22,67,88.72
2008-02-29,67,84.37
2008-03-07,82,83.74
2008-03-14,59,82.93
2008-03-21,83,
2008-03-28,72,85.40
2008-04-04,84,91.21
2008-04-11,64,82.73
2008-04-18,59,82.01
2008-04-25,89,76.40
2008-05-02,70,75.60
2008-05-09,77,72.43
2008-05-16,59,74.87
2008-05-23,52,71.77
2008-05-30,66,73.68
2008-06-06,63,68.74
2008-06-13,66,68.52
2008-06-20,71,66.00
2008-06-27,89,63.77
2008-07-04,68,
2008-07-11,53,62.00
2008-07-18,84,68.50
2008-07-25,77,73.11
2008-08-01,77,76.26
2008-08-08,70,79.00
2008-08-15,71,84.03
2008-08-22,78,81.41
2008-08-29,57,81.36
2008-09-05,61,82.01
2008-09-12,74,87.56
2008-09-19,66,90.49
2008-09-26,62,84.36
2008-10-03,60,71.13
2008-10-10,70,66.90
2008-10-17,57,61.78
2008-10-24,63,49.16
2008-10-31,66,46.65
2008-11-07,75,44.42
2008-11-14,64,39.09
2008-11-21,67,31.97
2008-11-28,66,39.38
2008-12-05,60,43.20
2008-12-12,83,41.04
2008-12-19,67,43.01
2008-12-26,67,40.03
2009-01-02,78,43.62
2009-01-09,70,44.50
2009-01-16,78,39.84
2009-01-23,59,36.33
2009-01-30,78,33.43
2009-02-06,75,36.39
2009-02-13,69,31.82
2009-02-20,81,26.25
2009-02-27,70,22.23
2009-03-06,70,20.19
2009-03-13,68,25.38
2009-03-20,83,25.72
2009-03-27,80,32.50
2009-04-03,75,35.30
2009-04-10,73,
2009-04-17,72,37.99
2009-04-24,77,40.73
2009-05-01,69,45.87
2009-05-08,61,49.79
2009-05-15,73,41.98
2009-05-22,76,41.42
2009-05-29,62,42.14
2009-06-05,71,43.90
2009-06-12,76,43.73
2009-06-19,71,43.35
2009-06-26,70,42.37
2009-07-03,67,
2009-07-10,74,43.62
2009-07-17,73,54.08
2009-07-24,79,54.76
2009-07-31,75,57.09
2009-08-07,78,61.78
2009-08-14,63,57.85
2009-08-21,78,64.09
2009-08-28,72,66.11
2009-09-04,72,64.06
2009-09-11,64,65.90
2009-09-18,67,73.02
2009-09-25,78,67.82
2009-10-02,78,66.52
2009-10-09,79,70.50
2009-10-16,60,72.73
2009-10-23,73,77.13
2009-10-30,77,71.59
2009-11-06,69,70.82
2009-11-13,73,74.26
2009-11-20,67,69.66
2009-11-27,77,74.60
2009-12-04,71,78.59
2009-12-11,62,74.79
2009-12-18,65,80.69
2009-12-25,81,
2010-01-01,82,
2010-01-08,71,84.56
2010-01-15,79,82.30
2010-01-22,84,77.57
2010-01-29,68,75.18
2010-02-05,69,76.12
2010-02-12,74,81.17
2010-02-19,87,84.67
2010-02-26,67,84.16
2010-03-05,92,86.67
2010-03-12,72,86.00
2010-03-19,76,86.28
2010-03-26,81,90.01
2010-04-02,82,
2010-04-09,71,93.31
2010-04-16,64,93.41
2010-04-23,75,102.22
2010-04-30,86,108.87
2010-05-07,80,98.14
2010-05-14,75,106.69
2010-05-21,62,99.04
2010-05-28,68,104.44
2010-06-04,75,95.65
2010-06-11,66,98.24
2010-06-18,80,101.36
2010-06-25,79,96.65
2010-07-02,73,84.10
2010-07-09,73,92.39
2010-07-16,72,90.41
2010-07-23,82,85.97
2010-07-30,71,83.30
2010-08-06,80,84.92
2010-08-13,75,76.74
2010-08-20,74,77.58
2010-08-27,75,75.58
2010-09-03,69,79.20
2010-09-10,75,73.06
2010-09-17,67,74.49
2010-09-24,76,79.16
2010-10-01,82,80.20
2010-10-08,61,82.77
2010-10-15,73,84.39
2010-10-22,77,85.56
2010-10-29,67,75.83
2010-11-05,64,80.07
2010-11-12,71,74.13
2010-11-19,66,76.62
2010-11-26,75,75.00
2010-12-03,79,80.06
2010-12-10,78,85.74
2010-12-17,80,90.08
2010-12-24,74,
2010-12-31,84,88.83
2011-01-07,92,87.49
2011-01-14,71,88.24
2011-01-21,78,88.45
2011-01-28,86,89.92
2011-02-04,76,85.97
2011-02-11,75,86.70
2011-02-18,74,83.44
2011-02-25,73,81.52
2011-03-04,76,80.94
2011-03-11,75,83.34
2011-03-18,67,80.10
2011-03-25,72,82.09
2011-04-01,75,86.03
2011-04-08,79,82.58
2011-04-15,75,85.70
2011-04-22,71,
2011-04-29,74,86.18
2011-05-06,67,84.50
2011-05-13,73,86.66
2011-05-20,72,81.96
2011-05-27,66,82.96
2011-06-03,71,76.98
2011-06-10,66,72.98
2011-06-17,75,76.05
2011-06-24,66,76.76
2011-07-01,69,82.78
2011-07-08,65,81.06
2011-07-15,71,75.83
2011-07-22,73,72.49
2011-07-29,64,69.23
2011-08-05,72,66.36
2011-08-12,66,62.59
2011-08-19,76,56.47
2011-08-26,74,58.73
2011-09-02,74,58.36
2011-09-09,70,52.54
2011-09-16,63,53.60
2011-09-23,71,50.00
2011-09-30,71,49.91
2011-10-07,70,53.54
2011-10-14,69,57.91
2011-10-21,73,57.40
2011-10-28,73,51.80
2011-11-04,73,51.64
2011-11-11,74,54.59
2011-11-18,80,50.68
2011-11-25,82,46.05
2011-12-02,75,49.45
2011-12-09,72,49.79
2011-12-16,73,46.64
2011-12-23,81,51.19
2011-12-30,81,47.45
2012-01-06,85,49.48
2012-01-13,73,50.90
2012-01-20,75,54.19
2012-01-27,77,54.60
2012-02-03,78,68.66
2012-02-10,84,70.04
2012-02-17,75,71.03
2012-02-24,75,71.30
2012-03-02,72,74.14
2012-03-09,80,75.30
2012-03-16,78,76.84
2012-03-23,89,76.78
2012-03-30,78,76.86
2012-04-06,73,
2012-04-13,68,71.10
2012-04-20,76,64.17
2012-04-27,70,64.52
2012-05-04,75,61.77
2012-05-11,72,62.41
2012-05-18,73,57.71
2012-05-25,74,60.56
2012-06-01,64,57.81
2012-06-08,62,60.83
2012-06-15,72,59.11
2012-06-22,66,56.73
2012-06-29,65,61.16
2012-07-06,70,62.82
2012-07-13,71,62.82
2012-07-20,68,67.61
2012-07-27,70,68.61
2012-08-03,70,69.54
2012-08-10,74,71.84
2012-08-17,67,75.27
2012-08-24,72,74.35
2012-08-31,67,75.46
2012-09-07,67,78.02
2012-09-14,77,83.34
2012-09-21,78,85.22
2012-09-28,67,82.91
2012-10-05,63,85.57
2012-10-12,67,83.58
2012-10-19,59,87.05
2012-10-26,67,95.29
2012-11-02,64,98.15
2012-11-09,67,96.61
2012-11-16,73,96.16
2012-11-23,76,102.73
2012-11-30,65,101.84
2012-12-07,71,98.01
2012-12-14,64,100.10
2012-12-21,66,101.38
2012-12-28,68,99.02
2013-01-04,83,105.99
2013-01-11,80,105.05
2013-01-18,69,102.31
2013-01-25,68,109.68
2013-02-01,68,112.74
2013-02-08,69,107.32
2013-02-15,67,111.33
2013-02-22,63,109.55
2013-03-01,73,114.35
2013-03-08,64,117.75
2013-03-15,64,115.20
2013-03-22,69,114.39
2013-03-29,66,
2013-04-05,69,113.40
2013-04-12,66,119.00
2013-04-19,65,117.13
2013-04-26,66,116.20
2013-05-03,62,118.42
2013-05-10,65,127.90
2013-05-17,59,130.71
2013-05-24,60,129.19
2013-05-31,60,127.76
2013-06-07,56,124.55
2013-06-14,57,129.24
2013-06-21,59,113.32
2013-06-28,59,114.36
2013-07-05,61,114.50
2013-07-12,53,123.35
2013-07-19,59,128.91
2013-07-26,65,130.39
2013-08-02,56,137.72
2013-08-09,63,133.26
2013-08-16,57,133.66
2013-08-23,59,134.30
2013-08-30,67,128.65
2013-09-06,66,131.37
2013-09-13,64,137.00
2013-09-20,63,148.05
2013-09-27,61,147.41
2013-10-04,57,139.68
2013-10-11,55,140.42
2013-10-18,61,133.43
2013-10-25,60,146.18
2013-11-01,58,147.06
2013-11-08,60,145.25
2013-11-15,59,150.84
2013-11-22,64,150.28
2013-11-29,60,152.76
2013-12-06,60,149.55
2013-12-13,53,148.85
2013-12-20,59,155.28
2013-12-27,57,156.96
2014-01-03,73,156.90
2014-01-10,69,156.64
2014-01-17,63,156.84
2014-01-24,69,145.68
2014-01-31,62,133.30
2014-02-07,61,136.55
2014-02-14,72,138.56
2014-02-21,60,138.80
2014-02-28,68,144.63
2014-03-07,63,145.99
2014-03-14,71,142.08
2014-03-21,71,144.93
2014-03-28,68,146.75
2014-04-04,69,152.00
2014-04-11,65,147.78
2014-04-18,67,
2014-04-25,59,155.42
2014-05-02,66,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
