Date,FFIV,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,35.20
2004-02-13,0,36.19
2004-02-20,0,35.51
2004-02-27,0,33.00
2004-03-05,0,32.71
2004-03-12,0,29.56
2004-03-19,0,27.91
2004-03-26,0,31.87
2004-04-02,0,34.74
2004-04-09,0,
2004-04-16,0,30.80
2004-04-23,0,31.60
2004-04-30,0,25.49
2004-05-07,0,27.38
2004-05-14,0,27.02
2004-05-21,0,27.57
2004-05-28,0,29.68
2004-06-04,0,28.20
2004-06-11,0,
2004-06-18,0,23.56
2004-06-25,0,25.46
2004-07-02,0,25.29
2004-07-09,0,24.24
2004-07-16,0,23.07
2004-07-23,0,24.66
2004-07-30,0,26.19
2004-08-06,0,23.17
2004-08-13,0,21.78
2004-08-20,0,24.90
2004-08-27,0,25.03
2004-09-03,0,24.41
2004-09-10,0,27.65
2004-09-17,0,30.05
2004-09-24,0,29.84
2004-10-01,0,31.63
2004-10-08,0,31.02
2004-10-15,0,31.35
2004-10-22,0,33.12
2004-10-29,0,39.95
2004-11-05,0,42.48
2004-11-12,0,42.61
2004-11-19,0,40.59
2004-11-26,0,41.75
2004-12-03,0,47.00
2004-12-10,0,46.92
2004-12-17,0,47.26
2004-12-24,0,
2004-12-31,0,48.72
2005-01-07,0,42.20
2005-01-14,0,46.45
2005-01-21,0,49.72
2005-01-28,0,47.00
2005-02-04,0,48.07
2005-02-11,0,51.79
2005-02-18,0,51.88
2005-02-25,0,54.93
2005-03-04,0,56.20
2005-03-11,0,57.87
2005-03-18,0,54.60
2005-03-25,0,
2005-04-01,0,50.28
2005-04-08,0,50.41
2005-04-15,0,44.17
2005-04-22,0,44.76
2005-04-29,0,42.78
2005-05-06,0,44.52
2005-05-13,0,45.34
2005-05-20,0,49.61
2005-05-27,0,51.77
2005-06-03,0,50.58
2005-06-10,0,51.19
2005-06-17,0,47.13
2005-06-24,0,45.69
2005-07-01,0,45.94
2005-07-08,0,47.79
2005-07-15,0,49.94
2005-07-22,0,41.73
2005-07-29,0,42.18
2005-08-05,0,37.17
2005-08-12,0,37.25
2005-08-19,0,37.84
2005-08-26,0,40.65
2005-09-02,0,41.86
2005-09-09,0,43.55
2005-09-16,0,44.21
2005-09-23,0,44.51
2005-09-30,0,43.47
2005-10-07,0,40.64
2005-10-14,0,42.15
2005-10-21,0,40.75
2005-10-28,27,50.93
2005-11-04,39,53.63
2005-11-11,24,53.82
2005-11-18,24,55.13
2005-11-25,24,54.24
2005-12-02,24,52.30
2005-12-09,37,52.77
2005-12-16,50,53.29
2005-12-23,72,57.84
2005-12-30,52,57.19
2006-01-06,32,64.18
2006-01-13,43,58.31
2006-01-20,30,61.59
2006-01-27,44,63.49
2006-02-03,36,63.03
2006-02-10,21,61.44
2006-02-17,27,63.15
2006-02-24,29,67.16
2006-03-03,19,69.21
2006-03-10,24,65.04
2006-03-17,33,69.93
2006-03-24,44,71.02
2006-03-31,33,72.49
2006-04-07,33,64.48
2006-04-14,21,
2006-04-21,42,57.90
2006-04-28,27,58.56
2006-05-05,20,59.29
2006-05-12,20,58.30
2006-05-19,21,50.61
2006-05-26,27,47.07
2006-06-02,26,49.48
2006-06-09,33,46.99
2006-06-16,26,46.80
2006-06-23,26,50.75
2006-06-30,18,53.48
2006-07-07,21,52.37
2006-07-14,28,47.53
2006-07-21,35,44.32
2006-07-28,20,45.79
2006-08-04,30,45.41
2006-08-11,23,41.01
2006-08-18,32,49.77
2006-08-25,29,50.23
2006-09-01,39,49.96
2006-09-08,20,49.20
2006-09-15,18,51.80
2006-09-22,17,51.21
2006-09-29,17,53.72
2006-10-06,19,56.15
2006-10-13,20,58.07
2006-10-20,27,56.56
2006-10-27,34,65.71
2006-11-03,33,64.17
2006-11-10,20,66.52
2006-11-17,18,71.81
2006-11-24,19,73.11
2006-12-01,19,74.03
2006-12-08,14,75.95
2006-12-15,14,76.48
2006-12-22,27,72.95
2006-12-29,18,74.21
2007-01-05,19,75.16
2007-01-12,30,79.77
2007-01-19,23,75.61
2007-01-26,18,72.70
2007-02-02,14,70.98
2007-02-09,14,75.50
2007-02-16,24,73.59
2007-02-23,27,78.12
2007-03-02,12,69.12
2007-03-09,22,73.31
2007-03-16,12,71.08
2007-03-23,19,72.37
2007-03-30,13,66.68
2007-04-06,13,
2007-04-13,13,66.86
2007-04-20,20,68.83
2007-04-27,26,78.59
2007-05-04,24,78.07
2007-05-11,23,77.32
2007-05-18,21,75.36
2007-05-25,18,76.72
2007-06-01,18,81.54
2007-06-08,17,78.93
2007-06-15,14,85.21
2007-06-22,14,82.77
2007-06-29,14,80.60
2007-07-06,12,82.88
2007-07-13,13,87.37
2007-07-20,17,89.08
2007-07-27,32,91.20
2007-08-03,18,83.68
2007-08-10,39,70.05
2007-08-17,21,71.98
2007-08-24,24,37.48
2007-08-31,21,34.97
2007-09-07,17,37.71
2007-09-14,17,40.06
2007-09-21,25,39.37
2007-09-28,24,37.19
2007-10-05,17,43.09
2007-10-12,18,41.57
2007-10-19,18,42.63
2007-10-26,25,34.27
2007-11-02,22,36.83
2007-11-09,13,32.88
2007-11-16,11,29.69
2007-11-23,13,26.97
2007-11-30,17,26.42
2007-12-07,24,28.03
2007-12-14,26,29.23
2007-12-21,49,29.16
2007-12-28,63,29.12
2008-01-04,50,24.51
2008-01-11,44,21.40
2008-01-18,37,20.43
2008-01-25,40,23.15
2008-02-01,22,25.02
2008-02-08,20,21.81
2008-02-15,21,22.51
2008-02-22,12,22.28
2008-02-29,25,22.16
2008-03-07,22,19.39
2008-03-14,14,19.87
2008-03-21,14,
2008-03-28,22,19.10
2008-04-04,23,18.14
2008-04-11,20,19.55
2008-04-18,19,21.27
2008-04-25,22,23.74
2008-05-02,25,24.40
2008-05-09,21,27.00
2008-05-16,16,28.96
2008-05-23,20,26.95
2008-05-30,23,30.05
2008-06-06,24,30.56
2008-06-13,28,29.65
2008-06-20,22,30.66
2008-06-27,29,28.93
2008-07-04,31,
2008-07-11,30,33.44
2008-07-18,30,32.45
2008-07-25,100,31.70
2008-08-01,92,29.16
2008-08-08,70,33.36
2008-08-15,73,35.20
2008-08-22,52,33.83
2008-08-29,50,34.11
2008-09-05,44,31.19
2008-09-12,51,32.18
2008-09-19,56,27.35
2008-09-26,44,23.84
2008-10-03,49,21.00
2008-10-10,36,20.50
2008-10-17,38,19.80
2008-10-24,29,22.07
2008-10-31,26,24.82
2008-11-07,29,23.78
2008-11-14,18,22.50
2008-11-21,24,22.32
2008-11-28,20,24.90
2008-12-05,29,23.38
2008-12-12,25,22.80
2008-12-19,28,21.75
2008-12-26,38,22.25
2009-01-02,42,23.22
2009-01-09,34,24.07
2009-01-16,34,22.55
2009-01-23,28,23.25
2009-01-30,32,22.17
2009-02-06,27,23.66
2009-02-13,17,22.18
2009-02-20,26,19.95
2009-02-27,24,20.00
2009-03-06,20,18.75
2009-03-13,22,20.02
2009-03-20,17,20.61
2009-03-27,23,22.24
2009-04-03,24,23.10
2009-04-10,29,
2009-04-17,27,26.70
2009-04-24,19,26.70
2009-05-01,20,27.83
2009-05-08,29,27.98
2009-05-15,26,26.35
2009-05-22,26,30.05
2009-05-29,24,31.76
2009-06-05,53,33.94
2009-06-12,33,35.12
2009-06-19,37,34.17
2009-06-26,30,35.71
2009-07-03,26,
2009-07-10,21,33.52
2009-07-17,32,35.72
2009-07-24,43,37.49
2009-07-31,39,37.12
2009-08-07,40,36.79
2009-08-14,32,35.86
2009-08-21,35,35.02
2009-08-28,25,35.13
2009-09-04,24,37.30
2009-09-11,26,38.97
2009-09-18,23,38.89
2009-09-25,25,38.50
2009-10-02,22,38.58
2009-10-09,20,41.29
2009-10-16,23,42.63
2009-10-23,28,48.22
2009-10-30,27,44.89
2009-11-06,16,47.12
2009-11-13,19,49.26
2009-11-20,19,46.91
2009-11-27,25,47.73
2009-12-04,17,50.64
2009-12-11,14,50.05
2009-12-18,15,49.95
2009-12-25,24,
2010-01-01,21,
2010-01-08,22,52.96
2010-01-15,19,51.39
2010-01-22,18,52.28
2010-01-29,19,49.43
2010-02-05,22,48.43
2010-02-12,20,53.35
2010-02-19,14,54.94
2010-02-26,12,55.80
2010-03-05,23,61.22
2010-03-12,25,63.10
2010-03-19,25,61.75
2010-03-26,17,62.56
2010-04-02,20,
2010-04-09,18,64.76
2010-04-16,26,66.25
2010-04-23,19,71.28
2010-04-30,23,68.43
2010-05-07,15,63.33
2010-05-14,20,70.00
2010-05-21,16,66.90
2010-05-28,17,70.33
2010-06-04,19,69.01
2010-06-11,24,69.95
2010-06-18,22,73.81
2010-06-25,23,71.89
2010-07-02,22,68.65
2010-07-09,26,75.23
2010-07-16,31,76.37
2010-07-23,29,87.21
2010-07-30,27,87.83
2010-08-06,32,88.48
2010-08-13,26,83.88
2010-08-20,30,91.04
2010-08-27,32,89.02
2010-09-03,43,93.80
2010-09-10,33,94.15
2010-09-17,34,100.98
2010-09-24,38,103.07
2010-10-01,38,103.29
2010-10-08,44,94.69
2010-10-15,32,97.20
2010-10-22,32,98.45
2010-10-29,43,117.70
2010-11-05,34,123.00
2010-11-12,27,123.86
2010-11-19,20,122.69
2010-11-26,27,135.04
2010-12-03,32,139.28
2010-12-10,33,143.09
2010-12-17,37,136.01
2010-12-24,31,
2010-12-31,23,130.16
2011-01-07,25,138.35
2011-01-14,27,144.17
2011-01-21,82,109.97
2011-01-28,50,109.58
2011-02-04,41,123.64
2011-02-11,40,126.62
2011-02-18,29,120.85
2011-02-25,28,120.18
2011-03-04,28,113.82
2011-03-11,27,111.00
2011-03-18,30,96.92
2011-03-25,52,95.67
2011-04-01,48,93.56
2011-04-08,46,95.18
2011-04-15,37,94.69
2011-04-22,70,
2011-04-29,50,101.36
2011-05-06,41,100.90
2011-05-13,36,104.64
2011-05-20,34,106.96
2011-05-27,33,112.85
2011-06-03,33,109.70
2011-06-10,38,105.39
2011-06-17,31,97.20
2011-06-24,34,106.10
2011-07-01,28,113.16
2011-07-08,27,116.42
2011-07-15,25,113.94
2011-07-22,47,101.20
2011-07-29,29,93.48
2011-08-05,36,82.94
2011-08-12,37,81.90
2011-08-19,37,69.32
2011-08-26,30,75.49
2011-09-02,26,76.31
2011-09-09,24,74.60
2011-09-16,21,83.72
2011-09-23,26,74.38
2011-09-30,29,71.05
2011-10-07,25,85.01
2011-10-14,29,90.07
2011-10-21,23,88.92
2011-10-28,34,107.63
2011-11-04,27,109.62
2011-11-11,25,111.19
2011-11-18,24,106.19
2011-11-25,22,97.62
2011-12-02,24,112.42
2011-12-09,22,114.74
2011-12-16,19,104.83
2011-12-23,25,106.39
2011-12-30,28,106.12
2012-01-06,24,106.72
2012-01-13,20,106.78
2012-01-20,37,120.27
2012-01-27,25,120.16
2012-02-03,25,124.77
2012-02-10,24,124.01
2012-02-17,21,124.92
2012-02-24,18,127.48
2012-03-02,19,127.01
2012-03-09,20,125.61
2012-03-16,22,131.91
2012-03-23,21,132.13
2012-03-30,21,134.96
2012-04-06,24,
2012-04-13,27,122.12
2012-04-20,36,131.63
2012-04-27,25,136.11
2012-05-04,23,131.90
2012-05-11,21,125.91
2012-05-18,20,112.71
2012-05-25,23,109.04
2012-06-01,20,97.31
2012-06-08,24,102.40
2012-06-15,21,102.16
2012-06-22,25,99.30
2012-06-29,24,99.56
2012-07-06,23,94.49
2012-07-13,25,91.39
2012-07-20,33,96.10
2012-07-27,24,97.75
2012-08-03,22,92.78
2012-08-10,24,102.23
2012-08-17,22,103.56
2012-08-24,24,98.65
2012-08-31,22,97.49
2012-09-07,21,100.27
2012-09-14,23,103.67
2012-09-21,21,107.88
2012-09-28,20,104.64
2012-10-05,22,103.43
2012-10-12,20,97.27
2012-10-19,19,95.84
2012-10-26,31,81.78
2012-11-02,26,82.59
2012-11-09,21,87.93
2012-11-16,23,86.64
2012-11-23,19,92.16
2012-11-30,22,93.68
2012-12-07,23,92.37
2012-12-14,25,90.41
2012-12-21,28,97.46
2012-12-28,42,96.14
2013-01-04,42,97.53
2013-01-11,33,97.89
2013-01-18,31,96.89
2013-01-25,36,105.43
2013-02-01,27,105.96
2013-02-08,25,105.25
2013-02-15,28,101.72
2013-02-22,26,101.06
2013-03-01,29,93.58
2013-03-08,22,94.01
2013-03-15,23,90.91
2013-03-22,25,87.01
2013-03-29,28,
2013-04-05,40,73.21
2013-04-12,30,74.98
2013-04-19,23,71.38
2013-04-26,27,74.20
2013-05-03,24,75.37
2013-05-10,26,79.99
2013-05-17,23,82.63
2013-05-24,22,81.56
2013-05-31,22,83.21
2013-06-07,29,78.07
2013-06-14,29,73.99
2013-06-21,39,70.92
2013-06-28,35,68.80
2013-07-05,35,69.19
2013-07-12,39,79.79
2013-07-19,31,80.29
2013-07-26,40,87.65
2013-08-02,37,88.45
2013-08-09,30,89.88
2013-08-16,42,87.49
2013-08-23,35,87.10
2013-08-30,52,83.38
2013-09-06,37,86.88
2013-09-13,42,92.01
2013-09-20,36,93.62
2013-09-27,37,86.80
2013-10-04,29,91.54
2013-10-11,33,90.50
2013-10-18,31,87.81
2013-10-25,39,82.71
2013-11-01,31,79.43
2013-11-08,31,82.02
2013-11-15,33,84.62
2013-11-22,25,82.94
2013-11-29,30,82.26
2013-12-06,31,83.59
2013-12-13,30,81.47
2013-12-20,32,88.10
2013-12-27,38,89.22
2014-01-03,34,88.03
2014-01-10,30,88.52
2014-01-17,36,96.92
2014-01-24,39,104.91
2014-01-31,36,107.02
2014-02-07,33,107.28
2014-02-14,30,111.91
2014-02-21,30,110.28
2014-02-28,23,112.34
2014-03-07,27,114.78
2014-03-14,22,107.47
2014-03-21,24,112.83
2014-03-28,21,105.14
2014-04-04,17,104.44
2014-04-11,23,103.01
2014-04-18,27,
2014-04-25,29,103.52
2014-05-02,25,
