Date,JEC,Price
2004-01-09,0,
2004-01-16,39,
2004-01-23,36,
2004-01-30,36,
2004-02-06,32,45.05
2004-02-13,42,43.18
2004-02-20,23,42.25
2004-02-27,37,44.13
2004-03-05,48,43.73
2004-03-12,59,42.16
2004-03-19,57,43.24
2004-03-26,47,43.58
2004-04-02,59,44.20
2004-04-09,43,
2004-04-16,63,43.91
2004-04-23,35,43.65
2004-04-30,41,41.71
2004-05-07,33,39.92
2004-05-14,30,41.95
2004-05-21,36,41.45
2004-05-28,36,44.60
2004-06-04,31,44.58
2004-06-11,25,
2004-06-18,28,43.86
2004-06-25,27,46.22
2004-07-02,45,39.20
2004-07-09,22,38.01
2004-07-16,25,39.12
2004-07-23,29,38.18
2004-07-30,32,39.98
2004-08-06,26,37.83
2004-08-13,40,37.21
2004-08-20,25,39.17
2004-08-27,27,39.63
2004-09-03,29,39.30
2004-09-10,23,38.49
2004-09-17,37,38.45
2004-09-24,25,38.60
2004-10-01,33,39.10
2004-10-08,31,39.10
2004-10-15,26,38.72
2004-10-22,33,39.02
2004-10-29,37,40.73
2004-11-05,27,42.90
2004-11-12,23,43.35
2004-11-19,21,43.39
2004-11-26,35,45.22
2004-12-03,30,45.31
2004-12-10,25,46.17
2004-12-17,30,47.90
2004-12-24,21,
2004-12-31,21,47.79
2005-01-07,21,45.39
2005-01-14,18,45.86
2005-01-21,17,45.00
2005-01-28,26,49.60
2005-02-04,34,51.85
2005-02-11,56,51.69
2005-02-18,42,53.75
2005-02-25,45,56.21
2005-03-04,41,56.14
2005-03-11,55,53.90
2005-03-18,37,54.22
2005-03-25,57,
2005-04-01,60,51.81
2005-04-08,31,53.14
2005-04-15,28,49.63
2005-04-22,22,50.03
2005-04-29,21,48.71
2005-05-06,22,51.05
2005-05-13,24,51.73
2005-05-20,39,53.37
2005-05-27,34,52.69
2005-06-03,27,52.11
2005-06-10,29,54.11
2005-06-17,25,54.88
2005-06-24,24,53.30
2005-07-01,20,56.45
2005-07-08,29,56.26
2005-07-15,39,57.54
2005-07-22,20,57.18
2005-07-29,24,58.88
2005-08-05,31,59.30
2005-08-12,21,60.00
