Date,buy ALL,Price
2004-01-09,50,
2004-01-16,51,
2004-01-23,45,
2004-01-30,60,
2004-02-06,49,46.51
2004-02-13,57,46.73
2004-02-20,55,46.55
2004-02-27,53,45.63
2004-03-05,37,44.45
2004-03-12,46,44.65
2004-03-19,41,44.76
2004-03-26,49,44.76
2004-04-02,46,46.11
2004-04-09,50,
2004-04-16,49,47.20
2004-04-23,63,46.50
2004-04-30,56,45.90
2004-05-07,46,44.78
2004-05-14,52,43.70
2004-05-21,48,43.67
2004-05-28,51,43.98
2004-06-04,45,43.77
2004-06-11,57,
2004-06-18,43,45.70
2004-06-25,51,45.90
2004-07-02,51,46.30
2004-07-09,40,46.60
2004-07-16,47,46.20
2004-07-23,66,46.02
2004-07-30,77,47.08
2004-08-06,37,46.22
2004-08-13,57,45.93
2004-08-20,41,47.52
2004-08-27,49,47.69
2004-09-03,39,47.02
2004-09-10,50,46.92
2004-09-17,43,48.84
2004-09-24,45,48.25
2004-10-01,46,48.47
2004-10-08,41,47.90
2004-10-15,47,47.39
2004-10-22,30,46.83
2004-10-29,38,48.09
2004-11-05,40,48.34
2004-11-12,51,50.74
2004-11-19,55,50.28
2004-11-26,64,51.00
2004-12-03,68,51.35
2004-12-10,50,50.76
2004-12-17,56,50.05
2004-12-24,62,
2004-12-31,57,51.72
2005-01-07,47,51.03
2005-01-14,46,51.49
2005-01-21,48,50.22
2005-01-28,44,49.67
2005-02-04,53,52.35
2005-02-11,53,52.93
2005-02-18,34,53.10
2005-02-25,45,53.70
2005-03-04,47,53.94
2005-03-11,56,54.41
2005-03-18,54,53.02
2005-03-25,43,
2005-04-01,56,53.40
2005-04-08,46,54.20
2005-04-15,49,53.31
2005-04-22,55,54.57
2005-04-29,49,56.16
2005-05-06,56,57.50
2005-05-13,47,56.32
2005-05-20,50,57.10
2005-05-27,58,58.28
2005-06-03,44,58.61
2005-06-10,41,59.19
2005-06-17,52,60.19
2005-06-24,55,59.81
2005-07-01,44,59.85
2005-07-08,51,60.17
2005-07-15,43,62.26
2005-07-22,53,61.07
2005-07-29,66,61.26
2005-08-05,48,59.08
2005-08-12,50,58.08
2005-08-19,51,58.48
2005-08-26,44,58.27
2005-09-02,48,55.53
2005-09-09,47,54.26
2005-09-16,43,55.13
2005-09-23,46,54.53
2005-09-30,47,55.29
2005-10-07,46,54.10
2005-10-14,46,54.14
2005-10-21,40,53.20
2005-10-28,44,52.69
2005-11-04,58,55.15
2005-11-11,38,56.87
2005-11-18,48,57.35
2005-11-25,53,57.48
2005-12-02,52,55.84
2005-12-09,58,55.28
2005-12-16,46,54.29
2005-12-23,38,54.76
2005-12-30,45,54.07
2006-01-06,47,54.84
2006-01-13,36,54.68
2006-01-20,40,52.21
2006-01-27,51,52.03
2006-02-03,36,52.01
2006-02-10,39,52.92
2006-02-17,42,54.30
2006-02-24,44,54.90
2006-03-03,48,54.54
2006-03-10,45,54.56
2006-03-17,51,54.82
2006-03-24,47,53.23
2006-03-31,44,52.11
2006-04-07,47,51.22
2006-04-14,40,
2006-04-21,45,55.65
2006-04-28,40,56.49
2006-05-05,41,56.87
2006-05-12,43,56.38
2006-05-19,52,56.39
2006-05-26,46,55.01
2006-06-02,30,55.11
2006-06-09,41,54.36
2006-06-16,39,53.51
2006-06-23,43,52.91
2006-06-30,51,54.73
2006-07-07,33,55.03
2006-07-14,44,54.73
2006-07-21,42,56.65
2006-07-28,41,57.02
2006-08-04,46,55.63
2006-08-11,45,55.66
2006-08-18,45,57.92
2006-08-25,43,57.00
2006-09-01,48,58.37
2006-09-08,37,59.06
2006-09-15,43,60.12
2006-09-22,39,60.67
2006-09-29,50,62.73
2006-10-06,40,63.15
2006-10-13,45,62.93
2006-10-20,37,61.23
2006-10-27,39,61.74
2006-11-03,44,61.48
2006-11-10,48,63.06
2006-11-17,41,64.48
2006-11-24,52,64.91
2006-12-01,53,63.29
2006-12-08,45,63.82
2006-12-15,52,65.21
2006-12-22,53,65.37
2006-12-29,42,65.11
2007-01-05,45,65.18
2007-01-12,43,64.60
2007-01-19,44,63.73
2007-01-26,44,63.47
2007-02-02,43,61.19
2007-02-09,41,61.08
2007-02-16,44,62.18
2007-02-23,47,61.28
2007-03-02,41,59.60
2007-03-09,46,60.10
2007-03-16,38,59.70
2007-03-23,40,60.78
2007-03-30,45,60.06
2007-04-06,39,
2007-04-13,45,61.33
2007-04-20,40,62.49
2007-04-27,44,62.63
2007-05-04,53,62.84
2007-05-11,45,63.45
2007-05-18,48,62.75
2007-05-25,48,61.40
2007-06-01,42,61.58
2007-06-08,50,60.85
2007-06-15,48,61.38
2007-06-22,45,61.18
2007-06-29,55,61.51
2007-07-06,57,61.79
2007-07-13,54,61.05
2007-07-20,54,57.37
2007-07-27,57,53.50
2007-08-03,49,51.61
2007-08-10,55,52.09
2007-08-17,49,56.41
2007-08-24,48,56.86
2007-08-31,43,54.75
2007-09-07,51,53.90
2007-09-14,48,54.76
2007-09-21,52,55.88
2007-09-28,45,57.19
2007-10-05,43,58.84
2007-10-12,51,58.81
2007-10-19,46,54.49
2007-10-26,48,52.43
2007-11-02,44,51.25
2007-11-09,46,53.13
2007-11-16,49,52.64
2007-11-23,63,50.09
2007-11-30,68,51.12
2007-12-07,67,52.46
2007-12-14,57,51.58
2007-12-21,64,51.89
2007-12-28,65,52.19
2008-01-04,52,51.08
2008-01-11,53,51.49
2008-01-18,55,48.46
2008-01-25,48,50.45
2008-02-01,50,49.42
2008-02-08,52,46.57
2008-02-15,49,46.18
2008-02-22,49,47.64
2008-02-29,50,47.73
2008-03-07,53,47.03
2008-03-14,44,45.74
2008-03-21,52,
2008-03-28,45,47.57
2008-04-04,50,48.98
2008-04-11,48,48.20
2008-04-18,46,50.17
2008-04-25,52,50.01
2008-05-02,59,51.89
2008-05-09,49,49.38
2008-05-16,54,50.07
2008-05-23,46,49.92
2008-05-30,52,50.94
2008-06-06,50,50.03
2008-06-13,53,49.89
2008-06-20,57,47.89
2008-06-27,58,46.52
2008-07-04,60,
2008-07-11,64,44.15
2008-07-18,66,45.09
2008-07-25,68,45.58
2008-08-01,63,45.96
2008-08-08,65,46.69
2008-08-15,63,46.19
2008-08-22,64,46.14
2008-08-29,65,45.13
2008-09-05,52,45.08
2008-09-12,57,45.23
2008-09-19,54,47.54
2008-09-26,59,46.33
2008-10-03,57,42.48
2008-10-10,55,26.96
2008-10-17,55,31.58
2008-10-24,54,25.53
2008-10-31,55,26.39
2008-11-07,58,26.89
2008-11-14,54,27.07
2008-11-21,63,21.52
2008-11-28,76,25.44
2008-12-05,68,27.03
2008-12-12,68,27.16
2008-12-19,65,31.86
2008-12-26,76,30.84
2009-01-02,75,33.26
2009-01-09,64,30.06
2009-01-16,57,28.77
2009-01-23,61,26.63
2009-01-30,61,21.67
2009-02-06,63,22.70
2009-02-13,55,21.23
2009-02-20,68,18.44
2009-02-27,57,16.83
2009-03-06,58,14.55
2009-03-13,63,16.82
2009-03-20,52,18.59
2009-03-27,58,20.40
2009-04-03,63,21.26
2009-04-10,62,
