Date,OI,Price
2004-01-09,8,
2004-01-16,9,
2004-01-23,9,
2004-01-30,7,
2004-02-06,8,11.00
2004-02-13,8,11.20
2004-02-20,8,13.45
2004-02-27,7,13.38
2004-03-05,8,13.21
2004-03-12,7,12.45
2004-03-19,8,13.10
2004-03-26,10,13.25
2004-04-02,10,14.50
2004-04-09,8,
2004-04-16,11,13.96
2004-04-23,9,14.67
2004-04-30,10,13.96
2004-05-07,9,13.75
2004-05-14,9,14.00
2004-05-21,10,14.05
2004-05-28,10,14.83
2004-06-04,9,15.40
2004-06-11,8,
2004-06-18,9,16.17
2004-06-25,9,16.78
2004-07-02,11,16.00
2004-07-09,12,15.67
2004-07-16,10,15.76
2004-07-23,9,14.28
2004-07-30,9,14.70
2004-08-06,9,15.92
2004-08-13,9,15.65
2004-08-20,10,16.24
2004-08-27,9,16.65
2004-09-03,8,16.68
2004-09-10,7,15.99
2004-09-17,9,15.65
2004-09-24,10,15.75
2004-10-01,11,16.10
2004-10-08,12,15.99
2004-10-15,11,15.92
2004-10-22,8,18.00
2004-10-29,9,18.53
2004-11-05,9,19.36
2004-11-12,10,20.15
2004-11-19,9,20.61
2004-11-26,10,19.89
2004-12-03,9,23.02
2004-12-10,10,23.21
2004-12-17,9,23.14
2004-12-24,10,
2004-12-31,8,22.65
2005-01-07,9,21.90
2005-01-14,8,21.24
2005-01-21,8,21.46
2005-01-28,8,22.78
2005-02-04,8,24.87
2005-02-11,7,24.70
2005-02-18,8,24.96
2005-02-25,11,24.95
2005-03-04,12,26.33
2005-03-11,10,25.43
2005-03-18,10,24.84
2005-03-25,10,
2005-04-01,11,25.30
2005-04-08,11,24.61
2005-04-15,12,25.02
2005-04-22,10,25.39
2005-04-29,10,24.52
2005-05-06,11,25.53
2005-05-13,11,23.16
2005-05-20,11,24.00
2005-05-27,11,25.96
2005-06-03,13,24.97
2005-06-10,12,25.18
2005-06-17,11,25.62
2005-06-24,11,24.45
2005-07-01,12,25.01
2005-07-08,11,26.41
2005-07-15,11,26.55
2005-07-22,12,25.61
2005-07-29,11,25.65
2005-08-05,11,26.26
2005-08-12,12,26.97
2005-08-19,13,27.00
2005-08-26,13,26.68
