Date,Darden Restaurants,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,21.95
2004-02-13,0,22.19
2004-02-20,0,22.02
2004-02-27,0,24.40
2004-03-05,0,25.37
2004-03-12,0,24.55
2004-03-19,0,24.30
2004-03-26,0,24.53
2004-04-02,0,23.95
2004-04-09,0,
2004-04-16,0,23.87
2004-04-23,0,23.91
2004-04-30,0,22.66
2004-05-07,0,21.96
2004-05-14,44,22.00
2004-05-21,0,21.78
2004-05-28,0,22.50
2004-06-04,0,21.61
2004-06-11,0,
2004-06-18,0,21.36
2004-06-25,0,20.61
2004-07-02,0,20.33
2004-07-09,0,20.55
2004-07-16,0,21.36
2004-07-23,0,21.51
2004-07-30,0,21.33
2004-08-06,0,20.11
2004-08-13,0,19.42
2004-08-20,0,20.23
2004-08-27,0,21.28
2004-09-03,0,21.21
2004-09-10,0,21.00
2004-09-17,0,21.04
2004-09-24,0,23.13
2004-10-01,0,23.50
2004-10-08,0,24.45
2004-10-15,0,24.54
2004-10-22,0,23.49
2004-10-29,0,24.50
2004-11-05,0,26.92
2004-11-12,0,27.08
2004-11-19,0,25.98
2004-11-26,0,27.41
2004-12-03,0,27.41
2004-12-10,0,28.11
2004-12-17,36,26.62
2004-12-24,30,
2004-12-31,30,27.74
2005-01-07,30,28.37
2005-01-14,34,28.74
2005-01-21,38,27.72
2005-01-28,38,29.08
2005-02-04,38,28.19
2005-02-11,38,28.77
2005-02-18,34,27.14
2005-02-25,23,27.49
2005-03-04,23,28.64
2005-03-11,23,27.55
2005-03-18,23,27.04
2005-03-25,26,
2005-04-01,28,31.05
2005-04-08,30,30.81
2005-04-15,32,30.52
2005-04-22,27,30.44
2005-04-29,27,30.00
2005-05-06,26,30.80
2005-05-13,26,30.03
2005-05-20,27,31.96
2005-05-27,27,32.80
2005-06-03,27,32.91
2005-06-10,22,33.44
2005-06-17,25,33.00
2005-06-24,0,32.70
2005-07-01,0,33.03
2005-07-08,0,32.08
2005-07-15,0,34.10
2005-07-22,0,34.47
2005-07-29,0,34.70
2005-08-05,0,33.09
2005-08-12,0,33.51
2005-08-19,27,32.42
2005-08-26,23,31.59
2005-09-02,23,29.88
2005-09-09,23,31.62
2005-09-16,33,30.65
2005-09-23,20,29.72
2005-09-30,29,30.37
2005-10-07,35,29.84
2005-10-14,21,31.01
2005-10-21,21,31.19
2005-10-28,21,31.88
2005-11-04,21,34.47
2005-11-11,23,34.08
2005-11-18,24,35.35
2005-11-25,26,36.09
2005-12-02,28,36.56
2005-12-09,30,34.98
2005-12-16,21,38.81
2005-12-23,25,38.55
2005-12-30,24,38.88
2006-01-06,35,40.40
2006-01-13,22,40.46
2006-01-20,29,38.87
2006-01-27,31,41.03
2006-02-03,29,41.34
2006-02-10,16,41.98
2006-02-17,22,41.44
2006-02-24,16,42.75
2006-03-03,21,41.64
2006-03-10,25,40.83
2006-03-17,22,41.21
2006-03-24,24,41.58
2006-03-31,25,41.03
2006-04-07,21,40.31
2006-04-14,16,
2006-04-21,20,40.68
2006-04-28,25,39.60
2006-05-05,17,39.09
2006-05-12,23,36.81
2006-05-19,20,36.25
2006-05-26,18,36.51
2006-06-02,18,35.51
2006-06-09,19,35.63
2006-06-16,18,36.05
2006-06-23,18,37.15
2006-06-30,18,39.40
2006-07-07,18,37.94
2006-07-14,18,34.68
2006-07-21,18,33.29
2006-07-28,16,33.85
2006-08-04,19,35.21
2006-08-11,16,34.38
2006-08-18,15,37.00
2006-08-25,23,34.65
2006-09-01,17,35.96
2006-09-08,15,36.47
2006-09-15,18,38.78
2006-09-22,32,42.38
2006-09-29,23,42.47
2006-10-06,16,43.81
2006-10-13,18,43.54
2006-10-20,16,41.57
2006-10-27,30,41.00
2006-11-03,13,39.91
2006-11-10,20,40.92
2006-11-17,21,40.78
2006-11-24,15,40.25
2006-12-01,17,40.06
2006-12-08,27,40.20
2006-12-15,30,40.44
2006-12-22,27,40.42
2006-12-29,22,40.17
2007-01-05,20,39.13
2007-01-12,19,39.43
2007-01-19,24,39.91
2007-01-26,15,38.32
2007-02-02,22,40.28
2007-02-09,25,41.38
2007-02-16,11,42.71
2007-02-23,30,42.66
2007-03-02,25,39.79
2007-03-09,25,39.80
2007-03-16,24,39.43
2007-03-23,100,41.32
2007-03-30,18,41.19
2007-04-06,12,
2007-04-13,18,40.79
2007-04-20,15,41.25
2007-04-27,17,42.32
2007-05-04,19,43.22
2007-05-11,49,45.80
2007-05-18,19,45.34
2007-05-25,15,45.32
2007-06-01,13,45.80
2007-06-08,22,45.22
2007-06-15,18,46.86
2007-06-22,16,42.93
2007-06-29,12,43.99
2007-07-06,16,44.41
2007-07-13,20,44.84
2007-07-20,22,43.53
2007-07-27,22,42.01
2007-08-03,14,44.56
2007-08-10,21,42.94
2007-08-17,33,38.93
2007-08-24,23,42.33
2007-08-31,16,41.60
2007-09-07,11,40.87
2007-09-14,19,42.44
2007-09-21,24,43.82
2007-09-28,13,41.86
2007-10-05,24,44.06
2007-10-12,18,43.27
2007-10-19,21,43.10
2007-10-26,17,42.91
2007-11-02,25,41.01
2007-11-09,23,40.13
2007-11-16,25,39.79
2007-11-23,21,39.40
2007-11-30,32,39.79
2007-12-07,23,39.26
2007-12-14,21,35.79
2007-12-21,42,27.51
2007-12-28,46,27.62
2008-01-04,38,25.59
2008-01-11,30,22.19
2008-01-18,34,22.19
2008-01-25,29,26.21
2008-02-01,27,28.84
2008-02-08,28,26.86
2008-02-15,26,30.54
2008-02-22,26,31.38
2008-02-29,20,30.83
2008-03-07,25,28.25
2008-03-14,18,29.28
2008-03-21,23,
2008-03-28,16,31.69
2008-04-04,23,34.41
2008-04-11,20,33.95
2008-04-18,18,35.72
2008-04-25,17,35.74
2008-05-02,23,36.53
2008-05-09,26,35.77
2008-05-16,15,36.02
2008-05-23,19,31.74
2008-05-30,15,34.25
2008-06-06,23,32.16
2008-06-13,24,32.47
2008-06-20,18,31.64
2008-06-27,33,32.26
2008-07-04,15,
2008-07-11,27,29.21
2008-07-18,16,31.52
2008-07-25,19,31.10
2008-08-01,22,32.07
2008-08-08,19,35.65
2008-08-15,17,36.04
2008-08-22,21,33.57
2008-08-29,25,29.29
2008-09-05,20,29.75
2008-09-12,16,30.43
2008-09-19,28,31.72
2008-09-26,21,28.56
2008-10-03,21,27.45
2008-10-10,26,21.43
2008-10-17,15,21.21
2008-10-24,19,18.71
2008-10-31,18,22.17
2008-11-07,25,19.59
2008-11-14,21,17.36
2008-11-21,30,14.30
2008-11-28,17,18.29
2008-12-05,24,20.50
2008-12-12,33,22.00
2008-12-19,41,28.55
2008-12-26,39,28.50
2009-01-02,51,29.54
2009-01-09,37,26.68
2009-01-16,38,25.97
2009-01-23,30,26.63
2009-01-30,27,26.22
2009-02-06,33,28.69
2009-02-13,34,29.32
2009-02-20,29,28.23
2009-02-27,28,27.14
2009-03-06,17,24.86
2009-03-13,19,28.60
2009-03-20,28,33.88
2009-03-27,26,35.41
2009-04-03,23,36.49
2009-04-10,32,
2009-04-17,23,39.53
2009-04-24,20,39.72
2009-05-01,25,36.12
2009-05-08,24,36.02
2009-05-15,23,34.10
2009-05-22,18,33.04
2009-05-29,19,36.17
2009-06-05,21,34.93
2009-06-12,24,33.80
2009-06-19,20,34.70
2009-06-26,30,32.21
2009-07-03,13,
2009-07-10,15,32.36
2009-07-17,11,33.71
2009-07-24,14,33.52
2009-07-31,20,32.39
2009-08-07,19,31.92
2009-08-14,19,31.71
2009-08-21,13,33.27
2009-08-28,13,33.52
2009-09-04,14,34.41
2009-09-11,16,34.55
2009-09-18,17,37.12
2009-09-25,15,35.60
2009-10-02,26,33.20
2009-10-09,17,32.99
2009-10-16,18,33.21
2009-10-23,14,31.29
2009-10-30,13,30.31
2009-11-06,19,32.65
2009-11-13,13,32.10
2009-11-20,16,31.44
2009-11-27,14,31.15
2009-12-04,15,32.21
2009-12-11,20,32.45
2009-12-18,17,35.13
2009-12-25,23,
2010-01-01,28,
2010-01-08,20,34.13
2010-01-15,19,35.30
2010-01-22,17,36.16
2010-01-29,15,36.96
2010-02-05,18,37.59
2010-02-12,13,38.99
2010-02-19,16,41.05
2010-02-26,19,40.55
2010-03-05,13,40.98
2010-03-12,14,42.02
2010-03-19,13,43.65
2010-03-26,17,44.29
2010-04-02,17,
2010-04-09,16,46.80
2010-04-16,13,46.86
2010-04-23,14,48.68
2010-04-30,10,44.75
2010-05-07,15,42.61
2010-05-14,17,43.47
2010-05-21,12,41.60
2010-05-28,15,42.90
2010-06-04,17,42.27
2010-06-11,21,43.29
2010-06-18,15,44.48
2010-06-25,24,39.00
2010-07-02,21,38.48
2010-07-09,19,39.43
2010-07-16,22,39.76
2010-07-23,20,42.57
2010-07-30,24,41.89
2010-08-06,19,41.82
2010-08-13,26,39.65
2010-08-20,15,41.27
2010-08-27,11,42.49
2010-09-03,21,44.56
2010-09-10,20,44.75
2010-09-17,21,44.73
2010-09-24,25,43.61
2010-10-01,22,42.99
2010-10-08,23,44.12
2010-10-15,24,44.74
2010-10-22,21,46.87
2010-10-29,22,45.71
2010-11-05,23,48.19
2010-11-12,23,48.65
2010-11-19,28,49.04
2010-11-26,18,49.49
2010-12-03,24,50.32
2010-12-10,23,49.48
2010-12-17,33,49.89
2010-12-24,35,
2010-12-31,45,46.44
2011-01-07,49,46.51
2011-01-14,27,46.15
2011-01-21,30,46.40
2011-01-28,29,45.18
2011-02-04,30,48.99
2011-02-11,31,49.49
2011-02-18,24,50.10
2011-02-25,18,47.28
2011-03-04,23,46.32
2011-03-11,17,46.99
2011-03-18,12,46.19
2011-03-25,17,45.63
2011-04-01,19,48.65
2011-04-08,21,46.89
2011-04-15,20,47.69
2011-04-22,21,
2011-04-29,15,46.97
2011-05-06,16,48.43
2011-05-13,19,50.31
2011-05-20,15,51.52
2011-05-27,18,50.92
2011-06-03,20,48.08
2011-06-10,16,46.96
2011-06-17,21,47.12
2011-06-24,21,48.51
2011-07-01,20,52.79
2011-07-08,23,53.22
2011-07-15,21,52.60
2011-07-22,17,53.28
2011-07-29,17,50.80
2011-08-05,18,47.96
2011-08-12,19,48.70
2011-08-19,20,44.95
2011-08-26,19,45.84
2011-09-02,17,46.43
2011-09-09,21,43.37
2011-09-16,39,45.61
2011-09-23,24,46.06
2011-09-30,25,42.75
2011-10-07,27,44.12
2011-10-14,34,46.66
2011-10-21,22,47.17
2011-10-28,17,48.50
2011-11-04,20,47.36
2011-11-11,25,47.41
2011-11-18,24,46.47
2011-11-25,18,44.60
2011-12-02,27,47.53
2011-12-09,35,43.21
2011-12-16,34,43.68
2011-12-23,33,45.70
2011-12-30,52,45.58
2012-01-06,45,44.34
2012-01-13,37,44.56
2012-01-20,34,46.75
2012-01-27,43,46.13
2012-02-03,34,48.52
2012-02-10,27,49.45
2012-02-17,35,50.90
2012-02-24,33,49.19
2012-03-02,30,49.76
2012-03-09,31,51.46
2012-03-16,28,52.51
2012-03-23,29,50.92
2012-03-30,29,51.16
2012-04-06,29,
2012-04-13,28,50.28
2012-04-20,30,49.93
2012-04-27,26,50.44
2012-05-04,29,50.62
2012-05-11,26,50.63
2012-05-18,28,51.13
2012-05-25,24,53.06
2012-06-01,21,49.87
2012-06-08,25,50.02
2012-06-15,27,51.46
2012-06-22,33,50.04
2012-06-29,30,50.63
2012-07-06,27,50.79
2012-07-13,34,50.22
2012-07-20,32,51.10
2012-07-27,35,51.99
2012-08-03,33,52.45
2012-08-10,29,52.85
2012-08-17,23,53.87
2012-08-24,29,52.35
2012-08-31,28,51.95
2012-09-07,32,53.49
2012-09-14,23,54.04
2012-09-21,28,57.21
2012-09-28,27,55.75
2012-10-05,25,55.09
2012-10-12,50,54.35
2012-10-19,31,53.83
2012-10-26,24,52.54
2012-11-02,26,52.63
2012-11-09,29,51.61
2012-11-16,34,50.92
2012-11-23,18,53.53
2012-11-30,23,52.88
2012-12-07,40,46.66
2012-12-14,32,46.46
2012-12-21,37,45.13
2012-12-28,51,44.44
2013-01-04,45,46.46
2013-01-11,33,44.92
2013-01-18,31,45.38
2013-01-25,31,45.87
2013-02-01,26,46.84
2013-02-08,22,47.36
2013-02-15,30,45.15
2013-02-22,29,46.23
2013-03-01,30,46.18
2013-03-08,26,47.33
2013-03-15,25,49.37
2013-03-22,22,49.62
2013-03-29,21,
2013-04-05,20,50.54
2013-04-12,24,50.26
2013-04-19,19,48.89
2013-04-26,19,50.99
2013-05-03,23,52.82
2013-05-10,23,53.56
2013-05-17,25,53.43
2013-05-24,23,52.83
2013-05-31,20,51.80
2013-06-07,20,54.23
2013-06-14,21,52.54
2013-06-21,27,50.12
2013-06-28,25,50.48
2013-07-05,21,51.33
2013-07-12,17,50.43
2013-07-19,25,49.49
2013-07-26,21,48.93
2013-08-02,27,49.88
2013-08-09,22,49.56
2013-08-16,21,47.91
2013-08-23,19,47.01
2013-08-30,21,46.21
2013-09-06,25,47.45
2013-09-13,27,48.37
2013-09-20,35,45.78
2013-09-27,25,46.70
2013-10-04,26,46.72
2013-10-11,28,50.50
2013-10-18,26,52.07
2013-10-25,22,51.70
2013-11-01,24,51.48
2013-11-08,23,52.16
2013-11-15,26,53.50
2013-11-22,24,53.87
2013-11-29,20,53.33
2013-12-06,23,52.48
2013-12-13,29,51.63
2013-12-20,60,51.09
2013-12-27,79,54.33
2014-01-03,69,53.01
2014-01-10,40,52.12
2014-01-17,37,50.96
2014-01-24,26,50.10
2014-01-31,24,49.44
2014-02-07,21,48.26
2014-02-14,25,48.38
2014-02-21,23,51.01
2014-02-28,24,51.06
2014-03-07,25,49.95
2014-03-14,22,49.22
2014-03-21,23,50.66
2014-03-28,19,50.62
2014-04-04,21,51.24
2014-04-11,19,48.46
2014-04-18,27,
2014-04-25,21,49.92
2014-05-02,29,
