Date,Nvidia Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.76
2004-02-13,0,23.30
2004-02-20,0,24.14
2004-02-27,0,22.25
2004-03-05,0,22.19
2004-03-12,0,21.24
2004-03-19,0,22.17
2004-03-26,0,24.35
2004-04-02,0,26.30
2004-04-09,0,
2004-04-16,0,23.61
2004-04-23,0,23.24
2004-04-30,0,20.52
2004-05-07,0,22.08
2004-05-14,0,21.51
2004-05-21,0,21.20
2004-05-28,0,23.45
2004-06-04,0,21.91
2004-06-11,0,
2004-06-18,0,19.76
2004-06-25,0,20.25
2004-07-02,0,19.26
2004-07-09,0,16.90
2004-07-16,0,15.18
2004-07-23,0,14.62
2004-07-30,0,15.42
2004-08-06,0,9.43
2004-08-13,0,10.50
2004-08-20,0,12.35
2004-08-27,0,12.94
2004-09-03,0,12.82
2004-09-10,0,14.07
2004-09-17,0,14.69
2004-09-24,0,14.05
2004-10-01,0,15.12
2004-10-08,0,14.51
2004-10-15,0,13.42
2004-10-22,0,13.28
2004-10-29,0,14.47
2004-11-05,0,17.64
2004-11-12,0,18.10
2004-11-19,0,18.96
2004-11-26,0,19.86
2004-12-03,0,20.73
2004-12-10,0,23.31
2004-12-17,0,23.06
2004-12-24,0,
2004-12-31,0,23.56
2005-01-07,0,22.03
2005-01-14,0,21.51
2005-01-21,0,21.44
2005-01-28,0,22.88
2005-02-04,0,25.79
2005-02-11,0,26.15
2005-02-18,0,28.27
2005-02-25,0,28.84
2005-03-04,0,27.57
2005-03-11,100,25.16
2005-03-18,0,24.17
2005-03-25,0,
2005-04-01,0,23.53
2005-04-08,0,23.45
2005-04-15,0,21.35
2005-04-22,0,22.24
2005-04-29,0,21.93
2005-05-06,0,23.17
2005-05-13,0,25.33
2005-05-20,0,26.30
2005-05-27,0,27.52
2005-06-03,0,28.30
2005-06-10,0,27.98
2005-06-17,0,26.91
2005-06-24,0,27.09
2005-07-01,0,26.84
2005-07-08,0,28.14
2005-07-15,0,26.89
2005-07-22,0,25.83
2005-07-29,0,27.06
2005-08-05,0,28.25
2005-08-12,0,29.95
2005-08-19,0,29.20
2005-08-26,0,28.92
2005-09-02,0,30.19
2005-09-09,0,32.19
2005-09-16,0,33.25
2005-09-23,0,32.71
2005-09-30,89,34.28
2005-10-07,0,33.06
2005-10-14,0,32.03
2005-10-21,0,31.94
2005-10-28,0,32.42
2005-11-04,0,34.06
2005-11-11,0,34.04
2005-11-18,0,36.19
2005-11-25,0,38.07
2005-12-02,0,36.59
2005-12-09,0,36.34
2005-12-16,0,36.85
2005-12-23,0,37.54
2005-12-30,0,36.56
2006-01-06,0,40.84
2006-01-13,0,42.51
2006-01-20,0,43.81
2006-01-27,0,46.25
2006-02-03,0,44.02
2006-02-10,0,43.90
2006-02-17,0,47.47
2006-02-24,0,45.66
2006-03-03,0,49.16
2006-03-10,0,47.39
2006-03-17,0,48.77
2006-03-24,0,51.95
2006-03-31,62,57.26
2006-04-07,0,30.53
2006-04-14,0,
2006-04-21,0,28.07
2006-04-28,0,29.22
2006-05-05,0,31.28
2006-05-12,0,26.33
2006-05-19,0,24.33
2006-05-26,0,23.97
2006-06-02,0,23.83
2006-06-09,0,21.35
2006-06-16,0,21.66
2006-06-23,0,20.31
2006-06-30,0,21.29
2006-07-07,0,19.37
2006-07-14,0,17.67
2006-07-21,0,17.77
2006-07-28,0,22.67
2006-08-04,0,23.99
2006-08-11,0,23.40
2006-08-18,0,27.36
2006-08-25,0,26.48
2006-09-01,0,27.89
2006-09-08,0,27.70
2006-09-15,55,29.56
2006-09-22,0,29.81
2006-09-29,0,29.59
2006-10-06,0,30.93
2006-10-13,0,33.77
2006-10-20,0,31.79
2006-10-27,0,32.38
2006-11-03,0,32.60
2006-11-10,0,34.44
2006-11-17,0,36.32
2006-11-24,0,36.98
2006-12-01,0,35.54
2006-12-08,48,35.55
2006-12-15,58,37.50
2006-12-22,68,37.03
2006-12-29,62,37.01
2007-01-05,64,33.66
2007-01-12,54,35.23
2007-01-19,54,31.88
2007-01-26,54,31.47
2007-02-02,88,31.85
2007-02-09,56,32.65
2007-02-16,62,32.72
2007-02-23,69,32.65
2007-03-02,75,29.77
2007-03-09,81,30.51
2007-03-16,43,28.35
2007-03-23,55,30.29
2007-03-30,67,28.78
2007-04-06,43,
2007-04-13,43,30.58
2007-04-20,47,31.89
2007-04-27,50,33.07
2007-05-04,54,33.71
2007-05-11,53,35.14
2007-05-18,61,35.02
2007-05-25,49,33.66
2007-06-01,53,34.88
2007-06-08,46,36.55
2007-06-15,38,39.55
2007-06-22,42,43.62
2007-06-29,44,41.31
2007-07-06,46,43.77
2007-07-13,53,45.87
2007-07-20,47,45.10
2007-07-27,38,44.25
2007-08-03,53,42.54
2007-08-10,61,43.99
2007-08-17,42,45.08
2007-08-24,44,48.25
2007-08-31,50,51.16
2007-09-07,57,50.65
2007-09-14,58,32.25
2007-09-21,41,34.49
2007-09-28,43,36.24
2007-10-05,60,36.93
2007-10-12,44,36.13
2007-10-19,52,37.39
2007-10-26,73,34.40
2007-11-02,52,36.74
2007-11-09,50,33.36
2007-11-16,68,32.45
2007-11-23,52,30.22
2007-11-30,84,31.54
2007-12-07,61,33.88
2007-12-14,67,35.07
2007-12-21,49,35.16
2007-12-28,59,34.79
2008-01-04,74,30.00
2008-01-11,63,27.05
2008-01-18,49,24.84
2008-01-25,43,24.95
2008-02-01,63,26.86
2008-02-08,67,24.99
2008-02-15,48,22.27
2008-02-22,54,22.32
2008-02-29,61,21.39
2008-03-07,80,19.55
2008-03-14,61,18.32
2008-03-21,44,
2008-03-28,36,19.68
2008-04-04,41,18.78
2008-04-11,51,18.53
2008-04-18,38,19.02
2008-04-25,47,20.15
2008-05-02,42,22.52
2008-05-09,55,22.53
2008-05-16,35,24.41
2008-05-23,46,23.11
2008-05-30,32,24.70
2008-06-06,60,24.06
2008-06-13,35,21.31
2008-06-20,49,19.76
2008-06-27,61,19.28
2008-07-04,71,
2008-07-11,50,11.67
2008-07-18,50,11.56
2008-07-25,36,11.56
2008-08-01,68,10.84
2008-08-08,67,11.00
2008-08-15,57,12.96
2008-08-22,54,13.61
2008-08-29,50,12.64
2008-09-05,40,11.67
2008-09-12,49,10.19
2008-09-19,52,11.41
2008-09-26,96,11.69
2008-10-03,51,9.03
2008-10-10,69,6.81
2008-10-17,81,7.65
2008-10-24,46,6.61
2008-10-31,64,8.76
2008-11-07,55,8.72
2008-11-14,55,7.17
2008-11-21,64,6.38
2008-11-28,60,7.47
2008-12-05,45,7.36
2008-12-12,44,8.60
2008-12-19,46,8.52
2008-12-26,76,7.51
2009-01-02,44,8.71
2009-01-09,53,7.93
2009-01-16,61,7.99
2009-01-23,62,7.71
2009-01-30,54,7.95
2009-02-06,44,9.87
2009-02-13,62,8.31
2009-02-20,42,7.61
2009-02-27,57,8.28
2009-03-06,56,8.39
2009-03-13,39,9.80
2009-03-20,62,9.53
2009-03-27,32,10.46
2009-04-03,60,11.32
2009-04-10,61,
2009-04-17,42,11.76
2009-04-24,57,11.43
2009-05-01,39,11.67
2009-05-08,55,9.25
2009-05-15,48,8.74
2009-05-22,47,9.82
2009-05-29,52,10.43
2009-06-05,57,10.83
2009-06-12,43,11.51
2009-06-19,41,11.18
2009-06-26,70,11.57
2009-07-03,28,
2009-07-10,42,10.37
2009-07-17,53,12.07
2009-07-24,40,12.96
2009-07-31,51,12.93
2009-08-07,29,13.71
2009-08-14,40,13.42
2009-08-21,66,13.93
2009-08-28,54,14.73
2009-09-04,38,15.11
2009-09-11,60,16.32
2009-09-18,46,15.22
2009-09-25,40,14.50
2009-10-02,47,13.85
2009-10-09,66,14.17
2009-10-16,53,13.22
2009-10-23,37,13.15
2009-10-30,62,11.96
2009-11-06,62,13.16
2009-11-13,41,13.56
2009-11-20,63,12.90
2009-11-27,53,12.79
2009-12-04,54,14.26
2009-12-11,54,15.21
2009-12-18,28,16.82
2009-12-25,36,
2010-01-01,44,
2010-01-08,46,18.55
2010-01-15,53,17.11
2010-01-22,46,16.46
2010-01-29,56,15.39
2010-02-05,47,16.22
2010-02-12,25,17.35
2010-02-19,53,16.58
2010-02-26,43,16.20
2010-03-05,36,17.17
2010-03-12,49,17.25
2010-03-19,36,17.25
2010-03-26,45,17.34
2010-04-02,41,
2010-04-09,23,16.99
2010-04-16,34,17.06
2010-04-23,35,16.44
2010-04-30,32,15.71
2010-05-07,43,13.96
2010-05-14,48,12.96
2010-05-21,36,12.73
2010-05-28,35,13.14
2010-06-04,32,12.10
2010-06-11,25,11.61
2010-06-18,21,12.30
2010-06-25,29,11.08
2010-07-02,37,10.25
2010-07-09,25,10.35
2010-07-16,45,10.05
2010-07-23,35,10.36
2010-07-30,23,9.19
2010-08-06,35,9.55
2010-08-13,30,9.39
2010-08-20,33,9.97
2010-08-27,47,10.12
2010-09-03,31,9.90
2010-09-10,21,10.07
2010-09-17,32,10.55
2010-09-24,44,12.26
2010-10-01,38,11.35
2010-10-08,35,10.86
2010-10-15,27,11.29
2010-10-22,36,11.80
2010-10-29,43,12.02
2010-11-05,46,12.61
2010-11-12,38,13.26
2010-11-19,32,13.75
2010-11-26,45,13.60
2010-12-03,45,14.79
2010-12-10,30,14.95
2010-12-17,42,14.37
2010-12-24,33,
2010-12-31,48,15.40
2011-01-07,38,19.87
2011-01-14,28,23.59
2011-01-21,43,22.22
2011-01-28,39,23.76
2011-02-04,37,25.67
2011-02-11,32,23.47
2011-02-18,35,25.63
2011-02-25,40,23.12
2011-03-04,31,20.76
2011-03-11,38,18.05
2011-03-18,26,17.62
2011-03-25,23,18.63
2011-04-01,35,18.20
2011-04-08,37,17.55
2011-04-15,33,18.71
2011-04-22,26,
2011-04-29,25,20.00
2011-05-06,22,19.32
2011-05-13,32,18.26
2011-05-20,33,18.09
2011-05-27,38,19.50
2011-06-03,32,18.46
2011-06-10,33,17.12
2011-06-17,30,15.81
2011-06-24,36,15.74
2011-07-01,35,16.15
2011-07-08,33,15.43
2011-07-15,25,14.10
2011-07-22,31,15.00
2011-07-29,31,13.83
2011-08-05,29,12.95
2011-08-12,48,12.88
2011-08-19,36,11.73
2011-08-26,34,13.01
2011-09-02,28,12.92
2011-09-09,27,13.88
2011-09-16,23,15.46
2011-09-23,33,13.79
2011-09-30,30,12.51
2011-10-07,40,14.15
2011-10-14,34,15.72
2011-10-21,44,14.48
2011-10-28,43,15.60
2011-11-04,42,14.82
2011-11-11,33,14.98
2011-11-18,39,13.93
2011-11-25,45,14.04
2011-12-02,41,15.72
2011-12-09,49,14.90
2011-12-16,32,13.51
2011-12-23,41,14.17
2011-12-30,33,13.86
2012-01-06,28,14.54
2012-01-13,34,13.73
2012-01-20,44,14.22
2012-01-27,35,14.91
2012-02-03,26,15.82
2012-02-10,39,15.90
2012-02-17,27,15.85
2012-02-24,20,15.79
2012-03-02,22,15.38
2012-03-09,25,14.82
2012-03-16,28,14.60
2012-03-23,49,14.55
2012-03-30,33,15.40
2012-04-06,25,
2012-04-13,32,14.16
2012-04-20,31,13.39
2012-04-27,39,12.98
2012-05-04,35,12.26
2012-05-11,29,13.21
2012-05-18,38,12.08
2012-05-25,38,12.40
2012-06-01,28,11.98
2012-06-08,32,12.12
2012-06-15,25,12.29
2012-06-22,28,13.00
2012-06-29,27,13.82
2012-07-06,37,13.40
2012-07-13,38,12.56
2012-07-20,33,12.81
2012-07-27,32,13.48
2012-08-03,28,13.72
2012-08-10,45,14.62
2012-08-17,26,14.65
2012-08-24,35,14.60
2012-08-31,36,14.03
2012-09-07,34,13.40
2012-09-14,29,13.84
2012-09-21,30,13.67
2012-09-28,33,13.34
2012-10-05,29,13.30
2012-10-12,35,12.63
2012-10-19,29,12.11
2012-10-26,26,12.05
2012-11-02,22,12.49
2012-11-09,24,12.19
2012-11-16,31,11.38
2012-11-23,37,11.90
2012-11-30,24,11.97
2012-12-07,35,11.96
2012-12-14,32,12.59
2012-12-21,38,12.35
2012-12-28,34,12.10
2013-01-04,40,13.15
2013-01-11,31,12.21
2013-01-18,36,12.17
2013-01-25,28,12.41
2013-02-01,22,12.37
2013-02-08,26,12.37
2013-02-15,29,12.73
2013-02-22,40,12.52
2013-03-01,31,12.71
2013-03-08,41,12.82
2013-03-15,30,12.64
2013-03-22,35,12.48
2013-03-29,28,
2013-04-05,28,12.46
2013-04-12,19,13.09
2013-04-19,29,12.57
2013-04-26,20,13.41
2013-05-03,30,13.87
2013-05-10,21,14.54
2013-05-17,25,14.87
2013-05-24,25,14.54
2013-05-31,21,14.47
2013-06-07,18,14.45
2013-06-14,27,14.35
2013-06-21,27,14.42
2013-06-28,26,14.04
2013-07-05,25,14.24
2013-07-12,27,14.64
2013-07-19,25,14.24
2013-07-26,18,14.20
2013-08-02,22,14.76
2013-08-09,25,14.49
2013-08-16,29,15.19
2013-08-23,36,14.96
2013-08-30,30,14.75
2013-09-06,27,14.88
2013-09-13,23,15.80
2013-09-20,26,15.79
2013-09-27,25,15.58
2013-10-04,32,15.59
2013-10-11,29,15.26
2013-10-18,19,15.81
2013-10-25,24,15.24
2013-11-01,26,15.26
2013-11-08,34,15.56
2013-11-15,36,16.17
2013-11-22,30,15.18
2013-11-29,33,15.60
2013-12-06,33,15.47
2013-12-13,40,15.02
2013-12-20,34,15.69
2013-12-27,25,15.76
2014-01-03,24,15.67
2014-01-10,29,15.73
2014-01-17,37,15.99
2014-01-24,31,15.56
2014-01-31,23,15.70
2014-02-07,24,15.87
2014-02-14,30,17.91
2014-02-21,37,18.64
2014-02-28,26,18.38
2014-03-07,26,18.36
2014-03-14,26,17.82
2014-03-21,17,18.54
2014-03-28,21,17.90
2014-04-04,18,18.15
2014-04-11,30,18.12
2014-04-18,30,
2014-04-25,32,18.73
2014-05-02,22,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
