Date,Vornado Realty Trust,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,58.65
2004-02-13,0,57.41
2004-02-20,0,57.55
2004-02-27,0,56.90
2004-03-05,0,57.90
2004-03-12,0,57.55
2004-03-19,0,59.50
2004-03-26,0,59.09
2004-04-02,0,59.39
2004-04-09,0,
2004-04-16,0,53.58
2004-04-23,0,52.09
2004-04-30,0,50.45
2004-05-07,0,48.60
2004-05-14,0,50.21
2004-05-21,0,51.07
2004-05-28,0,54.65
2004-06-04,0,55.33
2004-06-11,0,
2004-06-18,0,56.42
2004-06-25,0,57.35
2004-07-02,0,58.71
2004-07-09,0,58.48
2004-07-16,0,59.60
2004-07-23,0,57.67
2004-07-30,0,58.09
2004-08-06,0,59.38
2004-08-13,0,59.41
2004-08-20,0,62.15
2004-08-27,0,62.06
2004-09-03,0,64.60
2004-09-10,0,63.77
2004-09-17,0,65.25
2004-09-24,0,62.60
2004-10-01,0,64.19
2004-10-08,0,64.73
2004-10-15,0,65.57
2004-10-22,0,65.82
2004-10-29,0,67.20
2004-11-05,0,68.00
2004-11-12,0,71.53
2004-11-19,0,70.25
2004-11-26,0,72.95
2004-12-03,0,74.00
2004-12-10,0,74.01
2004-12-17,0,73.77
2004-12-24,0,
2004-12-31,0,76.13
2005-01-07,0,72.65
2005-01-14,0,72.30
2005-01-21,0,72.85
2005-01-28,0,69.05
2005-02-04,0,71.43
2005-02-11,0,71.60
2005-02-18,0,71.71
2005-02-25,0,70.25
2005-03-04,0,72.40
2005-03-11,0,70.60
2005-03-18,0,72.05
2005-03-25,0,
2005-04-01,0,69.43
2005-04-08,0,70.80
2005-04-15,0,72.96
2005-04-22,0,73.53
2005-04-29,0,76.45
2005-05-06,0,76.75
2005-05-13,0,77.46
2005-05-20,0,80.80
2005-05-27,0,78.57
2005-06-03,0,78.00
2005-06-10,0,80.17
2005-06-17,0,79.52
2005-06-24,0,78.97
2005-07-01,0,81.48
2005-07-08,0,83.51
2005-07-15,0,83.67
2005-07-22,0,84.45
2005-07-29,0,88.64
2005-08-05,0,85.39
2005-08-12,0,84.90
2005-08-19,0,85.02
2005-08-26,0,84.58
2005-09-02,0,86.00
2005-09-09,0,86.87
2005-09-16,0,87.74
2005-09-23,0,85.07
2005-09-30,0,86.62
2005-10-07,0,84.15
2005-10-14,0,80.89
2005-10-21,0,79.47
2005-10-28,0,80.28
2005-11-04,0,79.29
2005-11-11,0,82.87
2005-11-18,0,84.82
2005-11-25,0,87.38
2005-12-02,0,86.00
2005-12-09,0,84.69
2005-12-16,0,84.77
2005-12-23,0,84.70
2005-12-30,0,83.47
2006-01-06,0,87.59
2006-01-13,100,87.15
2006-01-20,0,85.62
2006-01-27,0,88.57
2006-02-03,0,86.35
2006-02-10,0,86.62
2006-02-17,0,87.96
2006-02-24,0,89.00
2006-03-03,0,91.12
2006-03-10,0,94.84
2006-03-17,0,98.46
2006-03-24,0,95.41
2006-03-31,0,96.00
2006-04-07,0,96.43
2006-04-14,0,
2006-04-21,0,97.70
2006-04-28,0,95.64
2006-05-05,0,93.80
2006-05-12,0,92.64
2006-05-19,0,89.97
2006-05-26,0,91.54
2006-06-02,0,93.42
2006-06-09,0,94.65
2006-06-16,0,94.87
2006-06-23,0,94.00
2006-06-30,0,97.55
2006-07-07,0,98.35
2006-07-14,0,99.19
2006-07-21,0,101.61
2006-07-28,0,105.10
2006-08-04,0,105.24
2006-08-11,0,100.25
2006-08-18,0,104.15
2006-08-25,0,104.57
2006-09-01,0,106.29
2006-09-08,0,106.71
2006-09-15,0,109.77
2006-09-22,0,109.65
2006-09-29,0,109.00
2006-10-06,0,111.99
2006-10-13,0,113.44
2006-10-20,0,114.96
2006-10-27,0,117.01
2006-11-03,0,114.00
2006-11-10,0,116.53
2006-11-17,0,117.00
2006-11-24,0,125.44
2006-12-01,0,125.74
2006-12-08,0,125.96
2006-12-15,0,123.38
2006-12-22,0,119.96
2006-12-29,0,121.50
2007-01-05,0,119.55
2007-01-12,0,122.98
2007-01-19,84,122.60
2007-01-26,61,124.27
2007-02-02,61,125.35
2007-02-09,76,133.34
2007-02-16,0,133.99
2007-02-23,0,132.00
2007-03-02,0,121.60
2007-03-09,0,124.36
2007-03-16,0,120.91
2007-03-23,0,122.17
2007-03-30,0,119.34
2007-04-06,0,
2007-04-13,0,120.35
2007-04-20,0,121.26
2007-04-27,0,121.17
2007-05-04,0,119.56
2007-05-11,0,119.66
2007-05-18,0,111.49
2007-05-25,0,112.14
2007-06-01,0,120.51
2007-06-08,0,116.62
2007-06-15,0,116.55
2007-06-22,0,109.23
2007-06-29,0,109.84
2007-07-06,0,114.58
2007-07-13,0,114.05
2007-07-20,0,112.33
2007-07-27,0,102.68
2007-08-03,0,105.15
2007-08-10,0,104.30
2007-08-17,0,100.10
2007-08-24,0,106.49
2007-08-31,0,106.59
2007-09-07,0,104.49
2007-09-14,0,105.18
2007-09-21,0,106.54
2007-09-28,0,109.35
2007-10-05,0,115.93
2007-10-12,0,113.52
2007-10-19,0,107.17
2007-10-26,0,111.14
2007-11-02,0,105.46
2007-11-09,0,98.83
2007-11-16,0,96.96
2007-11-23,0,90.83
2007-11-30,0,90.00
2007-12-07,0,91.41
2007-12-14,0,86.18
2007-12-21,0,87.09
2007-12-28,0,86.30
2008-01-04,0,82.79
2008-01-11,0,83.41
2008-01-18,0,81.31
2008-01-25,0,88.47
2008-02-01,36,94.00
2008-02-08,0,86.09
2008-02-15,0,86.86
2008-02-22,0,87.46
2008-02-29,0,83.56
2008-03-07,0,81.00
2008-03-14,0,80.48
2008-03-21,0,
2008-03-28,0,87.62
2008-04-04,0,89.77
2008-04-11,0,87.40
2008-04-18,0,91.98
2008-04-25,0,94.76
2008-05-02,0,96.03
2008-05-09,42,92.48
2008-05-16,38,97.16
2008-05-23,0,94.31
2008-05-30,0,97.73
2008-06-06,0,93.47
2008-06-13,0,94.18
2008-06-20,0,92.27
2008-06-27,0,87.16
2008-07-04,0,
2008-07-11,45,87.66
2008-07-18,0,91.23
2008-07-25,0,92.00
2008-08-01,0,94.41
2008-08-08,0,100.92
2008-08-15,0,102.22
2008-08-22,34,100.20
2008-08-29,34,99.46
2008-09-05,34,100.03
2008-09-12,34,103.84
2008-09-19,41,105.74
2008-09-26,0,94.71
2008-10-03,0,80.30
2008-10-10,0,78.23
2008-10-17,0,66.42
2008-10-24,0,56.80
2008-10-31,29,70.55
2008-11-07,0,67.16
2008-11-14,0,56.28
2008-11-21,0,44.29
2008-11-28,0,53.45
2008-12-05,0,56.26
2008-12-12,0,58.24
2008-12-19,32,60.01
2008-12-26,27,58.98
2009-01-02,27,58.29
2009-01-09,27,55.08
2009-01-16,27,53.49
2009-01-23,27,51.20
2009-01-30,27,50.81
2009-02-06,27,52.91
2009-02-13,27,42.79
2009-02-20,27,40.54
2009-02-27,27,32.73
2009-03-06,28,29.31
2009-03-13,29,37.36
2009-03-20,31,32.23
2009-03-27,32,34.61
2009-04-03,34,40.66
2009-04-10,31,
2009-04-17,31,46.01
2009-04-24,31,48.79
2009-05-01,31,47.53
2009-05-08,31,51.83
2009-05-15,30,44.34
2009-05-22,30,44.95
2009-05-29,30,46.66
2009-06-05,31,48.73
2009-06-12,31,48.54
2009-06-19,32,45.10
2009-06-26,32,44.56
2009-07-03,33,
2009-07-10,34,40.82
2009-07-17,34,43.79
2009-07-24,35,50.53
2009-07-31,36,51.02
2009-08-07,28,59.57
2009-08-14,24,57.24
2009-08-21,24,56.82
2009-08-28,24,57.67
2009-09-04,24,55.05
2009-09-11,24,60.02
2009-09-18,26,68.16
2009-09-25,37,63.46
2009-10-02,34,60.49
2009-10-09,29,63.57
2009-10-16,29,61.28
2009-10-23,29,60.76
2009-10-30,33,59.56
2009-11-06,22,60.98
2009-11-13,25,65.31
2009-11-20,29,64.34
2009-11-27,32,62.05
2009-12-04,36,70.19
2009-12-11,36,69.66
2009-12-18,37,69.55
2009-12-25,28,
2010-01-01,31,
2010-01-08,34,69.50
2010-01-15,26,70.10
2010-01-22,26,64.71
2010-01-29,30,64.68
2010-02-05,24,64.27
2010-02-12,24,62.70
2010-02-19,25,65.62
2010-02-26,27,65.72
2010-03-05,34,69.26
2010-03-12,23,73.80
2010-03-19,23,75.43
2010-03-26,24,76.54
2010-04-02,25,
2010-04-09,25,79.20
2010-04-16,21,76.59
2010-04-23,29,82.51
2010-04-30,24,83.37
2010-05-07,24,76.54
2010-05-14,24,79.55
2010-05-21,34,76.01
2010-05-28,22,77.68
2010-06-04,22,72.10
2010-06-11,22,76.94
2010-06-18,22,79.38
2010-06-25,22,78.68
2010-07-02,20,71.13
2010-07-09,21,75.00
2010-07-16,22,74.67
2010-07-23,24,80.12
2010-07-30,25,82.78
2010-08-06,19,84.85
2010-08-13,30,81.00
2010-08-20,59,81.06
2010-08-27,87,81.58
2010-09-03,32,87.41
2010-09-10,19,84.90
2010-09-17,19,86.53
2010-09-24,19,87.00
2010-10-01,19,85.96
2010-10-08,22,86.95
2010-10-15,22,87.21
2010-10-22,37,91.06
2010-10-29,31,87.39
2010-11-05,22,89.85
2010-11-12,18,83.09
2010-11-19,18,80.22
2010-11-26,20,81.76
2010-12-03,24,82.85
2010-12-10,27,81.77
2010-12-17,29,79.90
2010-12-24,31,
2010-12-31,21,83.33
2011-01-07,21,83.67
2011-01-14,21,86.16
2011-01-21,21,86.61
2011-01-28,24,87.18
2011-02-04,26,86.22
2011-02-11,15,88.99
2011-02-18,15,89.83
2011-02-25,15,89.98
2011-03-04,15,88.31
2011-03-11,15,88.40
2011-03-18,16,85.95
2011-03-25,16,85.55
2011-04-01,16,88.00
2011-04-08,15,87.54
2011-04-15,16,90.77
2011-04-22,16,
2011-04-29,16,96.68
2011-05-06,16,94.00
2011-05-13,16,94.78
2011-05-20,18,95.93
2011-05-27,21,96.63
2011-06-03,20,94.96
2011-06-10,20,91.28
2011-06-17,22,91.48
2011-06-24,16,90.67
2011-07-01,16,94.86
2011-07-08,18,96.59
2011-07-15,19,93.52
2011-07-22,21,98.60
2011-07-29,14,93.55
2011-08-05,14,80.78
2011-08-12,14,82.61
2011-08-19,14,79.02
2011-08-26,0,81.89
2011-09-02,0,83.72
2011-09-09,0,82.10
2011-09-16,0,86.01
2011-09-23,0,78.57
2011-09-30,0,74.62
2011-10-07,13,69.97
2011-10-14,14,76.25
2011-10-21,14,78.50
2011-10-28,16,83.11
2011-11-04,17,80.50
2011-11-11,18,79.98
2011-11-18,14,75.73
2011-11-25,17,70.73
2011-12-02,20,74.00
2011-12-09,12,74.43
2011-12-16,16,74.23
2011-12-23,18,77.10
2011-12-30,19,76.86
2012-01-06,20,76.94
2012-01-13,20,79.34
2012-01-20,20,80.49
2012-01-27,25,81.02
2012-02-03,15,86.01
2012-02-10,15,83.60
2012-02-17,12,84.90
2012-02-24,13,84.73
2012-03-02,16,81.81
2012-03-09,19,80.02
2012-03-16,13,83.82
2012-03-23,13,83.43
2012-03-30,14,84.20
2012-04-06,24,
2012-04-13,22,79.94
2012-04-20,22,83.67
2012-04-27,19,86.00
2012-05-04,19,86.28
2012-05-11,14,87.46
2012-05-18,16,81.28
2012-05-25,12,83.10
2012-06-01,15,80.03
2012-06-08,22,82.64
2012-06-15,17,81.80
2012-06-22,19,80.55
2012-06-29,23,83.98
2012-07-06,13,84.67
2012-07-13,17,85.84
2012-07-20,13,83.48
2012-07-27,14,83.35
2012-08-03,20,85.65
2012-08-10,15,79.89
2012-08-17,13,82.30
2012-08-24,13,82.10
2012-08-31,14,81.17
2012-09-07,15,81.88
2012-09-14,14,85.12
2012-09-21,15,82.32
2012-09-28,12,81.05
2012-10-05,17,80.00
2012-10-12,12,78.49
2012-10-19,12,81.30
2012-10-26,12,79.79
2012-11-02,10,80.94
2012-11-09,10,77.32
2012-11-16,13,73.23
2012-11-23,15,75.61
2012-11-30,16,76.43
2012-12-07,17,76.54
2012-12-14,18,77.28
2012-12-21,14,79.76
2012-12-28,15,79.27
2013-01-04,15,82.25
2013-01-11,15,81.08
2013-01-18,16,84.63
2013-01-25,14,85.45
2013-02-01,14,85.40
2013-02-08,11,84.51
2013-02-15,12,84.89
2013-02-22,13,85.34
2013-03-01,21,80.31
2013-03-08,22,84.24
2013-03-15,14,83.28
2013-03-22,16,81.59
2013-03-29,18,
2013-04-05,21,86.96
2013-04-12,16,87.41
2013-04-19,13,86.02
2013-04-26,12,85.93
2013-05-03,12,86.93
2013-05-10,10,86.27
2013-05-17,10,87.46
2013-05-24,9,84.27
2013-05-31,10,79.95
2013-06-07,11,81.49
2013-06-14,13,82.85
2013-06-21,14,78.33
2013-06-28,20,82.85
2013-07-05,9,84.44
2013-07-12,9,86.96
2013-07-19,10,88.41
2013-07-26,12,87.53
2013-08-02,14,83.38
2013-08-09,12,84.91
2013-08-16,10,81.40
2013-08-23,20,82.96
2013-08-30,11,81.30
2013-09-06,12,82.38
2013-09-13,14,84.55
2013-09-20,16,86.32
2013-09-27,15,84.41
2013-10-04,15,84.52
2013-10-11,15,86.92
2013-10-18,15,89.09
2013-10-25,12,91.11
2013-11-01,9,89.97
2013-11-08,13,88.08
2013-11-15,17,90.03
2013-11-22,12,89.94
2013-11-29,10,87.93
2013-12-06,10,90.75
2013-12-13,15,88.07
2013-12-20,10,88.84
2013-12-27,10,89.90
2014-01-03,10,89.57
2014-01-10,10,91.70
2014-01-17,9,91.78
2014-01-24,11,90.24
2014-01-31,12,91.83
2014-02-07,12,92.38
2014-02-14,12,95.70
2014-02-21,12,94.78
2014-02-28,9,96.29
2014-03-07,13,99.15
2014-03-14,11,97.55
2014-03-21,9,98.36
2014-03-28,11,98.10
2014-04-04,13,99.16
2014-04-11,15,98.15
2014-04-18,17,
2014-04-25,19,100.76
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
