Date,WLP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,83.29
2004-02-13,0,84.20
2004-02-20,0,82.22
2004-02-27,0,85.95
2004-03-05,0,89.81
2004-03-12,0,87.88
2004-03-19,0,89.50
2004-03-26,0,88.20
2004-04-02,0,91.49
2004-04-09,0,
2004-04-16,0,87.35
2004-04-23,0,94.35
2004-04-30,0,88.58
2004-05-07,0,88.28
2004-05-14,0,89.05
2004-05-21,0,86.05
2004-05-28,0,88.53
2004-06-04,0,89.54
2004-06-11,0,
2004-06-18,0,90.09
2004-06-25,0,87.82
2004-07-02,0,88.30
2004-07-09,0,87.45
2004-07-16,0,93.40
2004-07-23,0,88.80
2004-07-30,0,82.47
2004-08-06,0,78.76
2004-08-13,0,81.05
2004-08-20,0,82.21
2004-08-27,0,81.42
2004-09-03,0,82.40
2004-09-10,0,84.51
2004-09-17,0,86.11
2004-09-24,0,86.81
2004-10-01,0,86.73
2004-10-08,0,85.10
2004-10-15,0,81.54
2004-10-22,0,74.58
2004-10-29,0,80.40
2004-11-05,0,86.46
2004-11-12,0,94.76
2004-11-19,0,96.82
2004-11-26,0,99.05
2004-12-03,69,106.47
2004-12-10,0,113.10
2004-12-17,0,115.28
2004-12-24,0,
2004-12-31,0,115.00
2005-01-07,0,115.80
2005-01-14,0,122.50
2005-01-21,0,120.45
2005-01-28,0,120.60
2005-02-04,0,124.89
2005-02-11,0,120.00
2005-02-18,0,120.95
2005-02-25,0,122.39
2005-03-04,0,126.88
2005-03-11,50,122.81
2005-03-18,54,121.31
2005-03-25,49,
2005-04-01,49,124.65
2005-04-08,49,127.50
2005-04-15,49,121.20
2005-04-22,55,117.77
2005-04-29,62,127.75
2005-05-06,68,133.95
2005-05-13,75,131.86
2005-05-20,52,133.09
2005-05-27,55,134.00
2005-06-03,58,68.40
2005-06-10,51,67.80
2005-06-17,60,69.64
2005-06-24,69,68.19
2005-07-01,59,69.82
2005-07-08,79,70.75
2005-07-15,74,68.90
2005-07-22,67,67.02
2005-07-29,67,70.74
2005-08-05,59,70.92
2005-08-12,57,72.51
2005-08-19,58,73.00
2005-08-26,59,72.52
2005-09-02,63,73.98
2005-09-09,49,76.77
2005-09-16,58,74.04
2005-09-23,56,74.74
2005-09-30,61,75.82
2005-10-07,66,74.20
2005-10-14,57,73.58
2005-10-21,51,78.00
2005-10-28,51,74.70
2005-11-04,48,73.40
2005-11-11,50,73.77
2005-11-18,53,77.10
2005-11-25,47,78.15
2005-12-02,37,77.30
2005-12-09,49,79.40
2005-12-16,71,78.24
2005-12-23,54,78.30
2005-12-30,54,79.79
2006-01-06,54,78.93
2006-01-13,54,74.89
2006-01-20,75,73.23
2006-01-27,79,75.50
2006-02-03,51,77.30
2006-02-10,69,77.65
2006-02-17,36,77.36
2006-02-24,69,77.29
2006-03-03,42,75.68
2006-03-10,76,77.43
2006-03-17,95,79.62
2006-03-24,68,78.50
2006-03-31,65,77.43
2006-04-07,75,75.59
2006-04-14,64,
2006-04-21,62,71.72
2006-04-28,59,71.00
2006-05-05,59,70.01
2006-05-12,71,71.75
2006-05-19,61,71.90
2006-05-26,86,72.08
2006-06-02,64,72.84
2006-06-09,53,71.84
2006-06-16,67,71.05
2006-06-23,54,72.21
2006-06-30,56,72.77
2006-07-07,44,72.14
2006-07-14,44,74.56
2006-07-21,80,77.18
2006-07-28,73,75.07
2006-08-04,71,74.68
2006-08-11,79,74.83
2006-08-18,71,76.00
2006-08-25,67,77.29
2006-09-01,57,77.13
2006-09-08,57,75.85
2006-09-15,91,78.63
2006-09-22,51,76.73
2006-09-29,56,77.05
2006-10-06,86,78.41
2006-10-13,58,76.44
2006-10-20,77,78.06
2006-10-27,77,76.65
2006-11-03,59,73.80
2006-11-10,69,72.89
2006-11-17,68,72.92
2006-11-24,50,72.40
2006-12-01,84,75.95
2006-12-08,58,76.46
2006-12-15,70,77.13
2006-12-22,75,78.22
2006-12-29,46,78.69
2007-01-05,58,78.49
2007-01-12,70,77.80
2007-01-19,57,77.32
2007-01-26,76,75.98
2007-02-02,72,78.71
2007-02-09,60,80.68
2007-02-16,48,82.25
2007-02-23,77,81.50
2007-03-02,62,80.06
2007-03-09,57,78.32
2007-03-16,47,78.80
2007-03-23,69,81.67
2007-03-30,55,81.10
2007-04-06,58,
2007-04-13,49,82.24
2007-04-20,59,82.85
2007-04-27,53,79.19
2007-05-04,66,81.43
2007-05-11,62,83.50
2007-05-18,70,85.07
2007-05-25,49,83.98
2007-06-01,53,81.78
2007-06-08,82,81.56
2007-06-15,60,81.04
2007-06-22,59,79.51
2007-06-29,41,79.83
2007-07-06,46,82.23
2007-07-13,61,81.78
2007-07-20,77,81.20
2007-07-27,55,75.93
2007-08-03,49,75.05
2007-08-10,45,77.02
2007-08-17,45,79.55
2007-08-24,63,78.18
2007-08-31,49,80.59
2007-09-07,36,79.06
2007-09-14,31,79.32
2007-09-21,47,79.89
2007-09-28,46,78.92
2007-10-05,45,78.46
2007-10-12,38,79.59
2007-10-19,39,78.78
2007-10-26,42,78.70
2007-11-02,52,78.31
2007-11-09,34,79.90
2007-11-16,53,81.63
2007-11-23,39,81.76
2007-11-30,62,84.21
2007-12-07,34,85.97
2007-12-14,42,86.16
2007-12-21,35,89.46
2007-12-28,33,88.10
2008-01-04,52,87.57
2008-01-11,57,87.63
2008-01-18,44,82.88
2008-01-25,44,74.69
2008-02-01,43,78.92
2008-02-08,52,76.63
2008-02-15,44,75.07
2008-02-22,41,73.93
2008-02-29,59,70.08
2008-03-07,53,67.12
2008-03-14,100,47.09
2008-03-21,43,
2008-03-28,53,43.23
2008-04-04,60,46.20
2008-04-11,42,46.00
2008-04-18,45,48.44
2008-04-25,58,51.07
2008-05-02,44,51.33
2008-05-09,46,52.73
2008-05-16,46,51.53
2008-05-23,52,53.94
2008-05-30,63,55.82
2008-06-06,33,55.44
2008-06-13,46,53.81
2008-06-20,56,48.30
2008-06-27,53,48.08
2008-07-04,40,
2008-07-11,63,44.87
2008-07-18,47,46.25
2008-07-25,47,52.90
2008-08-01,51,51.57
2008-08-08,44,55.83
2008-08-15,42,57.57
2008-08-22,44,54.49
2008-08-29,36,52.79
2008-09-05,33,49.02
2008-09-12,45,51.14
2008-09-19,45,48.02
2008-09-26,60,46.69
2008-10-03,50,44.46
2008-10-10,48,35.30
2008-10-17,60,40.30
2008-10-24,31,40.40
2008-10-31,43,38.87
2008-11-07,32,38.71
2008-11-14,46,35.24
2008-11-21,38,30.08
2008-11-28,26,35.60
2008-12-05,43,36.00
2008-12-12,40,36.62
2008-12-19,48,42.26
2008-12-26,39,40.70
2009-01-02,40,43.85
2009-01-09,50,42.56
2009-01-16,63,37.89
2009-01-23,39,40.13
2009-01-30,44,41.45
2009-02-06,48,45.71
2009-02-13,33,43.75
2009-02-20,34,41.45
2009-02-27,39,33.92
2009-03-06,42,31.41
2009-03-13,48,36.80
2009-03-20,55,35.37
2009-03-27,38,36.42
2009-04-03,46,38.44
2009-04-10,29,
2009-04-17,59,42.41
2009-04-24,43,40.94
2009-05-01,36,42.38
2009-05-08,49,48.86
2009-05-15,37,46.88
2009-05-22,27,44.75
2009-05-29,29,46.57
2009-06-05,31,47.81
2009-06-12,38,46.72
2009-06-19,51,50.93
2009-06-26,42,51.34
2009-07-03,41,
2009-07-10,50,49.81
2009-07-17,44,49.99
2009-07-24,36,52.54
2009-07-31,41,52.64
2009-08-07,49,51.40
2009-08-14,30,52.19
2009-08-21,34,54.64
2009-08-28,38,53.72
2009-09-04,31,54.17
2009-09-11,42,54.03
2009-09-18,42,54.40
2009-09-25,49,49.60
2009-10-02,36,45.92
2009-10-09,30,46.33
2009-10-16,45,46.16
2009-10-23,34,46.03
2009-10-30,31,46.76
2009-11-06,45,51.00
2009-11-13,34,52.41
2009-11-20,51,52.14
2009-11-27,37,54.24
2009-12-04,43,53.88
2009-12-11,30,56.51
2009-12-18,38,58.31
2009-12-25,33,
2010-01-01,24,
2010-01-08,39,63.94
2010-01-15,35,66.65
2010-01-22,37,65.10
2010-01-29,38,63.72
2010-02-05,31,61.69
2010-02-12,29,59.33
2010-02-19,34,58.47
2010-02-26,30,61.87
2010-03-05,34,62.25
2010-03-12,35,62.58
2010-03-19,46,65.07
2010-03-26,49,63.05
2010-04-02,42,
2010-04-09,33,61.26
2010-04-16,37,59.08
2010-04-23,35,57.98
2010-04-30,40,53.80
2010-05-07,42,50.94
2010-05-14,38,53.09
2010-05-21,39,51.25
2010-05-28,36,51.30
2010-06-04,37,54.14
2010-06-11,28,52.65
2010-06-18,31,55.22
2010-06-25,31,51.75
2010-07-02,37,47.43
2010-07-09,24,51.17
2010-07-16,42,51.39
2010-07-23,30,51.99
2010-07-30,32,50.72
2010-08-06,40,55.05
2010-08-13,28,51.79
2010-08-20,39,49.89
2010-08-27,31,50.87
2010-09-03,33,53.25
2010-09-10,31,54.83
2010-09-17,33,54.06
2010-09-24,38,56.69
2010-10-01,37,56.11
2010-10-08,38,55.01
2010-10-15,36,57.78
2010-10-22,25,57.54
2010-10-29,27,54.34
2010-11-05,22,57.35
2010-11-12,39,58.08
2010-11-19,32,58.61
2010-11-26,34,57.10
2010-12-03,31,57.02
2010-12-10,27,57.68
2010-12-17,26,55.93
2010-12-24,32,
2010-12-31,25,56.86
2011-01-07,32,60.46
2011-01-14,36,63.55
2011-01-21,32,61.45
2011-01-28,31,62.66
2011-02-04,28,65.07
2011-02-11,29,65.25
2011-02-18,28,67.40
2011-02-25,32,66.52
2011-03-04,38,67.99
2011-03-11,35,67.98
2011-03-18,31,66.65
2011-03-25,39,69.34
2011-04-01,30,70.75
2011-04-08,38,68.95
2011-04-15,24,69.41
2011-04-22,27,
2011-04-29,46,76.79
2011-05-06,34,77.96
2011-05-13,31,80.25
2011-05-20,47,80.53
2011-05-27,32,77.58
2011-06-03,27,76.68
2011-06-10,39,76.34
2011-06-17,34,76.24
2011-06-24,37,77.33
2011-07-01,36,80.79
2011-07-08,33,78.00
2011-07-15,38,74.90
2011-07-22,28,74.41
2011-07-29,30,67.55
2011-08-05,31,61.95
2011-08-12,36,60.38
2011-08-19,31,58.09
2011-08-26,38,60.43
2011-09-02,28,62.19
2011-09-09,27,61.81
2011-09-16,31,67.70
2011-09-23,30,64.05
2011-09-30,29,65.28
2011-10-07,26,65.79
2011-10-14,24,67.07
2011-10-21,33,66.65
2011-10-28,29,68.68
2011-11-04,29,67.42
2011-11-11,33,70.75
2011-11-18,31,68.52
2011-11-25,25,63.70
2011-12-02,30,68.91
2011-12-09,28,66.50
2011-12-16,25,64.95
2011-12-23,24,68.05
2011-12-30,20,66.25
2012-01-06,29,70.73
2012-01-13,32,71.91
2012-01-20,28,71.78
2012-01-27,32,65.42
2012-02-03,28,65.07
2012-02-10,29,64.17
2012-02-17,28,66.05
2012-02-24,21,66.11
2012-03-02,31,65.78
2012-03-09,32,64.88
2012-03-16,30,67.33
2012-03-23,25,66.68
2012-03-30,26,73.80
2012-04-06,25,
2012-04-13,23,69.25
2012-04-20,28,70.68
2012-04-27,28,68.63
2012-05-04,25,66.26
2012-05-11,30,66.11
2012-05-18,23,65.08
2012-05-25,26,67.90
2012-06-01,20,66.36
2012-06-08,20,69.07
2012-06-15,24,70.77
2012-06-22,31,69.76
2012-06-29,26,63.79
2012-07-06,32,59.91
2012-07-13,32,62.36
2012-07-20,25,61.94
2012-07-27,31,55.12
2012-08-03,32,55.04
2012-08-10,24,57.91
2012-08-17,35,57.26
2012-08-24,31,57.66
2012-08-31,34,59.87
2012-09-07,29,60.29
2012-09-14,23,58.35
2012-09-21,21,59.26
2012-09-28,24,58.01
2012-10-05,31,61.22
2012-10-12,20,61.83
2012-10-19,24,61.82
2012-10-26,23,61.29
2012-11-02,23,61.14
2012-11-09,31,56.16
2012-11-16,33,55.15
2012-11-23,23,56.06
2012-11-30,24,55.90
2012-12-07,20,57.78
2012-12-14,23,58.49
2012-12-21,23,61.31
2012-12-28,19,59.89
2013-01-04,20,59.29
2013-01-11,23,61.75
2013-01-18,22,62.75
2013-01-25,38,66.17
2013-02-01,31,65.32
2013-02-08,27,66.28
2013-02-15,27,62.70
2013-02-22,24,61.92
2013-03-01,26,61.88
2013-03-08,28,63.03
2013-03-15,27,64.98
2013-03-22,30,64.03
2013-03-29,23,
2013-04-05,33,67.99
2013-04-12,31,69.79
2013-04-19,29,68.71
2013-04-26,31,72.87
2013-05-03,27,73.82
2013-05-10,24,75.89
2013-05-17,30,77.81
2013-05-24,28,76.98
2013-05-31,25,76.97
2013-06-07,26,77.39
2013-06-14,28,78.16
2013-06-21,20,79.40
2013-06-28,28,81.84
2013-07-05,24,81.96
2013-07-12,25,85.40
2013-07-19,29,86.80
2013-07-26,31,84.79
2013-08-02,24,86.08
2013-08-09,30,87.39
2013-08-16,28,86.05
2013-08-23,29,86.58
2013-08-30,23,85.14
2013-09-06,20,87.29
2013-09-13,26,89.09
2013-09-20,29,82.33
2013-09-27,24,83.95
2013-10-04,24,87.21
2013-10-11,28,88.64
2013-10-18,29,86.38
2013-10-25,28,84.10
2013-11-01,26,85.36
2013-11-08,25,87.28
2013-11-15,31,90.10
2013-11-22,30,93.03
2013-11-29,33,92.88
2013-12-06,23,90.69
2013-12-13,23,87.75
2013-12-20,28,89.59
2013-12-27,19,92.17
2014-01-03,19,90.63
2014-01-10,33,91.99
2014-01-17,30,85.49
2014-01-24,27,84.25
2014-01-31,27,86.00
2014-02-07,32,84.68
2014-02-14,31,87.80
2014-02-21,23,88.55
2014-02-28,31,90.59
2014-03-07,28,91.53
2014-03-14,24,93.35
2014-03-21,36,99.77
2014-03-28,38,99.39
2014-04-04,38,97.59
2014-04-11,34,95.05
2014-04-18,29,
2014-04-25,36,96.00
2014-05-02,32,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
