Date,ADM,Price
2004-01-09,71,
2004-01-16,83,
2004-01-23,67,
2004-01-30,72,
2004-02-06,82,17.20
2004-02-13,81,16.90
2004-02-20,91,17.16
2004-02-27,95,17.20
2004-03-05,100,17.06
2004-03-12,86,16.57
2004-03-19,72,16.90
2004-03-26,81,16.68
2004-04-02,78,17.05
2004-04-09,77,
2004-04-16,66,16.72
2004-04-23,79,17.40
2004-04-30,73,17.56
2004-05-07,76,17.14
2004-05-14,76,17.07
2004-05-21,65,16.34
2004-05-28,73,16.63
2004-06-04,71,16.86
2004-06-11,75,
2004-06-18,73,16.28
2004-06-25,79,16.40
2004-07-02,80,16.58
2004-07-09,67,16.36
2004-07-16,67,16.15
2004-07-23,78,16.13
2004-07-30,70,15.43
2004-08-06,70,15.61
2004-08-13,87,15.73
2004-08-20,91,15.93
2004-08-27,85,15.76
2004-09-03,89,16.52
2004-09-10,79,16.62
2004-09-17,82,16.67
2004-09-24,82,16.39
2004-10-01,78,16.83
2004-10-08,72,17.04
2004-10-15,82,16.97
2004-10-22,87,16.80
2004-10-29,87,19.37
2004-11-05,74,19.84
2004-11-12,65,20.54
2004-11-19,69,20.80
2004-11-26,69,21.22
2004-12-03,73,21.85
2004-12-10,73,21.30
2004-12-17,76,21.76
2004-12-24,69,
2004-12-31,58,22.31
2005-01-07,64,21.84
2005-01-14,66,21.91
2005-01-21,82,22.66
2005-01-28,76,23.06
2005-02-04,75,24.08
2005-02-11,71,24.25
2005-02-18,67,24.82
2005-02-25,85,24.18
2005-03-04,70,25.32
2005-03-11,86,24.61
2005-03-18,76,24.25
2005-03-25,73,
2005-04-01,79,24.97
2005-04-08,90,21.69
2005-04-15,79,20.78
2005-04-22,81,20.35
2005-04-29,74,17.99
2005-05-06,74,18.80
2005-05-13,74,19.35
2005-05-20,75,19.85
2005-05-27,69,20.01
2005-06-03,78,20.22
2005-06-10,76,20.43
2005-06-17,76,21.40
2005-06-24,86,21.26
2005-07-01,76,21.48
2005-07-08,80,20.89
2005-07-15,77,21.74
2005-07-22,69,21.99
2005-07-29,71,22.94
2005-08-05,70,20.78
2005-08-12,78,21.03
2005-08-19,69,21.00
2005-08-26,81,22.47
2005-09-02,77,23.71
2005-09-09,64,23.20
2005-09-16,77,23.14
2005-09-23,75,22.78
2005-09-30,73,24.66
2005-10-07,64,24.50
2005-10-14,82,24.39
2005-10-21,78,23.78
2005-10-28,72,24.30
2005-11-04,67,24.21
2005-11-11,78,24.41
2005-11-18,74,24.51
2005-11-25,72,24.52
2005-12-02,68,23.90
2005-12-09,69,24.80
2005-12-16,71,25.06
2005-12-23,62,25.20
2005-12-30,51,24.66
2006-01-06,73,26.05
2006-01-13,81,26.79
2006-01-20,79,27.52
2006-01-27,72,28.87
2006-02-03,83,30.00
2006-02-10,76,30.72
2006-02-17,82,30.08
2006-02-24,78,30.96
2006-03-03,75,32.27
2006-03-10,82,32.22
2006-03-17,69,35.26
2006-03-24,76,35.15
2006-03-31,77,33.65
2006-04-07,76,36.05
2006-04-14,73,
2006-04-21,71,37.86
2006-04-28,78,36.34
2006-05-05,88,40.70
2006-05-12,98,44.10
2006-05-19,86,40.20
2006-05-26,88,42.71
2006-06-02,75,42.34
2006-06-09,87,41.26
2006-06-16,72,39.08
2006-06-23,82,38.90
2006-06-30,69,41.28
2006-07-07,69,43.07
2006-07-14,69,41.98
2006-07-21,72,39.46
2006-07-28,74,43.52
2006-08-04,73,40.91
2006-08-11,76,40.83
2006-08-18,69,41.20
2006-08-25,76,41.74
2006-09-01,72,41.99
2006-09-08,68,39.59
2006-09-15,69,38.13
2006-09-22,70,38.48
2006-09-29,78,37.88
2006-10-06,76,37.00
2006-10-13,68,36.93
2006-10-20,73,37.50
2006-10-27,74,39.37
2006-11-03,74,34.23
2006-11-10,72,35.46
2006-11-17,71,34.36
2006-11-24,67,33.53
2006-12-01,71,34.83
2006-12-08,72,34.07
2006-12-15,73,32.72
2006-12-22,62,31.48
2006-12-29,51,31.96
2007-01-05,66,31.83
2007-01-12,69,30.96
2007-01-19,69,31.42
2007-01-26,68,31.53
2007-02-02,81,35.27
2007-02-09,70,33.36
2007-02-16,72,35.88
2007-02-23,68,35.20
2007-03-02,74,33.75
2007-03-09,81,34.20
2007-03-16,82,33.51
2007-03-23,79,35.63
2007-03-30,78,36.70
2007-04-06,74,
2007-04-13,74,38.01
2007-04-20,76,38.55
2007-04-27,78,39.01
2007-05-04,75,36.06
2007-05-11,73,35.87
2007-05-18,74,36.90
2007-05-25,76,35.32
2007-06-01,71,34.59
2007-06-08,72,34.54
2007-06-15,72,34.57
2007-06-22,78,33.48
2007-06-29,75,33.09
2007-07-06,68,35.14
2007-07-13,73,36.60
2007-07-20,69,36.06
2007-07-27,74,34.05
2007-08-03,79,33.46
2007-08-10,71,34.43
2007-08-17,73,32.65
2007-08-24,77,33.08
2007-08-31,75,33.70
2007-09-07,70,32.71
2007-09-14,78,32.36
2007-09-21,74,33.12
2007-09-28,74,33.08
2007-10-05,75,33.11
2007-10-12,72,35.48
2007-10-19,74,34.90
2007-10-26,72,35.06
2007-11-02,67,34.84
2007-11-09,74,36.93
2007-11-16,79,37.89
2007-11-23,82,35.59
2007-11-30,77,36.35
2007-12-07,81,38.55
2007-12-14,65,39.07
2007-12-21,76,44.27
