Date,HES,Price
2004-01-09,21,
2004-01-16,23,
2004-01-23,29,
2004-01-30,27,
2004-02-06,18,57.01
2004-02-13,20,60.34
2004-02-20,24,61.55
2004-02-27,20,64.35
2004-03-05,20,66.98
2004-03-12,25,64.60
2004-03-19,21,65.81
2004-03-26,19,62.63
2004-04-02,20,62.70
2004-04-09,23,
2004-04-16,25,65.33
2004-04-23,28,67.13
2004-04-30,24,71.13
2004-05-07,23,71.57
2004-05-14,23,73.41
2004-05-21,22,69.76
2004-05-28,26,70.59
2004-06-04,23,70.10
2004-06-11,23,
2004-06-18,26,74.27
2004-06-25,23,77.25
2004-07-02,25,79.33
2004-07-09,23,82.11
2004-07-16,19,84.57
2004-07-23,20,81.13
2004-07-30,18,83.35
2004-08-06,19,78.13
2004-08-13,15,78.45
2004-08-20,21,77.74
2004-08-27,24,79.31
2004-09-03,24,82.28
2004-09-10,27,81.98
2004-09-17,27,83.99
2004-09-24,37,86.48
2004-10-01,31,90.04
2004-10-08,33,91.57
2004-10-15,22,87.41
2004-10-22,28,88.38
2004-10-29,26,80.71
2004-11-05,32,80.26
2004-11-12,33,78.66
2004-11-19,23,82.79
2004-11-26,31,88.00
2004-12-03,25,84.35
2004-12-10,28,82.05
2004-12-17,30,85.00
2004-12-24,25,
2004-12-31,23,82.38
2005-01-07,27,80.00
2005-01-14,29,83.77
2005-01-21,30,84.26
2005-01-28,33,84.55
2005-02-04,28,91.30
2005-02-11,31,95.20
2005-02-18,31,96.81
2005-02-25,29,100.94
2005-03-04,31,103.83
2005-03-11,26,97.26
2005-03-18,30,95.49
2005-03-25,27,
2005-04-01,27,98.43
2005-04-08,26,97.40
2005-04-15,27,90.69
2005-04-22,34,95.62
2005-04-29,28,93.65
2005-05-06,28,95.02
2005-05-13,28,88.25
2005-05-20,29,90.06
2005-05-27,27,94.85
2005-06-03,25,96.94
2005-06-10,24,102.97
2005-06-17,34,111.67
2005-06-24,34,108.67
2005-07-01,29,110.85
2005-07-08,27,112.52
2005-07-15,27,111.80
2005-07-22,23,119.03
2005-07-29,27,117.86
2005-08-05,31,120.36
2005-08-12,26,129.48
2005-08-19,27,123.67
2005-08-26,34,122.10
2005-09-02,33,132.57
2005-09-09,32,137.40
2005-09-16,28,133.52
