Date,sell A,Price
2004-01-09,56,
2004-01-16,52,
2004-01-23,46,
2004-01-30,48,
2004-02-06,48,36.85
2004-02-13,43,37.08
2004-02-20,41,35.05
2004-02-27,45,34.19
2004-03-05,48,34.81
2004-03-12,50,31.65
2004-03-19,45,30.55
2004-03-26,54,30.79
2004-04-02,51,32.32
2004-04-09,48,
2004-04-16,48,30.13
2004-04-23,52,29.50
2004-04-30,57,27.01
2004-05-07,50,26.31
2004-05-14,47,25.59
2004-05-21,42,24.38
2004-05-28,50,25.70
2004-06-04,40,25.22
2004-06-11,48,
2004-06-18,48,25.89
2004-06-25,45,29.51
2004-07-02,49,28.27
2004-07-09,48,26.84
2004-07-16,49,25.31
2004-07-23,53,23.56
2004-07-30,48,23.81
2004-08-06,54,21.85
2004-08-13,46,20.52
2004-08-20,52,22.20
2004-08-27,50,21.64
2004-09-03,48,20.37
2004-09-10,48,22.71
2004-09-17,50,22.90
2004-09-24,46,21.82
2004-10-01,51,22.99
2004-10-08,43,22.23
2004-10-15,41,22.79
2004-10-22,46,23.90
2004-10-29,51,25.06
2004-11-05,40,25.21
2004-11-12,53,22.58
2004-11-19,54,23.13
2004-11-26,36,23.16
2004-12-03,44,24.21
2004-12-10,45,23.69
2004-12-17,47,23.82
2004-12-24,41,
2004-12-31,40,24.10
2005-01-07,52,22.71
2005-01-14,51,22.05
2005-01-21,47,21.80
2005-01-28,50,21.61
2005-02-04,42,22.45
2005-02-11,43,23.72
2005-02-18,53,23.57
2005-02-25,49,23.55
2005-03-04,56,24.11
2005-03-11,45,23.34
2005-03-18,42,22.35
2005-03-25,44,
2005-04-01,47,22.07
2005-04-08,50,21.37
2005-04-15,46,20.40
2005-04-22,51,21.10
2005-04-29,49,20.75
2005-05-06,51,21.50
2005-05-13,50,21.99
2005-05-20,44,23.41
2005-05-27,49,23.91
2005-06-03,49,24.06
2005-06-10,45,24.50
2005-06-17,46,24.77
2005-06-24,53,24.13
2005-07-01,54,23.40
2005-07-08,52,24.34
2005-07-15,49,25.66
2005-07-22,53,25.59
2005-07-29,52,26.24
2005-08-05,55,25.87
2005-08-12,59,26.41
2005-08-19,48,30.65
2005-08-26,53,31.10
2005-09-02,48,32.14
2005-09-09,42,32.62
2005-09-16,46,33.91
2005-09-23,49,33.69
2005-09-30,46,32.75
2005-10-07,44,31.81
2005-10-14,51,30.93
2005-10-21,44,31.09
2005-10-28,41,31.00
2005-11-04,42,32.80
2005-11-11,48,32.93
2005-11-18,46,34.91
2005-11-25,42,35.69
2005-12-02,45,35.49
2005-12-09,48,35.27
2005-12-16,38,35.30
2005-12-23,39,34.90
2005-12-30,46,33.29
2006-01-06,45,34.65
2006-01-13,47,33.96
2006-01-20,49,34.25
2006-01-27,48,34.14
2006-02-03,53,34.33
2006-02-10,40,35.87
2006-02-17,46,34.99
2006-02-24,48,35.92
2006-03-03,49,36.22
2006-03-10,44,36.38
2006-03-17,44,37.92
2006-03-24,47,37.37
2006-03-31,44,37.55
2006-04-07,50,37.86
2006-04-14,51,
2006-04-21,50,38.82
2006-04-28,45,38.42
2006-05-05,52,39.15
2006-05-12,50,37.25
2006-05-19,46,34.98
2006-05-26,49,34.63
2006-06-02,46,35.52
2006-06-09,46,33.73
2006-06-16,45,33.35
2006-06-23,44,31.19
2006-06-30,48,31.56
2006-07-07,49,31.02
2006-07-14,56,28.69
2006-07-21,50,27.86
2006-07-28,53,27.92
2006-08-04,51,28.05
2006-08-11,56,27.20
2006-08-18,48,31.80
2006-08-25,53,30.47
2006-09-01,45,31.52
2006-09-08,46,30.68
2006-09-15,47,30.92
2006-09-22,44,32.48
2006-09-29,44,32.69
2006-10-06,43,33.29
2006-10-13,42,34.50
2006-10-20,43,34.92
2006-10-27,46,34.88
2006-11-03,47,32.93
2006-11-10,43,34.34
2006-11-17,45,33.75
2006-11-24,42,33.56
2006-12-01,45,31.97
2006-12-08,39,33.43
2006-12-15,40,34.08
2006-12-22,34,33.72
2006-12-29,42,34.85
2007-01-05,47,34.09
2007-01-12,46,33.60
2007-01-19,51,32.80
2007-01-26,46,32.37
2007-02-02,46,31.61
2007-02-09,44,32.66
2007-02-16,44,32.77
2007-02-23,48,33.27
2007-03-02,46,30.72
2007-03-09,47,31.76
2007-03-16,46,31.75
2007-03-23,46,33.22
2007-03-30,47,33.69
2007-04-06,50,
2007-04-13,47,34.47
2007-04-20,49,35.48
2007-04-27,49,34.71
2007-05-04,46,37.00
2007-05-11,47,36.21
2007-05-18,49,38.00
2007-05-25,49,38.37
2007-06-01,50,38.28
2007-06-08,52,37.53
2007-06-15,56,38.72
2007-06-22,50,38.65
2007-06-29,51,38.44
2007-07-06,52,39.82
2007-07-13,56,39.96
2007-07-20,54,39.38
2007-07-27,56,37.64
2007-08-03,55,37.98
2007-08-10,59,35.75
2007-08-17,50,33.83
2007-08-24,53,35.20
2007-08-31,51,36.40
2007-09-07,45,36.28
2007-09-14,47,36.16
2007-09-21,49,36.91
2007-09-28,49,36.88
2007-10-05,52,37.79
