Date,Waters Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,38.47
2004-02-13,0,38.13
2004-02-20,0,37.53
2004-02-27,0,36.94
2004-03-05,0,38.89
2004-03-12,0,37.36
2004-03-19,0,38.86
2004-03-26,0,39.15
2004-04-02,0,41.47
2004-04-09,0,
2004-04-16,0,40.00
2004-04-23,0,39.70
2004-04-30,0,43.15
2004-05-07,0,42.90
2004-05-14,0,43.97
2004-05-21,0,45.80
2004-05-28,0,46.08
2004-06-04,0,45.50
2004-06-11,0,
2004-06-18,0,44.13
2004-06-25,0,46.25
2004-07-02,0,46.70
2004-07-09,0,46.55
2004-07-16,0,48.20
2004-07-23,0,45.71
2004-07-30,0,43.88
2004-08-06,0,39.78
2004-08-13,0,40.46
2004-08-20,0,42.95
2004-08-27,0,43.31
2004-09-03,0,44.15
2004-09-10,0,44.90
2004-09-17,0,45.86
2004-09-24,0,44.86
2004-10-01,0,44.53
2004-10-08,0,42.99
2004-10-15,0,42.31
2004-10-22,0,40.75
2004-10-29,0,41.29
2004-11-05,0,44.11
2004-11-12,0,45.63
2004-11-19,0,45.94
2004-11-26,0,47.15
2004-12-03,0,47.40
2004-12-10,0,47.15
2004-12-17,0,46.90
2004-12-24,0,
2004-12-31,0,46.79
2005-01-07,0,45.67
2005-01-14,0,48.66
2005-01-21,0,47.69
2005-01-28,0,48.36
2005-02-04,0,50.57
2005-02-11,0,50.13
2005-02-18,0,48.60
2005-02-25,0,49.40
2005-03-04,0,49.91
2005-03-11,0,48.51
2005-03-18,0,46.77
2005-03-25,0,
2005-04-01,0,35.84
2005-04-08,0,36.01
2005-04-15,0,34.65
2005-04-22,0,36.69
2005-04-29,0,39.63
2005-05-06,0,40.29
2005-05-13,0,39.35
2005-05-20,0,38.50
2005-05-27,0,38.81
2005-06-03,0,38.40
2005-06-10,0,38.03
2005-06-17,0,39.61
2005-06-24,0,39.45
2005-07-01,0,37.22
2005-07-08,0,38.99
2005-07-15,0,39.51
2005-07-22,0,41.40
2005-07-29,0,45.28
2005-08-05,0,44.14
2005-08-12,0,44.52
2005-08-19,0,44.60
2005-08-26,0,44.94
2005-09-02,0,45.58
2005-09-09,0,46.28
2005-09-16,0,43.00
2005-09-23,0,42.60
2005-09-30,0,41.60
2005-10-07,0,42.47
2005-10-14,0,36.58
2005-10-21,0,36.20
2005-10-28,0,35.43
2005-11-04,0,38.38
2005-11-11,0,40.37
2005-11-18,0,40.05
2005-11-25,0,40.16
2005-12-02,0,38.99
2005-12-09,0,38.95
2005-12-16,0,38.60
2005-12-23,0,38.08
2005-12-30,0,37.80
2006-01-06,0,37.35
2006-01-13,0,38.80
2006-01-20,0,38.10
2006-01-27,0,41.90
2006-02-03,0,40.83
2006-02-10,0,40.82
2006-02-17,0,42.31
2006-02-24,0,43.75
2006-03-03,0,42.55
2006-03-10,0,41.77
2006-03-17,0,44.39
2006-03-24,0,43.43
2006-03-31,0,43.15
2006-04-07,0,43.38
2006-04-14,0,
2006-04-21,0,43.39
2006-04-28,0,45.32
2006-05-05,0,45.57
2006-05-12,0,44.23
2006-05-19,100,43.10
2006-05-26,0,42.18
2006-06-02,0,43.11
2006-06-09,0,43.00
2006-06-16,0,42.49
2006-06-23,0,42.65
2006-06-30,0,44.40
2006-07-07,0,44.12
2006-07-14,0,41.75
2006-07-21,0,41.87
2006-07-28,0,40.59
2006-08-04,0,41.07
2006-08-11,0,40.86
2006-08-18,0,42.87
2006-08-25,0,42.33
2006-09-01,0,43.06
2006-09-08,0,42.75
2006-09-15,0,44.54
2006-09-22,0,43.99
2006-09-29,0,45.28
2006-10-06,0,45.15
2006-10-13,0,45.26
2006-10-20,0,46.44
2006-10-27,0,49.43
2006-11-03,90,49.45
2006-11-10,0,51.38
2006-11-17,0,50.86
2006-11-24,0,50.47
2006-12-01,0,49.39
2006-12-08,0,50.37
2006-12-15,0,50.06
2006-12-22,0,49.05
2006-12-29,0,48.97
2007-01-05,0,48.67
2007-01-12,62,54.71
2007-01-19,0,54.96
2007-01-26,0,56.07
2007-02-02,0,56.26
2007-02-09,0,56.21
2007-02-16,0,58.00
2007-02-23,0,56.03
2007-03-02,0,55.02
2007-03-09,0,54.50
2007-03-16,81,56.10
2007-03-23,0,58.24
2007-03-30,0,58.00
2007-04-06,0,
2007-04-13,0,60.04
2007-04-20,0,59.98
2007-04-27,0,59.86
2007-05-04,0,60.11
2007-05-11,0,60.31
2007-05-18,0,61.38
2007-05-25,0,60.64
2007-06-01,0,60.08
2007-06-08,0,60.30
2007-06-15,0,61.03
2007-06-22,0,59.13
2007-06-29,0,59.36
2007-07-06,0,61.00
2007-07-13,0,61.58
2007-07-20,0,61.30
2007-07-27,0,59.08
2007-08-03,0,60.77
2007-08-10,0,62.53
2007-08-17,0,61.58
2007-08-24,49,62.92
2007-08-31,0,61.57
2007-09-07,0,62.86
2007-09-14,0,65.55
2007-09-21,0,67.36
2007-09-28,0,66.92
2007-10-05,0,67.51
2007-10-12,0,66.69
2007-10-19,0,67.39
2007-10-26,0,75.63
2007-11-02,0,75.28
2007-11-09,0,74.35
2007-11-16,0,76.57
2007-11-23,43,77.35
2007-11-30,41,78.04
2007-12-07,41,79.22
2007-12-14,41,80.07
2007-12-21,0,77.86
2007-12-28,0,79.43
2008-01-04,0,77.51
2008-01-11,0,78.70
2008-01-18,0,73.23
2008-01-25,0,57.07
2008-02-01,0,60.62
2008-02-08,0,60.16
2008-02-15,0,60.37
2008-02-22,0,60.07
2008-02-29,0,59.61
2008-03-07,0,59.10
2008-03-14,0,57.55
2008-03-21,0,
2008-03-28,0,55.72
2008-04-04,0,56.38
2008-04-11,37,56.63
2008-04-18,0,54.77
2008-04-25,0,58.47
2008-05-02,0,62.34
2008-05-09,0,63.41
2008-05-16,0,64.38
2008-05-23,0,63.20
2008-05-30,0,61.52
2008-06-06,0,61.33
2008-06-13,0,62.29
2008-06-20,0,62.94
2008-06-27,0,65.17
2008-07-04,0,
2008-07-11,0,65.19
2008-07-18,0,62.70
2008-07-25,0,67.31
2008-08-01,0,66.95
2008-08-08,0,69.18
2008-08-15,0,70.19
2008-08-22,0,68.91
2008-08-29,0,68.25
2008-09-05,0,64.02
2008-09-12,37,62.28
2008-09-19,45,57.65
2008-09-26,53,59.65
2008-10-03,49,54.06
2008-10-10,49,45.69
2008-10-17,34,45.87
2008-10-24,34,41.58
2008-10-31,34,43.80
2008-11-07,34,43.01
2008-11-14,34,39.14
2008-11-21,49,36.85
2008-11-28,31,41.23
2008-12-05,31,40.46
2008-12-12,44,37.21
2008-12-19,38,36.88
2008-12-26,38,36.10
2009-01-02,38,38.09
2009-01-09,38,35.67
2009-01-16,38,38.67
2009-01-23,41,36.51
2009-01-30,34,36.17
2009-02-06,34,41.76
2009-02-13,31,40.91
2009-02-20,31,37.36
2009-02-27,31,35.22
2009-03-06,31,33.24
2009-03-13,35,31.62
2009-03-20,39,31.99
2009-03-27,35,37.31
2009-04-03,36,39.10
2009-04-10,35,
2009-04-17,31,39.46
2009-04-24,27,37.52
2009-05-01,39,44.46
2009-05-08,30,44.45
2009-05-15,35,43.48
2009-05-22,32,43.19
2009-05-29,33,43.32
2009-06-05,34,46.69
2009-06-12,34,48.34
2009-06-19,29,49.07
2009-06-26,32,50.98
2009-07-03,35,
2009-07-10,38,48.94
2009-07-17,36,50.28
2009-07-24,36,51.86
2009-07-31,30,50.25
2009-08-07,30,51.28
2009-08-14,30,51.31
2009-08-21,43,51.80
2009-08-28,28,50.96
2009-09-04,28,50.76
2009-09-11,32,54.61
2009-09-18,36,55.32
2009-09-25,39,54.77
2009-10-02,39,53.90
2009-10-09,27,57.75
2009-10-16,29,57.47
2009-10-23,35,56.99
2009-10-30,35,57.43
2009-11-06,35,59.23
2009-11-13,37,60.72
2009-11-20,28,59.04
2009-11-27,31,59.02
2009-12-04,34,59.43
2009-12-11,37,61.21
2009-12-18,30,60.22
2009-12-25,32,
2010-01-01,34,
2010-01-08,36,61.21
2010-01-15,35,60.76
2010-01-22,28,59.49
2010-01-29,30,56.98
2010-02-05,41,57.47
2010-02-12,23,58.26
2010-02-19,29,58.78
2010-02-26,35,59.66
2010-03-05,27,64.21
2010-03-12,33,64.84
2010-03-19,23,65.06
2010-03-26,25,66.79
2010-04-02,40,
2010-04-09,37,69.23
2010-04-16,42,70.48
2010-04-23,35,70.03
2010-04-30,28,71.99
2010-05-07,34,66.11
2010-05-14,26,68.18
2010-05-21,47,65.50
2010-05-28,33,68.44
2010-06-04,28,66.54
2010-06-11,28,68.91
2010-06-18,39,71.71
2010-06-25,24,69.15
2010-07-02,21,63.11
2010-07-09,21,64.40
2010-07-16,21,63.02
2010-07-23,21,64.59
2010-07-30,37,64.16
2010-08-06,25,66.42
2010-08-13,31,62.39
2010-08-20,33,62.68
2010-08-27,36,62.15
2010-09-03,27,64.78
2010-09-10,27,65.97
2010-09-17,32,68.93
2010-09-24,22,71.49
2010-10-01,22,70.89
2010-10-08,18,70.79
2010-10-15,20,72.06
2010-10-22,20,72.53
2010-10-29,23,74.13
2010-11-05,27,77.88
2010-11-12,21,76.45
2010-11-19,21,78.73
2010-11-26,23,78.01
2010-12-03,24,79.40
2010-12-10,22,80.33
2010-12-17,21,80.17
2010-12-24,21,
2010-12-31,21,77.71
2011-01-07,21,75.21
2011-01-14,26,76.44
2011-01-21,29,76.25
2011-01-28,31,76.06
2011-02-04,31,75.37
2011-02-11,35,79.87
2011-02-18,24,83.38
2011-02-25,24,82.44
2011-03-04,22,87.00
2011-03-11,22,85.37
2011-03-18,27,83.57
2011-03-25,26,85.50
2011-04-01,29,87.93
2011-04-08,18,87.65
2011-04-15,22,87.81
2011-04-22,28,
2011-04-29,33,98.00
2011-05-06,24,96.87
2011-05-13,21,97.70
2011-05-20,36,98.73
2011-05-27,21,97.80
2011-06-03,22,94.01
2011-06-10,29,92.25
2011-06-17,41,92.09
2011-06-24,17,91.48
2011-07-01,16,97.63
2011-07-08,21,98.55
2011-07-15,21,93.69
2011-07-22,17,98.06
2011-07-29,25,87.89
2011-08-05,27,78.01
2011-08-12,27,78.89
2011-08-19,28,72.38
2011-08-26,24,78.34
2011-09-02,22,75.84
2011-09-09,20,74.62
2011-09-16,21,82.43
2011-09-23,20,75.09
2011-09-30,23,75.49
2011-10-07,18,72.78
2011-10-14,20,77.25
2011-10-21,21,80.59
2011-10-28,39,82.22
2011-11-04,16,78.55
2011-11-11,15,80.03
2011-11-18,16,74.77
2011-11-25,15,72.55
2011-12-02,16,79.88
2011-12-09,21,74.82
2011-12-16,15,71.61
2011-12-23,15,74.59
2011-12-30,15,74.05
2012-01-06,23,74.15
2012-01-13,28,76.06
2012-01-20,25,77.99
2012-01-27,23,86.82
2012-02-03,20,89.49
2012-02-10,21,87.80
2012-02-17,21,88.63
2012-02-24,28,88.56
2012-03-02,21,89.34
2012-03-09,29,90.98
2012-03-16,21,92.96
2012-03-23,24,90.89
2012-03-30,34,92.66
2012-04-06,23,
2012-04-13,15,87.56
2012-04-20,18,88.75
2012-04-27,20,83.82
2012-05-04,28,83.51
2012-05-11,29,84.82
2012-05-18,23,80.81
2012-05-25,24,82.10
2012-06-01,16,77.07
2012-06-08,16,78.78
2012-06-15,23,80.56
2012-06-22,15,81.09
2012-06-29,16,79.47
2012-07-06,16,77.31
2012-07-13,23,76.63
2012-07-20,21,76.48
2012-07-27,14,79.06
2012-08-03,15,77.11
2012-08-10,19,78.65
2012-08-17,14,75.26
2012-08-24,18,77.72
2012-08-31,18,80.19
2012-09-07,20,83.18
2012-09-14,25,85.04
2012-09-21,21,84.69
2012-09-28,15,83.33
2012-10-05,15,84.35
2012-10-12,15,80.38
2012-10-19,21,79.88
2012-10-26,13,81.56
2012-11-02,23,83.49
2012-11-09,14,82.97
2012-11-16,19,81.21
2012-11-23,18,83.64
2012-11-30,15,84.55
2012-12-07,18,85.50
2012-12-14,21,87.35
2012-12-21,14,88.42
2012-12-28,16,86.25
2013-01-04,18,86.82
2013-01-11,17,90.61
2013-01-18,12,91.89
2013-01-25,15,92.61
2013-02-01,14,93.09
2013-02-08,17,92.53
2013-02-15,13,92.61
2013-02-22,20,92.65
2013-03-01,27,93.77
2013-03-08,14,94.48
2013-03-15,15,94.82
2013-03-22,17,93.26
2013-03-29,16,
2013-04-05,22,92.39
2013-04-12,22,94.33
2013-04-19,14,88.45
2013-04-26,15,92.30
2013-05-03,17,93.00
2013-05-10,15,96.91
2013-05-17,21,98.00
2013-05-24,18,97.79
2013-05-31,16,96.71
2013-06-07,16,98.38
2013-06-14,22,98.60
2013-06-21,26,99.26
2013-06-28,22,100.05
2013-07-05,11,102.01
2013-07-12,15,104.53
2013-07-19,10,104.74
2013-07-26,29,100.16
2013-08-02,21,102.09
2013-08-09,22,103.41
2013-08-16,27,98.47
2013-08-23,28,99.63
2013-08-30,22,98.85
2013-09-06,11,101.62
2013-09-13,15,104.19
2013-09-20,13,106.54
2013-09-27,28,107.28
2013-10-04,15,105.00
2013-10-11,16,104.48
2013-10-18,19,106.48
2013-10-25,18,101.99
2013-11-01,21,100.58
2013-11-08,10,100.12
2013-11-15,18,102.12
2013-11-22,10,101.09
2013-11-29,17,99.53
2013-12-06,18,98.21
2013-12-13,13,96.03
2013-12-20,13,99.58
2013-12-27,14,99.36
2014-01-03,11,98.04
2014-01-10,18,101.46
2014-01-17,24,104.40
2014-01-24,18,103.02
2014-01-31,21,108.27
2014-02-07,10,108.72
2014-02-14,21,112.48
2014-02-21,18,113.31
2014-02-28,26,111.40
2014-03-07,21,112.72
2014-03-14,13,113.04
2014-03-21,22,110.74
2014-03-28,26,107.68
2014-04-04,16,111.03
2014-04-11,16,108.00
2014-04-18,9,
2014-04-25,19,108.70
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
