Date,CME,Price
2004-01-09,79,
2004-01-16,82,
2004-01-23,76,
2004-01-30,87,
2004-02-06,69,85.60
2004-02-13,74,83.10
2004-02-20,64,84.99
2004-02-27,73,93.25
2004-03-05,71,97.19
2004-03-12,66,95.12
2004-03-19,65,93.77
2004-03-26,79,94.68
2004-04-02,74,103.00
2004-04-09,67,
2004-04-16,81,109.98
2004-04-23,78,118.85
2004-04-30,73,117.30
2004-05-07,82,116.51
2004-05-14,74,118.65
2004-05-21,62,124.56
2004-05-28,75,129.20
2004-06-04,69,120.61
2004-06-11,68,
2004-06-18,65,129.05
2004-06-25,72,138.40
2004-07-02,70,143.27
2004-07-09,77,138.73
2004-07-16,76,117.21
2004-07-23,89,124.25
2004-07-30,71,125.50
2004-08-06,82,129.88
2004-08-13,66,133.01
2004-08-20,63,134.94
2004-08-27,70,136.50
2004-09-03,74,137.00
2004-09-10,61,144.15
2004-09-17,67,143.30
2004-09-24,71,157.62
2004-10-01,78,165.70
2004-10-08,64,165.91
2004-10-15,62,171.15
2004-10-22,66,168.09
2004-10-29,64,175.73
2004-11-05,62,180.33
2004-11-12,80,204.66
2004-11-19,71,201.02
2004-11-26,55,197.83
2004-12-03,73,213.99
2004-12-10,74,222.41
2004-12-17,74,220.56
2004-12-24,55,
2004-12-31,61,228.70
2005-01-07,78,217.60
2005-01-14,74,207.73
2005-01-21,84,192.23
2005-01-28,82,209.49
2005-02-04,82,204.95
2005-02-11,73,209.50
2005-02-18,81,214.52
2005-02-25,76,211.15
2005-03-04,79,197.02
2005-03-11,79,197.30
2005-03-18,73,193.39
2005-03-25,71,
2005-04-01,79,183.50
2005-04-08,72,186.37
2005-04-15,84,171.05
2005-04-22,71,171.00
2005-04-29,74,195.52
2005-05-06,68,198.38
2005-05-13,69,191.15
2005-05-20,72,209.02
2005-05-27,69,212.80
2005-06-03,74,246.19
2005-06-10,82,247.30
2005-06-17,78,255.09
2005-06-24,86,253.94
2005-07-01,77,294.15
2005-07-08,68,290.54
2005-07-15,76,304.99
2005-07-22,71,303.31
2005-07-29,74,301.05
2005-08-05,79,296.19
2005-08-12,72,293.16
2005-08-19,77,273.50
2005-08-26,79,269.00
2005-09-02,71,298.71
2005-09-09,68,304.20
2005-09-16,79,310.50
2005-09-23,79,326.60
2005-09-30,77,337.30
2005-10-07,82,335.55
2005-10-14,80,317.20
2005-10-21,79,348.00
2005-10-28,74,362.50
2005-11-04,89,381.90
2005-11-11,78,386.80
2005-11-18,75,375.90
2005-11-25,73,396.90
2005-12-02,75,369.80
2005-12-09,77,359.95
2005-12-16,80,369.01
2005-12-23,64,379.75
2005-12-30,56,367.49
2006-01-06,79,374.95
2006-01-13,85,382.24
2006-01-20,86,376.64
2006-01-27,100,401.64
2006-02-03,88,416.02
2006-02-10,90,400.25
2006-02-17,84,414.00
2006-02-24,79,422.65
2006-03-03,75,434.25
2006-03-10,91,428.40
2006-03-17,80,424.45
2006-03-24,83,435.25
2006-03-31,68,447.50
2006-04-07,77,480.50
2006-04-14,84,
2006-04-21,79,500.11
2006-04-28,81,458.00
2006-05-05,79,486.00
2006-05-12,77,461.50
2006-05-19,78,449.62
2006-05-26,83,448.55
2006-06-02,72,455.80
2006-06-09,84,453.28
2006-06-16,83,454.25
2006-06-23,82,477.80
2006-06-30,74,491.15
2006-07-07,83,495.06
2006-07-14,76,464.16
2006-07-21,79,452.00
2006-07-28,81,453.50
2006-08-04,82,485.72
2006-08-11,73,464.91
2006-08-18,75,461.35
2006-08-25,80,448.48
2006-09-01,85,442.09
2006-09-08,78,443.70
2006-09-15,84,472.25
2006-09-22,85,461.63
2006-09-29,79,478.25
2006-10-06,83,490.80
2006-10-13,83,500.89
2006-10-20,87,490.18
2006-10-27,89,505.30
2006-11-03,79,501.05
2006-11-10,89,495.82
2006-11-17,82,535.00
2006-11-24,63,553.24
2006-12-01,85,531.40
2006-12-08,73,546.14
2006-12-15,78,533.00
2006-12-22,76,511.00
2006-12-29,76,509.75
2007-01-05,82,529.27
2007-01-12,90,574.00
2007-01-19,77,577.33
2007-01-26,84,588.86
2007-02-02,87,578.90
2007-02-09,72,573.25
2007-02-16,74,574.76
2007-02-23,76,544.85
2007-03-02,87,540.25
2007-03-09,93,567.96
2007-03-16,89,527.00
2007-03-23,80,540.84
2007-03-30,75,532.46
2007-04-06,77,
2007-04-13,76,551.49
2007-04-20,76,555.89
2007-04-27,80,521.99
2007-05-04,70,514.90
2007-05-11,79,536.30
2007-05-18,79,519.90
2007-05-25,82,513.50
2007-06-01,71,537.00
2007-06-08,77,549.63
2007-06-15,79,552.70
2007-06-22,79,539.95
2007-06-29,76,534.36
2007-07-06,69,574.80
2007-07-13,78,584.50
2007-07-20,78,562.00
