Date,ACN,Price
2004-01-09,80,
2004-01-16,77,
2004-01-23,88,
2004-01-30,81,
2004-02-06,64,22.83
2004-02-13,78,23.46
2004-02-20,71,22.73
2004-02-27,75,23.10
2004-03-05,90,23.60
2004-03-12,65,22.78
2004-03-19,88,24.08
2004-03-26,81,23.89
2004-04-02,74,25.13
2004-04-09,57,
2004-04-16,81,24.57
2004-04-23,82,24.64
2004-04-30,66,23.77
2004-05-07,54,23.69
2004-05-14,55,23.84
2004-05-21,53,23.66
2004-05-28,57,24.61
2004-06-04,56,24.95
2004-06-11,67,
2004-06-18,67,27.20
2004-06-25,54,27.47
2004-07-02,58,27.91
2004-07-09,60,26.99
2004-07-16,49,25.67
2004-07-23,44,24.91
2004-07-30,60,24.63
2004-08-06,56,24.36
2004-08-13,55,23.71
2004-08-20,63,26.05
2004-08-27,56,25.92
2004-09-03,59,25.90
2004-09-10,57,26.78
2004-09-17,55,26.68
2004-09-24,59,26.82
2004-10-01,65,27.25
2004-10-08,54,26.76
2004-10-15,58,23.52
2004-10-22,57,23.85
2004-10-29,61,24.21
2004-11-05,50,24.99
2004-11-12,57,24.51
2004-11-19,61,25.42
2004-11-26,53,25.94
2004-12-03,52,27.02
2004-12-10,54,26.52
2004-12-17,49,27.36
2004-12-24,43,
2004-12-31,48,27.00
2005-01-07,53,26.61
2005-01-14,45,26.29
2005-01-21,59,25.16
2005-01-28,52,25.60
2005-02-04,60,25.73
2005-02-11,51,25.20
2005-02-18,50,24.90
2005-02-25,49,25.15
2005-03-04,49,25.37
2005-03-11,46,24.46
2005-03-18,41,23.66
2005-03-25,42,
2005-04-01,41,24.44
2005-04-08,47,23.70
2005-04-15,40,22.50
2005-04-22,38,21.75
2005-04-29,38,21.70
2005-05-06,39,22.00
2005-05-13,41,22.05
2005-05-20,37,22.72
2005-05-27,42,23.10
2005-06-03,40,23.46
2005-06-10,36,23.94
2005-06-17,40,23.62
2005-06-24,41,22.90
2005-07-01,45,23.28
2005-07-08,45,24.21
2005-07-15,39,23.50
2005-07-22,40,24.80
2005-07-29,45,25.04
2005-08-05,39,25.15
2005-08-12,36,25.14
2005-08-19,37,25.02
2005-08-26,37,24.65
2005-09-02,40,25.31
2005-09-09,36,25.61
2005-09-16,40,26.27
2005-09-23,38,25.19
2005-09-30,45,25.46
2005-10-07,38,26.67
2005-10-14,40,25.52
2005-10-21,37,26.10
2005-10-28,30,26.16
2005-11-04,41,26.38
2005-11-11,40,26.56
2005-11-18,37,27.92
2005-11-25,33,27.90
2005-12-02,42,29.18
2005-12-09,35,28.25
2005-12-16,35,28.59
2005-12-23,36,28.94
2005-12-30,30,28.87
2006-01-06,36,31.15
2006-01-13,45,30.21
2006-01-20,37,31.19
2006-01-27,43,31.43
2006-02-03,42,31.47
2006-02-10,42,31.97
2006-02-17,43,32.70
2006-02-24,44,32.40
2006-03-03,42,32.52
2006-03-10,55,31.56
2006-03-17,54,31.51
2006-03-24,53,31.50
2006-03-31,57,30.07
2006-04-07,51,29.03
2006-04-14,42,
2006-04-21,44,30.01
2006-04-28,41,29.07
2006-05-05,48,29.45
2006-05-12,40,29.17
2006-05-19,39,27.68
2006-05-26,46,27.95
2006-06-02,41,27.89
2006-06-09,44,27.06
2006-06-16,37,25.78
2006-06-23,39,27.10
2006-06-30,45,28.32
2006-07-07,39,28.00
2006-07-14,47,28.37
2006-07-21,41,27.92
2006-07-28,43,28.92
2006-08-04,43,28.83
2006-08-11,44,27.67
2006-08-18,45,29.10
2006-08-25,43,28.36
2006-09-01,43,29.92
2006-09-08,42,28.60
2006-09-15,50,29.00
2006-09-22,50,29.34
2006-09-29,53,31.71
2006-10-06,48,30.80
2006-10-13,48,32.20
2006-10-20,51,31.50
2006-10-27,47,32.49
2006-11-03,43,33.09
2006-11-10,44,33.87
2006-11-17,47,35.15
2006-11-24,43,34.32
2006-12-01,42,33.81
2006-12-08,36,34.51
2006-12-15,39,34.80
2006-12-22,37,36.45
2006-12-29,33,36.93
2007-01-05,36,36.68
2007-01-12,41,37.98
2007-01-19,41,36.75
2007-01-26,44,36.53
2007-02-02,41,38.59
2007-02-09,39,38.79
2007-02-16,36,38.75
2007-02-23,39,38.25
2007-03-02,44,35.75
2007-03-09,36,36.11
2007-03-16,38,35.26
2007-03-23,44,36.40
2007-03-30,40,38.54
2007-04-06,41,
2007-04-13,39,38.70
2007-04-20,39,38.48
2007-04-27,39,38.68
2007-05-04,40,39.10
2007-05-11,35,38.34
2007-05-18,36,39.67
2007-05-25,36,40.72
2007-06-01,36,41.26
2007-06-08,35,39.70
2007-06-15,36,40.00
2007-06-22,36,42.63
2007-06-29,43,42.89
2007-07-06,40,43.00
2007-07-13,40,42.31
2007-07-20,39,43.31
2007-07-27,37,41.71
2007-08-03,37,41.00
2007-08-10,38,39.19
2007-08-17,35,38.80
2007-08-24,40,40.05
2007-08-31,38,41.21
2007-09-07,34,40.02
2007-09-14,38,39.66
2007-09-21,41,39.70
2007-09-28,40,40.25
2007-10-05,35,39.52
2007-10-12,37,42.21
2007-10-19,40,39.27
2007-10-26,34,39.20
2007-11-02,34,38.40
2007-11-09,36,34.86
2007-11-16,35,36.79
2007-11-23,37,35.16
2007-11-30,39,34.56
2007-12-07,37,35.44
2007-12-14,30,34.00
2007-12-21,29,38.00
2007-12-28,24,36.88
2008-01-04,27,34.91
2008-01-11,34,32.79
2008-01-18,34,33.77
2008-01-25,45,33.86
2008-02-01,44,35.04
2008-02-08,46,33.95
2008-02-15,42,34.56
2008-02-22,38,34.03
2008-02-29,41,35.25
2008-03-07,39,33.75
2008-03-14,41,33.35
2008-03-21,42,
2008-03-28,43,35.32
2008-04-04,45,36.77
2008-04-11,41,36.51
2008-04-18,45,39.30
2008-04-25,42,38.94
2008-05-02,39,39.07
2008-05-09,40,37.75
2008-05-16,41,38.28
2008-05-23,40,37.03
2008-05-30,43,40.82
2008-06-06,41,39.88
2008-06-13,42,39.19
2008-06-20,40,39.12
2008-06-27,40,41.34
2008-07-04,41,
2008-07-11,43,39.07
2008-07-18,45,39.39
2008-07-25,44,40.58
2008-08-01,41,41.55
2008-08-08,41,41.74
2008-08-15,43,41.02
2008-08-22,40,40.51
2008-08-29,40,41.36
2008-09-05,37,38.96
2008-09-12,40,36.85
2008-09-19,49,38.77
2008-09-26,45,39.55
2008-10-03,46,35.19
2008-10-10,50,28.90
2008-10-17,48,31.40
2008-10-24,43,28.87
2008-10-31,50,33.05
2008-11-07,46,30.51
2008-11-14,52,28.67
2008-11-21,50,28.51
2008-11-28,50,30.98
2008-12-05,48,28.27
2008-12-12,45,28.59
2008-12-19,45,32.21
2008-12-26,33,31.57
2009-01-02,38,33.67
2009-01-09,43,33.73
2009-01-16,51,32.68
2009-01-23,50,31.38
2009-01-30,50,31.56
2009-02-06,54,33.12
2009-02-13,52,30.95
2009-02-20,52,29.98
2009-02-27,53,29.19
2009-03-06,59,28.00
2009-03-13,60,30.12
2009-03-20,62,30.20
