Date,RRC,Price
2004-01-09,7,
2004-01-16,7,
2004-01-23,8,
2004-01-30,6,
2004-02-06,8,10.00
2004-02-13,7,10.55
2004-02-20,9,10.80
2004-02-27,7,11.10
2004-03-05,11,11.54
2004-03-12,10,11.67
2004-03-19,10,11.95
2004-03-26,9,11.76
2004-04-02,5,12.39
2004-04-09,8,
2004-04-16,10,12.72
2004-04-23,6,12.85
2004-04-30,8,12.51
2004-05-07,8,12.00
2004-05-14,7,11.32
2004-05-21,12,11.39
2004-05-28,8,11.87
2004-06-04,11,12.08
2004-06-11,11,
2004-06-18,8,13.95
2004-06-25,9,14.58
2004-07-02,8,15.11
2004-07-09,7,15.10
2004-07-16,8,16.18
2004-07-23,6,15.33
2004-07-30,8,16.75
2004-08-06,6,14.85
2004-08-13,12,14.60
2004-08-20,10,15.21
2004-08-27,6,14.75
2004-09-03,11,15.93
2004-09-10,9,16.02
2004-09-17,11,15.70
2004-09-24,6,17.20
2004-10-01,8,17.64
2004-10-08,9,17.40
2004-10-15,10,16.42
2004-10-22,9,16.29
2004-10-29,12,15.70
2004-11-05,10,17.04
2004-11-12,8,16.90
2004-11-19,10,17.00
2004-11-26,5,20.52
2004-12-03,8,19.48
2004-12-10,9,19.46
2004-12-17,8,21.51
2004-12-24,7,
2004-12-31,8,20.46
2005-01-07,9,18.85
2005-01-14,10,20.72
2005-01-21,11,20.98
2005-01-28,8,21.67
2005-02-04,8,22.48
2005-02-11,14,23.88
2005-02-18,8,23.99
2005-02-25,9,25.52
2005-03-04,8,24.95
2005-03-11,11,23.62
2005-03-18,13,25.30
2005-03-25,9,
2005-04-01,9,24.26
2005-04-08,12,25.51
2005-04-15,10,22.75
2005-04-22,10,24.46
2005-04-29,9,22.65
2005-05-06,8,23.05
2005-05-13,9,21.00
2005-05-20,8,21.64
2005-05-27,9,22.85
2005-06-03,12,25.01
2005-06-10,8,25.50
2005-06-17,9,26.60
2005-06-24,8,26.93
2005-07-01,11,28.52
2005-07-08,8,29.42
2005-07-15,8,30.18
2005-07-22,9,30.90
2005-07-29,10,30.54
2005-08-05,9,31.04
2005-08-12,8,34.27
2005-08-19,11,31.55
2005-08-26,13,32.05
2005-09-02,7,34.86
2005-09-09,10,35.84
2005-09-16,8,34.60
2005-09-23,10,35.18
2005-09-30,11,38.61
2005-10-07,9,35.17
2005-10-14,12,34.00
2005-10-21,8,32.28
2005-10-28,8,34.48
2005-11-04,9,35.51
2005-11-11,6,33.81
2005-11-18,8,36.40
2005-11-25,7,38.43
2005-12-02,9,38.02
2005-12-09,9,26.73
2005-12-16,10,27.31
2005-12-23,10,26.76
2005-12-30,6,26.34
2006-01-06,9,27.70
2006-01-13,10,28.71
2006-01-20,9,29.50
2006-01-27,9,28.37
2006-02-03,7,27.90
2006-02-10,10,24.03
2006-02-17,10,25.10
2006-02-24,8,24.83
2006-03-03,8,25.49
2006-03-10,8,23.43
2006-03-17,8,25.80
2006-03-24,8,26.59
2006-03-31,6,27.31
2006-04-07,9,27.08
2006-04-14,9,
2006-04-21,9,29.79
2006-04-28,8,26.53
2006-05-05,10,27.60
2006-05-12,10,27.25
2006-05-19,13,25.18
2006-05-26,15,25.36
2006-06-02,11,26.57
2006-06-09,11,23.61
2006-06-16,10,23.88
2006-06-23,9,25.20
2006-06-30,9,27.19
2006-07-07,8,26.34
2006-07-14,10,25.17
2006-07-21,8,24.38
2006-07-28,9,26.75
2006-08-04,9,28.21
2006-08-11,10,27.75
2006-08-18,10,26.94
2006-08-25,11,28.31
2006-09-01,7,28.65
2006-09-08,10,26.45
2006-09-15,9,24.68
2006-09-22,9,24.05
2006-09-29,8,25.24
2006-10-06,7,24.41
2006-10-13,8,25.59
2006-10-20,9,26.12
2006-10-27,8,27.32
2006-11-03,7,27.00
2006-11-10,8,27.62
2006-11-17,7,27.65
2006-11-24,9,27.97
2006-12-01,9,31.23
2006-12-08,9,30.22
2006-12-15,8,30.02
2006-12-22,7,27.64
2006-12-29,6,27.46
2007-01-05,9,26.27
2007-01-12,9,27.27
2007-01-19,9,28.75
2007-01-26,8,30.83
2007-02-02,8,30.96
2007-02-09,8,30.60
2007-02-16,9,30.78
2007-02-23,8,32.23
2007-03-02,8,31.31
2007-03-09,8,30.36
2007-03-16,9,30.28
2007-03-23,9,32.58
2007-03-30,8,33.40
2007-04-06,7,
2007-04-13,8,36.33
2007-04-20,7,36.49
2007-04-27,8,37.76
