Date,EOG Resources,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,43.26
2004-02-13,0,43.76
2004-02-20,0,43.00
2004-02-27,0,44.49
2004-03-05,0,45.52
2004-03-12,0,44.68
2004-03-19,0,44.73
2004-03-26,0,43.98
2004-04-02,0,45.88
2004-04-09,0,
2004-04-16,0,49.14
2004-04-23,0,48.68
2004-04-30,0,49.25
2004-05-07,0,53.89
2004-05-14,0,54.17
2004-05-21,0,52.67
2004-05-28,0,53.43
2004-06-04,0,52.11
2004-06-11,0,
2004-06-18,0,58.16
2004-06-25,0,60.09
2004-07-02,0,60.81
2004-07-09,0,62.56
2004-07-16,0,63.32
2004-07-23,0,60.81
2004-07-30,0,63.55
2004-08-06,0,58.40
2004-08-13,0,57.50
2004-08-20,0,57.20
2004-08-27,0,57.45
2004-09-03,0,58.73
2004-09-10,0,59.64
2004-09-17,0,63.58
2004-09-24,0,64.85
2004-10-01,0,67.20
2004-10-08,0,69.70
2004-10-15,0,66.59
2004-10-22,0,68.76
2004-10-29,0,66.56
2004-11-05,0,67.59
2004-11-12,0,68.37
2004-11-19,0,71.34
2004-11-26,0,75.83
2004-12-03,0,72.16
2004-12-10,0,69.70
2004-12-17,0,73.19
2004-12-24,0,
2004-12-31,0,71.36
2005-01-07,0,65.48
2005-01-14,0,69.95
2005-01-21,0,71.65
2005-01-28,0,74.00
2005-02-04,0,76.65
2005-02-11,0,81.25
2005-02-18,0,85.57
2005-02-25,0,91.50
2005-03-04,0,46.79
2005-03-11,0,45.38
2005-03-18,0,48.21
2005-03-25,0,
2005-04-01,0,50.26
2005-04-08,0,47.29
2005-04-15,0,43.62
2005-04-22,0,47.35
2005-04-29,0,47.55
2005-05-06,0,49.72
2005-05-13,0,44.99
2005-05-20,0,47.86
2005-05-27,0,50.90
2005-06-03,0,51.67
2005-06-10,0,54.17
2005-06-17,0,56.15
2005-06-24,0,55.90
2005-07-01,0,58.48
2005-07-08,0,60.46
2005-07-15,0,58.68
2005-07-22,0,63.53
2005-07-29,0,61.10
2005-08-05,0,61.95
2005-08-12,0,63.69
2005-08-19,0,61.08
2005-08-26,0,60.46
2005-09-02,0,65.25
2005-09-09,0,70.51
2005-09-16,0,70.66
2005-09-23,0,72.44
2005-09-30,0,74.90
2005-10-07,0,69.07
2005-10-14,0,66.93
2005-10-21,0,61.25
2005-10-28,0,66.02
2005-11-04,0,68.46
2005-11-11,0,64.14
2005-11-18,0,68.87
2005-11-25,0,72.90
2005-12-02,0,75.19
2005-12-09,0,76.68
2005-12-16,0,77.65
2005-12-23,0,75.98
2005-12-30,0,73.37
2006-01-06,0,77.80
2006-01-13,0,80.19
2006-01-20,0,84.81
2006-01-27,0,80.39
2006-02-03,0,79.11
2006-02-10,0,69.37
2006-02-17,0,71.55
2006-02-24,0,70.15
2006-03-03,0,70.35
2006-03-10,0,65.48
2006-03-17,0,72.56
2006-03-24,0,71.95
2006-03-31,0,72.00
2006-04-07,0,72.07
2006-04-14,41,
2006-04-21,0,77.38
2006-04-28,0,70.23
2006-05-05,0,76.31
2006-05-12,0,68.93
2006-05-19,0,62.70
2006-05-26,0,63.62
2006-06-02,0,65.91
2006-06-09,0,59.75
2006-06-16,0,63.04
2006-06-23,0,64.57
2006-06-30,0,69.34
2006-07-07,0,69.07
2006-07-14,0,70.15
2006-07-21,0,64.40
2006-07-28,0,72.06
2006-08-04,0,69.59
2006-08-11,0,68.14
2006-08-18,0,66.34
2006-08-25,0,69.13
2006-09-01,0,65.94
2006-09-08,0,60.89
2006-09-15,0,59.84
2006-09-22,27,62.19
2006-09-29,0,65.05
2006-10-06,0,63.31
2006-10-13,0,64.94
2006-10-20,0,66.25
2006-10-27,0,68.01
2006-11-03,0,67.13
2006-11-10,0,67.46
2006-11-17,0,68.30
2006-11-24,0,69.47
2006-12-01,0,70.63
2006-12-08,0,68.67
2006-12-15,0,68.62
2006-12-22,0,64.31
2006-12-29,0,62.45
2007-01-05,30,62.68
2007-01-12,60,62.28
2007-01-19,29,64.73
2007-01-26,0,65.57
2007-02-02,0,68.69
2007-02-09,0,66.57
2007-02-16,0,67.00
2007-02-23,0,67.86
2007-03-02,0,65.92
2007-03-09,0,66.91
2007-03-16,0,65.64
2007-03-23,34,71.45
2007-03-30,25,71.34
2007-04-06,25,
2007-04-13,25,76.98
2007-04-20,25,73.98
2007-04-27,27,74.25
2007-05-04,21,76.92
2007-05-11,19,75.91
2007-05-18,31,78.47
2007-05-25,25,76.61
2007-06-01,23,77.14
2007-06-08,19,75.34
2007-06-15,20,80.49
2007-06-22,21,76.62
2007-06-29,21,73.06
2007-07-06,26,74.94
2007-07-13,31,74.91
2007-07-20,24,75.03
2007-07-27,29,69.11
2007-08-03,21,70.47
2007-08-10,29,71.99
2007-08-17,36,71.58
2007-08-24,18,67.89
2007-08-31,27,67.36
2007-09-07,28,69.90
2007-09-14,21,72.35
2007-09-21,17,74.49
2007-09-28,27,72.33
2007-10-05,17,77.41
2007-10-12,27,81.37
2007-10-19,20,79.80
2007-10-26,28,81.91
2007-11-02,36,87.47
2007-11-09,28,87.41
2007-11-16,20,85.28
2007-11-23,21,83.64
2007-11-30,22,82.78
2007-12-07,24,88.16
2007-12-14,21,88.35
2007-12-21,21,90.43
2007-12-28,21,90.92
2008-01-04,21,88.97
2008-01-11,21,88.93
2008-01-18,25,85.13
2008-01-25,67,83.98
2008-02-01,29,89.45
2008-02-08,22,94.12
2008-02-15,25,96.03
2008-02-22,21,99.35
2008-02-29,38,118.99
2008-03-07,31,116.46
2008-03-14,33,126.10
2008-03-21,27,
2008-03-28,33,118.88
2008-04-04,33,123.78
2008-04-11,30,126.32
2008-04-18,37,134.17
2008-04-25,33,135.75
2008-05-02,38,127.75
2008-05-09,21,138.50
2008-05-16,20,140.99
2008-05-23,16,134.97
2008-05-30,26,128.63
2008-06-06,31,128.81
2008-06-13,30,130.31
2008-06-20,18,130.41
2008-06-27,16,130.19
2008-07-04,16,
2008-07-11,29,118.56
2008-07-18,35,106.39
2008-07-25,31,104.05
2008-08-01,31,100.49
2008-08-08,35,93.86
2008-08-15,29,95.60
2008-08-22,23,103.64
2008-08-29,23,104.42
2008-09-05,19,95.78
2008-09-12,14,90.82
2008-09-19,29,97.00
2008-09-26,16,94.52
2008-10-03,12,79.94
2008-10-10,28,59.59
2008-10-17,18,68.94
2008-10-24,14,65.87
2008-10-31,22,80.92
2008-11-07,28,79.88
2008-11-14,23,80.63
2008-11-21,17,74.71
2008-11-28,15,85.02
2008-12-05,19,67.94
2008-12-12,20,67.97
2008-12-19,17,64.96
2008-12-26,17,64.27
2009-01-02,17,70.39
2009-01-09,17,66.54
2009-01-16,21,63.73
2009-01-23,25,66.57
2009-01-30,58,67.77
2009-02-06,29,68.41
2009-02-13,20,63.72
2009-02-20,18,55.11
2009-02-27,19,50.04
2009-03-06,26,52.07
2009-03-13,19,58.99
2009-03-20,17,61.95
2009-03-27,25,59.31
2009-04-03,23,63.14
2009-04-10,22,
2009-04-17,19,60.08
2009-04-24,21,63.17
2009-05-01,17,66.08
2009-05-08,28,76.87
2009-05-15,16,68.25
2009-05-22,25,69.19
2009-05-29,29,73.19
2009-06-05,22,73.51
2009-06-12,22,77.62
2009-06-19,23,69.92
2009-06-26,23,67.56
2009-07-03,18,
2009-07-10,28,62.50
2009-07-17,26,69.59
2009-07-24,29,74.69
2009-07-31,18,74.03
2009-08-07,22,74.73
2009-08-14,42,74.69
2009-08-21,24,75.79
2009-08-28,27,73.25
2009-09-04,27,70.47
2009-09-11,18,75.95
2009-09-18,18,81.86
2009-09-25,30,78.94
2009-10-02,18,80.76
2009-10-09,20,89.60
2009-10-16,41,92.81
2009-10-23,18,89.16
2009-10-30,27,81.66
2009-11-06,23,90.35
2009-11-13,27,88.50
2009-11-20,15,86.47
2009-11-27,27,87.23
2009-12-04,19,87.07
2009-12-11,18,86.05
2009-12-18,32,92.95
2009-12-25,19,
2010-01-01,29,
2010-01-08,27,99.05
2010-01-15,25,96.87
2010-01-22,35,94.05
2010-01-29,65,90.42
2010-02-05,31,92.86
2010-02-12,29,90.98
2010-02-19,19,94.64
2010-02-26,32,94.05
2010-03-05,32,97.38
2010-03-12,23,97.58
2010-03-19,21,91.70
2010-03-26,30,89.59
2010-04-02,21,
2010-04-09,57,104.77
2010-04-16,36,107.47
2010-04-23,43,113.72
2010-04-30,28,112.12
2010-05-07,31,100.84
2010-05-14,30,106.09
2010-05-21,50,100.59
2010-05-28,31,104.84
2010-06-04,29,102.99
2010-06-11,48,109.86
2010-06-18,30,110.22
2010-06-25,27,109.78
2010-07-02,29,98.34
2010-07-09,22,105.57
2010-07-16,31,102.28
2010-07-23,28,102.33
2010-07-30,30,97.50
2010-08-06,23,99.26
2010-08-13,44,94.17
2010-08-20,26,91.42
2010-08-27,36,89.40
2010-09-03,24,90.33
2010-09-10,22,92.20
2010-09-17,27,89.11
2010-09-24,26,92.11
2010-10-01,25,96.17
2010-10-08,29,99.46
2010-10-15,28,100.04
2010-10-22,25,97.31
2010-10-29,24,95.72
2010-11-05,39,88.61
2010-11-12,31,92.05
2010-11-19,29,92.96
2010-11-26,22,88.92
2010-12-03,24,93.74
2010-12-10,34,90.75
2010-12-17,21,91.67
2010-12-24,21,
2010-12-31,28,91.41
2011-01-07,27,94.26
2011-01-14,29,100.58
2011-01-21,46,101.72
2011-01-28,39,102.53
2011-02-04,32,106.78
2011-02-11,51,103.30
2011-02-18,33,108.89
2011-02-25,100,111.75
2011-03-04,32,109.38
2011-03-11,31,105.65
2011-03-18,24,107.93
2011-03-25,42,117.54
2011-04-01,36,118.39
2011-04-08,31,114.66
2011-04-15,27,111.04
2011-04-22,29,
2011-04-29,27,113.05
2011-05-06,34,107.44
2011-05-13,31,105.44
2011-05-20,27,106.85
2011-05-27,31,108.15
2011-06-03,28,110.56
2011-06-10,25,107.67
2011-06-17,30,102.25
2011-06-24,23,98.27
2011-07-01,24,103.08
2011-07-08,22,101.92
2011-07-15,30,101.19
2011-07-22,26,106.57
2011-07-29,27,102.00
2011-08-05,32,95.92
2011-08-12,36,94.15
2011-08-19,34,87.57
2011-08-26,23,89.85
2011-09-02,22,88.35
2011-09-09,21,85.32
2011-09-16,18,90.16
2011-09-23,24,73.72
2011-09-30,22,71.01
2011-10-07,27,74.90
2011-10-14,26,83.98
2011-10-21,20,90.62
2011-10-28,20,95.18
2011-11-04,39,101.68
2011-11-11,24,104.01
2011-11-18,23,97.84
2011-11-25,14,90.87
2011-12-02,31,102.56
2011-12-09,22,103.75
2011-12-16,27,97.68
2011-12-23,21,98.27
2011-12-30,13,98.51
2012-01-06,23,102.43
2012-01-13,33,103.04
2012-01-20,59,103.16
2012-01-27,46,104.12
2012-02-03,38,109.09
2012-02-10,30,111.83
2012-02-17,38,114.35
2012-02-24,42,117.55
2012-03-02,30,113.90
2012-03-09,29,114.98
2012-03-16,31,116.78
2012-03-23,23,111.73
2012-03-30,33,111.10
2012-04-06,28,
2012-04-13,29,103.33
2012-04-20,30,103.03
2012-04-27,26,109.02
2012-05-04,32,105.29
2012-05-11,47,104.23
2012-05-18,36,96.31
2012-05-25,26,101.75
2012-06-01,25,91.67
2012-06-08,31,93.88
2012-06-15,21,96.64
2012-06-22,26,87.62
2012-06-29,20,90.11
2012-07-06,18,90.64
2012-07-13,27,92.93
2012-07-20,28,99.23
2012-07-27,22,101.01
2012-08-03,26,106.75
2012-08-10,30,109.99
2012-08-17,30,111.19
2012-08-24,22,108.91
2012-08-31,25,108.30
2012-09-07,21,112.88
2012-09-14,25,117.62
2012-09-21,19,113.95
2012-09-28,25,112.05
2012-10-05,23,109.91
2012-10-12,19,108.78
2012-10-19,19,113.07
2012-10-26,23,114.09
2012-11-02,23,115.20
2012-11-09,19,114.52
2012-11-16,20,116.67
2012-11-23,16,118.99
2012-11-30,22,117.62
2012-12-07,16,117.35
2012-12-14,22,118.99
2012-12-21,20,123.57
2012-12-28,15,118.61
2013-01-04,15,125.80
2013-01-11,22,125.63
2013-01-18,24,126.79
2013-01-25,28,125.27
2013-02-01,27,128.60
2013-02-08,27,133.28
2013-02-15,34,129.19
2013-02-22,25,125.34
2013-03-01,21,123.00
2013-03-08,15,128.68
2013-03-15,21,130.42
2013-03-22,21,124.98
2013-03-29,22,
2013-04-05,26,124.75
2013-04-12,20,124.13
2013-04-19,25,113.44
2013-04-26,21,119.12
2013-05-03,19,123.98
2013-05-10,29,133.58
2013-05-17,29,135.25
2013-05-24,22,130.83
2013-05-31,21,129.10
2013-06-07,18,132.68
2013-06-14,23,131.74
2013-06-21,22,130.40
2013-06-28,20,131.68
2013-07-05,25,140.40
2013-07-12,29,144.71
2013-07-19,26,148.67
2013-07-26,24,145.74
2013-08-02,25,153.03
2013-08-09,28,158.84
2013-08-16,24,155.49
2013-08-23,30,156.62
2013-08-30,27,157.05
2013-09-06,24,161.72
2013-09-13,25,166.44
2013-09-20,28,168.87
2013-09-27,26,170.73
2013-10-04,19,174.59
2013-10-11,22,178.99
2013-10-18,24,183.79
2013-10-25,31,183.44
2013-11-01,25,178.98
2013-11-08,32,170.96
2013-11-15,21,171.38
2013-11-22,19,170.15
2013-11-29,18,165.00
2013-12-06,26,160.04
2013-12-13,24,159.02
2013-12-20,24,168.52
2013-12-27,18,169.16
2014-01-03,17,164.56
2014-01-10,27,166.81
2014-01-17,24,168.96
2014-01-24,28,165.53
2014-01-31,23,165.24
2014-02-07,25,176.50
2014-02-14,27,176.96
2014-02-21,26,178.00
2014-02-28,30,189.42
2014-03-07,30,189.92
2014-03-14,25,185.97
2014-03-21,20,191.64
2014-03-28,26,197.16
2014-04-04,34,99.77
2014-04-11,27,98.63
2014-04-18,31,
2014-04-25,23,99.04
2014-05-02,35,
