Date,APC,Price
2004-01-09,79,
2004-01-16,87,
2004-01-23,80,
2004-01-30,74,
2004-02-06,87,50.10
2004-02-13,81,51.51
2004-02-20,78,51.18
2004-02-27,81,51.25
2004-03-05,82,52.60
2004-03-12,68,50.98
2004-03-19,82,52.61
2004-03-26,83,50.85
2004-04-02,76,51.35
2004-04-09,79,
2004-04-16,78,56.29
2004-04-23,79,54.22
2004-04-30,84,53.58
2004-05-07,80,54.95
2004-05-14,84,55.19
2004-05-21,80,53.28
2004-05-28,86,54.52
2004-06-04,83,55.84
2004-06-11,85,
2004-06-18,83,58.06
2004-06-25,87,57.83
2004-07-02,85,59.07
2004-07-09,88,60.26
2004-07-16,100,60.79
2004-07-23,95,58.70
2004-07-30,86,59.79
2004-08-06,89,56.41
2004-08-13,79,57.03
2004-08-20,95,58.39
2004-08-27,82,58.58
2004-09-03,82,60.50
2004-09-10,87,61.69
2004-09-17,89,62.66
2004-09-24,80,65.06
2004-10-01,75,67.31
2004-10-08,72,69.06
2004-10-15,83,68.46
2004-10-22,82,70.11
2004-10-29,80,67.45
2004-11-05,71,68.10
2004-11-12,73,67.42
2004-11-19,81,68.45
2004-11-26,76,70.11
2004-12-03,77,67.26
2004-12-10,79,65.74
2004-12-17,80,66.22
2004-12-24,67,
2004-12-31,63,64.81
2005-01-07,72,61.40
2005-01-14,77,64.43
2005-01-21,73,63.90
2005-01-28,75,65.59
2005-02-04,76,66.20
2005-02-11,73,68.69
2005-02-18,70,70.25
2005-02-25,69,77.73
2005-03-04,74,81.37
2005-03-11,70,77.51
2005-03-18,66,77.33
2005-03-25,67,
2005-04-01,66,78.20
2005-04-08,64,76.26
2005-04-15,72,71.66
2005-04-22,69,73.81
2005-04-29,64,73.04
2005-05-06,69,73.89
2005-05-13,68,69.15
2005-05-20,67,72.29
2005-05-27,74,76.09
2005-06-03,69,76.17
2005-06-10,78,77.35
2005-06-17,78,82.51
2005-06-24,83,82.53
2005-07-01,77,84.66
2005-07-08,77,88.42
2005-07-15,89,86.20
2005-07-22,81,88.31
2005-07-29,88,88.35
2005-08-05,87,85.84
2005-08-12,84,89.39
2005-08-19,83,88.12
2005-08-26,78,86.95
2005-09-02,72,91.75
2005-09-09,76,94.54
2005-09-16,75,93.53
2005-09-23,71,93.93
2005-09-30,75,95.75
2005-10-07,66,89.88
2005-10-14,76,89.73
2005-10-21,70,86.24
2005-10-28,75,90.69
2005-11-04,68,89.30
2005-11-11,67,86.14
2005-11-18,67,87.97
2005-11-25,67,91.35
2005-12-02,73,93.49
2005-12-09,65,97.00
2005-12-16,73,95.82
2005-12-23,61,94.65
2005-12-30,60,94.75
2006-01-06,61,98.89
2006-01-13,69,102.45
2006-01-20,70,106.85
2006-01-27,62,107.14
2006-02-03,66,103.70
2006-02-10,67,98.62
2006-02-17,65,101.07
2006-02-24,67,102.09
2006-03-03,64,102.07
2006-03-10,64,95.01
2006-03-17,64,99.91
2006-03-24,66,100.55
2006-03-31,66,101.01
2006-04-07,67,102.15
2006-04-14,59,
2006-04-21,62,113.24
2006-04-28,63,104.82
2006-05-05,54,106.54
2006-05-12,60,102.67
2006-05-19,63,99.44
2006-05-26,63,99.22
2006-06-02,67,50.43
2006-06-09,66,47.58
2006-06-16,65,48.22
2006-06-23,64,44.90
2006-06-30,64,47.69
2006-07-07,66,45.79
2006-07-14,68,45.05
2006-07-21,70,41.66
2006-07-28,76,44.45
2006-08-04,70,46.68
2006-08-11,72,46.41
2006-08-18,65,45.34
2006-08-25,65,46.91
2006-09-01,63,47.52
2006-09-08,62,46.40
2006-09-15,66,43.71
2006-09-22,67,41.78
2006-09-29,69,43.83
2006-10-06,59,42.10
2006-10-13,58,43.82
2006-10-20,60,45.65
2006-10-27,61,46.52
2006-11-03,66,47.43
2006-11-10,63,47.25
2006-11-17,60,46.83
2006-11-24,59,47.41
2006-12-01,62,48.90
2006-12-08,59,48.97
2006-12-15,60,45.50
2006-12-22,58,42.14
2006-12-29,54,43.52
2007-01-05,53,41.31
2007-01-12,59,41.83
2007-01-19,60,42.95
2007-01-26,58,41.92
2007-02-02,58,43.83
2007-02-09,59,41.55
2007-02-16,61,41.33
2007-02-23,58,40.84
2007-03-02,57,39.42
2007-03-09,54,40.75
2007-03-16,58,39.45
2007-03-23,57,41.73
2007-03-30,59,42.98
2007-04-06,54,
2007-04-13,54,46.11
2007-04-20,59,46.22
2007-04-27,60,47.33
2007-05-04,52,45.97
2007-05-11,57,45.57
2007-05-18,56,48.94
2007-05-25,61,48.38
2007-06-01,54,49.65
2007-06-08,59,50.18
2007-06-15,59,53.85
2007-06-22,60,54.03
2007-06-29,63,51.99
2007-07-06,59,52.23
2007-07-13,64,52.42
2007-07-20,64,53.95
2007-07-27,61,49.59
2007-08-03,62,49.89
2007-08-10,60,48.57
2007-08-17,61,48.55
2007-08-24,60,49.39
2007-08-31,60,48.98
2007-09-07,56,49.77
2007-09-14,57,50.58
2007-09-21,62,53.55
2007-09-28,53,53.75
2007-10-05,55,54.72
2007-10-12,55,56.43
2007-10-19,55,56.94
2007-10-26,59,59.23
2007-11-02,55,57.61
2007-11-09,54,57.61
2007-11-16,54,57.03
2007-11-23,59,57.42
2007-11-30,63,56.60
2007-12-07,61,61.44
2007-12-14,55,62.29
2007-12-21,54,66.20
2007-12-28,42,66.97
2008-01-04,46,63.96
2008-01-11,60,62.20
2008-01-18,59,55.73
2008-01-25,55,55.35
2008-02-01,57,60.04
2008-02-08,54,56.46
2008-02-15,53,58.94
2008-02-22,56,62.22
2008-02-29,54,63.74
2008-03-07,57,63.81
2008-03-14,56,64.50
2008-03-21,50,
2008-03-28,52,62.90
