Date,AET,Price
2004-01-09,25,
2004-01-16,16,
2004-01-23,23,
2004-01-30,17,
2004-02-06,16,71.65
2004-02-13,20,77.50
2004-02-20,16,78.93
2004-02-27,16,80.79
2004-03-05,24,81.58
2004-03-12,24,84.42
2004-03-19,24,87.43
2004-03-26,23,87.80
2004-04-02,35,91.20
2004-04-09,26,
2004-04-16,32,87.40
2004-04-23,42,90.36
2004-04-30,36,82.75
2004-05-07,43,79.66
2004-05-14,32,80.13
2004-05-21,24,77.85
2004-05-28,19,81.20
2004-06-04,24,84.60
2004-06-11,32,
2004-06-18,25,85.62
2004-06-25,25,84.30
2004-07-02,24,82.73
2004-07-09,23,84.97
2004-07-16,24,87.16
2004-07-23,23,84.07
2004-07-30,15,85.80
2004-08-06,21,83.88
2004-08-13,20,90.80
2004-08-20,20,94.23
2004-08-27,14,92.42
2004-09-03,15,94.03
2004-09-10,15,94.98
2004-09-17,15,95.47
2004-09-24,19,95.08
2004-10-01,18,100.40
2004-10-08,19,98.40
2004-10-15,18,97.51
2004-10-22,23,83.26
2004-10-29,17,95.00
2004-11-05,19,102.60
2004-11-12,16,107.31
2004-11-19,21,110.60
2004-11-26,23,116.16
2004-12-03,26,118.73
2004-12-10,17,125.83
2004-12-17,19,122.71
2004-12-24,22,
2004-12-31,24,124.75
2005-01-07,21,123.94
2005-01-14,19,127.90
2005-01-21,19,127.27
2005-01-28,19,125.97
2005-02-04,23,130.45
2005-02-11,18,133.50
2005-02-18,22,140.14
2005-02-25,18,145.47
2005-03-04,24,153.81
2005-03-11,23,147.71
2005-03-18,23,73.90
2005-03-25,25,
2005-04-01,23,73.78
2005-04-08,28,75.03
2005-04-15,31,70.67
2005-04-22,30,69.86
2005-04-29,31,73.37
2005-05-06,42,77.44
2005-05-13,31,74.00
2005-05-20,41,75.88
2005-05-27,36,78.09
2005-06-03,31,79.75
2005-06-10,31,81.16
2005-06-17,27,83.06
2005-06-24,27,82.16
2005-07-01,29,82.36
2005-07-08,18,84.32
2005-07-15,21,81.38
2005-07-22,26,76.45
2005-07-29,18,77.40
2005-08-05,23,75.55
2005-08-12,18,79.48
2005-08-19,20,77.57
2005-08-26,16,77.73
2005-09-02,23,80.10
2005-09-09,27,84.75
2005-09-16,22,81.89
2005-09-23,22,81.24
2005-09-30,24,86.14
2005-10-07,20,82.70
