Date,Diamond Offshore Drilling,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.48
2004-02-13,0,24.46
2004-02-20,0,24.44
2004-02-27,0,25.01
2004-03-05,0,26.38
2004-03-12,0,25.21
2004-03-19,0,25.60
2004-03-26,0,23.99
2004-04-02,0,23.48
2004-04-09,0,
2004-04-16,0,24.33
2004-04-23,0,23.30
2004-04-30,0,22.56
2004-05-07,0,22.09
2004-05-14,0,22.35
2004-05-21,0,21.90
2004-05-28,0,22.59
2004-06-04,0,21.96
2004-06-11,0,
2004-06-18,0,23.66
2004-06-25,0,23.62
2004-07-02,0,24.36
2004-07-09,0,24.06
2004-07-16,0,24.87
2004-07-23,0,23.69
2004-07-30,0,24.44
2004-08-06,0,22.98
2004-08-13,0,23.30
2004-08-20,0,24.21
2004-08-27,0,24.56
2004-09-03,0,27.20
2004-09-10,0,27.93
2004-09-17,0,30.60
2004-09-24,0,32.15
2004-10-01,0,33.84
2004-10-08,0,33.84
2004-10-15,0,32.91
2004-10-22,0,35.66
2004-10-29,0,33.80
2004-11-05,0,32.73
2004-11-12,0,33.86
2004-11-19,0,36.28
2004-11-26,0,37.95
2004-12-03,0,35.76
2004-12-10,0,35.65
2004-12-17,0,37.84
2004-12-24,0,
2004-12-31,0,40.05
2005-01-07,0,38.80
2005-01-14,0,41.42
2005-01-21,0,42.49
2005-01-28,0,42.95
2005-02-04,0,45.70
2005-02-11,0,46.92
2005-02-18,0,49.08
2005-02-25,0,49.55
2005-03-04,0,50.68
2005-03-11,0,49.16
2005-03-18,0,49.02
2005-03-25,0,
2005-04-01,0,51.74
2005-04-08,0,49.59
2005-04-15,0,45.20
2005-04-22,0,48.01
2005-04-29,0,44.11
2005-05-06,0,43.90
2005-05-13,0,40.52
2005-05-20,0,41.07
2005-05-27,0,46.99
2005-06-03,0,48.74
2005-06-10,0,51.36
2005-06-17,0,54.08
2005-06-24,0,55.06
2005-07-01,0,54.38
2005-07-08,0,54.02
2005-07-15,0,52.10
2005-07-22,0,58.12
2005-07-29,0,57.06
2005-08-05,0,58.04
2005-08-12,0,57.60
2005-08-19,0,55.90
2005-08-26,0,55.29
2005-09-02,0,57.86
2005-09-09,0,60.34
2005-09-16,0,59.10
2005-09-23,0,58.76
2005-09-30,0,61.25
2005-10-07,0,56.89
2005-10-14,0,55.01
2005-10-21,0,53.06
2005-10-28,0,57.16
2005-11-04,0,58.92
2005-11-11,0,55.52
2005-11-18,0,55.83
2005-11-25,0,63.09
2005-12-02,0,66.55
2005-12-09,0,69.90
2005-12-16,0,68.20
2005-12-23,0,71.31
2005-12-30,0,69.56
2006-01-06,0,74.86
2006-01-13,0,78.02
2006-01-20,0,81.00
2006-01-27,0,80.86
2006-02-03,0,82.08
2006-02-10,0,80.50
2006-02-17,0,78.22
2006-02-24,0,77.90
2006-03-03,0,82.77
2006-03-10,0,77.39
2006-03-17,0,83.06
2006-03-24,0,81.93
2006-03-31,0,89.50
2006-04-07,0,91.22
2006-04-14,0,
2006-04-21,0,95.38
2006-04-28,0,90.77
2006-05-05,0,94.90
2006-05-12,0,91.62
2006-05-19,0,83.55
2006-05-26,0,83.64
2006-06-02,0,87.28
2006-06-09,0,76.99
2006-06-16,0,78.50
2006-06-23,0,77.78
2006-06-30,0,83.93
2006-07-07,0,80.55
2006-07-14,0,77.30
2006-07-21,0,69.32
2006-07-28,0,77.07
2006-08-04,0,74.86
2006-08-11,0,71.79
2006-08-18,0,73.15
2006-08-25,0,73.23
2006-09-01,0,75.91
2006-09-08,0,74.70
2006-09-15,0,70.82
2006-09-22,0,68.94
2006-09-29,0,72.37
2006-10-06,0,66.02
2006-10-13,0,67.91
2006-10-20,0,67.23
2006-10-27,0,70.93
2006-11-03,0,71.01
2006-11-10,0,75.26
2006-11-17,0,74.67
2006-11-24,0,76.52
2006-12-01,0,80.59
2006-12-08,0,81.10
2006-12-15,0,84.05
2006-12-22,0,80.18
2006-12-29,0,79.94
2007-01-05,0,77.27
2007-01-12,0,76.82
2007-01-19,0,79.21
2007-01-26,0,81.04
2007-02-02,0,84.58
2007-02-09,0,85.28
2007-02-16,0,78.59
2007-02-23,0,79.84
2007-03-02,0,75.12
2007-03-09,0,76.66
2007-03-16,0,76.12
2007-03-23,0,81.40
2007-03-30,0,80.95
2007-04-06,0,
2007-04-13,0,83.50
2007-04-20,0,82.19
2007-04-27,0,87.94
2007-05-04,0,88.56
2007-05-11,0,87.39
2007-05-18,0,92.90
2007-05-25,0,93.38
2007-06-01,0,94.47
2007-06-08,0,91.62
2007-06-15,0,99.22
2007-06-22,0,107.13
2007-06-29,0,101.56
2007-07-06,0,105.71
2007-07-13,0,104.52
2007-07-20,95,108.40
2007-07-27,0,103.27
2007-08-03,0,96.00
2007-08-10,0,96.39
2007-08-17,0,93.38
2007-08-24,0,100.74
2007-08-31,0,105.16
2007-09-07,0,108.04
2007-09-14,0,108.38
2007-09-21,0,115.05
2007-09-28,0,113.29
2007-10-05,0,112.24
2007-10-12,0,117.20
2007-10-19,0,109.82
2007-10-26,0,112.47
2007-11-02,0,115.20
2007-11-09,0,113.05
2007-11-16,0,109.44
2007-11-23,0,114.58
2007-11-30,0,116.43
2007-12-07,0,125.30
2007-12-14,0,128.58
2007-12-21,0,139.82
2007-12-28,0,143.07
2008-01-04,0,135.29
2008-01-11,0,124.51
2008-01-18,0,117.54
2008-01-25,0,118.67
2008-02-01,0,115.94
2008-02-08,0,108.39
2008-02-15,0,110.47
2008-02-22,0,119.38
2008-02-29,0,120.83
2008-03-07,0,120.26
2008-03-14,0,124.45
2008-03-21,0,
2008-03-28,0,117.94
2008-04-04,0,121.51
2008-04-11,0,124.77
2008-04-18,0,138.75
2008-04-25,0,132.70
2008-05-02,76,127.99
2008-05-09,67,131.82
2008-05-16,0,140.42
2008-05-23,0,136.86
2008-05-30,0,136.44
2008-06-06,0,133.82
2008-06-13,0,132.44
2008-06-20,100,130.86
2008-06-27,68,137.88
2008-07-04,68,
2008-07-11,68,131.86
2008-07-18,68,123.62
2008-07-25,70,115.86
2008-08-01,72,120.28
2008-08-08,75,111.83
2008-08-15,69,108.06
2008-08-22,79,109.89
2008-08-29,66,109.91
2008-09-05,66,106.90
2008-09-12,66,107.70
2008-09-19,70,112.49
2008-09-26,73,111.94
2008-10-03,77,93.73
2008-10-10,80,66.73
2008-10-17,82,69.73
2008-10-24,85,72.58
2008-10-31,0,88.80
2008-11-07,0,83.03
2008-11-14,0,73.73
2008-11-21,0,65.10
2008-11-28,0,73.80
2008-12-05,0,60.43
2008-12-12,0,68.06
2008-12-19,0,58.58
2008-12-26,0,57.86
2009-01-02,0,63.12
2009-01-09,0,61.76
2009-01-16,0,57.97
2009-01-23,0,63.27
2009-01-30,0,62.76
2009-02-06,0,67.49
2009-02-13,0,63.41
2009-02-20,0,63.01
2009-02-27,61,62.64
2009-03-06,62,55.48
2009-03-13,63,59.00
2009-03-20,64,66.17
2009-03-27,64,65.62
2009-04-03,65,68.96
2009-04-10,58,
2009-04-17,50,73.44
2009-04-24,50,76.19
2009-05-01,0,74.81
2009-05-08,0,79.65
2009-05-15,0,72.48
2009-05-22,0,76.29
2009-05-29,0,84.28
2009-06-05,0,87.24
2009-06-12,0,91.71
2009-06-19,0,87.67
2009-06-26,0,84.58
2009-07-03,0,
2009-07-10,49,77.95
2009-07-17,52,85.05
2009-07-24,54,93.13
2009-07-31,57,89.87
2009-08-07,60,89.04
2009-08-14,64,87.63
2009-08-21,68,90.00
2009-08-28,64,90.76
2009-09-04,64,88.68
2009-09-11,54,93.66
2009-09-18,52,93.99
2009-09-25,52,91.25
2009-10-02,52,92.45
2009-10-09,44,100.11
2009-10-16,44,105.61
2009-10-23,51,105.80
2009-10-30,41,95.25
2009-11-06,41,97.20
2009-11-13,41,100.01
2009-11-20,50,97.66
2009-11-27,0,99.46
2009-12-04,0,97.20
2009-12-11,0,96.09
2009-12-18,0,98.11
2009-12-25,0,
2010-01-01,0,
2010-01-08,57,106.34
2010-01-15,39,102.84
2010-01-22,39,94.38
2010-01-29,48,91.53
2010-02-05,57,88.46
2010-02-12,58,85.29
2010-02-19,59,89.12
2010-02-26,60,87.32
2010-03-05,49,87.93
2010-03-12,49,89.56
2010-03-19,51,84.41
2010-03-26,54,84.68
2010-04-02,56,
2010-04-09,40,90.72
2010-04-16,56,87.21
2010-04-23,62,85.60
2010-04-30,69,79.10
2010-05-07,57,72.90
2010-05-14,50,71.67
2010-05-21,53,70.55
2010-05-28,55,63.10
2010-06-04,74,59.15
2010-06-11,93,60.99
2010-06-18,51,63.87
2010-06-25,51,61.72
2010-07-02,37,63.49
2010-07-09,37,64.40
2010-07-16,37,62.55
2010-07-23,70,61.66
2010-07-30,0,59.49
2010-08-06,0,66.43
2010-08-13,0,60.51
2010-08-20,0,59.03
2010-08-27,0,60.00
2010-09-03,0,60.48
2010-09-10,0,62.26
2010-09-17,0,61.90
2010-09-24,37,62.82
2010-10-01,46,66.66
2010-10-08,36,67.13
2010-10-15,36,71.65
2010-10-22,32,69.51
2010-10-29,34,66.16
2010-11-05,35,69.80
2010-11-12,32,70.47
2010-11-19,31,68.93
2010-11-26,31,65.24
2010-12-03,31,66.23
2010-12-10,31,65.49
2010-12-17,31,64.00
2010-12-24,33,
2010-12-31,35,66.87
2011-01-07,38,70.57
2011-01-14,68,74.90
2011-01-21,44,73.37
2011-01-28,29,70.19
2011-02-04,30,71.67
2011-02-11,46,69.91
2011-02-18,28,75.62
2011-02-25,33,77.60
2011-03-04,37,78.73
2011-03-11,31,74.11
2011-03-18,31,75.81
2011-03-25,30,78.56
2011-04-01,30,78.03
2011-04-08,30,78.49
2011-04-15,30,74.99
2011-04-22,30,
2011-04-29,29,75.87
2011-05-06,30,69.77
2011-05-13,31,70.74
2011-05-20,33,71.85
2011-05-27,35,72.85
2011-06-03,37,71.62
2011-06-10,39,68.22
2011-06-17,41,67.34
2011-06-24,42,67.71
2011-07-01,44,70.34
2011-07-08,46,70.71
2011-07-15,28,70.46
2011-07-22,28,70.79
2011-07-29,28,67.83
2011-08-05,32,62.24
2011-08-12,36,61.81
2011-08-19,31,58.53
2011-08-26,31,61.49
2011-09-02,31,61.57
2011-09-09,31,61.66
2011-09-16,31,63.31
2011-09-23,30,57.66
2011-09-30,30,54.74
2011-10-07,30,55.92
2011-10-14,32,60.15
2011-10-21,28,62.82
2011-10-28,32,68.51
2011-11-04,37,65.59
2011-11-11,27,65.39
2011-11-18,27,62.79
2011-11-25,27,58.05
2011-12-02,36,60.17
2011-12-09,34,59.03
2011-12-16,27,54.29
2011-12-23,33,56.67
2011-12-30,23,55.26
2012-01-06,23,56.28
2012-01-13,23,59.87
2012-01-20,23,61.42
2012-01-27,23,62.76
2012-02-03,24,63.13
2012-02-10,25,62.76
2012-02-17,24,64.78
2012-02-24,24,67.19
2012-03-02,25,68.86
2012-03-09,26,70.19
2012-03-16,26,72.43
2012-03-23,27,69.03
2012-03-30,27,66.75
2012-04-06,31,
2012-04-13,35,65.26
2012-04-20,29,68.57
2012-04-27,27,68.00
2012-05-04,27,64.90
2012-05-11,33,62.74
2012-05-18,22,59.15
2012-05-25,25,60.56
2012-06-01,22,57.74
2012-06-08,22,60.10
2012-06-15,22,60.58
2012-06-22,24,57.75
2012-06-29,26,59.13
2012-07-06,38,58.89
2012-07-13,31,63.35
2012-07-20,31,66.05
2012-07-27,25,67.19
2012-08-03,27,66.68
2012-08-10,29,68.15
2012-08-17,32,68.52
2012-08-24,30,66.69
2012-08-31,30,67.02
2012-09-07,21,67.19
2012-09-14,21,69.04
2012-09-21,21,69.24
2012-09-28,21,65.81
2012-10-05,29,65.85
2012-10-12,28,66.58
2012-10-19,24,70.52
2012-10-26,27,70.02
2012-11-02,30,68.86
2012-11-09,22,65.04
2012-11-16,22,65.09
2012-11-23,22,67.36
2012-11-30,22,69.00
2012-12-07,23,68.93
2012-12-14,23,67.40
2012-12-21,21,69.26
2012-12-28,21,67.23
2013-01-04,21,71.51
2013-01-11,22,72.27
2013-01-18,27,73.35
2013-01-25,20,74.66
2013-02-01,22,76.29
2013-02-08,29,74.81
2013-02-15,27,74.75
2013-02-22,27,71.99
2013-03-01,27,69.32
2013-03-08,23,67.82
2013-03-15,23,70.24
2013-03-22,37,68.54
2013-03-29,18,
2013-04-05,25,68.70
2013-04-12,23,68.78
2013-04-19,23,65.34
2013-04-26,35,68.64
2013-05-03,36,70.05
2013-05-10,29,70.15
2013-05-17,30,72.40
2013-05-24,25,70.27
2013-05-31,21,68.81
2013-06-07,25,69.11
2013-06-14,30,67.16
2013-06-21,32,66.91
2013-06-28,19,68.79
2013-07-05,18,69.25
2013-07-12,27,72.11
2013-07-19,33,72.65
2013-07-26,36,67.93
2013-08-02,36,67.96
2013-08-09,36,68.20
2013-08-16,36,66.04
2013-08-23,23,65.84
2013-08-30,26,64.03
2013-09-06,24,64.33
2013-09-13,34,64.41
2013-09-20,20,62.61
2013-09-27,27,62.77
2013-10-04,29,63.45
2013-10-11,18,63.57
2013-10-18,31,63.15
2013-10-25,23,61.27
2013-11-01,20,60.27
2013-11-08,20,61.74
2013-11-15,23,61.42
2013-11-22,26,60.89
2013-11-29,23,60.05
2013-12-06,18,58.87
2013-12-13,26,56.19
2013-12-20,22,55.83
2013-12-27,24,56.81
2014-01-03,25,56.47
2014-01-10,27,55.91
2014-01-17,20,54.10
2014-01-24,20,51.04
2014-01-31,26,48.54
2014-02-07,26,46.07
2014-02-14,18,47.04
2014-02-21,26,48.01
2014-02-28,23,47.30
2014-03-07,31,48.45
2014-03-14,25,44.20
2014-03-21,26,47.24
2014-03-28,24,47.92
2014-04-04,26,48.38
2014-04-11,34,45.88
2014-04-18,34,
2014-04-25,37,53.50
2014-05-02,0,
