Date,VTR,Price
2004-01-09,51,
2004-01-16,52,
2004-01-23,61,
2004-01-30,52,
2004-02-06,57,25.65
2004-02-13,60,26.60
2004-02-20,53,26.65
2004-02-27,49,26.45
2004-03-05,57,27.05
2004-03-12,57,25.89
2004-03-19,60,26.80
2004-03-26,48,26.19
2004-04-02,56,27.67
2004-04-09,61,
2004-04-16,49,23.00
2004-04-23,61,22.50
2004-04-30,61,22.09
2004-05-07,67,21.95
2004-05-14,54,21.31
2004-05-21,68,22.13
2004-05-28,62,23.32
2004-06-04,67,22.90
2004-06-11,70,
2004-06-18,67,23.19
2004-06-25,65,23.30
2004-07-02,64,23.98
2004-07-09,59,24.20
2004-07-16,63,25.25
2004-07-23,67,24.19
2004-07-30,64,25.52
2004-08-06,56,25.80
2004-08-13,57,25.39
2004-08-20,74,26.80
2004-08-27,51,26.93
2004-09-03,55,27.30
2004-09-10,61,27.54
2004-09-17,51,26.80
2004-09-24,59,25.92
2004-10-01,63,26.47
2004-10-08,56,26.40
2004-10-15,59,26.40
2004-10-22,61,26.52
2004-10-29,52,26.90
2004-11-05,51,27.32
2004-11-12,46,29.03
2004-11-19,56,27.65
2004-11-26,55,27.28
2004-12-03,45,28.19
2004-12-10,43,27.45
2004-12-17,48,27.50
2004-12-24,52,
2004-12-31,50,27.41
2005-01-07,43,25.82
2005-01-14,52,25.21
2005-01-21,56,25.44
2005-01-28,57,25.15
2005-02-04,55,26.69
2005-02-11,58,26.62
2005-02-18,58,26.58
2005-02-25,57,25.42
2005-03-04,54,27.56
2005-03-11,53,26.40
2005-03-18,59,26.76
2005-03-25,65,
2005-04-01,58,25.66
2005-04-08,59,25.56
2005-04-15,63,25.51
2005-04-22,58,25.77
2005-04-29,59,26.98
2005-05-06,57,26.55
2005-05-13,66,26.38
2005-05-20,55,27.55
2005-05-27,58,27.83
2005-06-03,62,28.53
2005-06-10,54,28.28
2005-06-17,60,29.58
2005-06-24,66,29.68
2005-07-01,76,30.35
2005-07-08,72,31.73
2005-07-15,65,30.58
2005-07-22,70,31.59
2005-07-29,61,32.29
2005-08-05,69,30.65
2005-08-12,58,29.86
2005-08-19,72,29.80
2005-08-26,61,30.37
2005-09-02,59,31.21
2005-09-09,67,31.64
2005-09-16,59,30.96
2005-09-23,58,30.90
2005-09-30,68,32.20
