Date,MCO,Price
2004-01-09,60,
2004-01-16,59,
2004-01-23,56,
2004-01-30,51,
2004-02-06,69,65.40
2004-02-13,45,65.02
2004-02-20,44,65.49
2004-02-27,64,66.86
2004-03-05,54,69.15
2004-03-12,64,68.77
2004-03-19,69,69.69
2004-03-26,40,69.81
2004-04-02,56,68.90
2004-04-09,57,
2004-04-16,58,66.97
2004-04-23,60,66.43
2004-04-30,48,64.51
2004-05-07,49,62.47
2004-05-14,54,63.70
2004-05-21,47,63.95
2004-05-28,62,65.39
2004-06-04,43,65.78
2004-06-11,57,
2004-06-18,52,65.52
2004-06-25,47,64.84
2004-07-02,54,65.76
2004-07-09,50,65.43
2004-07-16,54,65.25
2004-07-23,51,65.17
2004-07-30,59,68.10
2004-08-06,68,67.33
2004-08-13,82,66.50
2004-08-20,64,68.33
2004-08-27,47,68.52
2004-09-03,73,69.63
2004-09-10,60,69.44
2004-09-17,54,71.00
2004-09-24,62,73.02
2004-10-01,72,74.40
2004-10-08,59,73.16
2004-10-15,59,72.79
2004-10-22,61,72.69
2004-10-29,73,77.81
2004-11-05,48,79.37
2004-11-12,56,80.30
2004-11-19,61,80.20
2004-11-26,55,81.35
2004-12-03,46,83.05
2004-12-10,60,83.35
2004-12-17,53,84.15
2004-12-24,60,
2004-12-31,46,86.85
2005-01-07,60,83.00
2005-01-14,69,84.10
2005-01-21,53,84.68
2005-01-28,66,83.90
2005-02-04,49,86.33
2005-02-11,65,86.24
2005-02-18,64,84.28
2005-02-25,49,85.32
2005-03-04,60,86.20
2005-03-11,76,84.29
2005-03-18,60,83.70
2005-03-25,64,
2005-04-01,54,80.44
2005-04-08,61,82.47
2005-04-15,51,80.43
2005-04-22,61,81.60
2005-04-29,77,82.14
2005-05-06,84,84.20
2005-05-13,88,82.20
2005-05-20,85,43.21
2005-05-27,93,43.74
2005-06-03,85,43.26
2005-06-10,99,43.91
2005-06-17,98,46.11
2005-06-24,80,44.65
2005-07-01,97,45.29
2005-07-08,71,45.92
2005-07-15,86,46.86
2005-07-22,80,47.54
2005-07-29,95,47.31
2005-08-05,84,46.99
2005-08-12,81,46.67
2005-08-19,87,47.49
2005-08-26,74,48.78
2005-09-02,80,50.37
2005-09-09,81,51.42
2005-09-16,73,50.67
2005-09-23,81,49.43
2005-09-30,77,51.08
2005-10-07,75,51.01
2005-10-14,76,50.01
2005-10-21,71,51.19
2005-10-28,95,52.92
2005-11-04,100,53.44
2005-11-11,66,55.89
2005-11-18,87,58.15
2005-11-25,69,59.32
2005-12-02,75,60.13
2005-12-09,69,60.63
2005-12-16,72,61.50
2005-12-23,67,62.12
2005-12-30,62,61.42
2006-01-06,75,63.44
2006-01-13,90,64.21
2006-01-20,70,61.20
2006-01-27,84,63.92
2006-02-03,77,63.89
2006-02-10,81,64.10
2006-02-17,69,65.01
2006-02-24,72,67.96
2006-03-03,72,67.65
2006-03-10,82,67.55
2006-03-17,67,69.85
2006-03-24,72,70.57
2006-03-31,67,71.46
2006-04-07,77,70.87
2006-04-14,67,
2006-04-21,72,70.97
2006-04-28,69,62.01
2006-05-05,71,58.60
2006-05-12,73,57.85
2006-05-19,64,54.44
2006-05-26,73,53.83
2006-06-02,60,52.92
2006-06-09,59,52.75
2006-06-16,71,52.73
2006-06-23,61,53.36
2006-06-30,64,54.46
2006-07-07,67,53.76
2006-07-14,71,50.33
2006-07-21,71,50.54
2006-07-28,77,56.08
2006-08-04,70,59.31
2006-08-11,69,57.20
2006-08-18,74,59.63
2006-08-25,56,59.00
2006-09-01,73,62.56
2006-09-08,58,61.85
2006-09-15,67,64.67
2006-09-22,61,63.12
2006-09-29,66,65.38
2006-10-06,70,61.97
2006-10-13,61,62.76
2006-10-20,65,65.17
2006-10-27,57,65.92
2006-11-03,59,65.78
2006-11-10,59,66.24
2006-11-17,58,68.88
2006-11-24,53,69.73
2006-12-01,61,69.30
2006-12-08,64,69.46
2006-12-15,61,69.82
2006-12-22,60,70.08
2006-12-29,57,69.06
2007-01-05,61,68.78
2007-01-12,59,69.37
2007-01-19,60,71.34
2007-01-26,70,70.75
2007-02-02,68,72.47
2007-02-09,69,73.71
2007-02-16,72,72.68
2007-02-23,63,67.43
2007-03-02,71,66.10
2007-03-09,64,64.83
2007-03-16,72,63.20
2007-03-23,75,65.57
2007-03-30,68,62.06
2007-04-06,65,
2007-04-13,59,62.80
2007-04-20,63,68.08
2007-04-27,58,67.11
2007-05-04,65,66.94
2007-05-11,65,68.10
2007-05-18,64,67.67
2007-05-25,59,69.83
2007-06-01,61,69.12
2007-06-08,66,68.68
2007-06-15,64,67.67
2007-06-22,61,63.37
2007-06-29,68,62.20
2007-07-06,54,62.29
2007-07-13,70,62.61
2007-07-20,64,58.72
2007-07-27,59,55.01
2007-08-03,63,53.26
2007-08-10,67,54.70
2007-08-17,58,49.98
2007-08-24,65,46.45
2007-08-31,58,45.85
2007-09-07,50,44.28
2007-09-14,50,44.38
2007-09-21,61,48.34
2007-09-28,63,50.40
2007-10-05,58,52.80
2007-10-12,60,49.40
2007-10-19,60,46.36
2007-10-26,54,43.39
2007-11-02,59,41.05
2007-11-09,56,38.65
2007-11-16,56,38.11
2007-11-23,63,37.24
2007-11-30,67,37.66
2007-12-07,68,39.93
2007-12-14,62,38.48
2007-12-21,67,37.15
2007-12-28,50,35.86
2008-01-04,59,33.24
2008-01-11,68,35.01
2008-01-18,58,33.63
2008-01-25,57,36.01
2008-02-01,59,35.98
2008-02-08,64,36.04
2008-02-15,69,38.79
2008-02-22,66,38.30
2008-02-29,63,37.98
2008-03-07,70,35.97
2008-03-14,67,32.83
2008-03-21,64,
2008-03-28,58,35.03
2008-04-04,74,37.95
2008-04-11,75,35.68
2008-04-18,60,38.10
2008-04-25,63,37.37
2008-05-02,62,39.38
2008-05-09,65,39.44
2008-05-16,63,45.00
2008-05-23,64,34.16
2008-05-30,76,37.08
2008-06-06,65,39.13
2008-06-13,65,39.73
2008-06-20,60,37.92
2008-06-27,63,34.73
2008-07-04,58,
2008-07-11,63,31.00
2008-07-18,66,35.14
2008-07-25,62,34.12
2008-08-01,62,35.61
2008-08-08,67,39.36
2008-08-15,68,40.03
2008-08-22,73,39.12
2008-08-29,56,40.66
2008-09-05,48,39.20
2008-09-12,57,38.62
2008-09-19,56,36.14
2008-09-26,61,33.20
2008-10-03,55,30.00
2008-10-10,59,23.26
2008-10-17,52,24.96
2008-10-24,48,19.29
2008-10-31,62,25.60
2008-11-07,56,23.01
2008-11-14,50,19.33
2008-11-21,50,17.77
2008-11-28,48,21.71
2008-12-05,52,22.13
2008-12-12,54,21.15
2008-12-19,52,23.02
2008-12-26,48,20.56
2009-01-02,57,22.16
2009-01-09,64,23.03
2009-01-16,57,21.39
2009-01-23,55,21.26
2009-01-30,58,21.42
2009-02-06,59,24.85
2009-02-13,56,23.87
2009-02-20,53,19.16
2009-02-27,57,17.95
2009-03-06,65,16.04
2009-03-13,60,18.26
2009-03-20,60,18.78
2009-03-27,61,23.30
2009-04-03,65,23.54
2009-04-10,57,
