Date,buy L,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.94
2004-02-13,0,58.66
2004-02-20,0,59.72
2004-02-27,0,60.29
2004-03-05,0,62.74
2004-03-12,0,61.01
2004-03-19,0,59.90
2004-03-26,0,58.08
2004-04-02,0,60.32
2004-04-09,0,
2004-04-16,0,60.49
2004-04-23,0,60.05
2004-04-30,0,58.01
2004-05-07,0,56.58
2004-05-14,0,59.29
2004-05-21,0,58.31
2004-05-28,0,57.63
2004-06-04,0,59.02
2004-06-11,0,
2004-06-18,0,58.13
2004-06-25,0,60.05
2004-07-02,0,59.60
2004-07-09,0,58.26
2004-07-16,0,57.12
2004-07-23,0,54.48
2004-07-30,84,56.63
2004-08-06,77,54.02
2004-08-13,0,53.62
2004-08-20,0,56.60
2004-08-27,0,56.17
2004-09-03,0,57.31
2004-09-10,0,58.52
2004-09-17,64,59.51
2004-09-24,70,58.35
2004-10-01,76,58.75
2004-10-08,0,58.57
2004-10-15,0,56.85
2004-10-22,0,56.85
2004-10-29,0,59.90
2004-11-05,0,63.53
2004-11-12,0,65.44
2004-11-19,0,66.63
2004-11-26,0,68.55
2004-12-03,58,70.19
2004-12-10,81,69.44
2004-12-17,90,69.10
2004-12-24,98,
2004-12-31,63,70.30
2005-01-07,63,69.47
2005-01-14,63,69.40
2005-01-21,63,68.29
2005-01-28,63,67.39
2005-02-04,52,70.80
2005-02-11,65,71.74
2005-02-18,65,72.03
2005-02-25,66,72.24
2005-03-04,64,73.87
2005-03-11,64,71.80
2005-03-18,64,70.82
2005-03-25,65,
2005-04-01,54,72.94
2005-04-08,54,73.35
2005-04-15,54,70.01
2005-04-22,54,69.97
2005-04-29,48,70.88
2005-05-06,52,73.00
2005-05-13,56,71.36
2005-05-20,60,72.34
2005-05-27,63,74.50
2005-06-03,0,74.93
2005-06-10,0,77.83
2005-06-17,0,79.70
2005-06-24,0,78.63
2005-07-01,0,77.57
2005-07-08,0,78.33
2005-07-15,74,80.48
2005-07-22,68,83.00
2005-07-29,80,83.63
2005-08-05,93,83.45
2005-08-12,62,85.35
2005-08-19,52,87.20
2005-08-26,54,87.60
2005-09-02,48,87.28
2005-09-09,48,93.67
2005-09-16,42,93.07
2005-09-23,47,90.43
2005-09-30,53,92.41
2005-10-07,70,90.68
2005-10-14,53,88.30
2005-10-21,55,89.94
2005-10-28,47,90.75
2005-11-04,49,94.53
2005-11-11,50,96.36
2005-11-18,49,97.80
2005-11-25,63,97.80
2005-12-02,77,97.52
2005-12-09,45,96.96
2005-12-16,53,96.50
2005-12-23,62,95.94
2005-12-30,75,94.85
2006-01-06,47,98.79
2006-01-13,64,100.76
2006-01-20,62,99.26
2006-01-27,34,99.47
2006-02-03,34,97.53
2006-02-10,33,95.85
2006-02-17,42,95.43
2006-02-24,40,93.35
2006-03-03,49,94.59
2006-03-10,57,95.04
2006-03-17,35,100.05
2006-03-24,47,100.59
2006-03-31,34,101.20
2006-04-07,51,99.98
2006-04-14,34,
2006-04-21,49,104.21
2006-04-28,72,106.15
2006-05-05,35,110.38
2006-05-12,47,35.51
2006-05-19,55,34.85
2006-05-26,37,33.80
2006-06-02,35,34.97
2006-06-09,34,34.38
2006-06-16,35,34.03
2006-06-23,56,34.33
2006-06-30,52,35.45
2006-07-07,52,35.62
2006-07-14,47,35.46
2006-07-21,35,35.04
2006-07-28,54,36.23
2006-08-04,62,36.79
2006-08-11,30,36.65
2006-08-18,37,37.34
2006-08-25,59,37.90
2006-09-01,51,38.60
2006-09-08,50,38.05
2006-09-15,50,38.41
2006-09-22,32,38.00
2006-09-29,32,37.90
2006-10-06,72,37.81
2006-10-13,61,38.25
2006-10-20,46,38.14
2006-10-27,41,38.65
2006-11-03,36,38.82
2006-11-10,45,40.00
2006-11-17,49,39.41
2006-11-24,27,40.06
2006-12-01,41,40.30
2006-12-08,43,40.59
2006-12-15,29,41.57
2006-12-22,63,41.43
2006-12-29,46,41.47
2007-01-05,51,40.37
2007-01-12,52,42.26
2007-01-19,53,42.44
2007-01-26,45,42.43
2007-02-02,55,43.58
2007-02-09,45,42.84
2007-02-16,33,44.01
2007-02-23,62,44.09
2007-03-02,33,42.53
2007-03-09,53,43.90
2007-03-16,44,43.70
2007-03-23,56,45.96
2007-03-30,42,45.43
2007-04-06,57,
2007-04-13,47,46.54
2007-04-20,47,46.44
2007-04-27,29,46.64
2007-05-04,39,47.93
2007-05-11,68,48.56
2007-05-18,36,50.09
2007-05-25,32,50.95
2007-06-01,36,51.02
2007-06-08,44,50.87
2007-06-15,50,52.85
2007-06-22,57,52.07
2007-06-29,45,50.98
2007-07-06,43,52.06
2007-07-13,48,51.86
2007-07-20,50,51.12
2007-07-27,57,47.60
2007-08-03,36,44.95
2007-08-10,48,44.30
2007-08-17,58,46.45
2007-08-24,54,48.25
2007-08-31,45,47.01
2007-09-07,70,46.02
2007-09-14,46,45.57
2007-09-21,64,47.62
2007-09-28,41,48.35
2007-10-05,52,49.67
2007-10-12,55,50.12
2007-10-19,44,48.84
2007-10-26,55,50.03
2007-11-02,47,47.61
2007-11-09,39,45.90
2007-11-16,52,45.18
2007-11-23,76,45.31
2007-11-30,71,47.79
2007-12-07,57,48.54
2007-12-14,47,46.80
2007-12-21,69,49.49
2007-12-28,53,49.35
2008-01-04,74,48.49
2008-01-11,81,47.88
2008-01-18,52,44.92
2008-01-25,47,44.75
2008-02-01,51,47.28
2008-02-08,70,44.73
2008-02-15,53,42.92
2008-02-22,46,43.01
2008-02-29,54,41.84
2008-03-07,63,40.96
2008-03-14,42,40.24
2008-03-21,50,
2008-03-28,46,40.06
2008-04-04,43,42.14
2008-04-11,54,41.09
2008-04-18,61,44.27
2008-04-25,51,44.63
2008-05-02,62,43.32
2008-05-09,50,46.29
2008-05-16,47,49.41
2008-05-23,66,47.09
2008-05-30,58,49.57
2008-06-06,66,49.95
2008-06-13,61,50.40
2008-06-20,49,49.49
2008-06-27,44,47.52
2008-07-04,51,
2008-07-11,68,45.36
2008-07-18,72,42.94
2008-07-25,59,41.92
2008-08-01,76,44.37
2008-08-08,66,43.50
2008-08-15,69,42.38
2008-08-22,78,42.08
2008-08-29,60,43.43
2008-09-05,64,42.29
2008-09-12,55,41.85
2008-09-19,64,40.98
2008-09-26,55,42.99
2008-10-03,49,35.82
2008-10-10,45,26.10
2008-10-17,59,31.41
2008-10-24,61,31.31
2008-10-31,56,33.20
2008-11-07,39,30.19
2008-11-14,62,27.94
2008-11-21,44,22.34
2008-11-28,53,27.39
2008-12-05,77,25.98
2008-12-12,64,27.42
2008-12-19,68,27.98
2008-12-26,57,26.76
2009-01-02,70,29.77
2009-01-09,76,27.50
2009-01-16,65,25.09
2009-01-23,78,24.53
2009-01-30,54,24.40
2009-02-06,72,24.98
2009-02-13,69,22.82
2009-02-20,64,20.15
2009-02-27,64,19.85
2009-03-06,65,18.13
2009-03-13,50,20.32
2009-03-20,69,22.70
2009-03-27,68,22.34
2009-04-03,68,23.49
2009-04-10,68,
2009-04-17,65,25.18
2009-04-24,62,25.02
2009-05-01,55,25.19
2009-05-08,81,29.01
2009-05-15,62,25.21
2009-05-22,68,25.76
2009-05-29,49,27.05
2009-06-05,70,27.69
2009-06-12,76,28.13
2009-06-19,76,27.43
2009-06-26,51,27.17
2009-07-03,45,
2009-07-10,63,25.75
2009-07-17,49,27.39
2009-07-24,48,29.34
2009-07-31,69,30.02
2009-08-07,68,31.71
2009-08-14,62,32.01
2009-08-21,57,33.15
2009-08-28,60,34.13
2009-09-04,70,32.82
2009-09-11,65,33.78
2009-09-18,54,34.79
2009-09-25,52,33.52
2009-10-02,54,33.52
2009-10-09,63,34.81
2009-10-16,66,35.89
2009-10-23,63,35.88
2009-10-30,52,33.10
2009-11-06,72,34.60
2009-11-13,59,35.48
2009-11-20,60,35.50
2009-11-27,67,35.00
2009-12-04,67,35.45
2009-12-11,71,35.58
2009-12-18,64,36.12
2009-12-25,74,
2010-01-01,79,
2010-01-08,65,37.89
2010-01-15,74,37.21
2010-01-22,67,35.73
2010-01-29,53,35.77
2010-02-05,78,35.37
2010-02-12,59,35.17
2010-02-19,62,36.55
2010-02-26,60,36.46
2010-03-05,56,37.50
2010-03-12,59,37.56
2010-03-19,50,37.17
2010-03-26,51,37.24
2010-04-02,53,
2010-04-09,66,38.44
2010-04-16,69,37.80
2010-04-23,51,38.37
2010-04-30,51,37.24
2010-05-07,64,33.60
2010-05-14,77,34.10
2010-05-21,61,31.97
2010-05-28,56,32.51
2010-06-04,53,31.60
2010-06-11,71,32.55
2010-06-18,59,33.90
2010-06-25,53,33.88
2010-07-02,62,33.57
2010-07-09,80,35.70
2010-07-16,46,35.56
2010-07-23,68,37.17
2010-07-30,57,37.15
2010-08-06,73,37.98
2010-08-13,69,37.05
2010-08-20,65,36.29
2010-08-27,56,35.96
2010-09-03,57,36.90
2010-09-10,85,36.51
2010-09-17,67,37.23
2010-09-24,77,37.62
2010-10-01,71,38.02
2010-10-08,67,38.91
2010-10-15,58,39.66
2010-10-22,70,39.70
2010-10-29,69,39.49
2010-11-05,60,40.08
2010-11-12,78,39.23
2010-11-19,55,38.30
2010-11-26,86,37.54
2010-12-03,88,38.13
2010-12-10,78,38.77
2010-12-17,85,38.65
2010-12-24,94,
2010-12-31,75,38.91
2011-01-07,85,39.98
2011-01-14,81,40.35
2011-01-21,76,40.23
2011-01-28,67,39.96
2011-02-04,86,41.40
2011-02-11,86,43.03
2011-02-18,75,43.19
2011-02-25,69,42.91
2011-03-04,70,42.77
2011-03-11,72,41.97
2011-03-18,72,42.14
2011-03-25,74,43.04
2011-04-01,67,43.51
2011-04-08,72,43.00
2011-04-15,73,42.48
2011-04-22,71,
2011-04-29,66,44.26
2011-05-06,67,41.72
2011-05-13,79,41.65
2011-05-20,81,41.74
2011-05-27,66,41.84
2011-06-03,72,41.31
2011-06-10,69,40.70
2011-06-17,64,40.56
2011-06-24,67,40.79
2011-07-01,71,42.12
2011-07-08,69,42.36
2011-07-15,71,40.77
2011-07-22,76,40.90
2011-07-29,87,39.87
2011-08-05,86,37.58
2011-08-12,68,36.26
2011-08-19,71,35.25
2011-08-26,77,35.88
2011-09-02,75,36.07
2011-09-09,71,35.96
2011-09-16,73,37.57
2011-09-23,74,34.40
2011-09-30,73,34.55
2011-10-07,75,34.67
2011-10-14,65,36.56
2011-10-21,72,38.66
2011-10-28,74,41.28
2011-11-04,67,39.28
2011-11-11,62,39.50
2011-11-18,80,38.18
2011-11-25,96,35.85
2011-12-02,87,38.25
2011-12-09,81,38.58
2011-12-16,96,36.96
2011-12-23,100,38.22
2011-12-30,80,37.65
2012-01-06,94,37.72
2012-01-13,75,38.23
2012-01-20,78,38.56
2012-01-27,74,37.63
2012-02-03,82,38.61
2012-02-10,80,38.10
2012-02-17,88,38.30
2012-02-24,85,39.14
2012-03-02,80,38.87
2012-03-09,74,38.65
2012-03-16,72,39.48
2012-03-23,72,39.19
2012-03-30,71,39.87
2012-04-06,68,
2012-04-13,63,38.91
2012-04-20,71,39.84
2012-04-27,64,41.01
2012-05-04,64,40.77
2012-05-11,64,40.64
2012-05-18,78,38.32
2012-05-25,79,39.22
2012-06-01,76,38.36
2012-06-08,76,39.87
2012-06-15,70,40.46
2012-06-22,72,40.07
2012-06-29,72,40.91
2012-07-06,85,40.50
2012-07-13,83,40.90
2012-07-20,78,40.55
2012-07-27,91,41.70
2012-08-03,89,40.35
2012-08-10,97,40.51
2012-08-17,83,40.48
2012-08-24,82,40.23
2012-08-31,80,40.65
2012-09-07,86,41.18
2012-09-14,69,42.69
2012-09-21,82,41.43
2012-09-28,82,41.26
2012-10-05,69,41.96
2012-10-12,80,41.48
2012-10-19,77,42.51
2012-10-26,85,42.39
2012-11-02,70,42.16
2012-11-09,67,41.13
2012-11-16,75,40.72
2012-11-23,96,41.30
2012-11-30,84,40.88
2012-12-07,86,41.28
2012-12-14,81,40.65
2012-12-21,81,40.90
2012-12-28,79,40.18
2013-01-04,78,42.06
2013-01-11,74,42.65
2013-01-18,70,42.82
2013-01-25,75,43.47
2013-02-01,74,44.08
2013-02-08,81,43.85
2013-02-15,76,43.91
2013-02-22,67,43.68
2013-03-01,78,43.18
2013-03-08,72,43.58
2013-03-15,77,44.60
2013-03-22,81,43.98
2013-03-29,70,
2013-04-05,70,43.80
2013-04-12,82,43.99
2013-04-19,64,43.18
2013-04-26,75,44.44
2013-05-03,74,45.42
2013-05-10,75,45.45
2013-05-17,70,46.44
2013-05-24,72,45.95
2013-05-31,83,45.82
2013-06-07,79,45.74
2013-06-14,83,44.58
2013-06-21,75,43.58
2013-06-28,84,44.40
2013-07-05,97,44.87
2013-07-12,67,45.68
2013-07-19,80,46.51
2013-07-26,91,46.05
2013-08-02,88,46.29
2013-08-09,86,46.18
2013-08-16,87,46.41
2013-08-23,79,45.95
2013-08-30,76,44.46
2013-09-06,86,44.69
2013-09-13,81,46.23
2013-09-20,81,47.44
2013-09-27,73,46.95
2013-10-04,82,47.06
2013-10-11,72,48.33
2013-10-18,79,49.07
2013-10-25,70,48.81
2013-11-01,85,48.34
2013-11-08,74,48.57
2013-11-15,87,48.07
2013-11-22,93,48.24
2013-11-29,88,47.35
2013-12-06,88,47.29
2013-12-13,90,46.56
2013-12-20,94,47.62
2013-12-27,88,47.67
2014-01-03,85,47.26
2014-01-10,86,46.86
2014-01-17,86,47.33
2014-01-24,84,44.65
2014-01-31,78,44.59
2014-02-07,80,45.18
2014-02-14,81,44.03
2014-02-21,85,43.50
2014-02-28,78,43.48
2014-03-07,78,45.05
2014-03-14,76,43.97
2014-03-21,73,44.23
2014-03-28,81,43.42
2014-04-04,63,44.70
2014-04-11,75,43.44
2014-04-18,77,
2014-04-25,70,44.14
2014-05-02,84,
