Date,LNC,Price
2004-01-09,76,
2004-01-16,70,
2004-01-23,70,
2004-01-30,0,
2004-02-06,0,44.47
2004-02-13,0,46.64
2004-02-20,0,47.24
2004-02-27,0,46.43
2004-03-05,0,47.91
2004-03-12,0,46.38
2004-03-19,58,46.26
2004-03-26,60,46.24
2004-04-02,62,48.80
2004-04-09,81,
2004-04-16,100,47.30
2004-04-23,72,46.62
2004-04-30,72,44.88
2004-05-07,59,44.25
2004-05-14,59,44.42
2004-05-21,64,44.72
2004-05-28,70,47.49
2004-06-04,62,47.13
2004-06-11,55,
2004-06-18,64,45.90
2004-06-25,55,45.62
2004-07-02,67,46.30
2004-07-09,79,44.20
2004-07-16,67,43.01
2004-07-23,67,42.22
2004-07-30,73,43.70
2004-08-06,79,42.48
2004-08-13,76,42.79
2004-08-20,85,44.57
2004-08-27,93,45.46
2004-09-03,71,46.33
2004-09-10,71,46.63
2004-09-17,86,47.00
2004-09-24,75,46.61
2004-10-01,56,48.43
2004-10-08,47,46.81
2004-10-15,45,45.01
2004-10-22,45,41.71
2004-10-29,63,43.80
2004-11-05,82,45.52
2004-11-12,80,46.11
2004-11-19,71,46.13
2004-11-26,56,46.17
2004-12-03,56,47.49
2004-12-10,55,46.09
2004-12-17,64,46.24
2004-12-24,72,
2004-12-31,47,46.68
2005-01-07,47,46.33
2005-01-14,60,46.00
2005-01-21,48,45.51
2005-01-28,62,44.84
2005-02-04,58,46.99
2005-02-11,40,49.30
2005-02-18,46,47.83
2005-02-25,42,47.35
2005-03-04,42,47.45
2005-03-11,63,46.78
2005-03-18,48,46.39
2005-03-25,48,
2005-04-01,46,44.81
2005-04-08,87,45.20
2005-04-15,54,43.06
2005-04-22,44,43.10
2005-04-29,85,44.97
2005-05-06,37,43.44
2005-05-13,62,41.95
2005-05-20,35,44.80
2005-05-27,43,45.71
2005-06-03,50,44.68
2005-06-10,49,45.01
2005-06-17,46,47.32
2005-06-24,43,46.71
2005-07-01,43,47.67
2005-07-08,51,47.46
2005-07-15,47,47.46
2005-07-22,57,47.21
2005-07-29,43,48.30
2005-08-05,65,48.39
2005-08-12,77,50.14
2005-08-19,59,50.26
2005-08-26,40,49.89
2005-09-02,53,49.80
2005-09-09,39,51.33
2005-09-16,31,52.25
2005-09-23,38,51.28
2005-09-30,45,52.02
2005-10-07,52,50.73
2005-10-14,60,48.04
2005-10-21,76,48.41
2005-10-28,87,49.69
2005-11-04,38,50.08
2005-11-11,60,51.11
2005-11-18,62,51.72
2005-11-25,46,52.06
2005-12-02,44,52.70
2005-12-09,66,51.68
2005-12-16,53,52.06
2005-12-23,49,53.89
2005-12-30,56,53.03
2006-01-06,29,54.30
