Date,HCN,Price
2004-01-09,0,
2004-01-16,40,
2004-01-23,41,
2004-01-30,43,
2004-02-06,71,36.71
2004-02-13,39,36.53
2004-02-20,48,36.43
2004-02-27,57,37.76
2004-03-05,76,39.24
2004-03-12,44,38.57
2004-03-19,44,38.82
2004-03-26,44,38.72
2004-04-02,44,39.95
2004-04-09,51,
2004-04-16,50,34.00
2004-04-23,50,33.10
2004-04-30,50,31.94
2004-05-07,35,29.84
2004-05-14,39,29.42
2004-05-21,42,29.99
2004-05-28,45,32.45
2004-06-04,49,31.78
2004-06-11,52,
2004-06-18,55,32.07
2004-06-25,0,31.60
2004-07-02,0,33.33
2004-07-09,0,33.00
2004-07-16,0,33.97
2004-07-23,0,32.49
2004-07-30,51,32.27
2004-08-06,39,31.85
2004-08-13,39,31.11
2004-08-20,36,32.10
2004-08-27,36,32.83
2004-09-03,36,34.27
2004-09-10,36,34.49
2004-09-17,49,34.00
2004-09-24,54,33.89
2004-10-01,60,35.82
2004-10-08,42,35.77
2004-10-15,58,36.49
2004-10-22,55,35.69
2004-10-29,51,36.00
2004-11-05,44,34.70
2004-11-12,51,36.31
2004-11-19,59,34.49
2004-11-26,47,35.46
2004-12-03,85,36.50
2004-12-10,63,37.41
2004-12-17,50,36.67
2004-12-24,46,
2004-12-31,46,38.15
2005-01-07,41,35.45
2005-01-14,41,34.64
2005-01-21,33,35.21
2005-01-28,40,33.33
2005-02-04,45,33.90
2005-02-11,51,34.45
2005-02-18,40,34.73
2005-02-25,44,34.53
2005-03-04,55,34.48
2005-03-11,57,33.25
2005-03-18,42,33.07
2005-03-25,44,
2005-04-01,38,32.14
2005-04-08,45,32.26
2005-04-15,51,32.48
2005-04-22,56,33.18
2005-04-29,55,33.50
2005-05-06,60,33.47
2005-05-13,31,32.95
2005-05-20,45,34.97
2005-05-27,56,35.00
2005-06-03,48,36.22
2005-06-10,42,36.74
2005-06-17,34,37.50
2005-06-24,35,36.80
2005-07-01,33,38.08
2005-07-08,33,38.84
2005-07-15,33,38.26
2005-07-22,27,38.23
2005-07-29,34,39.10
2005-08-05,35,36.90
2005-08-12,45,35.83
2005-08-19,28,35.81
2005-08-26,28,36.18
2005-09-02,43,37.02
2005-09-09,33,37.40
2005-09-16,32,37.23
2005-09-23,50,36.44
2005-09-30,46,37.09
2005-10-07,51,36.00
2005-10-14,64,35.47
2005-10-21,49,35.53
2005-10-28,41,35.42
2005-11-04,57,34.70
2005-11-11,54,36.27
2005-11-18,52,34.43
2005-11-25,37,34.75
2005-12-02,54,34.26
2005-12-09,55,33.63
2005-12-16,52,34.30
2005-12-23,41,34.21
2005-12-30,31,33.90
2006-01-06,44,35.79
2006-01-13,34,36.23
2006-01-20,39,36.50
2006-01-27,50,36.97
2006-02-03,40,36.20
2006-02-10,41,35.60
2006-02-17,51,36.62
2006-02-24,49,36.75
2006-03-03,45,35.58
2006-03-10,39,36.68
2006-03-17,47,38.30
2006-03-24,46,37.39
2006-03-31,55,38.10
2006-04-07,51,35.89
2006-04-14,40,
2006-04-21,62,35.04
2006-04-28,40,34.80
2006-05-05,57,35.06
2006-05-12,43,33.60
2006-05-19,24,33.83
2006-05-26,35,34.18
2006-06-02,36,35.10
2006-06-09,47,35.05
2006-06-16,30,34.54
2006-06-23,31,34.03
2006-06-30,47,34.95
2006-07-07,46,34.79
2006-07-14,40,34.67
2006-07-21,32,35.80
2006-07-28,33,36.23
2006-08-04,39,37.44
2006-08-11,29,36.87
2006-08-18,31,37.91
2006-08-25,32,38.01
2006-09-01,33,39.76
2006-09-08,39,39.79
2006-09-15,39,38.89
2006-09-22,55,38.93
2006-09-29,53,40.01
2006-10-06,52,41.00
2006-10-13,46,42.03
2006-10-20,54,41.83
2006-10-27,61,40.98
2006-11-03,60,39.05
2006-11-10,55,39.56
2006-11-17,61,39.60
2006-11-24,41,41.40
2006-12-01,72,41.95
2006-12-08,52,41.74
2006-12-15,42,41.48
2006-12-22,33,41.44
2006-12-29,26,43.02
2007-01-05,33,43.55
2007-01-12,39,44.79
2007-01-19,36,45.89
2007-01-26,44,46.46
2007-02-02,49,47.30
2007-02-09,47,47.50
2007-02-16,48,46.98
2007-02-23,60,46.45
2007-03-02,34,43.97
2007-03-09,50,44.81
2007-03-16,56,43.88
2007-03-23,48,45.47
2007-03-30,46,43.90
2007-04-06,40,
2007-04-13,39,44.04
2007-04-20,45,44.79
2007-04-27,40,45.45
2007-05-04,48,43.72
2007-05-11,47,44.84
2007-05-18,30,42.33
2007-05-25,40,43.03
2007-06-01,32,43.84
2007-06-08,35,42.24
2007-06-15,40,41.32
2007-06-22,37,39.52
2007-06-29,41,40.36
2007-07-06,31,42.13
2007-07-13,40,41.18
2007-07-20,29,39.12
2007-07-27,44,35.87
2007-08-03,33,36.52
2007-08-10,29,36.91
2007-08-17,38,37.34
2007-08-24,40,38.94
2007-08-31,56,39.90
2007-09-07,38,39.70
2007-09-14,55,42.21
2007-09-21,47,43.20
2007-09-28,50,44.24
2007-10-05,50,46.47
2007-10-12,58,45.46
2007-10-19,54,42.75
2007-10-26,43,44.42
2007-11-02,54,42.44
2007-11-09,51,43.44
2007-11-16,54,43.55
2007-11-23,58,43.35
2007-11-30,65,44.81
2007-12-07,66,44.27
2007-12-14,55,42.39
2007-12-21,37,44.30
2007-12-28,25,44.32
2008-01-04,33,43.11
2008-01-11,38,44.16
2008-01-18,47,40.83
2008-01-25,46,43.49
2008-02-01,50,43.72
2008-02-08,39,40.63
2008-02-15,46,40.55
2008-02-22,40,41.41
2008-02-29,50,41.16
2008-03-07,54,40.89
2008-03-14,49,43.09
2008-03-21,44,
2008-03-28,45,44.89
2008-04-04,45,46.65
2008-04-11,51,46.95
2008-04-18,47,48.86
2008-04-25,48,50.19
2008-05-02,40,48.00
2008-05-09,37,48.43
2008-05-16,46,48.89
2008-05-23,49,47.05
2008-05-30,42,48.30
2008-06-06,39,47.83
2008-06-13,42,47.20
2008-06-20,41,46.06
2008-06-27,30,44.55
2008-07-04,35,
2008-07-11,36,45.40
2008-07-18,22,47.28
2008-07-25,32,48.65
2008-08-01,31,50.62
2008-08-08,39,52.80
2008-08-15,38,52.47
2008-08-22,25,51.98
2008-08-29,53,51.87
2008-09-05,42,48.15
2008-09-12,48,49.22
2008-09-19,48,52.30
2008-09-26,58,52.51
2008-10-03,48,50.97
2008-10-10,60,47.95
2008-10-17,58,43.90
2008-10-24,52,40.79
2008-10-31,56,44.51
2008-11-07,57,40.33
2008-11-14,69,35.42
2008-11-21,61,34.50
2008-11-28,50,38.00
2008-12-05,50,37.10
2008-12-12,55,36.63
2008-12-19,38,39.43
2008-12-26,25,40.66
2009-01-02,25,39.77
2009-01-09,35,37.10
2009-01-16,42,39.34
2009-01-23,47,38.56
2009-01-30,47,37.81
2009-02-06,45,37.59
2009-02-13,50,32.24
2009-02-20,45,32.60
2009-02-27,54,30.77
2009-03-06,52,27.27
2009-03-13,47,31.87
2009-03-20,51,30.22
2009-03-27,61,30.02
2009-04-03,48,33.68
2009-04-10,61,
2009-04-17,45,33.69
2009-04-24,41,34.63
2009-05-01,41,33.06
2009-05-08,51,34.49
2009-05-15,49,32.08
2009-05-22,39,32.54
2009-05-29,43,34.25
2009-06-05,40,35.70
2009-06-12,37,35.90
2009-06-19,37,34.28
2009-06-26,40,33.68
2009-07-03,33,
2009-07-10,43,34.26
2009-07-17,29,36.36
2009-07-24,31,38.80
2009-07-31,26,40.06
2009-08-07,41,43.10
2009-08-14,33,40.76
2009-08-21,34,43.01
2009-08-28,39,43.08
2009-09-04,47,40.14
2009-09-11,42,41.28
2009-09-18,49,43.44
2009-09-25,58,41.87
2009-10-02,60,41.38
2009-10-09,68,43.69
2009-10-16,55,44.25
2009-10-23,44,44.49
2009-10-30,52,44.37
2009-11-06,65,42.14
2009-11-13,67,43.16
2009-11-20,62,43.84
2009-11-27,49,42.80
2009-12-04,64,46.09
2009-12-11,53,45.46
2009-12-18,37,45.15
2009-12-25,26,
2010-01-01,24,
2010-01-08,42,44.07
2010-01-15,43,44.30
2010-01-22,43,43.21
2010-01-29,61,43.00
2010-02-05,44,41.02
2010-02-12,50,40.76
2010-02-19,46,41.86
2010-02-26,48,42.36
2010-03-05,56,43.16
2010-03-12,49,44.78
2010-03-19,47,45.75
2010-03-26,46,45.88
2010-04-02,55,
2010-04-09,100,45.63
2010-04-16,60,43.28
2010-04-23,57,45.23
2010-04-30,43,44.93
2010-05-07,43,40.55
2010-05-14,48,42.01
2010-05-21,44,41.51
2010-05-28,47,43.08
2010-06-04,40,41.21
2010-06-11,34,44.00
2010-06-18,38,43.33
2010-06-25,34,42.75
2010-07-02,37,41.76
2010-07-09,41,43.18
2010-07-16,32,42.98
2010-07-23,40,45.08
2010-07-30,34,45.31
2010-08-06,37,45.49
2010-08-13,35,44.72
2010-08-20,37,45.08
2010-08-27,44,45.69
2010-09-03,44,47.75
2010-09-10,42,46.70
2010-09-17,58,47.91
2010-09-24,58,47.37
2010-10-01,65,47.38
2010-10-08,54,48.71
2010-10-15,51,49.46
2010-10-22,65,50.90
2010-10-29,59,51.10
2010-11-05,58,50.28
2010-11-12,63,47.00
2010-11-19,68,45.88
2010-11-26,51,46.12
2010-12-03,71,45.80
2010-12-10,58,45.54
2010-12-17,50,45.11
2010-12-24,36,
2010-12-31,37,47.64
2011-01-07,36,47.40
2011-01-14,53,47.05
2011-01-21,46,47.58
2011-01-28,47,48.50
2011-02-04,53,48.31
2011-02-11,52,49.39
2011-02-18,55,50.25
2011-02-25,47,50.86
2011-03-04,58,51.43
2011-03-11,47,52.16
2011-03-18,50,51.69
2011-03-25,60,51.31
2011-04-01,58,52.30
2011-04-08,53,51.95
2011-04-15,56,52.88
2011-04-22,56,
2011-04-29,51,53.77
2011-05-06,51,51.25
2011-05-13,46,50.65
2011-05-20,44,51.41
2011-05-27,43,52.30
2011-06-03,43,51.95
2011-06-10,42,49.85
2011-06-17,46,52.20
2011-06-24,46,52.27
2011-07-01,38,52.75
2011-07-08,31,53.49
2011-07-15,32,52.57
2011-07-22,36,54.40
2011-07-29,36,52.78
2011-08-05,36,45.70
2011-08-12,35,45.88
2011-08-19,41,45.84
2011-08-26,39,48.62
2011-09-02,47,49.24
2011-09-09,46,49.17
2011-09-16,51,51.19
2011-09-23,55,46.90
2011-09-30,56,46.80
2011-10-07,70,46.09
2011-10-14,60,48.13
2011-10-21,54,49.90
2011-10-28,63,53.54
2011-11-04,54,50.00
2011-11-11,66,51.10
2011-11-18,59,49.12
2011-11-25,58,47.81
2011-12-02,67,49.53
2011-12-09,69,50.74
2011-12-16,56,52.04
2011-12-23,38,54.03
2011-12-30,26,54.53
2012-01-06,40,54.23
2012-01-13,44,55.53
2012-01-20,54,55.10
2012-01-27,48,57.25
2012-02-03,53,56.89
2012-02-10,54,56.45
2012-02-17,55,55.46
2012-02-24,56,54.30
2012-03-02,64,54.68
2012-03-09,58,54.35
2012-03-16,58,54.81
2012-03-23,60,54.08
2012-03-30,54,54.96
2012-04-06,51,
2012-04-13,49,53.22
2012-04-20,59,54.72
2012-04-27,46,56.72
2012-05-04,48,56.21
2012-05-11,47,56.28
2012-05-18,44,53.89
2012-05-25,43,55.22
2012-06-01,44,54.24
2012-06-08,42,55.96
2012-06-15,39,56.80
2012-06-22,39,56.50
2012-06-29,36,58.30
2012-07-06,31,59.01
2012-07-13,37,60.61
2012-07-20,34,60.47
2012-07-27,35,61.83
2012-08-03,33,61.20
2012-08-10,36,59.66
2012-08-17,35,59.95
2012-08-24,41,58.14
2012-08-31,47,58.44
2012-09-07,47,58.66
2012-09-14,53,58.50
2012-09-21,62,57.74
2012-09-28,60,57.74
2012-10-05,61,59.63
2012-10-12,67,59.04
2012-10-19,66,59.77
2012-10-26,64,58.26
2012-11-02,71,59.10
2012-11-09,72,58.64
2012-11-16,66,59.56
2012-11-23,55,60.26
2012-11-30,67,58.89
2012-12-07,75,59.75
2012-12-14,61,58.25
2012-12-21,47,60.50
2012-12-28,25,60.83
2013-01-04,33,61.73
2013-01-11,48,61.93
2013-01-18,55,62.03
2013-01-25,50,62.95
2013-02-01,56,62.44
2013-02-08,53,62.30
2013-02-15,57,62.96
2013-02-22,59,64.60
2013-03-01,64,64.62
2013-03-08,65,65.34
2013-03-15,61,65.64
2013-03-22,60,66.07
2013-03-29,58,
2013-04-05,54,69.79
2013-04-12,62,71.11
2013-04-19,61,72.62
2013-04-26,65,73.47
2013-05-03,61,74.90
2013-05-10,55,75.48
2013-05-17,50,77.95
2013-05-24,48,74.04
2013-05-31,48,68.03
2013-06-07,46,68.29
2013-06-14,52,67.37
2013-06-21,49,63.35
2013-06-28,46,67.03
2013-07-05,40,65.22
2013-07-12,42,67.11
2013-07-19,37,67.77
2013-07-26,40,66.13
2013-08-02,39,63.37
2013-08-09,41,63.74
2013-08-16,40,58.57
2013-08-23,43,61.46
2013-08-30,44,61.44
2013-09-06,52,60.83
2013-09-13,55,61.76
2013-09-20,56,63.73
2013-09-27,63,63.18
2013-10-04,65,61.85
2013-10-11,60,63.66
2013-10-18,69,64.85
2013-10-25,70,66.47
2013-11-01,72,64.99
2013-11-08,77,60.41
2013-11-15,70,60.51
2013-11-22,84,57.76
2013-11-29,67,55.99
2013-12-06,71,55.16
2013-12-13,68,53.91
2013-12-20,47,53.11
2013-12-27,30,53.20
2014-01-03,33,53.05
2014-01-10,49,55.48
2014-01-17,54,55.59
2014-01-24,50,55.92
2014-01-31,62,57.92
2014-02-07,59,56.89
2014-02-14,63,56.86
2014-02-21,60,56.78
2014-02-28,65,58.74
2014-03-07,64,58.29
2014-03-14,63,58.93
2014-03-21,65,58.23
2014-03-28,63,59.13
2014-04-04,67,60.44
2014-04-11,76,61.77
2014-04-18,66,
2014-04-25,65,62.18
2014-05-02,65,
