Date,SEE,Price
2004-01-09,52,
2004-01-16,49,
2004-01-23,53,
2004-01-30,53,
2004-02-06,57,49.38
2004-02-13,52,47.48
2004-02-20,52,47.20
2004-02-27,52,49.85
2004-03-05,51,50.46
2004-03-12,50,47.97
2004-03-19,51,48.25
2004-03-26,54,49.07
2004-04-02,52,51.80
2004-04-09,53,
2004-04-16,51,49.55
2004-04-23,55,49.66
2004-04-30,55,49.08
2004-05-07,52,48.14
2004-05-14,59,48.57
2004-05-21,59,49.25
2004-05-28,60,50.27
2004-06-04,55,51.18
2004-06-11,62,
2004-06-18,56,52.80
2004-06-25,57,52.93
2004-07-02,57,51.06
2004-07-09,57,50.19
2004-07-16,58,49.92
2004-07-23,65,47.87
2004-07-30,65,47.44
2004-08-06,68,46.94
2004-08-13,61,47.16
2004-08-20,58,48.35
2004-08-27,59,48.82
2004-09-03,57,49.87
2004-09-10,56,49.70
2004-09-17,53,45.49
2004-09-24,52,45.70
2004-10-01,52,46.55
2004-10-08,51,46.25
2004-10-15,52,45.55
2004-10-22,50,45.50
2004-10-29,51,49.54
2004-11-05,53,52.49
2004-11-12,51,52.83
2004-11-19,51,50.61
2004-11-26,48,51.75
2004-12-03,50,52.57
2004-12-10,49,51.61
2004-12-17,51,51.95
2004-12-24,49,
2004-12-31,51,53.27
2005-01-07,51,50.99
2005-01-14,54,49.36
2005-01-21,54,48.23
2005-01-28,53,47.15
2005-02-04,56,52.25
2005-02-11,55,52.38
2005-02-18,55,53.13
2005-02-25,54,52.93
2005-03-04,53,52.84
2005-03-11,53,51.87
2005-03-18,53,51.66
2005-03-25,59,
2005-04-01,57,52.03
2005-04-08,57,52.92
2005-04-15,54,52.00
2005-04-22,55,50.78
2005-04-29,59,48.44
2005-05-06,61,49.05
2005-05-13,59,47.75
2005-05-20,56,51.70
2005-05-27,64,52.41
2005-06-03,58,51.99
2005-06-10,59,51.42
2005-06-17,63,52.18
2005-06-24,65,49.67
2005-07-01,64,50.04
2005-07-08,60,50.20
2005-07-15,65,50.18
2005-07-22,67,51.40
2005-07-29,65,53.06
2005-08-05,65,53.51
2005-08-12,65,53.31
2005-08-19,61,50.97
2005-08-26,62,50.03
2005-09-02,58,49.99
2005-09-09,56,49.97
2005-09-16,56,48.24
2005-09-23,56,47.00
2005-09-30,55,47.46
2005-10-07,54,46.41
2005-10-14,52,46.69
2005-10-21,54,46.87
2005-10-28,53,49.51
2005-11-04,54,49.75
2005-11-11,53,50.81
2005-11-18,54,51.89
2005-11-25,53,51.68
2005-12-02,54,52.83
2005-12-09,57,52.72
2005-12-16,56,54.26
2005-12-23,56,55.86
2005-12-30,58,56.17
2006-01-06,57,56.49
2006-01-13,60,54.52
2006-01-20,56,54.99
2006-01-27,59,56.00
2006-02-03,60,54.26
2006-02-10,60,54.73
2006-02-17,56,56.07
2006-02-24,58,56.56
2006-03-03,58,57.78
2006-03-10,56,57.16
2006-03-17,56,58.75
2006-03-24,56,57.55
2006-03-31,57,57.87
2006-04-07,58,58.06
2006-04-14,58,
2006-04-21,59,57.85
2006-04-28,60,53.85
2006-05-05,61,56.20
2006-05-12,61,52.72
2006-05-19,65,50.89
2006-05-26,64,51.44
2006-06-02,62,52.38
2006-06-09,61,51.05
2006-06-16,64,52.01
2006-06-23,63,51.28
2006-06-30,64,52.08
2006-07-07,70,50.80
2006-07-14,73,49.34
2006-07-21,78,49.28
2006-07-28,77,46.90
2006-08-04,71,50.00
2006-08-11,67,50.01
2006-08-18,64,51.56
2006-08-25,61,50.98
2006-09-01,60,52.63
2006-09-08,59,52.29
2006-09-15,61,52.95
2006-09-22,59,53.16
2006-09-29,58,54.12
2006-10-06,55,55.58
2006-10-13,57,55.25
2006-10-20,56,55.24
2006-10-27,55,59.09
2006-11-03,55,58.90
2006-11-10,53,60.15
2006-11-17,55,60.80
2006-11-24,52,60.39
2006-12-01,53,59.15
2006-12-08,55,63.09
2006-12-15,56,63.11
2006-12-22,55,63.63
2006-12-29,59,64.92
2007-01-05,62,63.89
2007-01-12,58,65.34
2007-01-19,58,65.70
2007-01-26,57,64.14
2007-02-02,60,65.79
2007-02-09,56,64.08
2007-02-16,58,66.25
2007-02-23,60,66.82
2007-03-02,58,63.04
2007-03-09,59,62.61
2007-03-16,58,63.33
2007-03-23,59,32.55
2007-03-30,58,31.60
2007-04-06,64,
2007-04-13,60,31.87
2007-04-20,58,32.44
2007-04-27,61,33.21
2007-05-04,61,33.07
2007-05-11,60,33.53
2007-05-18,59,33.28
2007-05-25,63,32.17
2007-06-01,63,32.08
2007-06-08,64,31.15
2007-06-15,64,31.18
2007-06-22,61,31.25
2007-06-29,62,31.02
2007-07-06,64,31.33
2007-07-13,67,31.25
2007-07-20,69,29.90
2007-07-27,67,27.11
2007-08-03,64,25.47
2007-08-10,65,26.43
2007-08-17,65,26.91
2007-08-24,62,26.75
2007-08-31,61,26.45
2007-09-07,55,25.44
2007-09-14,58,25.37
2007-09-21,57,26.12
2007-09-28,56,25.56
2007-10-05,56,27.19
2007-10-12,54,26.54
2007-10-19,56,25.35
2007-10-26,53,24.72
2007-11-02,56,24.32
2007-11-09,54,24.19
2007-11-16,56,23.61
2007-11-23,55,23.18
2007-11-30,56,23.37
2007-12-07,56,23.57
2007-12-14,56,23.45
2007-12-21,57,23.51
2007-12-28,59,23.19
2008-01-04,62,21.74
2008-01-11,61,20.37
2008-01-18,61,22.04
2008-01-25,59,23.25
2008-02-01,63,26.41
2008-02-08,64,26.01
2008-02-15,62,25.78
2008-02-22,64,25.21
2008-02-29,62,24.21
2008-03-07,62,24.20
2008-03-14,60,24.66
2008-03-21,62,
2008-03-28,60,25.00
