Date,KSU,Price
2004-01-09,52,
2004-01-16,43,
2004-01-23,25,
2004-01-30,48,
2004-02-06,43,14.64
2004-02-13,30,14.30
2004-02-20,41,14.35
2004-02-27,21,14.05
2004-03-05,51,14.06
2004-03-12,25,14.02
2004-03-19,30,13.66
2004-03-26,24,13.75
2004-04-02,41,14.25
2004-04-09,34,
2004-04-16,37,14.14
2004-04-23,38,14.34
2004-04-30,43,13.85
2004-05-07,42,13.50
2004-05-14,43,13.24
2004-05-21,44,12.67
2004-05-28,41,13.00
2004-06-04,30,13.66
2004-06-11,34,
2004-06-18,38,14.39
2004-06-25,38,14.95
2004-07-02,34,15.25
2004-07-09,34,14.88
2004-07-16,34,14.60
2004-07-23,39,14.47
2004-07-30,41,14.62
2004-08-06,38,13.61
2004-08-13,37,13.59
2004-08-20,33,14.50
2004-08-27,43,15.09
2004-09-03,48,14.97
2004-09-10,60,14.91
2004-09-17,45,15.00
2004-09-24,43,14.49
2004-10-01,42,15.45
2004-10-08,59,16.14
2004-10-15,48,15.85
2004-10-22,48,16.00
2004-10-29,44,16.95
2004-11-05,38,16.57
2004-11-12,50,16.80
2004-11-19,48,16.41
2004-11-26,31,16.64
2004-12-03,42,17.48
2004-12-10,47,16.58
2004-12-17,42,16.73
2004-12-24,40,
2004-12-31,34,17.73
2005-01-07,40,16.19
2005-01-14,39,16.65
2005-01-21,40,16.46
2005-01-28,49,16.93
2005-02-04,43,18.90
2005-02-11,51,19.10
2005-02-18,60,19.66
2005-02-25,46,19.97
2005-03-04,50,19.99
2005-03-11,54,19.55
2005-03-18,49,19.52
2005-03-25,46,
2005-04-01,36,19.96
2005-04-08,46,20.68
2005-04-15,42,18.66
2005-04-22,52,19.61
2005-04-29,54,18.92
2005-05-06,44,19.44
2005-05-13,36,18.61
2005-05-20,38,19.26
2005-05-27,37,19.97
2005-06-03,34,20.20
2005-06-10,50,19.64
2005-06-17,53,20.08
2005-06-24,37,19.90
2005-07-01,29,20.46
2005-07-08,40,21.41
2005-07-15,34,21.56
2005-07-22,46,22.07
2005-07-29,41,22.56
2005-08-05,43,21.79
2005-08-12,46,21.40
2005-08-19,49,20.64
2005-08-26,61,20.16
2005-09-02,51,19.86
2005-09-09,62,20.00
2005-09-16,58,23.06
2005-09-23,53,22.36
2005-09-30,56,23.31
2005-10-07,65,22.50
2005-10-14,48,21.55
2005-10-21,44,21.32
2005-10-28,47,22.16
2005-11-04,43,23.87
2005-11-11,48,23.86
2005-11-18,51,24.63
2005-11-25,38,25.23
2005-12-02,49,25.00
2005-12-09,45,24.61
2005-12-16,49,24.98
2005-12-23,34,24.76
2005-12-30,33,24.43
2006-01-06,51,25.04
2006-01-13,44,25.42
2006-01-20,54,25.35
2006-01-27,73,25.77
2006-02-03,60,24.50
2006-02-10,55,23.50
2006-02-17,52,24.38
2006-02-24,48,23.66
2006-03-03,45,23.56
2006-03-10,37,22.86
2006-03-17,48,23.78
2006-03-24,48,24.50
2006-03-31,37,24.70
2006-04-07,37,23.99
2006-04-14,41,
2006-04-21,41,25.20
2006-04-28,42,24.30
2006-05-05,45,27.44
2006-05-12,43,26.52
2006-05-19,42,25.68
2006-05-26,43,27.69
2006-06-02,41,27.55
2006-06-09,46,25.40
2006-06-16,39,25.96
2006-06-23,49,25.48
2006-06-30,43,27.70
2006-07-07,44,26.16
2006-07-14,39,25.23
2006-07-21,43,23.48
2006-07-28,45,24.30
2006-08-04,49,25.97
2006-08-11,49,25.05
2006-08-18,54,26.67
2006-08-25,59,25.99
2006-09-01,65,26.61
2006-09-08,65,26.15
2006-09-15,59,27.49
2006-09-22,65,26.55
2006-09-29,44,27.31
2006-10-06,53,27.81
2006-10-13,61,28.44
2006-10-20,45,28.77
2006-10-27,45,29.68
2006-11-03,50,27.52
2006-11-10,57,28.61
2006-11-17,61,27.57
2006-11-24,43,27.76
2006-12-01,49,26.69
2006-12-08,53,28.28
2006-12-15,48,28.42
2006-12-22,52,28.13
2006-12-29,46,28.98
2007-01-05,49,28.42
2007-01-12,49,29.72
2007-01-19,52,29.89
2007-01-26,58,29.80
2007-02-02,63,30.57
2007-02-09,63,31.53
2007-02-16,53,34.00
2007-02-23,55,34.04
2007-03-02,48,31.35
2007-03-09,46,33.44
2007-03-16,48,35.09
2007-03-23,38,36.35
2007-03-30,40,35.58
2007-04-06,50,
2007-04-13,48,37.67
2007-04-20,41,39.08
2007-04-27,45,38.59
2007-05-04,54,38.59
2007-05-11,46,38.81
2007-05-18,38,40.10
2007-05-25,38,40.20
2007-06-01,37,42.50
2007-06-08,44,40.84
2007-06-15,63,40.50
2007-06-22,73,38.45
2007-06-29,53,37.54
2007-07-06,43,38.81
2007-07-13,38,39.55
2007-07-20,39,40.28
2007-07-27,38,35.14
2007-08-03,39,33.70
2007-08-10,44,34.31
2007-08-17,53,30.59
2007-08-24,61,31.08
2007-08-31,55,30.39
2007-09-07,63,31.42
2007-09-14,58,30.94
2007-09-21,62,32.59
2007-09-28,62,32.17
2007-10-05,70,34.62
2007-10-12,48,34.76
2007-10-19,53,34.49
2007-10-26,44,37.96
2007-11-02,37,38.20
2007-11-09,46,35.67
2007-11-16,46,33.71
2007-11-23,52,33.08
2007-11-30,54,34.43
2007-12-07,62,36.04
2007-12-14,51,35.50
2007-12-21,44,34.71
2007-12-28,45,34.38
2008-01-04,48,31.06
2008-01-11,49,30.87
2008-01-18,68,30.88
2008-01-25,85,34.20
2008-02-01,100,38.03
2008-02-08,69,37.94
2008-02-15,50,38.30
2008-02-22,48,37.47
2008-02-29,42,35.80
2008-03-07,45,34.56
2008-03-14,43,34.86
2008-03-21,44,
2008-03-28,42,39.37
2008-04-04,42,40.13
2008-04-11,50,39.67
2008-04-18,53,43.45
2008-04-25,52,43.66
2008-05-02,55,46.79
2008-05-09,52,45.90
2008-05-16,52,47.00
2008-05-23,47,46.31
2008-05-30,60,49.96
2008-06-06,68,48.67
2008-06-13,72,47.01
2008-06-20,56,47.52
2008-06-27,50,43.53
2008-07-04,40,
2008-07-11,40,43.88
2008-07-18,50,46.48
2008-07-25,49,48.00
2008-08-01,43,53.30
2008-08-08,46,52.80
2008-08-15,61,50.48
2008-08-22,66,50.53
2008-08-29,66,51.43
2008-09-05,63,46.96
2008-09-12,59,47.22
2008-09-19,57,51.17
2008-09-26,73,47.57
2008-10-03,51,36.17
2008-10-10,56,28.67
2008-10-17,50,30.29
2008-10-24,54,27.01
2008-10-31,52,30.87
2008-11-07,52,28.15
2008-11-14,50,22.74
2008-11-21,46,18.31
2008-11-28,48,21.92
2008-12-05,50,18.81
2008-12-12,56,17.58
2008-12-19,51,19.02
2008-12-26,48,18.47
2009-01-02,50,20.39
2009-01-09,56,21.38
2009-01-16,64,17.79
2009-01-23,56,16.90
2009-01-30,86,18.16
2009-02-06,89,21.46
2009-02-13,85,19.73
2009-02-20,67,18.80
2009-02-27,59,17.69
2009-03-06,57,13.53
2009-03-13,42,14.38
2009-03-20,39,13.52
2009-03-27,47,13.97
2009-04-03,45,14.20
2009-04-10,45,
2009-04-17,47,16.85
2009-04-24,50,16.70
2009-05-01,66,15.39
2009-05-08,63,17.01
2009-05-15,61,14.79
2009-05-22,50,15.77
2009-05-29,44,16.49
2009-06-05,54,15.97
2009-06-12,66,17.94
2009-06-19,76,16.60
2009-06-26,52,16.32
2009-07-03,46,
2009-07-10,47,15.46
2009-07-17,58,18.36
2009-07-24,45,20.35
2009-07-31,47,20.31
2009-08-07,43,23.18
2009-08-14,56,23.33
2009-08-21,65,24.00
2009-08-28,69,24.99
2009-09-04,63,26.00
2009-09-11,52,27.56
2009-09-18,56,28.11
2009-09-25,57,25.91
2009-10-02,74,25.12
2009-10-09,59,27.50
2009-10-16,53,28.66
2009-10-23,55,26.80
2009-10-30,50,24.23
2009-11-06,62,27.93
2009-11-13,54,28.92
2009-11-20,50,28.37
2009-11-27,37,28.36
2009-12-04,41,29.56
2009-12-11,49,29.61
2009-12-18,46,31.68
2009-12-25,49,
2010-01-01,49,
2010-01-08,54,33.86
2010-01-15,50,32.92
2010-01-22,59,31.01
2010-01-29,74,29.70
2010-02-05,83,30.27
2010-02-12,73,32.39
2010-02-19,60,33.92
2010-02-26,52,34.30
2010-03-05,58,35.45
2010-03-12,43,35.75
2010-03-19,59,35.75
2010-03-26,58,36.20
2010-04-02,40,
2010-04-09,41,38.37
2010-04-16,41,38.18
2010-04-23,48,38.28
2010-04-30,58,40.55
2010-05-07,56,35.93
2010-05-14,58,38.85
2010-05-21,41,34.88
2010-05-28,44,38.17
2010-06-04,49,36.75
2010-06-11,62,39.22
2010-06-18,66,41.11
2010-06-25,51,39.29
2010-07-02,42,34.94
2010-07-09,44,37.24
2010-07-16,40,34.72
2010-07-23,41,38.35
2010-07-30,38,36.70
2010-08-06,44,37.75
2010-08-13,54,34.44
2010-08-20,57,33.71
2010-08-27,63,33.77
2010-09-03,77,37.16
2010-09-10,60,38.18
2010-09-17,75,38.56
2010-09-24,71,39.14
