Date,HAS,Price
2004-01-09,41,
2004-01-16,40,
2004-01-23,42,
2004-01-30,46,
2004-02-06,45,20.69
2004-02-13,46,21.82
2004-02-20,43,21.69
2004-02-27,47,21.87
2004-03-05,47,22.57
2004-03-12,44,21.74
2004-03-19,46,22.21
2004-03-26,44,21.24
2004-04-02,46,22.68
2004-04-09,45,
2004-04-16,42,21.87
2004-04-23,45,20.70
2004-04-30,47,18.89
2004-05-07,47,18.50
2004-05-14,45,17.70
2004-05-21,46,19.04
2004-05-28,43,19.66
2004-06-04,40,19.10
2004-06-11,46,
2004-06-18,41,18.95
2004-06-25,41,19.35
2004-07-02,39,18.73
2004-07-09,38,17.98
2004-07-16,39,17.96
2004-07-23,39,17.96
2004-07-30,40,18.17
2004-08-06,41,17.61
2004-08-13,42,17.63
2004-08-20,40,17.88
2004-08-27,40,18.52
2004-09-03,39,18.94
2004-09-10,43,18.92
2004-09-17,44,18.40
2004-09-24,45,18.22
2004-10-01,44,18.97
2004-10-08,48,18.75
2004-10-15,46,18.46
2004-10-22,47,17.40
2004-10-29,47,17.69
2004-11-05,48,18.50
2004-11-12,44,19.00
2004-11-19,46,18.86
2004-11-26,43,18.98
2004-12-03,48,19.06
2004-12-10,49,17.97
2004-12-17,44,18.41
2004-12-24,38,
2004-12-31,34,19.38
2005-01-07,42,18.60
2005-01-14,44,18.66
2005-01-21,44,19.55
2005-01-28,44,18.80
2005-02-04,43,20.40
2005-02-11,46,20.30
2005-02-18,45,20.29
2005-02-25,47,20.93
2005-03-04,45,20.78
2005-03-11,44,20.80
2005-03-18,44,20.52
2005-03-25,45,
2005-04-01,44,20.40
2005-04-08,45,20.33
2005-04-15,45,19.29
2005-04-22,45,18.81
2005-04-29,46,18.92
2005-05-06,47,19.80
2005-05-13,46,19.75
2005-05-20,44,20.79
2005-05-27,44,20.32
2005-06-03,39,20.33
2005-06-10,42,20.03
2005-06-17,41,20.66
2005-06-24,40,20.15
2005-07-01,41,20.85
2005-07-08,38,21.57
2005-07-15,40,21.48
2005-07-22,39,21.30
2005-07-29,39,21.94
2005-08-05,38,21.23
2005-08-12,39,20.90
2005-08-19,40,20.43
2005-08-26,40,20.18
2005-09-02,40,20.39
2005-09-09,41,21.45
2005-09-16,44,21.80
2005-09-23,46,20.27
2005-09-30,43,19.65
2005-10-07,44,19.32
2005-10-14,45,18.72
2005-10-21,44,19.10
2005-10-28,47,18.94
2005-11-04,45,19.21
2005-11-11,46,19.72
2005-11-18,46,20.10
2005-11-25,43,20.63
2005-12-02,47,20.64
2005-12-09,47,20.32
2005-12-16,46,20.29
2005-12-23,41,20.36
2005-12-30,43,20.18
2006-01-06,44,19.99
2006-01-13,47,21.50
2006-01-20,47,21.00
2006-01-27,47,21.52
2006-02-03,47,20.75
2006-02-10,47,20.50
2006-02-17,46,20.26
2006-02-24,47,20.34
2006-03-03,46,20.59
2006-03-10,46,20.85
2006-03-17,45,20.90
2006-03-24,46,20.76
2006-03-31,46,21.10
2006-04-07,46,20.78
2006-04-14,45,
2006-04-21,47,20.93
2006-04-28,48,19.71
2006-05-05,48,19.93
2006-05-12,48,19.87
2006-05-19,46,19.33
2006-05-26,44,18.78
2006-06-02,41,18.84
2006-06-09,43,18.52
2006-06-16,43,18.11
2006-06-23,41,18.01
2006-06-30,40,18.11
2006-07-07,38,18.10
2006-07-14,41,17.51
2006-07-21,41,17.49
2006-07-28,40,19.01
2006-08-04,38,18.81
2006-08-11,39,18.55
2006-08-18,41,19.83
2006-08-25,39,19.57
2006-09-01,39,20.29
2006-09-08,41,20.79
2006-09-15,44,21.89
2006-09-22,44,21.92
2006-09-29,43,22.75
2006-10-06,43,22.62
2006-10-13,44,23.16
2006-10-20,44,23.30
2006-10-27,43,25.10
2006-11-03,44,27.01
2006-11-10,44,26.93
2006-11-17,45,26.83
2006-11-24,42,27.18
2006-12-01,44,26.45
2006-12-08,45,26.53
2006-12-15,43,27.01
2006-12-22,41,27.15
2006-12-29,36,27.25
2007-01-05,41,27.36
2007-01-12,42,27.90
2007-01-19,41,28.29
2007-01-26,42,28.26
2007-02-02,44,28.81
2007-02-09,43,28.38
2007-02-16,43,29.60
2007-02-23,42,29.31
2007-03-02,43,28.78
2007-03-09,44,29.61
