Date,BMY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,28.85
2004-02-13,0,28.90
2004-02-20,0,28.27
2004-02-27,0,27.82
2004-03-05,0,28.23
2004-03-12,0,25.83
2004-03-19,0,25.20
2004-03-26,0,24.13
2004-04-02,0,24.36
2004-04-09,0,
2004-04-16,0,24.88
2004-04-23,0,24.90
2004-04-30,0,25.10
2004-05-07,0,26.00
2004-05-14,0,25.66
2004-05-21,0,25.07
2004-05-28,0,25.27
2004-06-04,0,25.47
2004-06-11,0,
2004-06-18,0,25.30
2004-06-25,0,24.55
2004-07-02,0,24.15
2004-07-09,0,24.08
2004-07-16,0,23.56
2004-07-23,0,23.51
2004-07-30,0,22.90
2004-08-06,0,22.67
2004-08-13,0,22.70
2004-08-20,0,23.46
2004-08-27,0,24.23
2004-09-03,0,23.71
2004-09-10,0,24.00
2004-09-17,0,24.68
2004-09-24,0,24.19
2004-10-01,0,24.14
2004-10-08,0,23.24
2004-10-15,0,23.01
2004-10-22,0,23.38
2004-10-29,0,23.43
2004-11-05,0,23.90
2004-11-12,0,24.36
2004-11-19,0,23.50
2004-11-26,0,23.37
2004-12-03,0,23.93
2004-12-10,0,23.81
2004-12-17,39,25.22
2004-12-24,0,
2004-12-31,0,25.62
2005-01-07,0,24.74
2005-01-14,0,24.43
2005-01-21,0,24.17
2005-01-28,0,23.46
2005-02-04,0,24.12
2005-02-11,0,24.10
2005-02-18,0,24.36
2005-02-25,0,24.93
2005-03-04,0,25.00
2005-03-11,0,24.75
2005-03-18,0,24.43
2005-03-25,0,
2005-04-01,47,24.94
2005-04-08,32,25.27
2005-04-15,32,25.95
2005-04-22,35,25.71
2005-04-29,38,26.00
2005-05-06,33,25.98
2005-05-13,34,25.30
2005-05-20,36,25.73
2005-05-27,37,25.53
2005-06-03,39,25.22
2005-06-10,40,24.99
2005-06-17,47,25.43
2005-06-24,49,25.24
2005-07-01,52,25.20
2005-07-08,41,24.91
2005-07-15,41,25.24
2005-07-22,41,24.95
2005-07-29,41,24.98
2005-08-05,37,24.85
2005-08-12,37,25.00
2005-08-19,0,24.68
2005-08-26,0,23.97
2005-09-02,0,24.46
2005-09-09,0,25.11
2005-09-16,0,25.01
2005-09-23,61,24.20
2005-09-30,29,24.06
2005-10-07,26,23.00
2005-10-14,26,22.31
2005-10-21,26,21.45
2005-10-28,26,21.14
2005-11-04,34,21.32
2005-11-11,34,22.09
2005-11-18,35,22.30
2005-11-25,28,22.26
2005-12-02,30,21.88
2005-12-09,31,21.42
2005-12-16,32,22.02
2005-12-23,39,22.94
2005-12-30,46,22.98
2006-01-06,34,22.78
2006-01-13,34,22.42
2006-01-20,34,22.33
2006-01-27,38,22.99
2006-02-03,33,22.26
2006-02-10,28,22.40
2006-02-17,43,23.08
2006-02-24,33,22.97
2006-03-03,40,22.90
2006-03-10,23,22.91
2006-03-17,31,22.92
2006-03-24,49,25.52
2006-03-31,31,24.61
2006-04-07,39,24.51
2006-04-14,32,
2006-04-21,32,24.80
2006-04-28,27,25.38
2006-05-05,32,25.28
2006-05-12,29,24.29
2006-05-19,38,24.17
2006-05-26,30,24.95
2006-06-02,35,25.27
2006-06-09,27,24.95
2006-06-16,29,25.18
2006-06-23,21,25.51
2006-06-30,29,25.86
2006-07-07,26,25.33
2006-07-14,23,24.56
2006-07-21,23,25.51
2006-07-28,70,24.47
2006-08-04,57,22.75
2006-08-11,60,20.24
2006-08-18,59,21.64
2006-08-25,56,21.68
2006-09-01,41,22.95
2006-09-08,26,23.18
2006-09-15,100,24.92
2006-09-22,37,25.06
2006-09-29,41,24.92
2006-10-06,30,24.42
2006-10-13,35,24.55
2006-10-20,19,24.49
2006-10-27,32,24.69
2006-11-03,40,24.53
2006-11-10,39,24.42
2006-11-17,37,24.80
2006-11-24,18,24.47
2006-12-01,33,24.84
2006-12-08,47,25.35
2006-12-15,27,25.61
2006-12-22,20,26.00
2006-12-29,20,26.32
2007-01-05,38,26.18
2007-01-12,27,26.25
2007-01-19,32,26.63
2007-01-26,37,26.21
2007-02-02,84,28.64
2007-02-09,45,28.52
2007-02-16,49,27.64
2007-02-23,31,27.05
2007-03-02,20,26.42
2007-03-09,23,26.92
2007-03-16,25,26.82
2007-03-23,38,27.60
2007-03-30,36,27.76
2007-04-06,27,
2007-04-13,26,28.32
2007-04-20,36,28.67
2007-04-27,33,29.17
2007-05-04,51,30.02
2007-05-11,37,30.24
2007-05-18,47,30.45
2007-05-25,21,30.05
2007-06-01,29,30.48
2007-06-08,33,29.27
2007-06-15,28,30.76
2007-06-22,43,31.40
2007-06-29,29,31.56
2007-07-06,41,31.55
2007-07-13,44,32.06
2007-07-20,36,31.54
2007-07-27,30,28.64
2007-08-03,34,28.00
2007-08-10,32,28.82
2007-08-17,28,27.66
2007-08-24,37,29.55
2007-08-31,37,29.15
2007-09-07,22,27.81
2007-09-14,29,28.38
2007-09-21,30,29.00
2007-09-28,33,28.82
2007-10-05,35,30.09
2007-10-12,26,29.77
2007-10-19,32,29.32
2007-10-26,34,29.75
2007-11-02,41,28.88
2007-11-09,37,28.29
2007-11-16,30,27.79
2007-11-23,27,28.08
2007-11-30,37,29.63
2007-12-07,53,29.23
2007-12-14,42,28.08
2007-12-21,31,27.98
2007-12-28,29,27.17
2008-01-04,22,25.75
2008-01-11,40,26.48
2008-01-18,32,24.48
2008-01-25,35,22.97
2008-02-01,40,23.96
2008-02-08,25,23.07
2008-02-15,26,23.30
2008-02-22,20,22.53
2008-02-29,32,22.61
2008-03-07,27,21.88
2008-03-14,34,20.64
2008-03-21,20,
2008-03-28,17,21.48
2008-04-04,26,22.19
2008-04-11,26,21.70
2008-04-18,27,22.10
2008-04-25,30,22.15
2008-05-02,28,23.35
2008-05-09,50,21.71
2008-05-16,35,21.94
2008-05-23,25,21.69
2008-05-30,38,22.79
2008-06-06,29,20.88
2008-06-13,33,20.12
2008-06-20,23,19.57
2008-06-27,22,20.30
2008-07-04,33,
2008-07-11,34,21.12
2008-07-18,20,22.23
2008-07-25,37,22.14
2008-08-01,29,21.11
2008-08-08,23,22.31
2008-08-15,32,21.98
2008-08-22,13,22.34
2008-08-29,27,21.34
2008-09-05,17,21.49
2008-09-12,25,22.24
2008-09-19,24,21.00
2008-09-26,34,20.82
2008-10-03,27,20.43
2008-10-10,41,17.56
2008-10-17,42,17.54
2008-10-24,41,17.64
2008-10-31,22,20.55
2008-11-07,18,20.55
2008-11-14,27,19.58
2008-11-21,28,19.11
2008-11-28,27,20.70
2008-12-05,28,21.23
2008-12-12,31,22.51
2008-12-19,32,22.81
2008-12-26,21,23.10
2009-01-02,25,23.88
2009-01-09,25,22.35
2009-01-16,21,22.07
2009-01-23,18,22.39
2009-01-30,29,21.41
2009-02-06,29,23.07
2009-02-13,16,21.75
2009-02-20,27,20.37
2009-02-27,21,18.41
2009-03-06,23,18.35
2009-03-13,27,20.95
2009-03-20,22,20.49
2009-03-27,30,20.66
2009-04-03,35,20.17
2009-04-10,31,
2009-04-17,23,20.67
2009-04-24,20,20.10
2009-05-01,32,19.29
2009-05-08,26,20.40
2009-05-15,25,20.01
2009-05-22,28,20.02
2009-05-29,23,19.92
2009-06-05,21,19.93
2009-06-12,19,19.81
2009-06-19,27,20.58
2009-06-26,20,20.96
2009-07-03,23,
2009-07-10,17,19.37
2009-07-17,20,20.00
2009-07-24,47,21.40
2009-07-31,34,21.74
2009-08-07,31,21.90
2009-08-14,26,21.81
2009-08-21,27,22.57
2009-08-28,25,22.12
2009-09-04,31,22.00
2009-09-11,24,22.30
2009-09-18,30,22.52
2009-09-25,25,22.42
2009-10-02,30,22.26
2009-10-09,27,22.47
2009-10-16,17,22.88
2009-10-23,23,22.24
2009-10-30,23,21.80
2009-11-06,20,22.64
2009-11-13,16,23.18
2009-11-20,36,24.46
2009-11-27,33,25.38
2009-12-04,37,25.14
2009-12-11,36,25.80
2009-12-18,34,25.78
2009-12-25,27,
2010-01-01,21,
2010-01-08,20,24.82
2010-01-15,17,25.07
2010-01-22,27,24.60
2010-01-29,27,24.36
2010-02-05,19,23.97
2010-02-12,20,23.91
2010-02-19,16,24.95
2010-02-26,16,24.51
2010-03-05,26,25.28
2010-03-12,17,25.89
2010-03-19,21,26.01
2010-03-26,18,26.69
2010-04-02,23,
2010-04-09,25,26.25
2010-04-16,21,25.48
2010-04-23,22,24.74
2010-04-30,23,25.31
2010-05-07,25,24.34
2010-05-14,23,23.56
2010-05-21,17,22.96
2010-05-28,17,23.21
2010-06-04,19,22.44
2010-06-11,36,25.08
2010-06-18,19,25.78
2010-06-25,21,25.57
2010-07-02,23,24.69
2010-07-09,19,25.60
2010-07-16,19,25.17
2010-07-23,20,24.65
2010-07-30,19,24.92
2010-08-06,23,26.37
2010-08-13,23,26.32
2010-08-20,17,26.44
2010-08-27,17,26.12
2010-09-03,23,26.58
2010-09-10,24,27.05
2010-09-17,19,27.31
2010-09-24,22,27.62
2010-10-01,23,27.28
2010-10-08,20,27.16
2010-10-15,17,27.20
2010-10-22,17,26.96
2010-10-29,18,26.90
2010-11-05,18,26.69
2010-11-12,11,26.02
2010-11-19,15,25.95
2010-11-26,17,25.55
2010-12-03,14,25.91
2010-12-10,20,26.04
2010-12-17,17,26.49
2010-12-24,18,
2010-12-31,19,26.48
2011-01-07,18,25.80
2011-01-14,16,25.84
2011-01-21,16,26.06
2011-01-28,16,25.79
2011-02-04,20,25.70
2011-02-11,19,25.22
2011-02-18,15,25.49
2011-02-25,19,25.49
2011-03-04,22,26.43
2011-03-11,17,26.41
2011-03-18,14,25.73
2011-03-25,35,27.29
2011-04-01,29,26.46
2011-04-08,21,27.51
2011-04-15,17,27.88
2011-04-22,15,
2011-04-29,17,28.10
2011-05-06,23,28.64
2011-05-13,16,28.81
2011-05-20,18,28.37
2011-05-27,17,28.47
2011-06-03,13,27.98
2011-06-10,17,27.45
2011-06-17,14,27.52
2011-06-24,25,28.93
2011-07-01,18,29.15
2011-07-08,12,29.12
2011-07-15,17,28.97
2011-07-22,20,29.49
2011-07-29,21,28.66
2011-08-05,23,27.43
2011-08-12,31,27.97
2011-08-19,20,27.88
2011-08-26,15,28.72
2011-09-02,18,29.01
2011-09-09,24,29.16
2011-09-16,19,30.53
2011-09-23,29,30.89
2011-09-30,22,31.38
2011-10-07,24,32.38
2011-10-14,16,32.44
2011-10-21,24,32.56
2011-10-28,28,32.09
2011-11-04,21,31.34
2011-11-11,24,31.79
2011-11-18,13,30.81
2011-11-25,18,30.16
2011-12-02,18,32.77
2011-12-09,18,33.54
2011-12-16,19,34.22
2011-12-23,24,35.11
2011-12-30,17,35.24
2012-01-06,19,34.22
2012-01-13,19,33.80
2012-01-20,16,32.65
2012-01-27,20,32.29
2012-02-03,16,32.26
2012-02-10,18,31.90
2012-02-17,15,33.12
2012-02-24,17,32.60
2012-03-02,21,32.59
2012-03-09,15,32.91
2012-03-16,20,33.18
2012-03-23,17,32.96
2012-03-30,16,33.75
2012-04-06,18,
2012-04-13,14,32.54
2012-04-20,22,34.23
2012-04-27,23,33.32
2012-05-04,14,33.37
2012-05-11,18,33.11
2012-05-18,17,32.72
2012-05-25,21,33.09
2012-06-01,19,33.33
2012-06-08,21,34.37
2012-06-15,14,34.23
2012-06-22,16,35.36
2012-06-29,23,35.95
2012-07-06,19,34.61
2012-07-13,20,35.37
2012-07-20,17,35.42
2012-07-27,20,36.05
2012-08-03,32,32.64
2012-08-10,25,31.73
2012-08-17,21,31.57
2012-08-24,25,32.57
2012-08-31,20,33.01
2012-09-07,19,33.30
2012-09-14,16,33.24
2012-09-21,21,33.61
2012-09-28,22,33.75
2012-10-05,20,33.64
2012-10-12,18,33.09
2012-10-19,15,33.81
2012-10-26,18,33.62
2012-11-02,17,33.18
2012-11-09,17,32.23
2012-11-16,20,31.71
2012-11-23,14,32.62
2012-11-30,15,32.63
2012-12-07,14,32.56
2012-12-14,11,32.73
2012-12-21,16,32.56
2012-12-28,15,31.90
2013-01-04,17,33.35
2013-01-11,19,34.13
2013-01-18,17,34.46
2013-01-25,20,36.69
2013-02-01,21,36.91
2013-02-08,19,37.03
2013-02-15,15,36.58
2013-02-22,18,36.90
2013-03-01,15,37.15
2013-03-08,21,37.40
2013-03-15,18,38.96
2013-03-22,19,40.39
2013-03-29,23,
2013-04-05,30,40.61
2013-04-12,24,41.42
2013-04-19,23,41.15
2013-04-26,25,40.28
2013-05-03,24,40.20
2013-05-10,19,40.49
2013-05-17,35,43.30
2013-05-24,30,47.40
2013-05-31,26,46.01
2013-06-07,31,47.50
2013-06-14,27,46.80
2013-06-21,28,45.73
2013-06-28,25,44.69
2013-07-05,20,44.18
2013-07-12,21,45.81
2013-07-19,25,44.19
2013-07-26,23,44.22
2013-08-02,24,43.84
2013-08-09,21,43.69
2013-08-16,22,41.68
2013-08-23,17,42.24
2013-08-30,15,41.69
2013-09-06,15,41.89
2013-09-13,16,43.56
2013-09-20,23,46.78
2013-09-27,22,46.20
2013-10-04,21,47.52
2013-10-11,23,47.68
2013-10-18,24,49.72
2013-10-25,23,48.77
2013-11-01,34,52.48
2013-11-08,26,52.35
2013-11-15,26,52.42
2013-11-22,25,53.41
2013-11-29,19,51.38
2013-12-06,20,50.68
2013-12-13,23,50.73
2013-12-20,34,53.37
2013-12-27,18,53.15
2014-01-03,24,52.85
2014-01-10,26,56.18
2014-01-17,26,54.36
2014-01-24,30,50.94
2014-01-31,27,49.97
2014-02-07,26,50.33
2014-02-14,27,54.37
2014-02-21,26,54.14
2014-02-28,23,53.77
2014-03-07,24,55.83
2014-03-14,23,54.00
2014-03-21,22,52.06
2014-03-28,22,51.82
2014-04-04,18,49.89
2014-04-11,23,48.83
2014-04-18,24,
2014-04-25,23,50.50
2014-05-02,23,
