Date,CBG,Price
2004-01-09,42,
2004-01-16,32,
2004-01-23,43,
2004-01-30,41,
2004-02-06,31,
2004-02-13,41,
2004-02-20,31,
2004-02-27,26,
2004-03-05,47,
2004-03-12,27,
2004-03-19,27,
2004-03-26,28,
2004-04-02,29,
2004-04-09,31,
2004-04-16,34,
2004-04-23,37,
2004-04-30,39,
2004-05-07,22,
2004-05-14,47,
2004-05-21,47,
2004-05-28,47,
2004-06-04,33,
2004-06-11,26,
2004-06-18,40,19.03
2004-06-25,46,19.00
2004-07-02,26,19.15
2004-07-09,43,19.00
2004-07-16,54,18.90
2004-07-23,28,18.90
2004-07-30,36,18.94
2004-08-06,24,19.42
2004-08-13,24,19.20
2004-08-20,21,19.40
2004-08-27,41,19.33
2004-09-03,42,20.60
2004-09-10,40,22.36
2004-09-17,28,22.00
2004-09-24,28,22.60
2004-10-01,29,23.51
2004-10-08,37,24.90
2004-10-15,32,24.12
2004-10-22,32,25.02
2004-10-29,30,25.90
2004-11-05,30,26.80
2004-11-12,39,26.40
2004-11-19,38,25.78
2004-11-26,38,26.90
2004-12-03,39,30.80
2004-12-10,32,29.91
2004-12-17,27,29.80
2004-12-24,31,
2004-12-31,37,33.55
2005-01-07,44,32.20
2005-01-14,38,33.95
2005-01-21,41,33.53
2005-01-28,29,33.46
2005-02-04,49,37.04
2005-02-11,36,37.90
2005-02-18,52,37.00
2005-02-25,38,36.40
2005-03-04,27,37.00
2005-03-11,38,34.56
2005-03-18,23,34.94
2005-03-25,41,
2005-04-01,25,34.88
2005-04-08,60,34.18
2005-04-15,43,32.74
2005-04-22,40,34.41
2005-04-29,42,34.75
2005-05-06,31,34.38
2005-05-13,37,33.60
2005-05-20,45,37.20
2005-05-27,24,38.88
2005-06-03,60,38.54
2005-06-10,38,38.95
2005-06-17,53,40.13
2005-06-24,46,42.35
2005-07-01,33,43.13
2005-07-08,43,44.42
2005-07-15,40,42.15
2005-07-22,29,42.55
2005-07-29,45,46.04
2005-08-05,35,46.86
2005-08-12,44,47.70
2005-08-19,39,46.20
2005-08-26,45,43.30
2005-09-02,41,48.59
2005-09-09,31,49.48
2005-09-16,44,47.06
2005-09-23,35,45.39
2005-09-30,40,49.20
2005-10-07,43,47.10
2005-10-14,46,48.30
2005-10-21,45,45.87
2005-10-28,45,46.92
2005-11-04,40,54.05
2005-11-11,33,53.50
2005-11-18,34,53.33
2005-11-25,44,56.65
2005-12-02,28,55.49
2005-12-09,29,53.01
2005-12-16,49,57.95
2005-12-23,41,58.39
2005-12-30,23,58.85
2006-01-06,32,62.20
2006-01-13,43,61.35
2006-01-20,45,61.96
2006-01-27,44,62.99
2006-02-03,47,68.26
2006-02-10,45,65.12
2006-02-17,41,69.95
