Date,CVS,Price
2004-01-09,66,
2004-01-16,63,
2004-01-23,67,
2004-01-30,69,
2004-02-06,70,36.12
2004-02-13,65,37.50
2004-02-20,65,36.48
2004-02-27,71,37.50
2004-03-05,63,37.14
2004-03-12,67,35.30
2004-03-19,60,34.56
2004-03-26,59,35.00
2004-04-02,59,34.78
2004-04-09,69,
2004-04-16,60,37.61
2004-04-23,62,38.94
2004-04-30,60,38.63
2004-05-07,60,40.94
2004-05-14,60,40.18
2004-05-21,64,39.86
2004-05-28,65,41.68
2004-06-04,60,41.91
2004-06-11,66,
2004-06-18,60,41.96
2004-06-25,67,41.34
2004-07-02,67,41.66
2004-07-09,64,43.07
2004-07-16,66,42.48
2004-07-23,62,41.96
2004-07-30,66,41.87
2004-08-06,67,39.28
2004-08-13,62,39.15
2004-08-20,65,40.01
2004-08-27,63,40.67
2004-09-03,59,40.65
2004-09-10,60,40.35
2004-09-17,67,41.07
2004-09-24,62,42.28
2004-10-01,60,43.26
2004-10-08,64,42.72
2004-10-15,59,43.25
2004-10-22,64,42.28
2004-10-29,61,43.46
2004-11-05,59,46.20
2004-11-12,61,46.35
2004-11-19,60,45.80
2004-11-26,53,45.73
2004-12-03,60,45.76
2004-12-10,61,45.14
2004-12-17,62,44.16
2004-12-24,60,
2004-12-31,52,45.07
2005-01-07,58,45.75
2005-01-14,60,47.00
2005-01-21,61,45.89
2005-01-28,62,45.82
2005-02-04,62,49.85
2005-02-11,61,49.90
2005-02-18,63,48.63
2005-02-25,62,49.87
2005-03-04,59,52.58
2005-03-11,60,52.85
2005-03-18,61,52.85
2005-03-25,51,
2005-04-01,52,51.56
2005-04-08,52,51.65
2005-04-15,55,51.86
2005-04-22,59,50.50
2005-04-29,56,51.58
2005-05-06,57,53.67
2005-05-13,57,53.71
2005-05-20,61,55.00
2005-05-27,62,54.96
2005-06-03,56,57.27
2005-06-10,63,29.03
2005-06-17,61,29.54
2005-06-24,63,28.70
2005-07-01,60,29.05
2005-07-08,58,30.26
2005-07-15,59,30.56
2005-07-22,59,30.42
2005-07-29,60,31.03
2005-08-05,60,29.93
2005-08-12,62,29.52
2005-08-19,58,28.85
2005-08-26,58,28.98
2005-09-02,57,28.97
2005-09-09,57,29.49
2005-09-16,56,29.85
2005-09-23,57,28.48
2005-09-30,57,29.01
2005-10-07,57,25.58
2005-10-14,58,24.98
2005-10-21,59,26.13
2005-10-28,59,25.12
2005-11-04,59,27.02
2005-11-11,56,27.08
2005-11-18,61,26.92
2005-11-25,54,27.96
2005-12-02,60,27.28
2005-12-09,59,27.91
2005-12-16,58,28.26
2005-12-23,59,27.14
2005-12-30,50,26.42
2006-01-06,52,27.14
2006-01-13,55,26.75
2006-01-20,52,27.13
2006-01-27,57,28.07
2006-02-03,55,29.23
2006-02-10,56,27.90
2006-02-17,56,28.60
2006-02-24,54,28.21
2006-03-03,53,28.70
2006-03-10,51,30.40
2006-03-17,53,29.60
2006-03-24,51,29.05
2006-03-31,49,29.87
2006-04-07,51,31.18
2006-04-14,53,
2006-04-21,53,29.38
2006-04-28,50,29.72
2006-05-05,49,30.96
2006-05-12,51,29.26
2006-05-19,51,28.62
2006-05-26,52,28.59
2006-06-02,49,29.24
2006-06-09,52,29.21
2006-06-16,53,30.19
2006-06-23,50,29.20
2006-06-30,52,30.70
2006-07-07,49,30.46
2006-07-14,52,31.68
2006-07-21,53,31.99
2006-07-28,58,32.59
2006-08-04,54,33.80
2006-08-11,53,33.97
2006-08-18,50,33.87
2006-08-25,52,32.96
2006-09-01,52,33.96
2006-09-08,52,35.50
2006-09-15,52,34.74
2006-09-22,53,33.03
2006-09-29,52,32.12
2006-10-06,52,29.32
2006-10-13,53,31.09
2006-10-20,54,30.69
2006-10-27,53,31.20
2006-11-03,55,28.79
2006-11-10,53,28.96
2006-11-17,53,29.07
2006-11-24,49,27.97
2006-12-01,53,28.67
2006-12-08,54,30.23
2006-12-15,56,30.52
2006-12-22,60,31.25
2006-12-29,48,30.91
2007-01-05,48,31.17
2007-01-12,49,31.94
2007-01-19,50,33.28
2007-01-26,51,32.97
2007-02-02,50,33.19
2007-02-09,51,32.91
2007-02-16,50,32.73
2007-02-23,51,32.48
2007-03-02,48,30.94
2007-03-09,50,32.60
2007-03-16,48,32.94
2007-03-23,47,34.57
2007-03-30,49,34.14
2007-04-06,49,
2007-04-13,48,35.13
2007-04-20,47,34.97
2007-04-27,48,36.73
2007-05-04,48,35.94
2007-05-11,49,37.31
2007-05-18,48,38.46
2007-05-25,51,39.08
2007-06-01,47,38.55
2007-06-08,51,37.86
2007-06-15,52,37.63
2007-06-22,51,36.55
2007-06-29,50,36.45
2007-07-06,49,36.76
2007-07-13,51,36.36
2007-07-20,51,35.66
2007-07-27,49,35.14
2007-08-03,49,36.43
2007-08-10,50,38.00
2007-08-17,49,36.82
2007-08-24,48,36.80
2007-08-31,48,37.82
2007-09-07,48,37.19
2007-09-14,50,37.83
2007-09-21,50,37.83
2007-09-28,46,39.63
2007-10-05,48,38.94
