Date,TIF,Price
2004-01-09,75,
2004-01-16,93,
2004-01-23,79,
2004-01-30,90,
2004-02-06,80,39.80
2004-02-13,83,38.97
2004-02-20,85,39.33
2004-02-27,85,42.05
2004-03-05,97,42.70
2004-03-12,75,39.55
2004-03-19,92,38.25
2004-03-26,86,38.43
2004-04-02,100,39.04
2004-04-09,98,
2004-04-16,82,39.37
2004-04-23,77,41.32
2004-04-30,75,39.00
2004-05-07,80,36.89
2004-05-14,85,33.49
2004-05-21,80,33.54
2004-05-28,76,35.37
2004-06-04,96,36.15
2004-06-11,80,
2004-06-18,85,37.73
2004-06-25,75,37.89
2004-07-02,85,35.76
2004-07-09,86,35.12
2004-07-16,83,35.48
2004-07-23,80,34.61
2004-07-30,70,35.75
2004-08-06,80,31.43
2004-08-13,79,27.70
2004-08-20,84,29.52
2004-08-27,79,30.99
2004-09-03,86,31.46
2004-09-10,74,31.34
2004-09-17,70,31.64
2004-09-24,75,31.62
2004-10-01,86,31.22
2004-10-08,96,29.50
2004-10-15,86,28.77
2004-10-22,91,28.27
2004-10-29,78,29.33
2004-11-05,75,32.41
2004-11-12,74,31.19
2004-11-19,75,31.16
2004-11-26,66,32.23
2004-12-03,83,31.11
2004-12-10,84,29.87
2004-12-17,71,30.68
2004-12-24,73,
2004-12-31,56,31.97
2005-01-07,66,31.50
2005-01-14,78,31.53
2005-01-21,77,31.58
2005-01-28,66,31.50
2005-02-04,77,30.83
2005-02-11,79,31.18
2005-02-18,75,31.14
2005-02-25,80,30.92
2005-03-04,86,31.21
2005-03-11,80,31.11
2005-03-18,78,33.16
2005-03-25,75,
2005-04-01,77,33.69
2005-04-08,68,33.28
2005-04-15,74,31.87
2005-04-22,77,31.04
2005-04-29,71,30.15
2005-05-06,68,30.49
2005-05-13,73,29.30
2005-05-20,71,30.81
2005-05-27,75,31.60
2005-06-03,71,32.01
2005-06-10,69,32.86
2005-06-17,69,33.02
2005-06-24,71,32.35
2005-07-01,73,32.86
2005-07-08,67,33.35
2005-07-15,66,33.95
2005-07-22,68,34.15
2005-07-29,68,34.03
2005-08-05,76,33.88
2005-08-12,65,35.13
2005-08-19,68,34.20
2005-08-26,67,34.24
2005-09-02,69,36.80
2005-09-09,68,38.45
2005-09-16,71,37.76
2005-09-23,64,37.60
2005-09-30,69,39.77
2005-10-07,69,39.48
2005-10-14,65,38.88
2005-10-21,71,38.00
2005-10-28,73,38.35
2005-11-04,62,41.05
2005-11-11,62,41.56
2005-11-18,63,42.87
2005-11-25,63,43.28
2005-12-02,66,41.06
2005-12-09,61,40.22
2005-12-16,60,39.17
2005-12-23,62,39.16
2005-12-30,48,38.29
2006-01-06,52,38.95
2006-01-13,60,39.89
2006-01-20,64,39.45
2006-01-27,62,38.32
2006-02-03,63,36.37
2006-02-10,65,36.36
2006-02-17,56,37.20
2006-02-24,70,37.23
2006-03-03,59,36.79
2006-03-10,66,36.45
2006-03-17,64,39.15
2006-03-24,65,39.00
2006-03-31,56,37.54
2006-04-07,57,36.00
2006-04-14,60,
2006-04-21,64,36.49
2006-04-28,58,34.89
2006-05-05,53,34.06
2006-05-12,68,33.00
2006-05-19,56,32.73
2006-05-26,53,32.92
2006-06-02,55,34.39
2006-06-09,55,34.33
2006-06-16,60,33.25
2006-06-23,56,32.74
2006-06-30,51,33.02
2006-07-07,53,32.60
2006-07-14,62,30.73
2006-07-21,59,30.47
2006-07-28,61,31.31
2006-08-04,56,31.24
2006-08-11,49,30.45
2006-08-18,55,32.90
2006-08-25,54,30.80
2006-09-01,59,31.71
2006-09-08,52,31.53
2006-09-15,55,34.95
2006-09-22,57,32.85
2006-09-29,52,33.20
2006-10-06,56,34.46
2006-10-13,54,35.57
2006-10-20,61,35.47
2006-10-27,59,35.88
2006-11-03,50,35.13
2006-11-10,56,35.99
2006-11-17,53,36.54
2006-11-24,49,37.32
2006-12-01,54,38.43
2006-12-08,54,39.44
2006-12-15,58,38.64
2006-12-22,53,40.28
2006-12-29,44,39.24
2007-01-05,46,38.51
2007-01-12,53,39.70
2007-01-19,48,40.04
2007-01-26,55,38.55
2007-02-02,56,39.75
2007-02-09,51,41.42
2007-02-16,52,42.61
2007-02-23,56,42.86
2007-03-02,48,42.92
2007-03-09,52,43.70
2007-03-16,51,42.71
2007-03-23,52,45.50
2007-03-30,53,45.48
2007-04-06,53,
2007-04-13,51,48.75
2007-04-20,49,48.60
2007-04-27,51,48.45
2007-05-04,48,49.28
2007-05-11,53,50.04
2007-05-18,53,51.27
2007-05-25,49,52.08
2007-06-01,53,51.93
2007-06-08,53,49.75
2007-06-15,59,49.30
2007-06-22,52,49.98
2007-06-29,58,53.06
2007-07-06,50,55.76
2007-07-13,54,56.06
2007-07-20,50,54.16
2007-07-27,52,47.96
2007-08-03,51,48.52
2007-08-10,50,44.68
2007-08-17,46,42.40
2007-08-24,57,45.22
2007-08-31,51,51.33
2007-09-07,50,49.29
2007-09-14,51,52.17
2007-09-21,58,51.90
2007-09-28,54,52.35
2007-10-05,51,56.10
2007-10-12,55,54.24
2007-10-19,60,55.35
2007-10-26,55,54.35
2007-11-02,53,49.70
2007-11-09,54,43.92
2007-11-16,54,47.12
2007-11-23,52,47.99
2007-11-30,57,46.43
2007-12-07,56,47.30
2007-12-14,57,44.93
2007-12-21,57,46.31
2007-12-28,44,46.12
2008-01-04,36,41.38
2008-01-11,59,35.80
2008-01-18,56,37.49
2008-01-25,52,37.26
2008-02-01,59,40.86
2008-02-08,54,39.86
2008-02-15,60,38.52
2008-02-22,58,37.32
2008-02-29,55,37.64
2008-03-07,59,37.48
2008-03-14,52,37.75
2008-03-21,54,
2008-03-28,61,41.15
2008-04-04,54,43.06
2008-04-11,56,40.86
2008-04-18,57,42.01
2008-04-25,57,44.47
2008-05-02,50,44.27
2008-05-09,51,42.43
2008-05-16,56,48.20
2008-05-23,52,46.11
2008-05-30,56,49.03
2008-06-06,55,45.60
2008-06-13,58,46.67
2008-06-20,51,45.16
2008-06-27,51,42.10
2008-07-04,54,
2008-07-11,52,37.03
2008-07-18,56,39.64
2008-07-25,50,37.24
2008-08-01,47,37.00
2008-08-08,50,41.23
2008-08-15,52,41.59
2008-08-22,56,39.96
2008-08-29,58,44.17
2008-09-05,58,43.00
2008-09-12,51,42.07
2008-09-19,55,38.07
2008-09-26,52,36.73
2008-10-03,50,32.34
2008-10-10,53,28.76
2008-10-17,58,27.52
2008-10-24,55,22.68
2008-10-31,56,27.45
2008-11-07,53,23.02
2008-11-14,51,20.31
2008-11-21,55,19.48
2008-11-28,52,19.79
2008-12-05,52,23.70
2008-12-12,55,22.81
2008-12-19,52,24.53
2008-12-26,47,22.42
2009-01-02,34,25.54
2009-01-09,52,22.40
2009-01-16,50,22.84
2009-01-23,52,21.18
2009-01-30,49,20.75
2009-02-06,53,22.89
2009-02-13,53,20.18
2009-02-20,58,19.75
2009-02-27,55,19.04
2009-03-06,53,17.21
2009-03-13,53,19.68
2009-03-20,53,20.23
2009-03-27,55,22.41
2009-04-03,52,23.45
2009-04-10,49,
2009-04-17,48,26.91
2009-04-24,49,28.71
2009-05-01,48,28.10
2009-05-08,52,28.78
2009-05-15,54,25.48
2009-05-22,53,26.42
2009-05-29,51,28.37
2009-06-05,47,29.76
2009-06-12,50,27.29
2009-06-19,55,26.09
2009-06-26,51,25.66
2009-07-03,48,
2009-07-10,48,24.62
2009-07-17,46,27.95
2009-07-24,48,29.87
2009-07-31,48,29.83
2009-08-07,42,31.61
2009-08-14,47,31.49
2009-08-21,46,32.10
2009-08-28,47,37.57
2009-09-04,44,36.04
2009-09-11,49,37.35
2009-09-18,46,38.76
2009-09-25,44,36.15
2009-10-02,48,37.71
2009-10-09,48,40.88
2009-10-16,44,41.90
