Date,SCHW,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,12.49
2004-02-13,0,12.60
2004-02-20,0,12.59
2004-02-27,0,12.24
2004-03-05,0,12.16
2004-03-12,0,11.39
2004-03-19,0,11.31
2004-03-26,0,11.26
2004-04-02,0,11.93
2004-04-09,0,
2004-04-16,0,10.99
2004-04-23,0,10.96
2004-04-30,0,10.29
2004-05-07,0,9.93
2004-05-14,0,9.69
2004-05-21,0,9.54
2004-05-28,0,9.80
2004-06-04,0,9.32
2004-06-11,0,
2004-06-18,0,9.26
2004-06-25,0,9.80
2004-07-02,0,9.36
2004-07-09,0,8.79
2004-07-16,0,8.40
2004-07-23,0,8.57
2004-07-30,0,8.78
2004-08-06,0,8.32
2004-08-13,0,8.60
2004-08-20,90,9.93
2004-08-27,78,9.76
2004-09-03,78,9.35
2004-09-10,78,9.62
2004-09-17,78,9.24
2004-09-24,78,9.10
2004-10-01,0,9.22
2004-10-08,0,8.70
2004-10-15,0,8.97
2004-10-22,0,8.81
2004-10-29,0,9.15
2004-11-05,83,9.72
2004-11-12,0,10.43
2004-11-19,0,10.29
2004-11-26,0,10.91
2004-12-03,0,10.90
2004-12-10,0,11.26
2004-12-17,0,11.75
2004-12-24,0,
2004-12-31,0,11.96
2005-01-07,0,11.47
2005-01-14,0,11.12
2005-01-21,0,10.95
2005-01-28,0,11.10
2005-02-04,0,10.38
2005-02-11,0,10.77
2005-02-18,0,10.73
2005-02-25,0,10.72
2005-03-04,70,10.93
2005-03-11,67,10.90
2005-03-18,79,10.46
2005-03-25,86,
2005-04-01,58,10.45
2005-04-08,59,10.59
2005-04-15,59,10.12
2005-04-22,60,9.90
2005-04-29,61,10.35
2005-05-06,61,10.33
2005-05-13,58,10.90
2005-05-20,0,11.54
2005-05-27,0,11.33
2005-06-03,0,11.68
2005-06-10,0,11.72
2005-06-17,0,11.73
2005-06-24,66,11.60
2005-07-01,78,11.33
2005-07-08,71,12.50
2005-07-15,71,12.74
2005-07-22,71,13.81
2005-07-29,64,13.70
2005-08-05,64,13.28
2005-08-12,64,13.86
2005-08-19,64,14.13
2005-08-26,55,13.47
2005-09-02,55,13.41
2005-09-09,51,13.70
2005-09-16,51,14.35
2005-09-23,49,14.15
2005-09-30,49,14.43
2005-10-07,75,13.97
2005-10-14,100,13.13
2005-10-21,82,13.78
2005-10-28,78,14.60
2005-11-04,78,15.12
2005-11-11,78,16.00
2005-11-18,60,14.96
2005-11-25,53,15.38
2005-12-02,65,15.61
2005-12-09,78,14.96
2005-12-16,46,15.09
2005-12-23,55,15.00
2005-12-30,63,14.67
2006-01-06,71,16.04
2006-01-13,67,15.22
2006-01-20,67,14.49
2006-01-27,67,14.87
2006-02-03,68,14.60
2006-02-10,69,14.55
2006-02-17,40,16.12
2006-02-24,94,16.56
2006-03-03,60,16.70
2006-03-10,89,16.34
2006-03-17,50,18.13
2006-03-24,46,17.39
2006-03-31,69,17.21
2006-04-07,58,18.00
2006-04-14,41,
2006-04-21,48,17.87
2006-04-28,69,17.90
2006-05-05,39,18.45
2006-05-12,57,17.23
2006-05-19,59,16.65
2006-05-26,57,16.85
2006-06-02,46,16.97
2006-06-09,50,16.16
2006-06-16,70,15.52
2006-06-23,88,15.34
2006-06-30,48,15.98
2006-07-07,48,15.28
2006-07-14,54,14.62
2006-07-21,66,14.70
2006-07-28,50,15.86
2006-08-04,38,16.21
2006-08-11,48,15.86
2006-08-18,45,16.38
2006-08-25,57,15.98
2006-09-01,38,16.48
2006-09-08,73,16.28
2006-09-15,58,17.51
2006-09-22,89,17.22
2006-09-29,69,17.91
2006-10-06,69,18.21
2006-10-13,58,17.56
2006-10-20,60,16.85
2006-10-27,41,17.81
2006-11-03,50,18.04
2006-11-10,64,18.18
2006-11-17,65,18.56
2006-11-24,58,18.99
2006-12-01,32,18.02
2006-12-08,53,19.27
2006-12-15,74,19.33
2006-12-22,61,18.95
2006-12-29,68,19.34
2007-01-05,52,19.20
2007-01-12,61,20.35
2007-01-19,49,19.05
2007-01-26,55,18.78
2007-02-02,38,19.33
2007-02-09,55,18.70
2007-02-16,46,19.53
2007-02-23,49,19.23
2007-03-02,51,18.11
2007-03-09,51,18.40
2007-03-16,62,17.97
2007-03-23,54,19.00
2007-03-30,54,18.29
2007-04-06,48,
2007-04-13,60,19.01
2007-04-20,70,19.42
2007-04-27,62,19.61
2007-05-04,63,19.51
2007-05-11,39,19.42
2007-05-18,51,20.97
2007-05-25,62,21.09
2007-06-01,60,22.69
2007-06-08,56,21.73
2007-06-15,48,21.80
2007-06-22,44,20.65
2007-06-29,64,20.52
2007-07-06,76,22.06
2007-07-13,58,22.22
2007-07-20,85,20.03
2007-07-27,62,19.61
2007-08-03,58,18.65
2007-08-10,37,18.55
2007-08-17,58,19.66
2007-08-24,57,19.95
2007-08-31,68,19.80
2007-09-07,43,18.98
2007-09-14,56,19.95
2007-09-21,64,20.87
2007-09-28,41,21.60
2007-10-05,45,22.83
2007-10-12,47,22.68
2007-10-19,61,21.60
2007-10-26,42,22.75
2007-11-02,52,22.81
2007-11-09,57,22.23
2007-11-16,27,23.58
2007-11-23,47,23.56
2007-11-30,52,24.31
2007-12-07,83,24.53
2007-12-14,68,24.25
2007-12-21,71,24.88
2007-12-28,57,25.12
2008-01-04,45,23.95
2008-01-11,46,22.55
2008-01-18,58,21.95
2008-01-25,47,21.21
2008-02-01,38,22.04
2008-02-08,41,19.76
2008-02-15,35,20.35
2008-02-22,50,20.05
2008-02-29,67,19.61
2008-03-07,35,19.04
2008-03-14,47,19.79
2008-03-21,54,
2008-03-28,38,18.04
2008-04-04,61,19.04
2008-04-11,51,18.33
2008-04-18,61,21.70
2008-04-25,37,21.94
2008-05-02,63,22.65
2008-05-09,59,21.47
2008-05-16,51,22.51
2008-05-23,57,21.34
2008-05-30,46,22.18
2008-06-06,50,21.70
2008-06-13,35,22.39
2008-06-20,43,21.45
2008-06-27,37,20.72
2008-07-04,29,
2008-07-11,38,19.72
2008-07-18,48,22.64
2008-07-25,55,22.09
2008-08-01,52,22.78
2008-08-08,54,22.82
2008-08-15,52,23.17
2008-08-22,33,23.73
2008-08-29,45,23.99
2008-09-05,43,24.09
2008-09-12,49,23.97
2008-09-19,65,25.25
2008-09-26,66,24.32
2008-10-03,59,22.49
2008-10-10,42,20.20
2008-10-17,56,21.00
2008-10-24,49,16.29
2008-10-31,65,19.12
2008-11-07,50,18.67
2008-11-14,55,16.61
2008-11-21,48,16.69
2008-11-28,38,18.33
2008-12-05,48,18.37
2008-12-12,44,16.71
2008-12-19,50,15.14
2008-12-26,39,15.23
2009-01-02,40,16.18
2009-01-09,34,15.46
2009-01-16,66,14.84
2009-01-23,49,14.65
2009-01-30,61,13.59
2009-02-06,61,14.55
2009-02-13,37,13.06
2009-02-20,38,13.00
2009-02-27,40,12.71
2009-03-06,39,11.36
2009-03-13,42,14.09
2009-03-20,43,13.71
2009-03-27,45,15.15
2009-04-03,47,16.37
2009-04-10,46,
2009-04-17,33,17.61
2009-04-24,43,17.84
2009-05-01,42,18.06
2009-05-08,37,18.74
2009-05-15,42,16.91
2009-05-22,40,16.97
2009-05-29,41,17.60
2009-06-05,40,18.12
2009-06-12,42,18.08
2009-06-19,30,17.92
2009-06-26,41,17.81
2009-07-03,33,
2009-07-10,39,16.47
2009-07-17,33,17.08
2009-07-24,33,16.60
2009-07-31,43,17.87
2009-08-07,42,19.45
2009-08-14,32,18.26
2009-08-21,34,18.01
2009-08-28,40,17.73
2009-09-04,35,18.10
2009-09-11,31,17.94
2009-09-18,50,17.61
2009-09-25,39,18.45
2009-10-02,32,18.73
2009-10-09,24,19.49
2009-10-16,59,18.21
2009-10-23,32,17.94
2009-10-30,34,17.34
2009-11-06,44,17.13
2009-11-13,36,18.25
2009-11-20,37,18.25
2009-11-27,44,17.74
2009-12-04,38,18.55
2009-12-11,34,18.43
2009-12-18,44,18.18
2009-12-25,36,
2010-01-01,27,
2010-01-08,46,19.16
2010-01-15,36,19.00
2010-01-22,40,18.82
2010-01-29,43,18.29
2010-02-05,39,18.07
2010-02-12,37,17.61
2010-02-19,37,18.73
2010-02-26,24,18.31
2010-03-05,27,18.96
2010-03-12,35,18.43
2010-03-19,26,18.58
2010-03-26,43,18.76
2010-04-02,27,
2010-04-09,45,19.23
2010-04-16,46,18.96
2010-04-23,38,19.88
2010-04-30,47,19.29
2010-05-07,30,17.22
2010-05-14,44,16.87
2010-05-21,46,16.67
2010-05-28,42,16.34
2010-06-04,38,16.31
2010-06-11,35,16.32
2010-06-18,33,15.45
2010-06-25,44,14.94
2010-07-02,28,13.94
2010-07-09,46,14.24
2010-07-16,35,15.14
2010-07-23,39,15.22
2010-07-30,44,14.79
2010-08-06,33,15.28
2010-08-13,36,14.52
2010-08-20,34,14.13
2010-08-27,44,13.22
2010-09-03,32,13.86
2010-09-10,31,13.67
2010-09-17,35,13.73
2010-09-24,46,13.97
2010-10-01,37,14.13
2010-10-08,39,14.20
2010-10-15,48,14.51
2010-10-22,52,14.98
2010-10-29,46,15.41
2010-11-05,39,16.10
2010-11-12,46,15.16
2010-11-19,42,15.08
2010-11-26,44,15.05
2010-12-03,54,16.13
2010-12-10,45,16.72
2010-12-17,43,16.81
2010-12-24,38,
2010-12-31,48,17.11
2011-01-07,48,17.89
2011-01-14,45,18.83
2011-01-21,42,18.19
2011-01-28,41,17.79
2011-02-04,57,18.12
2011-02-11,50,19.25
2011-02-18,55,19.45
2011-02-25,39,18.91
2011-03-04,45,18.66
2011-03-11,37,18.69
2011-03-18,40,17.56
2011-03-25,45,18.09
2011-04-01,43,18.51
2011-04-08,27,18.35
2011-04-15,39,18.61
2011-04-22,36,
2011-04-29,30,18.31
2011-05-06,27,18.06
2011-05-13,53,17.64
2011-05-20,80,17.32
2011-05-27,59,17.54
2011-06-03,51,16.76
2011-06-10,44,16.04
2011-06-17,49,15.91
2011-06-24,55,15.78
2011-07-01,45,16.72
2011-07-08,58,15.60
2011-07-15,46,15.01
2011-07-22,57,15.44
2011-07-29,52,14.93
2011-08-05,40,13.66
2011-08-12,49,12.29
2011-08-19,49,11.17
2011-08-26,52,12.01
2011-09-02,52,11.54
2011-09-09,41,11.27
2011-09-16,45,12.34
2011-09-23,46,11.38
2011-09-30,43,11.27
2011-10-07,43,11.64
2011-10-14,50,12.75
2011-10-21,67,12.26
2011-10-28,54,12.86
2011-11-04,39,12.66
2011-11-11,55,12.36
2011-11-18,47,11.26
2011-11-25,44,10.77
2011-12-02,45,11.67
2011-12-09,37,11.97
2011-12-16,45,10.85
2011-12-23,54,11.54
2011-12-30,46,11.26
2012-01-06,61,12.04
2012-01-13,46,12.16
2012-01-20,51,12.81
2012-01-27,49,11.67
2012-02-03,48,12.81
2012-02-10,46,12.18
2012-02-17,48,12.87
2012-02-24,50,13.52
2012-03-02,42,13.82
2012-03-09,55,14.13
2012-03-16,39,15.32
2012-03-23,42,15.02
2012-03-30,41,14.37
2012-04-06,35,
2012-04-13,40,13.87
2012-04-20,39,14.02
2012-04-27,48,14.31
2012-05-04,55,13.53
2012-05-11,45,13.11
2012-05-18,41,12.33
2012-05-25,49,12.80
2012-06-01,41,12.10
2012-06-08,45,12.30
2012-06-15,38,12.67
2012-06-22,34,12.37
2012-06-29,36,12.93
2012-07-06,37,12.64
2012-07-13,40,12.69
2012-07-20,49,12.49
2012-07-27,41,12.92
2012-08-03,39,12.80
2012-08-10,43,12.88
2012-08-17,35,13.20
2012-08-24,42,13.27
2012-08-31,34,13.49
2012-09-07,41,14.03
2012-09-14,47,14.43
2012-09-21,41,13.58
2012-09-28,36,12.79
2012-10-05,43,13.25
2012-10-12,43,12.95
2012-10-19,44,13.32
2012-10-26,45,13.47
2012-11-02,38,13.74
2012-11-09,45,13.06
2012-11-16,32,12.78
2012-11-23,34,13.23
2012-11-30,30,13.10
2012-12-07,33,13.42
2012-12-14,38,13.70
2012-12-21,40,14.32
2012-12-28,43,14.14
2013-01-04,43,15.46
2013-01-11,37,15.39
2013-01-18,40,15.45
2013-01-25,37,16.05
2013-02-01,38,16.75
2013-02-08,40,16.89
2013-02-15,36,16.90
2013-02-22,41,16.73
2013-03-01,41,16.40
2013-03-08,31,17.66
2013-03-15,38,17.86
2013-03-22,34,17.54
2013-03-29,37,
2013-04-05,39,16.55
2013-04-12,46,17.28
2013-04-19,40,16.39
2013-04-26,39,16.73
2013-05-03,43,17.47
2013-05-10,38,18.09
2013-05-17,35,19.34
2013-05-24,37,19.16
2013-05-31,38,19.86
2013-06-07,42,20.12
2013-06-14,48,19.71
2013-06-21,37,20.64
2013-06-28,39,21.23
2013-07-05,35,22.01
2013-07-12,42,21.69
2013-07-19,43,21.68
2013-07-26,36,22.12
2013-08-02,32,22.65
2013-08-09,33,22.29
2013-08-16,36,21.56
2013-08-23,40,21.53
2013-08-30,37,20.88
2013-09-06,36,21.58
2013-09-13,30,22.03
2013-09-20,32,21.27
2013-09-27,32,21.19
2013-10-04,34,21.58
2013-10-11,44,21.78
2013-10-18,39,23.77
2013-10-25,33,23.56
2013-11-01,32,23.12
2013-11-08,36,24.02
2013-11-15,39,24.42
2013-11-22,32,24.92
2013-11-29,37,24.48
2013-12-06,34,24.83
2013-12-13,31,24.79
2013-12-20,41,25.61
2013-12-27,32,25.66
2014-01-03,37,25.90
2014-01-10,41,25.66
2014-01-17,43,26.77
2014-01-24,34,25.27
2014-01-31,42,24.82
2014-02-07,36,24.60
2014-02-14,39,25.45
2014-02-21,36,26.25
2014-02-28,33,26.51
2014-03-07,41,27.00
2014-03-14,33,26.05
2014-03-21,39,28.53
2014-03-28,32,27.19
2014-04-04,30,26.05
2014-04-11,33,24.85
2014-04-18,38,
2014-04-25,39,26.85
2014-05-02,38,
