Date,KMB,Price
2004-01-09,30,
2004-01-16,39,
2004-01-23,37,
2004-01-30,29,
2004-02-06,41,59.36
2004-02-13,29,60.64
2004-02-20,23,62.87
2004-02-27,53,64.68
2004-03-05,32,64.11
2004-03-12,32,62.32
2004-03-19,32,61.43
2004-03-26,39,62.02
2004-04-02,47,63.59
2004-04-09,53,
2004-04-16,43,64.24
2004-04-23,37,65.94
2004-04-30,52,65.45
2004-05-07,54,64.97
2004-05-14,40,63.61
2004-05-21,43,64.17
2004-05-28,27,65.90
2004-06-04,27,64.73
2004-06-11,34,
2004-06-18,38,66.35
2004-06-25,59,64.85
2004-07-02,44,65.84
2004-07-09,24,65.93
2004-07-16,42,65.71
2004-07-23,63,64.41
2004-07-30,38,64.07
2004-08-06,49,62.64
2004-08-13,43,63.92
2004-08-20,36,65.24
2004-08-27,37,65.80
2004-09-03,40,68.13
2004-09-10,52,67.03
2004-09-17,52,66.62
2004-09-24,63,65.01
2004-10-01,37,64.99
2004-10-08,48,63.95
2004-10-15,42,62.95
2004-10-22,34,63.06
2004-10-29,35,59.67
2004-11-05,36,62.08
2004-11-12,68,63.25
2004-11-19,36,62.48
2004-11-26,47,63.72
2004-12-03,40,63.98
2004-12-10,32,64.00
2004-12-17,38,64.18
2004-12-24,30,
2004-12-31,28,65.81
2005-01-07,40,64.14
2005-01-14,42,64.37
2005-01-21,34,63.78
2005-01-28,37,65.18
2005-02-04,35,66.90
2005-02-11,41,67.67
2005-02-18,42,65.92
2005-02-25,49,66.30
2005-03-04,32,65.86
2005-03-11,29,65.59
2005-03-18,39,64.90
2005-03-25,39,
2005-04-01,34,65.46
2005-04-08,41,65.77
2005-04-15,37,64.53
2005-04-22,53,63.53
2005-04-29,43,62.45
2005-05-06,32,61.53
2005-05-13,33,61.98
2005-05-20,27,65.20
2005-05-27,37,64.75
2005-06-03,49,64.42
2005-06-10,33,64.78
2005-06-17,42,65.26
2005-06-24,46,62.81
2005-07-01,51,63.13
2005-07-08,44,61.29
2005-07-15,51,62.18
2005-07-22,47,64.38
2005-07-29,48,63.76
2005-08-05,52,62.27
2005-08-12,55,63.11
2005-08-19,70,63.18
2005-08-26,63,61.93
2005-09-02,44,61.97
2005-09-09,32,61.68
2005-09-16,45,62.58
2005-09-23,49,60.75
2005-09-30,40,59.53
2005-10-07,43,58.29
2005-10-14,49,57.24
2005-10-21,56,56.82
2005-10-28,54,57.33
2005-11-04,49,56.59
2005-11-11,29,59.05
2005-11-18,31,59.84
2005-11-25,48,59.09
2005-12-02,46,59.56
2005-12-09,44,58.24
2005-12-16,50,59.12
2005-12-23,51,59.83
2005-12-30,48,59.65
2006-01-06,45,60.22
2006-01-13,43,61.41
2006-01-20,38,59.84
2006-01-27,41,58.80
2006-02-03,37,57.30
2006-02-10,34,57.07
2006-02-17,34,58.56
2006-02-24,50,59.69
2006-03-03,37,59.36
2006-03-10,32,58.60
2006-03-17,48,58.99
2006-03-24,46,59.04
2006-03-31,44,57.80
2006-04-07,40,57.33
2006-04-14,47,
2006-04-21,57,57.19
2006-04-28,42,58.53
2006-05-05,53,59.64
2006-05-12,45,61.41
2006-05-19,47,59.80
2006-05-26,35,60.12
2006-06-02,51,60.80
2006-06-09,33,61.06
2006-06-16,39,60.84
2006-06-23,42,61.00
2006-06-30,49,61.70
2006-07-07,55,60.61
2006-07-14,39,59.43
2006-07-21,50,59.07
2006-07-28,54,60.94
2006-08-04,43,60.99
2006-08-11,49,61.16
2006-08-18,40,61.79
2006-08-25,48,61.69
2006-09-01,39,64.28
2006-09-08,39,64.00
2006-09-15,44,65.31
2006-09-22,50,64.91
2006-09-29,51,65.36
2006-10-06,48,66.10
2006-10-13,55,66.30
2006-10-20,46,67.42
2006-10-27,47,66.25
2006-11-03,46,65.91
2006-11-10,56,65.99
2006-11-17,47,66.52
2006-11-24,41,66.29
2006-12-01,51,66.34
2006-12-08,40,66.27
2006-12-15,42,67.23
2006-12-22,46,67.76
2006-12-29,43,67.95
2007-01-05,50,68.44
2007-01-12,49,69.01
2007-01-19,40,68.91
2007-01-26,47,68.25
2007-02-02,38,69.47
2007-02-09,37,68.34
2007-02-16,35,69.34
2007-02-23,42,70.00
2007-03-02,58,67.24
2007-03-09,32,67.26
2007-03-16,43,66.72
2007-03-23,44,68.99
2007-03-30,42,68.49
2007-04-06,45,
2007-04-13,57,70.14
2007-04-20,44,71.94
2007-04-27,50,71.63
2007-05-04,46,71.25
2007-05-11,48,71.27
2007-05-18,38,71.91
2007-05-25,41,71.01
2007-06-01,47,71.67
2007-06-08,46,70.26
2007-06-15,42,69.38
2007-06-22,53,66.68
2007-06-29,51,66.89
2007-07-06,52,67.40
2007-07-13,51,67.03
2007-07-20,44,66.56
