Date,PRU,Price
2004-01-09,4,
2004-01-16,3,
2004-01-23,4,
2004-01-30,4,
2004-02-06,4,45.55
2004-02-13,4,46.11
2004-02-20,5,46.23
2004-02-27,5,46.39
2004-03-05,2,47.42
2004-03-12,4,45.71
2004-03-19,4,45.75
2004-03-26,4,44.02
2004-04-02,3,45.76
2004-04-09,4,
2004-04-16,3,44.25
2004-04-23,4,44.62
2004-04-30,4,43.94
2004-05-07,4,41.76
2004-05-14,3,43.00
2004-05-21,3,42.38
2004-05-28,4,44.30
2004-06-04,4,44.66
2004-06-11,4,
2004-06-18,3,45.40
2004-06-25,4,45.66
2004-07-02,3,46.15
2004-07-09,3,44.81
2004-07-16,4,45.96
2004-07-23,5,45.39
2004-07-30,3,46.56
2004-08-06,4,45.08
2004-08-13,5,44.30
2004-08-20,5,45.96
2004-08-27,5,46.12
2004-09-03,4,47.25
2004-09-10,6,47.96
2004-09-17,4,48.00
2004-09-24,5,47.28
2004-10-01,4,47.75
2004-10-08,3,47.01
2004-10-15,3,44.65
2004-10-22,3,44.32
2004-10-29,4,46.47
2004-11-05,5,49.41
2004-11-12,3,48.00
2004-11-19,4,47.53
2004-11-26,3,49.38
2004-12-03,3,51.64
2004-12-10,4,51.89
2004-12-17,4,54.12
2004-12-24,3,
2004-12-31,2,54.96
2005-01-07,3,52.62
2005-01-14,4,53.88
2005-01-21,4,53.92
2005-01-28,4,53.41
2005-02-04,4,56.20
2005-02-11,4,58.05
2005-02-18,5,58.20
2005-02-25,3,57.94
2005-03-04,3,58.30
2005-03-11,3,57.97
2005-03-18,4,59.32
2005-03-25,5,
2005-04-01,4,57.11
2005-04-08,4,57.77
2005-04-15,3,56.29
2005-04-22,4,55.90
2005-04-29,4,57.15
2005-05-06,3,59.32
2005-05-13,4,59.03
2005-05-20,5,61.05
2005-05-27,5,62.77
2005-06-03,3,61.05
2005-06-10,4,63.69
2005-06-17,4,64.09
2005-06-24,5,64.79
2005-07-01,4,66.48
2005-07-08,4,67.48
2005-07-15,5,65.87
2005-07-22,5,65.42
2005-07-29,5,66.90
2005-08-05,5,64.99
2005-08-12,4,65.03
2005-08-19,5,65.03
2005-08-26,5,64.21
2005-09-02,4,65.68
2005-09-09,5,67.41
2005-09-16,4,67.77
2005-09-23,4,65.36
2005-09-30,4,67.56
2005-10-07,4,65.08
2005-10-14,5,64.69
2005-10-21,4,66.99
2005-10-28,5,71.11
2005-11-04,5,73.93
2005-11-11,4,74.62
2005-11-18,6,75.96
2005-11-25,5,77.01
2005-12-02,5,76.77
2005-12-09,4,75.80
2005-12-16,5,74.81
2005-12-23,4,74.31
2005-12-30,5,73.19
2006-01-06,4,75.75
2006-01-13,4,75.51
2006-01-20,5,73.19
2006-01-27,4,76.00
2006-02-03,5,74.62
2006-02-10,6,75.25
2006-02-17,5,75.32
2006-02-24,5,77.42
2006-03-03,5,74.73
2006-03-10,5,76.04
2006-03-17,5,76.54
2006-03-24,6,76.18
2006-03-31,5,75.81
2006-04-07,5,76.19
2006-04-14,5,
2006-04-21,5,76.38
2006-04-28,6,78.13
2006-05-05,5,78.34
2006-05-12,5,76.84
2006-05-19,5,76.73
2006-05-26,5,75.78
2006-06-02,5,77.73
2006-06-09,6,77.03
2006-06-16,5,75.62
2006-06-23,4,75.38
2006-06-30,5,77.70
2006-07-07,5,77.56
2006-07-14,4,76.50
2006-07-21,5,77.74
2006-07-28,4,78.71
2006-08-04,5,72.36
2006-08-11,5,72.50
2006-08-18,6,72.98
2006-08-25,5,72.89
2006-09-01,4,73.15
2006-09-08,6,72.00
2006-09-15,5,73.94
2006-09-22,4,75.15
2006-09-29,5,76.25
2006-10-06,5,77.38
2006-10-13,5,77.79
2006-10-20,5,77.26
2006-10-27,5,77.58
2006-11-03,5,78.51
2006-11-10,5,78.03
2006-11-17,6,81.54
2006-11-24,5,80.29
2006-12-01,6,81.86
2006-12-08,4,86.24
2006-12-15,5,86.05
2006-12-22,5,85.40
2006-12-29,4,85.86
2007-01-05,5,85.69
2007-01-12,6,87.68
2007-01-19,6,88.56
2007-01-26,5,87.95
2007-02-02,5,90.33
2007-02-09,6,91.33
2007-02-16,6,92.51
2007-02-23,6,92.45
2007-03-02,7,89.91
2007-03-09,6,90.31
2007-03-16,5,88.65
2007-03-23,6,91.23
2007-03-30,7,90.26
2007-04-06,6,
2007-04-13,5,92.07
2007-04-20,6,94.23
2007-04-27,7,95.45
2007-05-04,6,100.61
2007-05-11,6,102.28
2007-05-18,6,102.92
2007-05-25,6,100.37
2007-06-01,5,101.63
2007-06-08,6,99.09
2007-06-15,5,101.69
2007-06-22,5,97.25
2007-06-29,6,97.23
2007-07-06,5,97.87
2007-07-13,6,97.05
2007-07-20,7,94.63
2007-07-27,7,89.76
2007-08-03,7,85.18
2007-08-10,7,86.67
2007-08-17,8,90.15
2007-08-24,7,90.69
2007-08-31,6,89.78
2007-09-07,6,86.43
2007-09-14,6,91.74
2007-09-21,7,94.93
2007-09-28,8,97.58
2007-10-05,6,99.60
2007-10-12,7,101.09
2007-10-19,7,95.88
2007-10-26,7,97.99
2007-11-02,7,97.07
2007-11-09,6,93.35
2007-11-16,6,97.73
2007-11-23,7,93.87
2007-11-30,7,94.14
2007-12-07,7,96.51
2007-12-14,6,93.76
2007-12-21,5,93.59
2007-12-28,5,92.86
2008-01-04,7,90.45
2008-01-11,8,91.36
2008-01-18,8,80.00
2008-01-25,8,79.38
2008-02-01,7,85.29
2008-02-08,7,71.87
2008-02-15,8,71.61
2008-02-22,7,73.49
2008-02-29,7,72.97
2008-03-07,10,69.22
2008-03-14,11,68.68
2008-03-21,6,
2008-03-28,6,75.45
2008-04-04,7,81.49
2008-04-11,6,77.98
2008-04-18,6,78.08
2008-04-25,6,76.14
2008-05-02,7,77.67
2008-05-09,6,72.48
2008-05-16,6,75.30
2008-05-23,7,74.20
2008-05-30,6,74.70
2008-06-06,5,71.63
2008-06-13,7,71.06
2008-06-20,6,67.73
2008-06-27,6,63.76
2008-07-04,6,
2008-07-11,6,57.59
2008-07-18,7,61.67
2008-07-25,6,64.38
2008-08-01,6,69.30
2008-08-08,6,75.45
2008-08-15,6,73.75
2008-08-22,7,72.09
2008-08-29,6,73.71
2008-09-05,6,78.74
2008-09-12,6,80.59
2008-09-19,7,86.25
2008-09-26,6,73.52
2008-10-03,7,55.87
2008-10-10,7,36.13
2008-10-17,8,41.78
2008-10-24,7,34.46
2008-10-31,6,30.00
2008-11-07,6,34.82
2008-11-14,6,25.24
2008-11-21,6,16.30
2008-11-28,6,21.70
2008-12-05,6,28.52
2008-12-12,5,26.80
2008-12-19,6,29.23
2008-12-26,5,26.78
2009-01-02,5,30.77
2009-01-09,6,31.88
2009-01-16,7,26.66
2009-01-23,7,25.47
2009-01-30,6,25.75
2009-02-06,6,30.05
2009-02-13,6,26.66
2009-02-20,5,18.51
2009-02-27,6,16.41
2009-03-06,6,11.38
2009-03-13,6,18.76
2009-03-20,6,16.69
2009-03-27,6,22.18
2009-04-03,6,23.84
2009-04-10,5,
2009-04-17,6,27.52
2009-04-24,6,28.33
2009-05-01,5,28.18
2009-05-08,5,46.00
2009-05-15,6,37.75
2009-05-22,6,39.60
2009-05-29,5,39.91
2009-06-05,6,40.95
2009-06-12,5,37.15
2009-06-19,5,38.22
2009-06-26,5,36.75
2009-07-03,5,
2009-07-10,6,33.83
2009-07-17,5,39.03
2009-07-24,5,42.83
2009-07-31,5,44.27
2009-08-07,5,47.86
2009-08-14,6,46.58
2009-08-21,5,49.94
2009-08-28,5,52.21
2009-09-04,5,47.89
2009-09-11,6,48.70
2009-09-18,5,52.69
2009-09-25,5,47.77
2009-10-02,5,46.74
2009-10-09,5,51.01
2009-10-16,5,51.16
2009-10-23,5,49.73
2009-10-30,5,45.23
2009-11-06,5,45.38
2009-11-13,5,47.80
2009-11-20,5,47.67
2009-11-27,4,48.20
2009-12-04,5,48.59
2009-12-11,4,48.89
2009-12-18,4,49.92
2009-12-25,4,
2010-01-01,4,
2010-01-08,5,53.56
2010-01-15,5,53.46
2010-01-22,4,50.05
2010-01-29,4,49.99
2010-02-05,5,48.53
2010-02-12,5,48.14
2010-02-19,4,51.50
2010-02-26,4,52.41
2010-03-05,5,54.58
2010-03-12,5,55.91
2010-03-19,5,57.96
2010-03-26,5,59.21
2010-04-02,5,
2010-04-09,5,63.52
2010-04-16,4,62.84
2010-04-23,4,65.82
2010-04-30,5,63.56
2010-05-07,5,58.15
2010-05-14,5,60.46
2010-05-21,5,56.39
2010-05-28,5,57.71
2010-06-04,5,55.66
2010-06-11,5,58.81
2010-06-18,5,59.05
2010-06-25,5,57.55
2010-07-02,5,53.89
2010-07-09,4,56.40
2010-07-16,5,53.42
2010-07-23,4,55.42
2010-07-30,5,57.29
2010-08-06,5,59.08
2010-08-13,5,55.49
2010-08-20,4,52.44
2010-08-27,4,51.43
2010-09-03,4,55.03
2010-09-10,5,53.87
2010-09-17,5,55.22
2010-09-24,6,56.01
2010-10-01,5,53.07
2010-10-08,5,54.04
2010-10-15,5,53.82
2010-10-22,5,52.71
2010-10-29,4,52.58
2010-11-05,4,55.64
2010-11-12,5,54.50
2010-11-19,5,53.78
2010-11-26,5,51.54
2010-12-03,4,53.64
2010-12-10,4,56.83
2010-12-17,4,58.09
2010-12-24,4,
2010-12-31,4,58.71
2011-01-07,5,60.20
2011-01-14,5,61.70
2011-01-21,5,61.46
2011-01-28,5,61.11
2011-02-04,4,62.91
2011-02-11,5,65.14
2011-02-18,5,67.02
2011-02-25,4,64.77
2011-03-04,5,63.87
2011-03-11,5,63.10
2011-03-18,4,60.63
2011-03-25,5,61.02
2011-04-01,5,62.52
2011-04-08,6,62.28
2011-04-15,5,61.00
2011-04-22,4,
2011-04-29,4,63.42
2011-05-06,4,63.70
2011-05-13,4,63.13
2011-05-20,4,63.61
2011-05-27,4,63.17
2011-06-03,5,61.26
2011-06-10,4,59.04
2011-06-17,4,59.19
2011-06-24,4,59.71
2011-07-01,4,64.77
2011-07-08,5,64.38
2011-07-15,5,60.76
2011-07-22,5,60.93
2011-07-29,4,58.68
2011-08-05,4,53.99
2011-08-12,4,50.95
2011-08-19,4,46.49
2011-08-26,4,47.56
2011-09-02,4,46.60
2011-09-09,4,46.14
2011-09-16,4,51.45
2011-09-23,4,43.93
2011-09-30,4,46.86
2011-10-07,4,46.02
2011-10-14,4,50.92
2011-10-21,4,53.23
2011-10-28,4,57.30
2011-11-04,4,52.19
2011-11-11,4,54.05
2011-11-18,5,48.53
2011-11-25,4,44.91
2011-12-02,4,50.40
2011-12-09,4,50.39
2011-12-16,4,48.07
2011-12-23,4,50.92
2011-12-30,3,50.12
2012-01-06,4,52.73
2012-01-13,4,55.25
2012-01-20,4,57.36
2012-01-27,4,57.22
2012-02-03,4,59.87
2012-02-10,4,59.00
2012-02-17,4,61.39
2012-02-24,4,61.09
2012-03-02,4,61.34
2012-03-09,4,61.97
2012-03-16,4,63.71
2012-03-23,5,62.99
2012-03-30,4,63.39
2012-04-06,4,
2012-04-13,4,59.91
