Date,WAG,Price
2004-01-09,43,
2004-01-16,36,
2004-01-23,40,
2004-01-30,45,
2004-02-06,36,34.29
2004-02-13,39,34.47
2004-02-20,55,35.20
2004-02-27,35,35.66
2004-03-05,43,35.11
2004-03-12,41,33.95
2004-03-19,54,33.51
2004-03-26,65,32.95
2004-04-02,44,33.00
2004-04-09,44,
2004-04-16,48,32.82
2004-04-23,57,32.93
2004-04-30,42,34.48
2004-05-07,40,34.55
2004-05-14,41,33.60
2004-05-21,42,33.83
2004-05-28,45,35.01
2004-06-04,50,34.38
2004-06-11,47,
2004-06-18,35,34.90
2004-06-25,34,35.90
2004-07-02,43,35.67
2004-07-09,52,36.39
2004-07-16,38,37.41
2004-07-23,41,36.33
2004-07-30,46,36.40
2004-08-06,53,35.00
2004-08-13,43,36.09
2004-08-20,39,37.00
2004-08-27,37,36.64
2004-09-03,42,37.76
2004-09-10,46,37.69
2004-09-17,50,37.07
2004-09-24,51,36.26
2004-10-01,43,36.07
2004-10-08,52,35.96
2004-10-15,54,35.69
2004-10-22,54,35.50
2004-10-29,62,35.89
2004-11-05,71,38.58
2004-11-12,59,39.24
2004-11-19,67,38.10
2004-11-26,68,38.62
2004-12-03,66,38.98
2004-12-10,74,38.87
2004-12-17,78,38.32
2004-12-24,67,
2004-12-31,64,38.37
2005-01-07,70,41.50
2005-01-14,77,41.63
2005-01-21,72,42.22
2005-01-28,64,42.87
2005-02-04,56,44.17
2005-02-11,60,42.81
2005-02-18,60,42.88
2005-02-25,71,42.66
2005-03-04,61,45.04
2005-03-11,49,44.11
2005-03-18,47,45.20
2005-03-25,54,
2005-04-01,48,43.71
2005-04-08,44,44.17
2005-04-15,50,43.07
2005-04-22,45,41.87
2005-04-29,46,43.06
2005-05-06,44,44.09
2005-05-13,53,44.05
2005-05-20,45,45.97
2005-05-27,45,45.52
2005-06-03,52,45.87
2005-06-10,43,46.10
2005-06-17,42,45.89
2005-06-24,47,44.38
2005-07-01,48,46.08
2005-07-08,59,46.89
2005-07-15,45,47.10
2005-07-22,49,46.68
2005-07-29,47,47.86
2005-08-05,77,47.29
2005-08-12,56,47.94
2005-08-19,51,46.91
2005-08-26,41,46.14
2005-09-02,41,45.13
2005-09-09,39,44.91
2005-09-16,56,45.17
2005-09-23,55,42.51
2005-09-30,45,43.45
2005-10-07,60,44.00
2005-10-14,54,44.00
2005-10-21,58,45.02
2005-10-28,58,44.70
2005-11-04,48,46.09
2005-11-11,54,47.07
2005-11-18,47,47.19
2005-11-25,44,47.90
2005-12-02,45,46.17
2005-12-09,46,46.36
2005-12-16,51,46.29
2005-12-23,48,45.02
2005-12-30,47,44.26
2006-01-06,46,43.37
2006-01-13,54,43.39
2006-01-20,58,43.13
2006-01-27,49,42.89
2006-02-03,52,43.67
2006-02-10,52,43.26
2006-02-17,53,45.91
2006-02-24,48,45.44
2006-03-03,70,44.39
2006-03-10,65,45.45
2006-03-17,50,45.32
2006-03-24,56,44.37
2006-03-31,57,43.13
2006-04-07,57,43.33
2006-04-14,44,
2006-04-21,48,42.41
2006-04-28,53,41.93
2006-05-05,58,41.54
2006-05-12,53,39.97
2006-05-19,46,41.20
2006-05-26,55,41.30
2006-06-02,51,42.65
2006-06-09,48,42.61
2006-06-16,47,43.20
2006-06-23,59,43.61
2006-06-30,63,44.84
2006-07-07,70,45.85
2006-07-14,62,45.99
2006-07-21,68,46.55
2006-07-28,56,46.93
2006-08-04,74,48.61
2006-08-11,60,48.42
2006-08-18,59,48.65
2006-08-25,62,47.82
2006-09-01,55,49.85
2006-09-08,62,50.91
2006-09-15,54,49.96
2006-09-22,60,46.90
2006-09-29,80,44.39
2006-10-06,69,42.66
2006-10-13,61,44.38
2006-10-20,57,43.58
2006-10-27,61,42.84
2006-11-03,54,42.82
2006-11-10,52,42.37
2006-11-17,61,42.00
2006-11-24,58,40.66
2006-12-01,55,40.27
2006-12-08,57,43.63
2006-12-15,60,44.50
2006-12-22,58,46.68
2006-12-29,46,45.89
2007-01-05,63,45.50
2007-01-12,58,46.20
2007-01-19,57,46.01
2007-01-26,54,45.19
2007-02-02,62,45.32
2007-02-09,64,45.43
2007-02-16,61,46.01
2007-02-23,72,45.32
2007-03-02,55,44.16
2007-03-09,69,44.59
