Date,LB,Price
2004-01-09,35,
2004-01-16,32,
2004-01-23,35,
2004-01-30,34,
2004-02-06,37,19.19
2004-02-13,33,18.96
2004-02-20,35,19.75
2004-02-27,34,19.75
2004-03-05,37,19.44
2004-03-12,31,19.21
2004-03-19,32,19.42
2004-03-26,28,19.60
2004-04-02,29,20.24
2004-04-09,32,
2004-04-16,35,20.14
2004-04-23,37,21.07
2004-04-30,35,20.64
2004-05-07,31,20.00
2004-05-14,31,19.88
2004-05-21,35,19.30
2004-05-28,33,19.30
2004-06-04,36,19.17
2004-06-11,34,
2004-06-18,33,18.73
2004-06-25,32,18.77
2004-07-02,33,18.81
2004-07-09,33,19.72
2004-07-16,34,19.57
2004-07-23,35,19.56
2004-07-30,32,20.44
2004-08-06,37,19.08
2004-08-13,42,18.89
2004-08-20,38,19.99
2004-08-27,37,20.20
2004-09-03,32,20.79
2004-09-10,37,21.01
2004-09-17,34,21.81
2004-09-24,31,21.91
2004-10-01,32,21.83
2004-10-08,35,22.78
2004-10-15,36,23.04
2004-10-22,34,23.87
2004-10-29,31,24.78
2004-11-05,32,25.58
2004-11-12,37,27.28
2004-11-19,36,26.50
2004-11-26,40,25.78
2004-12-03,36,24.08
2004-12-10,36,23.36
2004-12-17,33,24.01
2004-12-24,37,
2004-12-31,30,23.02
2005-01-07,37,22.49
2005-01-14,39,22.55
2005-01-21,45,22.96
2005-01-28,42,23.23
2005-02-04,40,24.31
2005-02-11,40,24.25
2005-02-18,37,23.96
2005-02-25,41,23.43
2005-03-04,41,24.45
2005-03-11,37,25.07
2005-03-18,36,24.36
2005-03-25,36,
2005-04-01,35,24.11
2005-04-08,30,23.56
2005-04-15,35,22.52
2005-04-22,35,21.97
2005-04-29,37,21.69
2005-05-06,39,20.96
2005-05-13,34,20.43
2005-05-20,33,20.89
2005-05-27,39,20.45
2005-06-03,35,21.23
2005-06-10,37,21.60
2005-06-17,36,21.82
2005-06-24,37,21.21
2005-07-01,43,21.38
2005-07-08,39,22.88
2005-07-15,40,22.40
2005-07-22,41,23.70
2005-07-29,38,24.38
2005-08-05,39,24.26
2005-08-12,37,24.24
2005-08-19,39,22.15
2005-08-26,37,21.68
2005-09-02,38,20.79
2005-09-09,39,21.03
2005-09-16,40,20.34
2005-09-23,42,20.18
2005-09-30,40,20.43
2005-10-07,38,19.93
2005-10-14,40,19.65
2005-10-21,40,19.14
2005-10-28,38,19.32
2005-11-04,39,20.68
2005-11-11,38,21.35
2005-11-18,39,21.65
2005-11-25,44,22.47
2005-12-02,39,22.66
2005-12-09,40,22.85
2005-12-16,42,22.90
2005-12-23,42,22.41
2005-12-30,37,22.35
2006-01-06,39,22.84
2006-01-13,39,22.84
2006-01-20,41,22.38
2006-01-27,39,23.02
2006-02-03,41,23.16
2006-02-10,41,23.59
2006-02-17,39,23.55
2006-02-24,45,23.93
2006-03-03,41,23.23
2006-03-10,40,23.54
2006-03-17,39,24.23
2006-03-24,38,24.66
2006-03-31,38,24.46
2006-04-07,40,24.74
2006-04-14,38,
2006-04-21,38,24.80
2006-04-28,41,25.64
2006-05-05,40,26.65
2006-05-12,39,25.78
2006-05-19,37,27.87
2006-05-26,38,26.83
2006-06-02,40,27.31
2006-06-09,38,26.72
2006-06-16,37,25.80
2006-06-23,39,25.49
2006-06-30,39,25.59
2006-07-07,36,25.28
2006-07-14,38,23.93
2006-07-21,38,23.92
2006-07-28,44,25.01
2006-08-04,40,25.92
2006-08-11,36,25.79
2006-08-18,39,26.04
2006-08-25,36,24.78
2006-09-01,38,25.97
2006-09-08,42,25.80
2006-09-15,39,27.04
2006-09-22,39,27.06
2006-09-29,38,26.49
2006-10-06,40,27.87
2006-10-13,38,28.77
2006-10-20,39,28.59
2006-10-27,39,29.23
2006-11-03,38,29.70
2006-11-10,39,32.10
2006-11-17,39,30.80
2006-11-24,42,31.38
2006-12-01,38,30.58
2006-12-08,36,30.75
2006-12-15,39,30.45
2006-12-22,38,29.72
2006-12-29,39,28.94
2007-01-05,38,27.33
2007-01-12,41,28.62
2007-01-19,39,28.39
2007-01-26,38,27.62
2007-02-02,45,28.56
2007-02-09,37,28.50
2007-02-16,37,29.22
2007-02-23,38,29.51
2007-03-02,39,26.33
2007-03-09,39,26.08
2007-03-16,40,25.70
2007-03-23,38,26.73
2007-03-30,36,26.06
2007-04-06,38,
2007-04-13,38,25.80
2007-04-20,40,26.86
2007-04-27,40,28.45
2007-05-04,38,28.53
2007-05-11,39,27.67
2007-05-18,40,26.21
2007-05-25,39,26.25
2007-06-01,42,26.93
2007-06-08,39,26.40
2007-06-15,38,26.23
2007-06-22,39,27.50
2007-06-29,38,27.45
2007-07-06,37,28.99
2007-07-13,40,27.46
2007-07-20,40,26.99
2007-07-27,42,24.10
2007-08-03,39,22.81
2007-08-10,40,23.25
2007-08-17,38,22.06
2007-08-24,43,23.45
2007-08-31,44,23.16
2007-09-07,40,21.48
2007-09-14,42,22.98
2007-09-21,43,23.10
2007-09-28,44,22.89
2007-10-05,42,22.63
2007-10-12,42,22.09
2007-10-19,43,21.39
2007-10-26,40,21.73
2007-11-02,41,21.42
2007-11-09,41,18.66
2007-11-16,41,18.37
2007-11-23,54,18.79
2007-11-30,49,20.08
2007-12-07,48,20.81
2007-12-14,43,18.69
2007-12-21,44,18.36
2007-12-28,40,18.85
2008-01-04,41,16.51
2008-01-11,44,15.05
2008-01-18,46,15.93
2008-01-25,45,17.07
2008-02-01,46,19.33
2008-02-08,44,18.08
2008-02-15,43,17.55
2008-02-22,43,17.59
2008-02-29,42,15.25
2008-03-07,43,14.51
2008-03-14,43,16.01
2008-03-21,41,
2008-03-28,42,16.80
2008-04-04,44,18.18
2008-04-11,43,17.31
2008-04-18,41,18.32
2008-04-25,44,19.37
2008-05-02,42,18.66
2008-05-09,44,17.95
2008-05-16,43,19.20
2008-05-23,41,18.61
2008-05-30,40,19.38
2008-06-06,41,17.76
2008-06-13,42,18.67
2008-06-20,42,18.21
2008-06-27,45,16.81
2008-07-04,41,
2008-07-11,42,14.99
2008-07-18,43,16.38
2008-07-25,43,16.37
2008-08-01,46,16.11
2008-08-08,45,18.53
2008-08-15,46,18.70
2008-08-22,43,20.87
2008-08-29,42,20.80
2008-09-05,42,20.69
2008-09-12,41,20.71
2008-09-19,44,19.45
2008-09-26,43,18.78
2008-10-03,42,15.88
2008-10-10,44,12.76
2008-10-17,45,12.41
2008-10-24,47,10.51
2008-10-31,42,11.98
2008-11-07,41,10.31
2008-11-14,43,9.01
2008-11-21,43,7.65
2008-11-28,54,9.31
2008-12-05,47,9.34
2008-12-12,45,8.64
2008-12-19,42,9.39
2008-12-26,45,9.50
2009-01-02,42,10.73
2009-01-09,44,9.57
2009-01-16,47,8.77
2009-01-23,47,8.55
2009-01-30,47,7.92
2009-02-06,45,8.85
2009-02-13,46,8.14
2009-02-20,44,7.84
2009-02-27,45,7.69
2009-03-06,46,6.26
2009-03-13,45,8.23
2009-03-20,46,8.05
2009-03-27,47,9.12
2009-04-03,43,10.19
