Date,AVY,Price
2004-01-09,58,
2004-01-16,51,
2004-01-23,62,
2004-01-30,53,
2004-02-06,63,62.17
2004-02-13,93,60.62
2004-02-20,84,61.64
2004-02-27,75,63.37
2004-03-05,40,63.50
2004-03-12,47,61.31
2004-03-19,50,62.01
2004-03-26,59,61.38
2004-04-02,47,63.22
2004-04-09,44,
2004-04-16,49,63.40
2004-04-23,55,64.94
2004-04-30,47,64.23
2004-05-07,46,61.31
2004-05-14,61,60.01
2004-05-21,40,59.87
2004-05-28,56,59.04
2004-06-04,45,59.62
2004-06-11,46,
2004-06-18,53,61.10
2004-06-25,53,63.52
2004-07-02,67,63.54
2004-07-09,58,61.61
2004-07-16,85,61.53
2004-07-23,40,59.99
2004-07-30,88,60.57
2004-08-06,67,58.81
2004-08-13,82,59.37
2004-08-20,73,60.40
2004-08-27,66,62.27
2004-09-03,71,62.88
2004-09-10,74,62.18
2004-09-17,67,63.71
2004-09-24,60,63.25
2004-10-01,63,64.92
2004-10-08,72,63.05
2004-10-15,66,63.14
2004-10-22,71,59.71
2004-10-29,71,60.84
2004-11-05,78,54.90
2004-11-12,56,56.63
2004-11-19,61,57.14
2004-11-26,75,58.51
2004-12-03,55,60.45
2004-12-10,46,61.01
2004-12-17,69,60.95
2004-12-24,58,
2004-12-31,73,59.97
2005-01-07,78,58.79
2005-01-14,64,57.04
2005-01-21,53,57.69
2005-01-28,74,59.76
2005-02-04,92,60.57
2005-02-11,100,60.53
2005-02-18,84,59.67
2005-02-25,61,60.49
2005-03-04,51,60.61
2005-03-11,51,62.53
2005-03-18,56,62.25
2005-03-25,54,
2005-04-01,74,61.91
2005-04-08,86,61.17
2005-04-15,52,53.01
2005-04-22,55,52.12
2005-04-29,56,52.35
2005-05-06,70,53.00
2005-05-13,54,51.90
2005-05-20,76,54.11
2005-05-27,68,53.17
2005-06-03,74,52.85
2005-06-10,58,53.62
2005-06-17,70,54.87
2005-06-24,69,53.08
2005-07-01,84,52.78
2005-07-08,82,54.00
2005-07-15,71,53.70
2005-07-22,64,54.14
2005-07-29,77,56.67
2005-08-05,76,55.39
2005-08-12,79,55.42
2005-08-19,68,54.30
2005-08-26,62,53.69
2005-09-02,74,52.76
2005-09-09,76,53.74
2005-09-16,61,54.50
2005-09-23,80,52.97
2005-09-30,73,52.39
2005-10-07,71,51.07
2005-10-14,84,51.69
2005-10-21,68,51.68
2005-10-28,68,56.20
2005-11-04,74,57.85
2005-11-11,78,58.05
2005-11-18,71,58.48
2005-11-25,63,59.44
2005-12-02,64,59.18
2005-12-09,82,57.08
2005-12-16,68,55.87
2005-12-23,67,56.44
2005-12-30,100,55.27
2006-01-06,68,57.38
2006-01-13,78,58.15
2006-01-20,64,57.48
2006-01-27,54,60.50
2006-02-03,59,58.50
2006-02-10,66,59.12
2006-02-17,63,61.54
2006-02-24,55,60.75
2006-03-03,62,60.50
2006-03-10,52,60.22
2006-03-17,57,59.35
2006-03-24,53,59.83
2006-03-31,62,58.48
2006-04-07,54,57.88
2006-04-14,62,
2006-04-21,72,62.03
2006-04-28,77,62.50
2006-05-05,64,63.46
2006-05-12,66,61.14
2006-05-19,61,59.31
2006-05-26,65,59.50
2006-06-02,62,58.25
2006-06-09,57,55.64
2006-06-16,69,58.26
2006-06-23,53,57.21
2006-06-30,63,58.06
2006-07-07,65,56.95
2006-07-14,60,57.34
2006-07-21,58,57.46
2006-07-28,60,58.92
2006-08-04,61,59.32
2006-08-11,64,59.19
2006-08-18,63,61.31
2006-08-25,50,59.95
2006-09-01,55,61.80
2006-09-08,52,61.00
2006-09-15,42,59.76
2006-09-22,51,59.35
2006-09-29,47,60.17
2006-10-06,44,61.81
