Date,AAPL,Price
2004-01-09,3,
2004-01-16,5,
2004-01-23,2,
2004-01-30,2,
2004-02-06,2,22.71
2004-02-13,2,23.00
2004-02-20,2,22.40
2004-02-27,2,23.92
2004-03-05,2,26.74
2004-03-12,2,27.56
2004-03-19,3,25.86
2004-03-26,4,27.04
2004-04-02,4,27.50
2004-04-09,4,
2004-04-16,6,29.18
2004-04-23,2,27.70
2004-04-30,3,25.78
2004-05-07,2,26.67
2004-05-14,2,27.06
2004-05-21,2,27.11
2004-05-28,2,28.06
2004-06-04,3,28.78
2004-06-11,3,
2004-06-18,3,32.91
2004-06-25,4,33.70
2004-07-02,4,31.08
2004-07-09,3,30.03
2004-07-16,7,32.20
2004-07-23,4,30.70
2004-07-30,3,32.34
2004-08-06,3,29.78
2004-08-13,2,30.84
2004-08-20,2,30.80
2004-08-27,4,34.35
2004-09-03,3,35.23
2004-09-10,2,35.87
2004-09-17,2,37.14
2004-09-24,2,37.29
2004-10-01,3,38.67
2004-10-08,2,39.06
2004-10-15,9,45.50
2004-10-22,5,47.41
2004-10-29,7,52.40
2004-11-05,5,54.72
2004-11-12,6,55.50
2004-11-19,5,55.17
2004-11-26,9,64.55
2004-12-03,10,62.68
2004-12-10,9,65.15
2004-12-17,6,64.99
2004-12-24,8,
2004-12-31,9,64.40
2005-01-07,9,69.25
2005-01-14,26,70.20
2005-01-21,10,70.49
2005-01-28,8,73.98
2005-02-04,10,78.84
2005-02-11,10,81.21
2005-02-18,15,86.81
2005-02-25,17,88.99
2005-03-04,14,42.81
2005-03-11,13,40.27
2005-03-18,11,42.96
2005-03-25,10,
2005-04-01,9,40.89
2005-04-08,14,43.74
2005-04-15,22,35.35
2005-04-22,12,35.50
2005-04-29,11,36.06
2005-05-06,11,37.24
2005-05-13,10,34.77
2005-05-20,10,37.55
2005-05-27,15,40.56
2005-06-03,12,38.24
2005-06-10,23,35.81
2005-06-17,12,38.31
2005-06-24,10,37.76
2005-07-01,8,36.50
2005-07-08,9,38.25
2005-07-15,18,41.55
2005-07-22,15,44.00
2005-07-29,13,42.65
2005-08-05,12,42.99
2005-08-12,13,46.10
2005-08-19,19,45.83
2005-08-26,13,45.74
2005-09-02,12,46.22
2005-09-09,18,51.31
2005-09-16,18,51.21
2005-09-23,16,53.20
2005-09-30,18,53.61
2005-10-07,16,51.30
2005-10-14,37,54.00
2005-10-21,22,55.66
2005-10-28,20,54.47
2005-11-04,24,61.15
2005-11-11,21,61.54
2005-11-18,20,64.56
2005-11-25,21,69.34
2005-12-02,28,72.63
2005-12-09,27,74.33
2005-12-16,26,71.11
2005-12-23,23,73.35
2005-12-30,25,71.89
2006-01-06,25,76.30
2006-01-13,56,85.59
2006-01-20,45,76.09
2006-01-27,36,72.03
2006-02-03,34,71.85
2006-02-10,35,67.31
2006-02-17,28,70.29
2006-02-24,26,71.46
2006-03-03,32,67.72
2006-03-10,25,63.19
2006-03-17,23,64.66
2006-03-24,25,59.96
2006-03-31,26,62.72
2006-04-07,44,69.79
2006-04-14,27,
2006-04-21,38,67.04
2006-04-28,24,70.39
2006-05-05,29,71.89
2006-05-12,23,67.70
2006-05-19,24,64.51
2006-05-26,18,63.55
2006-06-02,17,61.66
2006-06-09,17,59.24
2006-06-16,17,57.56
2006-06-23,17,58.83
2006-06-30,21,57.27
2006-07-07,16,55.40
2006-07-14,20,50.67
2006-07-21,39,60.72
2006-07-28,27,65.59
2006-08-04,33,68.30
2006-08-11,31,63.65
2006-08-18,24,67.91
2006-08-25,23,68.75
2006-09-01,19,68.38
2006-09-08,23,72.52
2006-09-15,34,74.10
2006-09-22,21,73.00
2006-09-29,21,76.98
2006-10-06,23,74.22
2006-10-13,19,75.02
2006-10-20,30,79.95
2006-10-27,25,80.41
2006-11-03,21,78.29
2006-11-10,21,83.12
2006-11-17,23,85.85
2006-11-24,26,91.63
2006-12-01,28,91.32
2006-12-08,24,88.26
2006-12-15,26,87.72
2006-12-22,23,82.20
2006-12-29,39,84.84
2007-01-05,28,85.05
2007-01-12,85,94.62
2007-01-19,57,88.50
2007-01-26,38,85.38
2007-02-02,28,84.75
2007-02-09,27,83.27
2007-02-16,24,84.83
2007-02-23,25,89.07
2007-03-02,29,85.41
2007-03-09,26,87.97
2007-03-16,25,89.59
2007-03-23,25,93.52
2007-03-30,24,92.91
2007-04-06,25,
2007-04-13,26,90.24
2007-04-20,24,90.97
2007-04-27,52,99.92
2007-05-04,31,100.81
2007-05-11,37,108.74
2007-05-18,37,110.02
2007-05-25,35,113.62
2007-06-01,39,118.40
2007-06-08,53,124.49
2007-06-15,59,120.50
2007-06-22,47,123.00
2007-06-29,68,122.04
2007-07-06,80,132.30
2007-07-13,63,137.73
2007-07-20,61,143.75
2007-07-27,93,143.85
2007-08-03,59,131.85
2007-08-10,58,125.00
2007-08-17,51,122.06
2007-08-24,45,135.30
2007-08-31,46,138.48
2007-09-07,60,131.77
2007-09-14,46,138.81
2007-09-21,41,144.15
2007-09-28,46,153.47
2007-10-05,43,161.45
2007-10-12,49,167.25
2007-10-19,47,170.42
2007-10-26,74,184.70
2007-11-02,56,187.87
2007-11-09,54,165.37
2007-11-16,61,166.39
2007-11-23,36,171.54
2007-11-30,48,182.22
2007-12-07,44,194.30
2007-12-14,44,190.39
2007-12-21,45,193.91
2007-12-28,50,199.83
2008-01-04,50,180.05
2008-01-11,56,172.69
2008-01-18,80,161.36
2008-01-25,100,130.01
2008-02-01,62,133.75
2008-02-08,56,125.48
2008-02-15,45,124.63
2008-02-22,36,119.46
2008-02-29,47,125.02
2008-03-07,45,122.25
2008-03-14,37,126.61
2008-03-21,39,
2008-03-28,40,143.01
2008-04-04,43,153.08
2008-04-11,41,147.14
2008-04-18,41,161.04
2008-04-25,63,169.73
2008-05-02,48,180.94
2008-05-09,47,183.45
2008-05-16,46,187.62
2008-05-23,41,181.17
2008-05-30,33,188.75
2008-06-06,40,185.64
2008-06-13,65,172.37
2008-06-20,39,175.27
2008-06-27,39,170.09
2008-07-04,34,
2008-07-11,45,172.58
2008-07-18,45,165.15
2008-07-25,60,162.12
2008-08-01,36,156.66
2008-08-08,33,169.55
2008-08-15,36,175.74
2008-08-22,28,176.79
2008-08-29,26,169.53
2008-09-05,24,160.18
2008-09-12,35,148.94
2008-09-19,44,140.91
2008-09-26,37,128.24
2008-10-03,65,97.07
2008-10-10,67,96.80
2008-10-17,64,97.40
2008-10-24,60,96.38
2008-10-31,47,107.59
2008-11-07,37,98.24
2008-11-14,33,90.24
2008-11-21,35,82.58
2008-11-28,25,92.67
2008-12-05,26,94.00
2008-12-12,27,98.27
2008-12-19,30,90.00
2008-12-26,19,85.81
2009-01-02,24,90.75
2009-01-09,29,90.58
2009-01-16,41,82.33
2009-01-23,33,88.36
2009-01-30,23,90.13
2009-02-06,21,99.72
2009-02-13,21,99.16
2009-02-20,17,91.20
2009-02-27,20,89.31
2009-03-06,20,85.30
2009-03-13,20,95.93
2009-03-20,21,101.59
2009-03-27,22,106.85
2009-04-03,20,115.99
2009-04-10,21,
2009-04-17,22,123.42
2009-04-24,30,123.90
2009-05-01,19,127.24
2009-05-08,21,129.19
2009-05-15,17,122.42
2009-05-22,17,122.50
2009-05-29,16,135.81
2009-06-05,21,144.67
2009-06-12,26,136.97
2009-06-19,18,139.48
2009-06-26,20,142.44
2009-07-03,15,
2009-07-10,15,138.52
2009-07-17,17,151.75
2009-07-24,30,159.99
2009-07-31,20,163.39
2009-08-07,20,165.51
2009-08-14,16,166.78
2009-08-21,16,169.22
2009-08-28,17,170.05
2009-09-04,14,170.31
2009-09-11,18,172.16
2009-09-18,20,185.02
2009-09-25,19,182.37
2009-10-02,15,184.90
2009-10-09,16,190.47
2009-10-16,17,188.05
2009-10-23,41,203.94
2009-10-30,19,188.50
2009-11-06,17,194.34
2009-11-13,17,204.45
2009-11-20,16,199.92
2009-11-27,13,200.59
2009-12-04,15,193.32
2009-12-11,14,194.67
2009-12-18,14,195.43
2009-12-25,14,
2010-01-01,17,
2010-01-08,21,211.98
2010-01-15,15,205.93
2010-01-22,20,197.75
2010-01-29,56,192.06
2010-02-05,21,195.46
2010-02-12,16,200.38
2010-02-19,14,201.67
2010-02-26,15,204.62
2010-03-05,17,218.95
2010-03-12,21,226.60
2010-03-19,18,222.25
2010-03-26,17,230.90
2010-04-02,22,
2010-04-09,29,241.79
2010-04-16,23,247.40
2010-04-23,40,270.83
2010-04-30,24,261.09
2010-05-07,31,235.86
2010-05-14,24,253.82
2010-05-21,19,242.32
2010-05-28,24,256.88
2010-06-04,19,255.96
2010-06-11,25,253.51
2010-06-18,22,274.07
2010-06-25,22,266.70
2010-07-02,23,246.94
2010-07-09,19,259.62
2010-07-16,30,249.90
2010-07-23,35,259.94
2010-07-30,20,257.25
2010-08-06,17,260.09
2010-08-13,17,249.10
2010-08-20,16,249.64
2010-08-27,17,241.62
2010-09-03,19,258.77
2010-09-10,15,263.41
2010-09-17,20,275.37
2010-09-24,24,292.32
2010-10-01,22,282.52
2010-10-08,21,294.07
2010-10-15,29,314.74
2010-10-22,46,307.47
2010-10-29,23,300.98
2010-11-05,23,317.13
2010-11-12,20,308.03
2010-11-19,21,306.73
2010-11-26,15,315.00
2010-12-03,19,317.44
2010-12-10,17,320.56
2010-12-17,18,320.61
2010-12-24,15,
2010-12-31,15,322.56
2011-01-07,21,336.12
2011-01-14,27,348.48
2011-01-21,59,326.72
2011-01-28,25,336.10
2011-02-04,21,346.50
2011-02-11,25,356.85
2011-02-18,25,350.56
2011-02-25,23,348.16
2011-03-04,25,360.00
2011-03-11,20,351.99
2011-03-18,25,330.67
