Date,Gap (The),Price
2004-01-09,56,
2004-01-16,48,
2004-01-23,52,
2004-01-30,58,
2004-02-06,59,20.22
2004-02-13,55,20.20
2004-02-20,54,20.48
2004-02-27,46,20.80
2004-03-05,60,21.62
2004-03-12,80,20.98
2004-03-19,56,20.63
2004-03-26,48,21.08
2004-04-02,62,22.02
2004-04-09,61,
2004-04-16,63,22.16
2004-04-23,59,23.00
2004-04-30,63,22.01
2004-05-07,64,22.00
2004-05-14,62,21.89
2004-05-21,70,22.58
2004-05-28,64,24.15
2004-06-04,54,24.65
2004-06-11,58,
2004-06-18,52,24.46
2004-06-25,49,25.13
2004-07-02,50,23.44
2004-07-09,51,23.74
2004-07-16,55,22.22
2004-07-23,56,21.67
2004-07-30,55,22.70
2004-08-06,62,19.64
2004-08-13,56,19.62
2004-08-20,61,20.62
2004-08-27,65,19.29
2004-09-03,60,20.08
2004-09-10,60,20.02
2004-09-17,66,20.01
2004-09-24,69,19.35
2004-10-01,67,19.04
2004-10-08,66,19.15
2004-10-15,71,19.20
2004-10-22,77,19.90
2004-10-29,73,19.98
2004-11-05,65,22.37
2004-11-12,83,23.24
2004-11-19,79,22.70
2004-11-26,79,23.04
2004-12-03,98,21.48
2004-12-10,100,20.45
2004-12-17,94,20.17
2004-12-24,83,
2004-12-31,77,21.12
2005-01-07,58,20.72
2005-01-14,58,20.95
2005-01-21,52,20.86
2005-01-28,53,21.81
2005-02-04,56,21.39
2005-02-11,53,21.69
2005-02-18,58,21.09
2005-02-25,57,21.29
2005-03-04,60,21.59
2005-03-11,65,22.58
2005-03-18,64,21.49
2005-03-25,61,
2005-04-01,67,21.51
2005-04-08,57,21.42
2005-04-15,55,21.02
2005-04-22,63,21.29
2005-04-29,55,21.35
2005-05-06,62,20.98
2005-05-13,59,20.60
2005-05-20,53,21.46
2005-05-27,52,21.19
2005-06-03,57,20.84
2005-06-10,57,20.99
2005-06-17,47,20.95
2005-06-24,52,19.91
2005-07-01,47,19.82
2005-07-08,44,20.97
2005-07-15,49,20.72
2005-07-22,51,21.36
2005-07-29,54,21.11
2005-08-05,56,20.62
2005-08-12,50,21.63
2005-08-19,53,19.74
2005-08-26,66,18.98
2005-09-02,79,18.52
2005-09-09,73,18.95
2005-09-16,75,18.00
2005-09-23,68,17.10
2005-09-30,68,17.43
2005-10-07,78,16.73
2005-10-14,80,16.18
2005-10-21,67,16.34
2005-10-28,73,16.87
2005-11-04,72,17.27
2005-11-11,62,18.45
2005-11-18,71,17.06
2005-11-25,71,17.72
2005-12-02,80,17.79
2005-12-09,79,17.84
2005-12-16,78,18.24
2005-12-23,64,17.64
2005-12-30,68,17.64
2006-01-06,57,17.61
2006-01-13,53,17.42
2006-01-20,48,16.98
2006-01-27,48,17.38
2006-02-03,52,18.63
2006-02-10,49,18.25
2006-02-17,47,18.82
2006-02-24,50,18.43
2006-03-03,57,18.27
2006-03-10,53,18.01
2006-03-17,53,18.22
2006-03-24,50,18.15
2006-03-31,54,18.68
2006-04-07,53,18.21
2006-04-14,55,
2006-04-21,55,17.92
2006-04-28,47,18.09
2006-05-05,50,18.37
2006-05-12,50,17.85
2006-05-19,49,18.48
2006-05-26,48,18.34
2006-06-02,42,17.89
2006-06-09,46,17.79
2006-06-16,46,17.60
2006-06-23,47,17.53
2006-06-30,46,17.40
2006-07-07,43,16.62
2006-07-14,44,16.36
2006-07-21,47,16.26
2006-07-28,55,17.12
2006-08-04,53,16.75
2006-08-11,52,16.90
2006-08-18,56,16.65
2006-08-25,50,16.61
2006-09-01,50,16.90
2006-09-08,54,16.90
2006-09-15,54,17.92
2006-09-22,55,18.39
2006-09-29,55,18.95
2006-10-06,57,19.07
2006-10-13,66,19.85
