Date,DIS,Price
2004-01-09,63,
2004-01-16,58,
2004-01-23,61,
2004-01-30,55,
2004-02-06,59,23.35
2004-02-13,50,26.92
2004-02-20,52,26.55
2004-02-27,61,26.53
2004-03-05,64,26.48
2004-03-12,49,26.10
2004-03-19,65,25.39
2004-03-26,55,25.10
2004-04-02,57,25.95
2004-04-09,54,
2004-04-16,49,24.90
2004-04-23,58,24.65
2004-04-30,49,23.03
2004-05-07,66,22.45
2004-05-14,48,23.24
2004-05-21,52,22.68
2004-05-28,52,23.47
2004-06-04,48,24.06
2004-06-11,50,
2004-06-18,54,25.02
2004-06-25,52,25.18
2004-07-02,52,25.27
2004-07-09,58,24.60
2004-07-16,59,23.45
2004-07-23,60,22.96
2004-07-30,66,23.09
2004-08-06,53,21.99
2004-08-13,52,20.89
2004-08-20,58,22.44
2004-08-27,53,22.66
2004-09-03,55,22.37
2004-09-10,55,23.16
2004-09-17,56,23.42
2004-09-24,59,23.46
2004-10-01,58,23.08
2004-10-08,52,24.85
2004-10-15,59,24.91
2004-10-22,59,24.62
2004-10-29,58,25.22
2004-11-05,63,26.43
2004-11-12,58,26.80
2004-11-19,58,26.66
2004-11-26,52,27.12
2004-12-03,59,27.37
2004-12-10,53,27.63
2004-12-17,52,27.37
2004-12-24,53,
2004-12-31,48,27.80
2005-01-07,52,27.17
2005-01-14,63,28.30
2005-01-21,61,28.15
2005-01-28,58,28.23
2005-02-04,60,29.31
2005-02-11,60,29.34
2005-02-18,54,29.06
2005-02-25,53,27.89
2005-03-04,61,28.88
2005-03-11,67,27.59
2005-03-18,63,28.09
2005-03-25,56,
2005-04-01,60,28.58
2005-04-08,63,28.40
2005-04-15,61,27.37
2005-04-22,52,27.30
2005-04-29,68,26.40
2005-05-06,57,26.89
2005-05-13,58,27.00
2005-05-20,51,27.83
2005-05-27,54,27.88
2005-06-03,54,27.32
2005-06-10,54,27.52
2005-06-17,60,26.70
2005-06-24,59,26.04
2005-07-01,54,25.09
2005-07-08,56,25.00
2005-07-15,59,26.38
2005-07-22,55,25.83
2005-07-29,56,25.64
2005-08-05,56,25.48
2005-08-12,54,25.76
2005-08-19,57,25.97
2005-08-26,51,25.33
2005-09-02,56,24.76
2005-09-09,55,25.04
2005-09-16,58,24.11
2005-09-23,56,23.22
2005-09-30,56,24.13
2005-10-07,59,24.10
2005-10-14,55,23.39
2005-10-21,62,22.98
2005-10-28,55,23.82
2005-11-04,59,24.81
2005-11-11,59,25.86
2005-11-18,62,25.20
2005-11-25,55,25.05
2005-12-02,55,24.88
2005-12-09,56,25.19
2005-12-16,58,24.70
2005-12-23,61,24.27
2005-12-30,51,23.97
2006-01-06,59,24.74
2006-01-13,66,25.70
2006-01-20,64,25.72
2006-01-27,74,25.08
2006-02-03,59,25.01
2006-02-10,65,26.68
2006-02-17,58,26.91
2006-02-24,60,27.98
2006-03-03,61,28.22
2006-03-10,65,28.16
2006-03-17,63,28.64
2006-03-24,61,27.45
2006-03-31,57,27.89
2006-04-07,65,27.53
2006-04-14,62,
2006-04-21,62,27.02
2006-04-28,59,27.96
2006-05-05,58,29.09
2006-05-12,62,29.90
2006-05-19,61,30.15
2006-05-26,62,30.51
2006-06-02,60,30.62
2006-06-09,59,29.33
2006-06-16,58,29.45
2006-06-23,59,29.12
2006-06-30,61,30.00
2006-07-07,65,29.83
2006-07-14,58,28.49
2006-07-21,56,28.47
2006-07-28,60,29.70
2006-08-04,61,29.90
2006-08-11,59,29.43
2006-08-18,60,29.91
2006-08-25,59,28.95
2006-09-01,55,29.89
2006-09-08,61,29.58
2006-09-15,60,30.31
2006-09-22,58,30.08
2006-09-29,60,30.91
2006-10-06,65,31.34
2006-10-13,59,31.11
2006-10-20,61,31.45
2006-10-27,65,31.73
2006-11-03,89,31.89
2006-11-10,90,32.40
2006-11-17,79,32.94
2006-11-24,75,32.91
2006-12-01,72,33.09
2006-12-08,70,34.39
2006-12-15,66,34.30
2006-12-22,63,34.16
2006-12-29,65,34.27
2007-01-05,63,34.19
2007-01-12,69,35.21
2007-01-19,66,35.50
2007-01-26,69,34.55
2007-02-02,68,35.18
2007-02-09,69,34.36
2007-02-16,67,34.89
2007-02-23,68,35.14
2007-03-02,75,33.95
2007-03-09,74,34.37
2007-03-16,72,33.61
2007-03-23,75,34.99
2007-03-30,68,34.43
2007-04-06,64,
2007-04-13,66,34.72
2007-04-20,72,35.28
2007-04-27,63,34.98
2007-05-04,65,35.85
2007-05-11,75,36.07
2007-05-18,69,36.02
2007-05-25,66,36.03
2007-06-01,71,35.24
2007-06-08,73,34.20
2007-06-15,76,34.40
2007-06-22,68,34.14
2007-06-29,72,34.14
2007-07-06,73,34.49
2007-07-13,64,34.37
2007-07-20,64,34.34
2007-07-27,66,33.74
2007-08-03,64,33.90
2007-08-10,65,33.16
2007-08-17,62,32.68
2007-08-24,66,33.87
2007-08-31,63,33.60
2007-09-07,64,33.59
2007-09-14,63,33.56
2007-09-21,68,34.60
2007-09-28,66,34.39
2007-10-05,64,35.47
2007-10-12,65,35.47
2007-10-19,65,33.81
2007-10-26,67,34.38
2007-11-02,70,33.92
2007-11-09,68,32.74
2007-11-16,64,32.53
2007-11-23,67,31.84
2007-11-30,68,33.15
2007-12-07,64,32.79
2007-12-14,69,33.01
2007-12-21,64,32.94
2007-12-28,62,32.42
2008-01-04,71,31.13
2008-01-11,69,30.32
2008-01-18,72,28.51
2008-01-25,74,28.68
2008-02-01,74,30.66
2008-02-08,79,32.12
2008-02-15,79,32.49
2008-02-22,75,32.57
2008-02-29,74,32.41
2008-03-07,79,30.76
2008-03-14,73,30.78
2008-03-21,72,
2008-03-28,71,31.00
2008-04-04,78,31.24
2008-04-11,82,30.18
2008-04-18,79,31.33
2008-04-25,78,32.36
2008-05-02,80,33.49
2008-05-09,82,34.30
2008-05-16,79,34.91
2008-05-23,75,33.23
2008-05-30,76,33.60
2008-06-06,74,33.01
2008-06-13,77,33.93
2008-06-20,79,31.94
2008-06-27,78,31.57
2008-07-04,71,
2008-07-11,70,29.20
2008-07-18,67,30.90
2008-07-25,69,31.10
2008-08-01,71,30.08
2008-08-08,69,32.03
2008-08-15,69,32.50
2008-08-22,69,32.20
2008-08-29,67,32.35
2008-09-05,71,31.36
2008-09-12,71,33.26
2008-09-19,70,34.39
2008-09-26,68,32.75
2008-10-03,70,29.54
2008-10-10,72,23.04
2008-10-17,73,24.75
2008-10-24,69,22.61
2008-10-31,68,25.91
2008-11-07,70,23.36
2008-11-14,72,21.08
2008-11-21,69,21.12
2008-11-28,70,22.52
2008-12-05,68,22.77
2008-12-12,66,22.61
2008-12-19,68,22.43
2008-12-26,64,22.18
2009-01-02,61,23.92
2009-01-09,65,22.31
2009-01-16,69,21.46
2009-01-23,69,20.61
2009-01-30,69,20.68
2009-02-06,69,19.45
2009-02-13,72,18.52
2009-02-20,75,17.53
2009-02-27,77,16.77
2009-03-06,79,15.83
2009-03-13,75,17.13
2009-03-20,76,17.45
2009-03-27,79,18.59
2009-04-03,81,20.00
2009-04-10,75,
2009-04-17,69,20.38
2009-04-24,71,20.26
2009-05-01,73,21.94
2009-05-08,73,25.46
2009-05-15,77,23.41
2009-05-22,69,23.70
2009-05-29,70,24.22
2009-06-05,69,24.95
2009-06-12,70,25.06
2009-06-19,71,23.53
2009-06-26,69,23.43
2009-07-03,67,
2009-07-10,67,22.41
2009-07-17,64,24.51
2009-07-24,66,26.58
2009-07-31,67,25.12
2009-08-07,70,26.69
2009-08-14,74,25.86
2009-08-21,68,26.79
2009-08-28,72,26.84
2009-09-04,68,25.90
2009-09-11,67,28.42
2009-09-18,65,28.44
2009-09-25,65,27.62
2009-10-02,64,27.21
2009-10-09,70,28.64
2009-10-16,70,29.40
2009-10-23,68,28.89
2009-10-30,68,27.37
2009-11-06,67,28.56
2009-11-13,67,30.44
2009-11-20,67,30.01
2009-11-27,67,30.35
2009-12-04,68,30.84
2009-12-11,67,31.70
2009-12-18,64,31.95
2009-12-25,61,
2010-01-01,56,
2010-01-08,64,31.88
2010-01-15,68,30.60
2010-01-22,64,29.98
2010-01-29,66,29.55
2010-02-05,66,29.54
2010-02-12,69,30.07
2010-02-19,66,31.23
2010-02-26,65,31.24
2010-03-05,66,33.22
2010-03-12,71,33.69
2010-03-19,67,33.64
2010-03-26,66,35.31
2010-04-02,66,
2010-04-09,66,36.22
2010-04-16,69,35.83
2010-04-23,67,36.79
2010-04-30,70,36.84
2010-05-07,71,33.41
2010-05-14,69,34.06
2010-05-21,64,32.87
2010-05-28,66,33.42
2010-06-04,63,33.69
2010-06-11,61,34.24
2010-06-18,67,35.15
2010-06-25,64,33.48
2010-07-02,62,31.38
2010-07-09,63,33.75
2010-07-16,64,33.03
2010-07-23,64,34.13
2010-07-30,66,33.69
2010-08-06,63,35.00
2010-08-13,71,33.68
2010-08-20,70,33.05
2010-08-27,65,32.78
2010-09-03,65,34.67
2010-09-10,68,34.15
2010-09-17,72,34.56
2010-09-24,73,33.58
2010-10-01,75,33.34
2010-10-08,77,34.51
2010-10-15,76,34.88
2010-10-22,99,34.97
2010-10-29,77,36.13
2010-11-05,77,37.20
2010-11-12,76,37.75
2010-11-19,75,37.01
2010-11-26,75,36.70
2010-12-03,77,37.59
2010-12-10,76,36.66
2010-12-17,76,37.05
2010-12-24,74,
2010-12-31,75,37.51
2011-01-07,78,39.45
2011-01-14,77,39.29
