Date,buy K,Price
2004-01-09,47,
2004-01-16,48,
2004-01-23,49,
2004-01-30,50,
2004-02-06,51,38.05
2004-02-13,37,38.49
2004-02-20,37,38.95
2004-02-27,33,39.49
2004-03-05,33,39.30
2004-03-12,33,39.55
2004-03-19,33,38.87
2004-03-26,37,38.42
2004-04-02,41,39.19
2004-04-09,45,
2004-04-16,34,41.34
2004-04-23,34,42.82
2004-04-30,31,42.90
2004-05-07,32,42.34
2004-05-14,33,42.02
2004-05-21,34,42.31
2004-05-28,34,42.40
2004-06-04,35,42.46
2004-06-11,43,
2004-06-18,30,41.07
2004-06-25,31,41.17
2004-07-02,32,41.31
2004-07-09,33,41.85
2004-07-16,34,41.21
2004-07-23,34,40.23
2004-07-30,54,41.66
2004-08-06,34,40.76
2004-08-13,34,40.89
2004-08-20,34,41.58
2004-08-27,29,42.01
2004-09-03,39,42.01
2004-09-10,49,42.12
2004-09-17,47,42.71
2004-09-24,47,41.44
2004-10-01,29,42.70
2004-10-08,32,42.09
2004-10-15,35,42.05
2004-10-22,33,42.41
2004-10-29,33,43.00
2004-11-05,31,44.27
2004-11-12,67,45.00
2004-11-19,43,44.29
2004-11-26,46,45.01
2004-12-03,43,44.48
2004-12-10,65,43.38
2004-12-17,32,44.02
2004-12-24,50,
2004-12-31,44,44.66
2005-01-07,34,44.21
2005-01-14,25,44.30
2005-01-21,27,44.30
2005-01-28,24,45.29
2005-02-04,24,44.45
2005-02-11,28,44.90
2005-02-18,32,44.01
2005-02-25,28,44.30
2005-03-04,28,44.58
2005-03-11,33,43.35
2005-03-18,23,42.81
2005-03-25,36,
2005-04-01,28,42.69
2005-04-08,27,43.30
2005-04-15,27,43.43
2005-04-22,27,42.92
2005-04-29,24,44.95
2005-05-06,35,45.46
2005-05-13,31,44.90
2005-05-20,31,45.19
2005-05-27,37,45.75
2005-06-03,26,46.18
2005-06-10,33,45.52
2005-06-17,34,45.50
2005-06-24,35,44.47
2005-07-01,22,44.64
2005-07-08,37,44.63
2005-07-15,29,44.80
2005-07-22,20,44.49
2005-07-29,46,45.31
2005-08-05,36,44.82
2005-08-12,35,45.30
2005-08-19,28,45.74
2005-08-26,29,45.16
2005-09-02,21,45.17
2005-09-09,27,45.83
2005-09-16,36,45.00
2005-09-23,28,44.06
2005-09-30,24,46.13
2005-10-07,44,45.61
2005-10-14,22,45.81
2005-10-21,33,46.09
2005-10-28,36,46.46
2005-11-04,26,43.90
2005-11-11,28,44.87
2005-11-18,38,44.57
2005-11-25,46,45.18
2005-12-02,41,44.56
2005-12-09,58,43.89
2005-12-16,56,44.63
2005-12-23,55,44.13
