Date,TRV,Price
2004-01-09,86,
2004-01-16,93,
2004-01-23,95,
2004-01-30,75,
2004-02-06,71,42.78
2004-02-13,84,43.22
2004-02-20,72,43.06
2004-02-27,78,42.74
2004-03-05,100,42.24
2004-03-12,69,40.63
2004-03-19,82,40.17
2004-03-26,69,39.74
2004-04-02,82,42.13
2004-04-09,76,
2004-04-16,64,42.70
2004-04-23,70,42.60
2004-04-30,64,40.67
2004-05-07,64,40.23
2004-05-14,64,40.23
2004-05-21,69,39.76
2004-05-28,72,39.68
2004-06-04,78,40.46
2004-06-11,73,
2004-06-18,64,41.27
2004-06-25,61,41.59
2004-07-02,66,39.61
2004-07-09,57,38.72
2004-07-16,58,38.30
2004-07-23,57,35.66
2004-07-30,53,37.07
2004-08-06,53,33.86
2004-08-13,55,32.94
2004-08-20,53,34.73
2004-08-27,51,34.75
2004-09-03,52,34.32
2004-09-10,53,33.69
2004-09-17,45,35.18
2004-09-24,42,34.32
2004-10-01,35,33.51
2004-10-08,44,33.85
2004-10-15,41,31.94
2004-10-22,45,31.13
2004-10-29,35,33.96
2004-11-05,45,36.31
2004-11-12,52,36.54
2004-11-19,46,35.71
2004-11-26,47,36.42
2004-12-03,46,37.23
2004-12-10,50,36.85
2004-12-17,51,37.19
2004-12-24,50,
2004-12-31,63,37.07
2005-01-07,51,36.98
2005-01-14,34,37.49
2005-01-21,41,36.20
2005-01-28,42,36.90
2005-02-04,44,38.67
2005-02-11,33,39.40
2005-02-18,35,38.14
2005-02-25,38,38.82
2005-03-04,36,38.24
2005-03-11,35,37.89
2005-03-18,39,36.96
2005-03-25,35,
2005-04-01,41,35.36
2005-04-08,30,35.28
2005-04-15,39,34.10
2005-04-22,28,34.45
2005-04-29,39,35.80
2005-05-06,39,37.92
2005-05-13,37,37.27
2005-05-20,40,37.40
2005-05-27,34,38.15
2005-06-03,37,38.38
2005-06-10,34,39.15
2005-06-17,38,38.89
2005-06-24,31,38.16
2005-07-01,34,39.60
2005-07-08,33,40.03
2005-07-15,34,41.46
2005-07-22,36,41.09
2005-07-29,34,44.02
2005-08-05,31,44.01
2005-08-12,32,44.40
2005-08-19,31,44.34
2005-08-26,33,44.74
2005-09-02,34,42.44
2005-09-09,29,41.86
2005-09-16,21,43.50
2005-09-23,25,42.75
2005-09-30,24,44.87
2005-10-07,25,42.47
2005-10-14,30,42.33
2005-10-21,25,42.30
2005-10-28,28,44.46
2005-11-04,32,45.72
2005-11-11,27,46.02
2005-11-18,30,46.45
2005-11-25,25,46.31
2005-12-02,26,46.50
2005-12-09,27,45.39
2005-12-16,33,44.78
2005-12-23,36,45.33
2005-12-30,32,44.67
2006-01-06,31,47.21
2006-01-13,26,47.25
2006-01-20,22,45.01
2006-01-27,21,46.54
2006-02-03,23,44.79
2006-02-10,27,43.63
2006-02-17,24,43.03
2006-02-24,24,42.55
2006-03-03,26,42.87
2006-03-10,20,42.32
2006-03-17,21,41.55
2006-03-24,25,41.46
2006-03-31,27,41.79
2006-04-07,26,41.29
2006-04-14,24,
2006-04-21,22,42.71
2006-04-28,22,44.03
2006-05-05,21,45.76
2006-05-12,26,44.72
2006-05-19,27,44.65
2006-05-26,24,43.81
2006-06-02,25,43.80
2006-06-09,22,43.10
2006-06-16,23,43.88
2006-06-23,19,44.15
2006-06-30,22,44.58
2006-07-07,27,44.10
2006-07-14,24,43.56
2006-07-21,24,44.22
2006-07-28,23,46.14
2006-08-04,24,44.49
2006-08-11,20,42.62
2006-08-18,20,44.50
2006-08-25,20,43.66
2006-09-01,20,44.30
2006-09-08,20,45.05
2006-09-15,20,45.96
2006-09-22,23,46.20
2006-09-29,23,46.89
2006-10-06,23,47.64
2006-10-13,22,49.09
2006-10-20,18,48.39
2006-10-27,22,49.92
2006-11-03,20,51.14
2006-11-10,17,52.91
2006-11-17,19,52.12
2006-11-24,23,51.13
2006-12-01,21,51.25
2006-12-08,22,52.32
2006-12-15,21,53.56
2006-12-22,25,53.55
2006-12-29,26,53.69
2007-01-05,21,52.41
2007-01-12,20,51.06
2007-01-19,20,51.37
2007-01-26,21,50.66
2007-02-02,21,52.43
2007-02-09,23,52.49
2007-02-16,18,52.73
2007-02-23,20,53.00
2007-03-02,21,50.58
2007-03-09,19,51.68
2007-03-16,19,50.35
2007-03-23,17,52.49
2007-03-30,20,51.77
2007-04-06,21,
2007-04-13,19,53.19
2007-04-20,19,53.96
2007-04-27,22,53.67
2007-05-04,20,54.70
2007-05-11,16,56.76
2007-05-18,25,56.29
2007-05-25,21,54.57
2007-06-01,18,54.58
2007-06-08,20,54.60
2007-06-15,17,53.92
2007-06-22,17,52.38
2007-06-29,16,53.50
2007-07-06,19,54.52
2007-07-13,20,53.58
2007-07-20,18,51.73
2007-07-27,18,50.65
2007-08-03,20,48.92
2007-08-10,21,50.63
2007-08-17,20,52.93
2007-08-24,20,52.51
2007-08-31,19,50.54
2007-09-07,18,49.85
2007-09-14,16,49.69
2007-09-21,16,51.01
2007-09-28,20,50.34
2007-10-05,16,53.81
2007-10-12,20,54.17
2007-10-19,19,51.21
2007-10-26,20,53.21
2007-11-02,18,52.42
2007-11-09,20,51.40
2007-11-16,20,52.72
2007-11-23,18,51.61
2007-11-30,17,53.11
2007-12-07,19,54.16
2007-12-14,18,52.69
2007-12-21,21,53.71
2007-12-28,24,54.14
2008-01-04,21,51.39
2008-01-11,20,51.46
2008-01-18,21,46.19
2008-01-25,20,45.43
2008-02-01,21,49.63
2008-02-08,18,46.56
2008-02-15,19,47.87
2008-02-22,21,47.90
2008-02-29,18,46.41
2008-03-07,18,46.63
2008-03-14,18,44.92
2008-03-21,17,
2008-03-28,17,47.42
2008-04-04,19,49.30
2008-04-11,16,49.30
2008-04-18,17,50.31
2008-04-25,17,50.21
2008-05-02,18,52.06
2008-05-09,17,50.18
2008-05-16,21,50.82
2008-05-23,19,48.31
2008-05-30,20,49.81
2008-06-06,20,47.25
2008-06-13,18,47.84
2008-06-20,19,45.63
2008-06-27,17,44.30
2008-07-04,17,
2008-07-11,19,44.12
2008-07-18,19,43.95
2008-07-25,22,42.33
2008-08-01,17,44.06
2008-08-08,20,44.39
2008-08-15,22,44.46
2008-08-22,20,44.31
2008-08-29,16,44.16
2008-09-05,19,43.28
2008-09-12,20,45.05
2008-09-19,21,50.76
2008-09-26,21,44.00
2008-10-03,21,38.80
2008-10-10,23,30.50
2008-10-17,19,34.03
2008-10-24,19,41.74
2008-10-31,23,42.55
2008-11-07,20,39.61
2008-11-14,19,41.88
2008-11-21,18,38.77
2008-11-28,22,43.65
2008-12-05,20,43.41
2008-12-12,21,40.58
2008-12-19,19,42.84
2008-12-26,25,42.47
2009-01-02,20,45.20
2009-01-09,18,41.98
2009-01-16,21,41.05
2009-01-23,19,37.92
2009-01-30,20,38.64
2009-02-06,20,39.72
2009-02-13,19,40.37
2009-02-20,22,38.34
2009-02-27,21,36.15
2009-03-06,17,34.44
2009-03-13,20,38.34
2009-03-20,19,38.81
2009-03-27,19,39.35
2009-04-03,19,42.61
2009-04-10,18,
2009-04-17,19,42.53
2009-04-24,17,39.50
2009-05-01,18,41.21
2009-05-08,17,38.82
2009-05-15,20,39.76
2009-05-22,20,40.26
2009-05-29,22,40.66
2009-06-05,23,43.75
2009-06-12,19,43.20
2009-06-19,18,42.08
2009-06-26,16,40.88
2009-07-03,20,
2009-07-10,19,39.00
2009-07-17,20,40.42
2009-07-24,20,43.22
2009-07-31,20,43.07
2009-08-07,18,47.46
2009-08-14,20,47.25
2009-08-21,17,48.20
2009-08-28,19,49.61
2009-09-04,19,50.12
2009-09-11,20,48.41
2009-09-18,19,47.37
2009-09-25,20,47.75
2009-10-02,19,49.04
2009-10-09,20,48.81
2009-10-16,21,48.67
2009-10-23,21,51.30
2009-10-30,18,49.79
2009-11-06,21,51.90
2009-11-13,18,53.28
2009-11-20,18,52.38
2009-11-27,21,51.65
2009-12-04,20,51.04
2009-12-11,23,50.70
2009-12-18,22,48.14
2009-12-25,20,
2010-01-01,23,
2010-01-08,20,48.56
2010-01-15,24,48.79
2010-01-22,21,48.31
2010-01-29,19,50.67
2010-02-05,22,50.28
2010-02-12,20,50.45
2010-02-19,21,52.88
2010-02-26,20,52.59
2010-03-05,20,53.94
2010-03-12,22,53.16
2010-03-19,18,53.46
2010-03-26,22,54.35
2010-04-02,19,
2010-04-09,20,52.40
2010-04-16,18,52.14
2010-04-23,18,53.38
2010-04-30,19,50.74
2010-05-07,17,49.26
2010-05-14,20,50.12
2010-05-21,20,49.23
2010-05-28,18,49.47
2010-06-04,19,48.61
2010-06-11,18,50.41
2010-06-18,19,51.35
2010-06-25,19,51.12
2010-07-02,19,48.54
2010-07-09,19,51.15
2010-07-16,18,49.62
2010-07-23,22,50.14
2010-07-30,19,50.45
2010-08-06,19,50.27
2010-08-13,19,50.14
2010-08-20,19,50.09
2010-08-27,19,49.87
2010-09-03,20,51.03
2010-09-10,19,50.06
2010-09-17,20,52.67
2010-09-24,21,53.12
2010-10-01,19,52.12
2010-10-08,19,52.81
2010-10-15,20,53.63
2010-10-22,22,55.10
2010-10-29,19,55.20
2010-11-05,21,57.44
2010-11-12,21,56.31
2010-11-19,21,55.49
2010-11-26,21,54.37
2010-12-03,21,54.86
2010-12-10,23,54.78
2010-12-17,22,55.18
2010-12-24,23,
2010-12-31,21,55.71
2011-01-07,22,53.33
2011-01-14,24,54.63
2011-01-21,22,55.00
2011-01-28,21,55.81
2011-02-04,20,57.41
2011-02-11,20,58.99
2011-02-18,21,60.92
2011-02-25,20,59.60
2011-03-04,20,59.18
2011-03-11,20,58.88
2011-03-18,20,58.06
2011-03-25,21,58.98
2011-04-01,18,59.71
2011-04-08,18,59.58
2011-04-15,20,59.80
2011-04-22,19,
2011-04-29,21,63.28
2011-05-06,21,63.43
2011-05-13,20,62.33
2011-05-20,19,62.25
2011-05-27,19,61.52
2011-06-03,18,61.18
2011-06-10,20,59.21
2011-06-17,19,57.92
2011-06-24,18,56.68
2011-07-01,16,59.11
2011-07-08,19,58.66
2011-07-15,17,57.90
2011-07-22,17,57.58
2011-07-29,18,55.13
2011-08-05,16,52.57
2011-08-12,18,51.13
2011-08-19,18,49.46
2011-08-26,17,48.30
