Date,Chesapeake Energy,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,12.16
2004-02-13,0,12.90
2004-02-20,0,12.47
2004-02-27,0,12.82
2004-03-05,0,13.48
2004-03-12,0,12.95
2004-03-19,0,12.86
2004-03-26,0,12.65
2004-04-02,0,13.42
2004-04-09,0,
2004-04-16,0,14.00
2004-04-23,0,14.09
2004-04-30,0,13.75
2004-05-07,0,13.59
2004-05-14,0,13.52
2004-05-21,0,13.27
2004-05-28,0,13.20
2004-06-04,0,13.13
2004-06-11,0,
2004-06-18,0,14.39
2004-06-25,0,14.90
2004-07-02,0,15.16
2004-07-09,0,15.48
2004-07-16,0,15.99
2004-07-23,0,15.26
2004-07-30,0,15.35
2004-08-06,0,13.93
2004-08-13,0,14.39
2004-08-20,0,14.36
2004-08-27,0,14.13
2004-09-03,0,14.47
2004-09-10,0,14.88
2004-09-17,0,15.12
2004-09-24,0,15.70
2004-10-01,0,16.08
2004-10-08,0,16.76
2004-10-15,0,15.84
2004-10-22,0,16.09
2004-10-29,0,16.08
2004-11-05,15,17.03
2004-11-12,0,17.19
2004-11-19,0,17.17
2004-11-26,0,18.13
2004-12-03,0,16.74
2004-12-10,0,15.90
2004-12-17,0,17.16
2004-12-24,0,
2004-12-31,0,16.50
2005-01-07,0,15.63
2005-01-14,0,16.58
2005-01-21,0,16.86
2005-01-28,0,17.36
2005-02-04,0,18.22
2005-02-11,0,18.81
2005-02-18,0,19.81
2005-02-25,15,21.57
2005-03-04,13,23.28
2005-03-11,13,21.96
2005-03-18,15,22.79
2005-03-25,13,
2005-04-01,13,22.49
2005-04-08,13,21.22
2005-04-15,13,19.35
2005-04-22,14,20.64
2005-04-29,15,19.24
2005-05-06,16,20.00
2005-05-13,13,18.40
2005-05-20,13,19.28
2005-05-27,13,20.29
2005-06-03,13,21.00
2005-06-10,0,21.50
2005-06-17,0,23.39
2005-06-24,0,23.04
2005-07-01,0,24.19
2005-07-08,0,25.14
2005-07-15,13,24.50
2005-07-22,18,25.53
2005-07-29,22,26.11
2005-08-05,24,28.47
2005-08-12,13,29.09
2005-08-19,13,27.05
2005-08-26,14,28.11
2005-09-02,14,31.78
2005-09-09,13,33.35
2005-09-16,13,33.86
2005-09-23,11,35.22
2005-09-30,16,38.25
2005-10-07,37,34.04
2005-10-14,14,32.60
2005-10-21,12,29.55
2005-10-28,12,31.43
2005-11-04,18,29.04
2005-11-11,12,27.43
2005-11-18,15,28.73
2005-11-25,11,29.40
2005-12-02,16,30.52
2005-12-09,16,31.15
2005-12-16,15,32.06
2005-12-23,16,32.16
2005-12-30,18,31.73
2006-01-06,20,32.25
2006-01-13,14,32.54
2006-01-20,11,33.53
2006-01-27,17,32.34
2006-02-03,18,33.61
2006-02-10,10,29.62
2006-02-17,17,29.73
2006-02-24,11,30.00
2006-03-03,12,31.51
2006-03-10,11,30.00
2006-03-17,10,31.50
2006-03-24,9,31.20
2006-03-31,10,31.41
2006-04-07,8,31.28
2006-04-14,9,
2006-04-21,12,33.25
2006-04-28,14,31.68
2006-05-05,19,32.85
2006-05-12,9,31.53
2006-05-19,10,29.41
2006-05-26,11,30.02
2006-06-02,12,30.67
2006-06-09,11,28.89
2006-06-16,12,30.01
2006-06-23,12,30.48
2006-06-30,10,30.25
2006-07-07,16,29.40
2006-07-14,17,29.47
2006-07-21,12,28.54
2006-07-28,12,32.20
2006-08-04,12,32.43
2006-08-11,9,31.95
2006-08-18,11,31.20
2006-08-25,11,32.32
2006-09-01,11,32.00
2006-09-08,11,30.24
2006-09-15,16,29.05
2006-09-22,17,28.84
2006-09-29,18,28.98
2006-10-06,10,28.96
2006-10-13,10,29.76
2006-10-20,14,30.60
2006-10-27,16,32.40
2006-11-03,11,32.15
2006-11-10,14,32.30
2006-11-17,8,32.51
2006-11-24,13,32.55
2006-12-01,12,34.09
2006-12-08,11,32.08
2006-12-15,8,31.15
2006-12-22,12,29.80
2006-12-29,8,29.05
2007-01-05,14,27.95
2007-01-12,12,28.05
2007-01-19,18,28.96
2007-01-26,8,29.00
2007-02-02,18,29.46
2007-02-09,10,29.63
2007-02-16,12,29.68
2007-02-23,11,30.47
2007-03-02,8,29.89
2007-03-09,9,30.13
2007-03-16,7,29.57
2007-03-23,12,30.76
2007-03-30,14,30.88
2007-04-06,10,
2007-04-13,11,33.69
2007-04-20,12,32.81
2007-04-27,13,33.67
2007-05-04,16,35.54
2007-05-11,16,34.30
2007-05-18,13,35.26
2007-05-25,15,34.89
2007-06-01,12,35.04
2007-06-08,13,35.58
2007-06-15,10,37.32
2007-06-22,8,36.22
2007-06-29,11,34.60
2007-07-06,12,35.25
2007-07-13,16,36.32
2007-07-20,17,36.49
2007-07-27,12,33.78
2007-08-03,17,35.17
2007-08-10,13,34.02
2007-08-17,22,33.55
2007-08-24,15,33.04
2007-08-31,17,32.26
2007-09-07,13,33.99
2007-09-14,14,34.95
2007-09-21,14,35.56
2007-09-28,15,35.26
2007-10-05,13,36.87
2007-10-12,16,37.49
2007-10-19,11,37.60
2007-10-26,14,38.81
2007-11-02,14,40.07
2007-11-09,17,40.22
2007-11-16,9,38.18
2007-11-23,12,38.13
2007-11-30,19,37.85
2007-12-07,14,38.37
2007-12-14,15,38.21
2007-12-21,14,39.09
2007-12-28,5,39.53
2008-01-04,18,39.32
2008-01-11,14,39.52
2008-01-18,16,37.23
2008-01-25,25,36.10
2008-02-01,19,37.71
2008-02-08,15,38.64
2008-02-15,21,43.05
2008-02-22,21,44.45
2008-02-29,18,45.22
2008-03-07,19,44.74
2008-03-14,16,47.90
2008-03-21,16,
2008-03-28,24,45.50
2008-04-04,27,46.42
2008-04-11,21,47.60
2008-04-18,27,50.39
2008-04-25,31,54.68
2008-05-02,31,52.67
2008-05-09,24,56.67
2008-05-16,23,58.78
2008-05-23,27,52.55
2008-05-30,24,54.77
2008-06-06,24,58.05
2008-06-13,30,59.26
2008-06-20,29,63.96
2008-06-27,31,64.09
2008-07-04,26,
2008-07-11,43,63.52
2008-07-18,37,54.33
2008-07-25,32,48.29
2008-08-01,46,49.22
2008-08-08,40,43.29
2008-08-15,30,45.53
2008-08-22,31,47.65
2008-08-29,33,48.40
2008-09-05,34,44.34
2008-09-12,31,42.26
2008-09-19,32,41.73
2008-09-26,42,37.94
2008-10-03,38,28.92
2008-10-10,61,16.52
2008-10-17,100,20.47
2008-10-24,45,20.40
2008-10-31,38,21.97
2008-11-07,39,23.39
2008-11-14,38,21.23
2008-11-21,36,16.97
2008-11-28,21,17.18
2008-12-05,31,11.32
2008-12-12,33,16.64
2008-12-19,16,15.97
2008-12-26,16,15.40
2009-01-02,23,17.27
2009-01-09,30,16.68
2009-01-16,23,15.26
2009-01-23,26,14.90
2009-01-30,35,15.81
2009-02-06,25,18.11
2009-02-13,18,18.60
2009-02-20,23,15.70
2009-02-27,29,15.64
2009-03-06,23,14.06
2009-03-13,21,15.46
2009-03-20,15,17.64
2009-03-27,21,18.34
2009-04-03,23,19.95
2009-04-10,20,
2009-04-17,18,21.63
2009-04-24,24,20.80
2009-05-01,22,20.89
2009-05-08,30,23.84
2009-05-15,17,19.95
2009-05-22,19,20.50
2009-05-29,18,22.66
2009-06-05,18,23.28
2009-06-12,15,23.84
2009-06-19,22,20.95
2009-06-26,23,19.64
2009-07-03,12,
2009-07-10,18,17.85
2009-07-17,19,20.12
2009-07-24,16,21.29
2009-07-31,20,21.44
2009-08-07,25,24.44
2009-08-14,20,23.66
2009-08-21,18,23.79
2009-08-28,22,23.59
2009-09-04,20,22.20
2009-09-11,17,26.12
2009-09-18,22,27.85
2009-09-25,20,27.53
2009-10-02,20,26.70
2009-10-09,18,28.66
2009-10-16,25,28.67
2009-10-23,21,26.73
2009-10-30,24,24.50
2009-11-06,25,24.22
2009-11-13,19,25.03
2009-11-20,15,23.03
2009-11-27,13,24.17
2009-12-04,15,22.57
2009-12-11,20,23.03
2009-12-18,24,26.06
2009-12-25,18,
2010-01-01,17,
2010-01-08,31,28.91
2010-01-15,19,27.91
2010-01-22,23,26.62
2010-01-29,27,24.78
2010-02-05,21,24.52
2010-02-12,17,24.96
2010-02-19,26,27.59
2010-02-26,20,26.57
2010-03-05,21,26.31
2010-03-12,22,25.64
2010-03-19,46,24.21
2010-03-26,24,22.37
2010-04-02,22,
2010-04-09,22,24.56
2010-04-16,23,23.88
2010-04-23,22,24.89
2010-04-30,22,23.80
2010-05-07,19,21.91
2010-05-14,25,22.62
2010-05-21,19,21.01
2010-05-28,19,22.34
2010-06-04,16,24.09
2010-06-11,20,24.64
2010-06-18,22,24.61
2010-06-25,23,22.98
2010-07-02,20,20.51
2010-07-09,18,21.48
2010-07-16,18,20.87
2010-07-23,21,21.81
2010-07-30,21,21.03
2010-08-06,24,22.29
2010-08-13,23,20.78
2010-08-20,24,20.38
2010-08-27,21,20.81
2010-09-03,25,21.72
2010-09-10,18,21.20
2010-09-17,24,21.46
2010-09-24,23,21.56
2010-10-01,22,22.80
2010-10-08,24,23.05
2010-10-15,34,22.99
2010-10-22,21,21.20
2010-10-29,23,21.68
2010-11-05,23,22.27
2010-11-12,21,22.72
2010-11-19,39,22.64
2010-11-26,18,21.99
2010-12-03,27,22.16
2010-12-10,24,22.92
2010-12-17,23,23.30
2010-12-24,26,
2010-12-31,22,25.91
2011-01-07,31,26.95
2011-01-14,26,27.66
2011-01-21,28,27.80
2011-01-28,30,27.33
2011-02-04,31,30.06
2011-02-11,37,30.84
2011-02-18,27,30.43
2011-02-25,42,35.37
2011-03-04,29,33.57
2011-03-11,26,32.81
2011-03-18,25,33.37
2011-03-25,26,34.24
2011-04-01,29,33.50
2011-04-08,31,34.02
2011-04-15,28,32.73
2011-04-22,34,
2011-04-29,33,33.67
2011-05-06,30,30.95
2011-05-13,29,29.78
2011-05-20,34,30.62
2011-05-27,26,31.11
2011-06-03,26,30.53
2011-06-10,26,29.24
2011-06-17,32,28.02
2011-06-24,28,28.01
2011-07-01,27,30.10
2011-07-08,23,30.58
2011-07-15,40,32.96
2011-07-22,33,34.39
2011-07-29,43,34.35
2011-08-05,41,30.68
2011-08-12,37,31.30
2011-08-19,36,29.31
2011-08-26,33,30.52
2011-09-02,35,32.11
2011-09-09,33,30.38
2011-09-16,33,31.82
2011-09-23,34,26.04
2011-09-30,40,25.55
2011-10-07,35,25.35
2011-10-14,38,27.75
2011-10-21,37,27.81
2011-10-28,33,29.74
2011-11-04,45,27.07
2011-11-11,37,26.45
2011-11-18,39,24.33
2011-11-25,29,22.42
2011-12-02,39,25.44
2011-12-09,41,24.66
2011-12-16,42,22.98
2011-12-23,38,23.73
2011-12-30,44,22.29
2012-01-06,45,23.98
2012-01-13,46,21.41
2012-01-20,51,20.96
2012-01-27,61,22.05
2012-02-03,53,22.31
2012-02-10,44,22.13
2012-02-17,52,24.71
2012-02-24,50,25.45
2012-03-02,46,24.33
2012-03-09,51,24.55
2012-03-16,42,25.06
2012-03-23,44,24.66
2012-03-30,41,23.17
2012-04-06,37,
2012-04-13,44,19.95
2012-04-20,59,17.44
2012-04-27,59,17.72
2012-05-04,81,17.39
2012-05-11,60,14.81
2012-05-18,81,14.36
2012-05-25,56,15.81
2012-06-01,49,15.58
2012-06-08,72,18.36
2012-06-15,66,18.10
2012-06-22,43,18.61
2012-06-29,42,18.60
2012-07-06,30,20.04
2012-07-13,32,19.11
2012-07-20,35,17.20
2012-07-27,30,18.46
2012-08-03,32,17.89
2012-08-10,36,19.68
2012-08-17,27,19.14
2012-08-24,30,19.39
2012-08-31,26,19.35
2012-09-07,29,20.34
2012-09-14,37,20.52
2012-09-21,29,19.36
2012-09-28,38,18.87
2012-10-05,32,19.23
2012-10-12,32,20.18
2012-10-19,29,20.81
2012-10-26,31,20.10
2012-11-02,28,18.49
2012-11-09,25,17.04
2012-11-16,26,16.62
2012-11-23,25,17.83
2012-11-30,30,17.03
2012-12-07,33,17.25
2012-12-14,34,16.56
2012-12-21,30,17.32
2012-12-28,26,16.56
2013-01-04,36,17.45
2013-01-11,32,16.87
2013-01-18,30,17.82
2013-01-25,33,19.36
2013-02-01,41,20.33
2013-02-08,36,20.23
2013-02-15,39,20.01
2013-02-22,29,20.50
2013-03-01,36,19.67
2013-03-08,32,21.33
2013-03-15,32,22.46
2013-03-22,32,20.39
2013-03-29,25,
2013-04-05,32,19.75
2013-04-12,22,19.68
2013-04-19,23,18.59
2013-04-26,28,19.25
2013-05-03,30,19.25
2013-05-10,28,20.15
2013-05-17,23,20.27
2013-05-24,41,21.67
2013-05-31,44,21.84
2013-06-07,24,22.00
2013-06-14,22,20.68
2013-06-21,21,20.22
2013-06-28,23,20.38
2013-07-05,27,21.04
2013-07-12,23,21.24
2013-07-19,21,22.58
2013-07-26,25,22.85
2013-08-02,23,24.95
2013-08-09,23,25.00
2013-08-16,27,25.00
2013-08-23,22,26.23
2013-08-30,19,25.81
2013-09-06,19,26.03
2013-09-13,27,26.67
2013-09-20,23,26.58
2013-09-27,25,26.21
2013-10-04,20,26.50
2013-10-11,33,26.47
2013-10-18,20,28.25
2013-10-25,21,28.47
2013-11-01,20,28.00
2013-11-08,28,25.71
2013-11-15,29,25.88
2013-11-22,25,26.30
2013-11-29,21,26.87
2013-12-06,21,26.48
2013-12-13,20,27.00
2013-12-20,26,27.11
2013-12-27,15,27.49
2014-01-03,20,26.42
2014-01-10,24,25.71
2014-01-17,26,25.45
2014-01-24,26,26.88
2014-01-31,30,26.91
2014-02-07,26,24.59
2014-02-14,19,25.14
2014-02-21,21,26.57
2014-02-28,27,25.91
2014-03-07,22,25.85
2014-03-14,23,25.03
2014-03-21,24,24.67
2014-03-28,22,25.67
2014-04-04,21,26.59
2014-04-11,20,26.16
2014-04-18,20,
2014-04-25,19,28.80
2014-05-02,16,
