Date,buy NFLX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,76.63
2004-02-13,0,35.54
2004-02-20,0,35.38
2004-02-27,0,34.40
2004-03-05,0,33.27
2004-03-12,0,30.77
2004-03-19,0,30.73
2004-03-26,0,28.97
2004-04-02,0,35.18
2004-04-09,0,
2004-04-16,0,30.75
2004-04-23,0,29.61
2004-04-30,0,25.36
2004-05-07,0,27.34
2004-05-14,0,30.74
2004-05-21,0,31.26
2004-05-28,0,32.92
2004-06-04,0,31.40
2004-06-11,0,
2004-06-18,0,29.55
2004-06-25,0,31.99
2004-07-02,0,32.31
2004-07-09,0,33.43
2004-07-16,0,23.02
2004-07-23,0,20.27
2004-07-30,0,20.50
2004-08-06,0,16.91
2004-08-13,0,14.98
2004-08-20,0,15.84
2004-08-27,0,15.15
2004-09-03,0,14.36
2004-09-10,0,14.94
2004-09-17,0,16.99
2004-09-24,0,16.65
2004-10-01,0,16.33
2004-10-08,0,16.76
2004-10-15,0,10.30
2004-10-22,0,9.80
2004-10-29,0,9.47
2004-11-05,0,10.92
2004-11-12,0,10.86
2004-11-19,0,11.25
2004-11-26,0,11.35
2004-12-03,0,11.30
2004-12-10,0,11.74
2004-12-17,0,12.98
2004-12-24,0,
2004-12-31,0,12.33
2005-01-07,0,11.12
2005-01-14,0,11.33
2005-01-21,0,11.04
2005-01-28,0,11.44
2005-02-04,0,12.02
2005-02-11,0,11.15
2005-02-18,0,10.68
2005-02-25,0,10.99
2005-03-04,0,10.70
2005-03-11,0,9.43
2005-03-18,0,9.20
2005-03-25,0,
2005-04-01,0,10.83
2005-04-08,0,12.01
2005-04-15,0,11.69
2005-04-22,0,11.20
2005-04-29,0,11.55
2005-05-06,0,11.57
2005-05-13,0,14.28
2005-05-20,0,15.93
2005-05-27,0,14.55
2005-06-03,0,14.67
2005-06-10,0,16.91
2005-06-17,0,17.22
2005-06-24,0,15.77
2005-07-01,0,16.55
2005-07-08,0,16.71
2005-07-15,0,16.40
2005-07-22,0,16.40
2005-07-29,0,18.56
2005-08-05,0,20.97
2005-08-12,0,22.10
2005-08-19,0,21.38
2005-08-26,0,21.19
2005-09-02,0,21.54
2005-09-09,0,24.97
2005-09-16,0,24.20
2005-09-23,0,24.17
2005-09-30,0,25.99
2005-10-07,0,27.25
2005-10-14,0,28.76
2005-10-21,0,26.15
2005-10-28,0,26.28
2005-11-04,0,27.59
2005-11-11,0,30.07
2005-11-18,0,28.42
2005-11-25,0,29.25
2005-12-02,0,27.69
2005-12-09,0,25.74
2005-12-16,0,26.30
2005-12-23,0,27.73
2005-12-30,0,27.06
2006-01-06,0,25.03
2006-01-13,0,25.56
2006-01-20,0,23.47
2006-01-27,0,27.82
2006-02-03,0,26.11
2006-02-10,0,25.43
2006-02-17,0,24.98
2006-02-24,0,25.98
2006-03-03,0,26.76
2006-03-10,0,25.55
2006-03-17,0,26.17
2006-03-24,0,28.67
2006-03-31,0,28.99
2006-04-07,0,27.94
2006-04-14,0,
2006-04-21,0,30.80
2006-04-28,0,29.64
2006-05-05,0,30.30
2006-05-12,0,29.59
2006-05-19,0,27.87
2006-05-26,0,28.83
2006-06-02,0,27.95
2006-06-09,0,27.53
2006-06-16,0,27.12
2006-06-23,0,27.34
2006-06-30,0,27.21
2006-07-07,0,26.65
2006-07-14,0,24.19
2006-07-21,0,23.05
2006-07-28,0,20.85
2006-08-04,0,20.96
2006-08-11,0,19.88
2006-08-18,0,19.85
2006-08-25,0,18.72
2006-09-01,0,20.02
2006-09-08,0,20.24
2006-09-15,0,22.72
2006-09-22,0,23.01
2006-09-29,0,22.78
2006-10-06,0,24.11
2006-10-13,0,23.20
2006-10-20,0,22.24
2006-10-27,0,27.59
2006-11-03,0,26.70
2006-11-10,0,29.38
2006-11-17,0,28.92
2006-11-24,0,29.36
2006-12-01,0,29.46
2006-12-08,0,27.65
2006-12-15,0,27.60
2006-12-22,0,26.20
2006-12-29,0,25.86
2007-01-05,0,24.81
2007-01-12,0,22.71
2007-01-19,0,22.56
2007-01-26,0,23.15
2007-02-02,0,22.84
2007-02-09,0,23.11
2007-02-16,0,22.87
2007-02-23,0,23.53
2007-03-02,0,22.29
2007-03-09,0,21.06
2007-03-16,0,21.02
2007-03-23,0,23.73
2007-03-30,0,23.19
2007-04-06,0,
2007-04-13,0,24.60
2007-04-20,0,22.10
2007-04-27,0,22.21
2007-05-04,0,22.16
2007-05-11,0,22.06
2007-05-18,0,21.94
2007-05-25,0,22.52
2007-06-01,0,21.57
2007-06-08,0,23.43
2007-06-15,0,19.71
2007-06-22,0,19.68
2007-06-29,0,19.39
2007-07-06,0,20.39
2007-07-13,0,20.14
2007-07-20,0,19.63
2007-07-27,0,17.10
2007-08-03,0,16.57
2007-08-10,0,17.89
2007-08-17,0,17.24
2007-08-24,0,17.80
2007-08-31,0,17.52
2007-09-07,0,18.04
2007-09-14,0,17.72
2007-09-21,0,19.19
2007-09-28,0,20.75
2007-10-05,0,22.00
2007-10-12,0,23.00
2007-10-19,0,23.24
2007-10-26,0,25.22
2007-11-02,0,26.26
2007-11-09,0,25.25
2007-11-16,0,23.80
2007-11-23,0,21.75
2007-11-30,0,23.10
2007-12-07,0,23.57
2007-12-14,0,23.52
2007-12-21,0,28.10
2007-12-28,0,26.93
2008-01-04,0,24.61
2008-01-11,0,23.41
2008-01-18,0,21.85
2008-01-25,0,21.77
2008-02-01,0,25.39
2008-02-08,0,26.88
2008-02-15,0,26.60
2008-02-22,0,27.80
2008-02-29,0,31.58
2008-03-07,0,31.26
2008-03-14,0,33.26
2008-03-21,0,
2008-03-28,0,35.59
2008-04-04,0,36.21
2008-04-11,0,35.51
2008-04-18,0,38.56
2008-04-25,0,33.96
2008-05-02,0,31.10
2008-05-09,0,30.72
2008-05-16,0,31.66
2008-05-23,0,31.21
2008-05-30,0,30.36
2008-06-06,0,31.82
2008-06-13,0,32.22
2008-06-20,0,31.40
2008-06-27,0,26.74
2008-07-04,0,
2008-07-11,0,27.21
2008-07-18,0,27.10
2008-07-25,0,27.85
2008-08-01,0,29.22
2008-08-08,0,31.05
2008-08-15,0,31.26
2008-08-22,0,30.65
2008-08-29,0,30.84
2008-09-05,0,29.66
2008-09-12,0,29.45
2008-09-19,0,31.94
2008-09-26,0,32.87
2008-10-03,0,28.97
2008-10-10,0,24.29
2008-10-17,0,23.30
2008-10-24,0,18.95
2008-10-31,0,24.76
2008-11-07,0,21.86
2008-11-14,0,22.03
2008-11-21,0,19.99
2008-11-28,0,22.98
2008-12-05,0,25.27
2008-12-12,0,28.51
2008-12-19,0,27.69
2008-12-26,0,28.46
2009-01-02,0,29.87
2009-01-09,0,32.26
2009-01-16,0,31.26
2009-01-23,0,30.44
2009-01-30,0,36.14
2009-02-06,0,37.00
2009-02-13,0,38.54
2009-02-20,0,36.80
2009-02-27,0,36.24
2009-03-06,0,38.18
2009-03-13,0,39.37
2009-03-20,0,41.65
2009-03-27,0,39.68
2009-04-03,0,43.07
2009-04-10,0,
2009-04-17,0,48.83
2009-04-24,0,42.73
2009-05-01,0,44.48
2009-05-08,0,40.22
2009-05-15,0,38.50
2009-05-22,0,38.80
2009-05-29,0,39.42
2009-06-05,0,39.19
2009-06-12,0,37.84
2009-06-19,0,41.59
2009-06-26,0,40.37
2009-07-03,0,
2009-07-10,0,40.07
2009-07-17,0,44.14
2009-07-24,0,42.20
2009-07-31,0,43.94
2009-08-07,0,45.00
2009-08-14,0,44.49
2009-08-21,0,45.10
2009-08-28,0,44.22
2009-09-04,0,40.95
2009-09-11,0,42.66
2009-09-18,0,47.40
2009-09-25,0,46.26
2009-10-02,0,44.72
2009-10-09,0,46.91
2009-10-16,0,48.99
2009-10-23,0,54.89
2009-10-30,0,53.45
2009-11-06,0,55.86
2009-11-13,0,59.33
2009-11-20,0,59.97
2009-11-27,0,57.85
2009-12-04,0,56.23
2009-12-11,0,55.70
2009-12-18,0,53.27
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,53.30
2010-01-15,0,50.95
2010-01-22,0,50.89
2010-01-29,0,62.25
2010-02-05,0,60.84
2010-02-12,0,63.18
2010-02-19,0,66.65
2010-02-26,0,66.05
2010-03-05,0,67.65
2010-03-12,0,69.98
2010-03-19,0,70.45
2010-03-26,0,74.30
2010-04-02,0,
2010-04-09,0,82.42
2010-04-16,0,85.31
2010-04-23,0,99.73
2010-04-30,0,98.90
2010-05-07,0,91.09
2010-05-14,0,100.56
2010-05-21,0,99.47
2010-05-28,0,111.15
2010-06-04,0,109.78
2010-06-11,0,120.69
2010-06-18,0,126.42
2010-06-25,0,117.98
2010-07-02,0,107.08
2010-07-09,0,117.53
2010-07-16,0,118.39
2010-07-23,0,107.70
2010-07-30,0,102.55
2010-08-06,0,118.32
2010-08-13,0,132.26
2010-08-20,0,129.96
2010-08-27,0,126.10
2010-09-03,0,138.48
2010-09-10,0,146.16
2010-09-17,0,140.46
2010-09-24,0,162.21
2010-10-01,0,154.66
2010-10-08,0,149.64
2010-10-15,0,155.72
2010-10-22,0,168.10
2010-10-29,0,173.57
2010-11-05,0,168.10
2010-11-12,0,173.00
2010-11-19,0,173.04
2010-11-26,0,191.90
2010-12-03,0,185.45
2010-12-10,0,194.63
2010-12-17,0,180.02
2010-12-24,0,
2010-12-31,0,175.70
2011-01-07,0,179.30
2011-01-14,0,191.48
2011-01-21,0,182.09
2011-01-28,0,217.98
2011-02-04,0,220.07
2011-02-11,0,231.07
2011-02-18,0,235.51
2011-02-25,0,212.44
2011-03-04,0,210.72
2011-03-11,0,204.54
2011-03-18,0,209.40
2011-03-25,0,230.01
2011-04-01,0,242.09
2011-04-08,0,234.86
2011-04-15,0,235.49
2011-04-22,0,
2011-04-29,0,232.67
2011-05-06,0,229.47
2011-05-13,0,246.52
2011-05-20,0,245.90
2011-05-27,0,264.51
2011-06-03,0,273.70
2011-06-10,0,258.62
2011-06-17,0,245.67
2011-06-24,0,256.96
2011-07-01,0,267.99
2011-07-08,0,295.14
2011-07-15,0,286.93
2011-07-22,0,276.58
2011-07-29,0,265.99
2011-08-05,0,241.11
2011-08-12,0,244.00
2011-08-19,0,205.21
2011-08-26,0,221.89
2011-09-02,0,213.11
2011-09-09,0,203.97
2011-09-16,0,155.19
2011-09-23,100,129.36
2011-09-30,97,113.27
2011-10-07,97,117.21
2011-10-14,97,116.04
2011-10-21,97,117.04
2011-10-28,97,84.14
2011-11-04,0,90.02
2011-11-11,0,87.75
2011-11-18,0,78.06
2011-11-25,0,63.86
2011-12-02,0,66.37
2011-12-09,0,70.89
2011-12-16,0,69.82
2011-12-23,0,72.62
2011-12-30,0,69.29
2012-01-06,0,86.29
2012-01-13,0,94.38
2012-01-20,0,100.24
2012-01-27,0,123.79
2012-02-03,0,126.43
2012-02-10,0,123.93
2012-02-17,0,121.85
2012-02-24,0,111.67
2012-03-02,0,115.10
2012-03-09,0,109.13
2012-03-16,0,109.96
2012-03-23,0,120.19
2012-03-30,0,115.04
2012-04-06,0,
2012-04-13,0,104.17
2012-04-20,0,106.11
2012-04-27,0,83.74
2012-05-04,0,73.14
2012-05-11,0,77.38
2012-05-18,0,69.96
2012-05-25,0,70.22
2012-06-01,0,62.95
2012-06-08,0,65.64
2012-06-15,0,65.79
2012-06-22,0,67.86
2012-06-29,0,68.49
2012-07-06,0,81.89
2012-07-13,0,84.90
2012-07-20,0,81.82
2012-07-27,0,58.92
2012-08-03,0,53.91
2012-08-10,0,59.90
2012-08-17,0,63.69
2012-08-24,0,63.16
2012-08-31,0,59.72
2012-09-07,0,56.66
2012-09-14,0,60.52
2012-09-21,0,57.79
2012-09-28,0,54.44
2012-10-05,0,66.56
2012-10-12,0,64.33
2012-10-19,0,64.98
2012-10-26,0,69.58
2012-11-02,0,76.90
2012-11-09,0,77.90
2012-11-16,0,80.90
2012-11-23,0,82.95
2012-11-30,0,81.71
2012-12-07,0,85.98
2012-12-14,0,93.30
2012-12-21,0,91.34
2012-12-28,0,89.33
2013-01-04,0,95.98
2013-01-11,0,101.29
2013-01-18,0,99.17
2013-01-25,0,169.56
2013-02-01,0,164.80
2013-02-08,0,180.97
2013-02-15,0,189.51
2013-02-22,0,179.86
2013-03-01,0,189.37
2013-03-08,0,184.70
2013-03-15,0,184.85
2013-03-22,0,181.30
2013-03-29,0,
2013-04-05,0,164.66
2013-04-12,0,173.20
2013-04-19,0,163.37
2013-04-26,0,215.55
2013-05-03,0,213.45
2013-05-10,0,217.69
2013-05-17,0,239.00
2013-05-24,0,228.74
2013-05-31,0,226.25
2013-06-07,0,220.22
2013-06-14,0,213.99
2013-06-21,0,216.90
2013-06-28,0,211.09
2013-07-05,0,225.10
2013-07-12,0,257.26
2013-07-19,0,264.58
2013-07-26,0,246.31
2013-08-02,0,246.18
2013-08-09,0,252.75
2013-08-16,0,258.87
2013-08-23,0,278.36
2013-08-30,0,283.91
2013-09-06,0,291.54
2013-09-13,0,305.65
2013-09-20,0,313.83
2013-09-27,0,312.40
2013-10-04,0,327.26
2013-10-11,0,300.85
2013-10-18,0,333.50
2013-10-25,0,328.03
2013-11-01,0,329.27
2013-11-08,0,334.90
2013-11-15,0,349.76
2013-11-22,0,347.85
2013-11-29,0,365.80
2013-12-06,0,354.44
2013-12-13,0,368.97
2013-12-20,0,375.67
2013-12-27,0,367.50
2014-01-03,0,363.10
2014-01-10,0,332.14
2014-01-17,0,330.04
2014-01-24,0,386.08
2014-01-31,0,409.33
2014-02-07,0,429.98
2014-02-14,0,435.51
2014-02-21,0,432.23
2014-02-28,0,445.63
2014-03-07,0,448.37
2014-03-14,0,424.49
2014-03-21,0,405.99
2014-03-28,0,358.87
2014-04-04,0,337.31
2014-04-11,0,326.71
2014-04-18,0,
2014-04-25,0,322.08
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
