Date,HUM,Price
2004-01-09,12,
2004-01-16,13,
2004-01-23,12,
2004-01-30,12,
2004-02-06,11,22.44
2004-02-13,10,21.67
2004-02-20,11,21.61
2004-02-27,12,21.92
2004-03-05,13,21.99
2004-03-12,12,20.83
2004-03-19,16,21.03
2004-03-26,11,19.36
2004-04-02,14,18.93
2004-04-09,15,
2004-04-16,15,18.10
2004-04-23,15,19.01
2004-04-30,16,16.29
2004-05-07,14,15.84
2004-05-14,13,16.65
2004-05-21,15,15.83
2004-05-28,26,17.07
2004-06-04,33,16.56
2004-06-11,27,
2004-06-18,24,16.40
2004-06-25,19,16.62
2004-07-02,19,16.16
2004-07-09,18,15.75
2004-07-16,19,17.34
2004-07-23,21,17.05
2004-07-30,18,18.11
2004-08-06,19,17.77
2004-08-13,16,18.67
2004-08-20,14,18.85
2004-08-27,16,18.99
2004-09-03,15,19.27
2004-09-10,16,19.50
2004-09-17,14,19.45
2004-09-24,13,19.21
2004-10-01,14,20.40
2004-10-08,13,19.59
2004-10-15,13,19.11
2004-10-22,14,18.11
2004-10-29,13,19.15
2004-11-05,13,22.40
2004-11-12,10,23.00
2004-11-19,12,23.27
2004-11-26,12,24.19
2004-12-03,16,26.42
2004-12-10,12,28.29
2004-12-17,13,29.75
2004-12-24,14,
2004-12-31,15,29.69
2005-01-07,13,29.42
2005-01-14,14,33.26
2005-01-21,13,32.86
2005-01-28,14,33.61
2005-02-04,13,34.65
2005-02-11,13,33.42
2005-02-18,14,33.36
2005-02-25,11,33.33
2005-03-04,13,34.86
2005-03-11,14,33.75
2005-03-18,13,31.93
2005-03-25,15,
2005-04-01,15,32.57
2005-04-08,11,34.09
2005-04-15,14,32.34
2005-04-22,12,30.96
2005-04-29,13,34.65
2005-05-06,15,35.08
2005-05-13,14,34.69
2005-05-20,15,36.30
2005-05-27,16,36.89
2005-06-03,13,37.78
2005-06-10,13,38.15
2005-06-17,12,39.42
2005-06-24,13,37.75
2005-07-01,13,39.35
2005-07-08,13,41.75
2005-07-15,13,41.03
2005-07-22,12,38.91
2005-07-29,13,39.85
2005-08-05,13,42.04
2005-08-12,13,45.76
2005-08-19,13,46.12
2005-08-26,14,46.86
2005-09-02,13,47.83
2005-09-09,12,50.03
2005-09-16,11,49.12
2005-09-23,13,47.80
2005-09-30,11,47.88
2005-10-07,13,45.56
2005-10-14,13,44.88
2005-10-21,13,45.93
2005-10-28,11,43.92
2005-11-04,12,42.97
2005-11-11,13,44.08
2005-11-18,12,45.04
2005-11-25,12,46.63
2005-12-02,14,48.13
2005-12-09,13,49.33
2005-12-16,14,47.17
2005-12-23,13,55.17
2005-12-30,14,54.33
2006-01-06,13,57.08
2006-01-13,12,56.53
2006-01-20,13,55.18
2006-01-27,12,56.05
2006-02-03,14,54.90
2006-02-10,13,50.85
2006-02-17,13,53.66
2006-02-24,13,53.20
2006-03-03,13,50.86
2006-03-10,12,50.29
2006-03-17,12,51.71
2006-03-24,13,52.10
2006-03-31,13,52.65
2006-04-07,13,49.83
2006-04-14,14,
2006-04-21,16,49.59
2006-04-28,14,45.18
2006-05-05,12,41.80
2006-05-12,14,44.92
2006-05-19,13,47.80
2006-05-26,12,49.80
2006-06-02,12,51.55
2006-06-09,13,51.86
2006-06-16,12,50.31
2006-06-23,11,52.58
2006-06-30,12,53.70
2006-07-07,11,55.28
2006-07-14,12,55.83
2006-07-21,12,55.41
2006-07-28,12,51.54
2006-08-04,12,58.10
2006-08-11,12,57.67
2006-08-18,12,60.00
2006-08-25,12,60.93
2006-09-01,12,61.44
2006-09-08,12,61.46
2006-09-15,11,66.06
2006-09-22,11,65.45
2006-09-29,11,66.09
2006-10-06,11,66.15
2006-10-13,11,63.80
2006-10-20,11,66.50
2006-10-27,10,65.70
2006-11-03,11,56.79
2006-11-10,11,52.00
2006-11-17,12,53.37
2006-11-24,11,52.65
2006-12-01,12,53.41
2006-12-08,11,56.47
2006-12-15,12,55.11
2006-12-22,12,55.19
2006-12-29,13,55.31
2007-01-05,12,52.98
2007-01-12,11,54.52
2007-01-19,11,54.49
2007-01-26,12,53.46
2007-02-02,12,57.32
2007-02-09,13,59.62
2007-02-16,12,62.23
2007-02-23,14,60.86
2007-03-02,13,59.71
2007-03-09,12,59.05
2007-03-16,12,58.23
2007-03-23,12,60.49
2007-03-30,13,58.02
2007-04-06,13,
2007-04-13,12,62.79
2007-04-20,12,63.03
2007-04-27,12,64.93
2007-05-04,12,64.47
2007-05-11,12,64.40
2007-05-18,12,64.86
2007-05-25,13,63.47
2007-06-01,13,63.00
2007-06-08,13,63.11
2007-06-15,12,60.19
2007-06-22,13,60.99
2007-06-29,13,60.91
2007-07-06,12,63.18
2007-07-13,13,61.08
2007-07-20,14,66.87
2007-07-27,14,64.81
2007-08-03,14,65.10
2007-08-10,16,62.33
2007-08-17,14,62.08
2007-08-24,14,65.97
2007-08-31,13,64.09
2007-09-07,13,63.58
2007-09-14,13,65.79
2007-09-21,14,67.15
2007-09-28,13,69.88
2007-10-05,14,71.28
2007-10-12,14,72.63
2007-10-19,14,73.05
2007-10-26,14,75.56
2007-11-02,14,72.23
2007-11-09,13,72.12
2007-11-16,14,72.56
2007-11-23,15,71.19
2007-11-30,14,77.03
2007-12-07,16,76.65
2007-12-14,15,75.50
2007-12-21,14,76.70
2007-12-28,16,76.04
2008-01-04,15,79.47
2008-01-11,14,84.28
2008-01-18,15,84.35
2008-01-25,14,77.96
2008-02-01,14,81.84
2008-02-08,15,73.09
2008-02-15,17,68.78
2008-02-22,19,68.87
2008-02-29,16,68.33
2008-03-07,18,63.52
2008-03-14,17,43.98
2008-03-21,17,
2008-03-28,17,45.20
2008-04-04,18,44.12
2008-04-11,28,42.21
2008-04-18,34,43.50
2008-04-25,24,44.88
2008-05-02,21,47.77
2008-05-09,18,45.46
2008-05-16,17,44.22
2008-05-23,17,48.91
2008-05-30,16,51.05
2008-06-06,16,48.55
2008-06-13,15,46.99
2008-06-20,16,41.97
2008-06-27,16,41.27
2008-07-04,16,
2008-07-11,16,37.27
2008-07-18,16,38.66
2008-07-25,17,42.91
2008-08-01,17,44.64
2008-08-08,17,49.08
2008-08-15,17,50.00
2008-08-22,15,47.74
2008-08-29,15,46.40
2008-09-05,13,43.36
2008-09-12,14,47.72
2008-09-19,16,43.25
2008-09-26,17,42.70
2008-10-03,17,39.31
2008-10-10,17,31.37
2008-10-17,18,35.80
2008-10-24,16,36.27
2008-10-31,18,29.59
2008-11-07,17,35.58
2008-11-14,18,30.63
2008-11-21,17,24.56
2008-11-28,17,30.23
2008-12-05,17,29.59
2008-12-12,19,31.80
2008-12-19,19,36.15
2008-12-26,22,35.31
2009-01-02,20,37.27
2009-01-09,18,36.89
2009-01-16,19,33.28
2009-01-23,19,37.15
2009-01-30,19,37.93
2009-02-06,19,44.55
2009-02-13,18,42.75
2009-02-20,19,40.54
2009-02-27,19,23.67
2009-03-06,20,19.54
2009-03-13,20,24.83
2009-03-20,21,24.43
2009-03-27,20,25.06
2009-04-03,21,25.46
2009-04-10,23,
2009-04-17,22,28.95
2009-04-24,22,27.36
2009-05-01,21,28.92
2009-05-08,22,32.62
2009-05-15,22,31.58
2009-05-22,23,30.43
2009-05-29,24,31.33
2009-06-05,24,30.96
2009-06-12,25,29.41
2009-06-19,23,31.59
2009-06-26,24,31.71
2009-07-03,24,
2009-07-10,23,30.36
2009-07-17,24,28.98
2009-07-24,23,31.53
2009-07-31,25,32.85
2009-08-07,24,33.50
2009-08-14,26,34.69
